[18:45:12.957], CLIENT, 93, -->, STTP, 17, list, 8458fa1c, ROUTE, , , 
[18:45:12.957], CLIENT, 93, -->, STTP, 18, list, 8458fa1c, ROUTE, , , 
[18:45:12.957], CLIENT, 93, -->, STTP, 6, list, 8458fa1c, ROUTE, , , 
[18:45:12.957], CLIENT, 93, -->, STTP, 3, list, 8458fa1c, ROUTE, , , 
[18:45:12.957], CLIENT, 93, -->, STTP, 9, list, 8458fa1c, ROUTE, , , 
[18:45:12.960], CLIENT, 93, <--, STTP, 9, list, fc6d499c, ROUTE, , , 
[18:45:12.962], CLIENT, 93, <--, STTP, 18, list, 70949068, ROUTE, , , 
[18:45:12.963], CLIENT, 93, <--, STTP, 3, list, a91f9ffb, ROUTE, , , 
[18:45:12.965], CLIENT, 93, <--, STTP, 6, list, e32483b9, ROUTE, , , 
[18:45:12.966], CLIENT, 93, <--, STTP, 17, list, 98b0c137, ROUTE, , , 
[18:45:12.976], CLIENT, 93, , , , , , query_route, CPU: 18.453995 ms, wall: 19.770681 ms, 
[18:45:12.977], CLIENT, 93, , , , , , shared_secret_rerandomization, CPU: 0.937974 ms, wall: 0.941403 ms, 
[18:45:12.979], CLIENT, 93, , , , , , compute_gamma, CPU: 0.176247 ms, wall: 0.176105 ms, 
[18:45:12.979], CLIENT, 93, , , , , , initial_layer, CPU: 1.637287 ms, wall: 1.644122 ms, 
[18:45:12.980], CLIENT, 93, , , , , , compute_gamma, CPU: 0.154967 ms, wall: 0.154977 ms, 
[18:45:12.980], CLIENT, 93, , , , , , add_layer, CPU: 0.807949 ms, wall: 0.807873 ms, 
[18:45:12.981], CLIENT, 93, , , , , , compute_gamma, CPU: 0.203623 ms, wall: 0.203613 ms, 
[18:45:12.981], CLIENT, 93, , , , , , add_layer, CPU: 0.845035 ms, wall: 0.851268 ms, 
[18:45:12.981], CLIENT, 93, , , , , , compute_gamma, CPU: 0.173413 ms, wall: 0.173437 ms, 
[18:45:12.981], CLIENT, 93, , , , , , add_layer, CPU: 0.809386 ms, wall: 0.814660 ms, 
[18:45:12.982], CLIENT, 93, , , , , , compute_gamma, CPU: 0.172004 ms, wall: 0.171972 ms, 
[18:45:12.982], CLIENT, 93, , , , , , add_layer, CPU: 0.806517 ms, wall: 0.812958 ms, 
[18:45:12.982], CLIENT, 93, , , , , , compute_layers, CPU: 5.106397 ms, wall: 5.136173 ms, 
[18:45:12.982], CLIENT, 93, , , , , , build_packet, CPU: 25.548953 ms, wall: 26.916049 ms, 
[18:45:12.982], CLIENT, 93, -->, MIX, 26, Header, 974be301, RUN, , , 
[18:45:13.003], CLIENT, 93, <--, MIX, 42, Header, c72e89aa, RUN, , , 
