[18:45:13.140], CLIENT, 94, -->, STTP, 19, list, e6dd0523, ROUTE, , , 
[18:45:13.143], CLIENT, 94, -->, STTP, 7, list, e6dd0523, ROUTE, , , 
[18:45:13.143], CLIENT, 94, -->, STTP, 8, list, e6dd0523, ROUTE, , , 
[18:45:13.144], CLIENT, 94, -->, STTP, 11, list, e6dd0523, ROUTE, , , 
[18:45:13.144], CLIENT, 94, -->, STTP, 10, list, e6dd0523, ROUTE, , , 
[18:45:13.147], CLIENT, 94, <--, STTP, 7, list, b17cb815, ROUTE, , , 
[18:45:13.150], CLIENT, 94, <--, STTP, 8, list, 9a240f42, ROUTE, , , 
[18:45:13.152], CLIENT, 94, <--, STTP, 19, list, d55e3c5f, ROUTE, , , 
[18:45:13.155], CLIENT, 94, <--, STTP, 10, list, 64377021, ROUTE, , , 
[18:45:13.157], CLIENT, 94, <--, STTP, 11, list, 4c969f54, ROUTE, , , 
[18:45:13.173], CLIENT, 94, , , , , , query_route, CPU: 28.288415 ms, wall: 32.856417 ms, 
[18:45:13.174], CLIENT, 94, , , , , , shared_secret_rerandomization, CPU: 1.310014 ms, wall: 1.319746 ms, 
[18:45:13.177], CLIENT, 94, , , , , , compute_gamma, CPU: 0.241536 ms, wall: 0.240963 ms, 
[18:45:13.177], CLIENT, 94, , , , , , initial_layer, CPU: 2.222492 ms, wall: 2.241036 ms, 
[18:45:13.178], CLIENT, 94, , , , , , compute_gamma, CPU: 0.256754 ms, wall: 0.262329 ms, 
[18:45:13.178], CLIENT, 94, , , , , , add_layer, CPU: 1.233904 ms, wall: 1.246520 ms, 
[18:45:13.179], CLIENT, 94, , , , , , compute_gamma, CPU: 0.252540 ms, wall: 0.252316 ms, 
[18:45:13.180], CLIENT, 94, , , , , , add_layer, CPU: 1.298281 ms, wall: 1.307168 ms, 
[18:45:13.181], CLIENT, 94, , , , , , compute_gamma, CPU: 0.324008 ms, wall: 0.322818 ms, 
[18:45:13.181], CLIENT, 94, , , , , , add_layer, CPU: 1.370350 ms, wall: 1.486017 ms, 
[18:45:13.184], CLIENT, 94, , , , , , compute_gamma, CPU: 0.276907 ms, wall: 0.276760 ms, 
[18:45:13.185], CLIENT, 94, , , , , , add_layer, CPU: 1.456440 ms, wall: 1.516899 ms, 
[18:45:13.185], CLIENT, 94, , , , , , compute_layers, CPU: 7.968516 ms, wall: 9.965286 ms, 
[18:45:13.185], CLIENT, 94, , , , , , build_packet, CPU: 38.998840 ms, wall: 45.586533 ms, 
[18:45:13.185], CLIENT, 94, -->, MIX, 32, Header, 994135a7, RUN, , , 
[18:45:13.224], CLIENT, 94, <--, MIX, 44, Header, 94978b9e, RUN, , , 
