[18:45:13.158], CLIENT, 95, -->, STTP, 7, list, e23750ef, ROUTE, , , 
[18:45:13.158], CLIENT, 95, -->, STTP, 3, list, e23750ef, ROUTE, , , 
[18:45:13.160], CLIENT, 95, -->, STTP, 17, list, e23750ef, ROUTE, , , 
[18:45:13.160], CLIENT, 95, -->, STTP, 9, list, e23750ef, ROUTE, , , 
[18:45:13.160], CLIENT, 95, -->, STTP, 12, list, e23750ef, ROUTE, , , 
[18:45:13.163], CLIENT, 95, <--, STTP, 3, list, effeef27, ROUTE, , , 
[18:45:13.169], CLIENT, 95, <--, STTP, 7, list, 29830b7a, ROUTE, , , 
[18:45:13.171], CLIENT, 95, <--, STTP, 17, list, 23238c2e, ROUTE, , , 
[18:45:13.174], CLIENT, 95, <--, STTP, 9, list, 734ea10a, ROUTE, , , 
[18:45:13.176], CLIENT, 95, <--, STTP, 12, list, 9910351c, ROUTE, , , 
[18:45:13.198], CLIENT, 95, , , , , , query_route, CPU: 30.373172 ms, wall: 40.217890 ms, 
[18:45:13.204], CLIENT, 95, , , , , , shared_secret_rerandomization, CPU: 1.558964 ms, wall: 6.383746 ms, 
[18:45:13.207], CLIENT, 95, , , , , , compute_gamma, CPU: 0.292963 ms, wall: 0.293992 ms, 
[18:45:13.207], CLIENT, 95, , , , , , initial_layer, CPU: 2.709368 ms, wall: 2.726749 ms, 
[18:45:13.209], CLIENT, 95, , , , , , compute_gamma, CPU: 0.283118 ms, wall: 0.282942 ms, 
[18:45:13.209], CLIENT, 95, , , , , , add_layer, CPU: 1.368799 ms, wall: 1.373863 ms, 
[18:45:13.210], CLIENT, 95, , , , , , compute_gamma, CPU: 0.249776 ms, wall: 0.257553 ms, 
[18:45:13.210], CLIENT, 95, , , , , , add_layer, CPU: 1.328059 ms, wall: 1.342743 ms, 
[18:45:13.212], CLIENT, 95, , , , , , compute_gamma, CPU: 0.340086 ms, wall: 0.339807 ms, 
[18:45:13.212], CLIENT, 95, , , , , , add_layer, CPU: 1.424672 ms, wall: 1.433038 ms, 
[18:45:13.213], CLIENT, 95, , , , , , compute_gamma, CPU: 0.179347 ms, wall: 0.178963 ms, 
[18:45:13.213], CLIENT, 95, , , , , , add_layer, CPU: 1.181639 ms, wall: 1.188748 ms, 
[18:45:13.213], CLIENT, 95, , , , , , compute_layers, CPU: 8.386083 ms, wall: 8.450162 ms, 
[18:45:13.213], CLIENT, 95, , , , , , build_packet, CPU: 41.706824 ms, wall: 56.441559 ms, 
[18:45:13.213], CLIENT, 95, -->, MIX, 33, Header, 70f025fb, RUN, , , 
[18:45:13.294], CLIENT, 95, <--, MIX, 7, Header, 8bd6cae1, RUN, , , 
