[18:45:13.115], CLIENT, 97, -->, STTP, 8, list, 078a9a97, ROUTE, , , 
[18:45:13.115], CLIENT, 97, -->, STTP, 9, list, 078a9a97, ROUTE, , , 
[18:45:13.116], CLIENT, 97, -->, STTP, 4, list, 078a9a97, ROUTE, , , 
[18:45:13.116], CLIENT, 97, -->, STTP, 14, list, 078a9a97, ROUTE, , , 
[18:45:13.116], CLIENT, 97, -->, STTP, 16, list, 078a9a97, ROUTE, , , 
[18:45:13.120], CLIENT, 97, <--, STTP, 8, list, cffc3bd6, ROUTE, , , 
[18:45:13.123], CLIENT, 97, <--, STTP, 14, list, 2af7932c, ROUTE, , , 
[18:45:13.125], CLIENT, 97, <--, STTP, 9, list, 8ede57d4, ROUTE, , , 
[18:45:13.128], CLIENT, 97, <--, STTP, 4, list, 971b2cf8, ROUTE, , , 
[18:45:13.148], CLIENT, 97, <--, STTP, 16, list, 083c1093, ROUTE, , , 
[18:45:13.197], CLIENT, 97, , , , , , query_route, CPU: 36.485878 ms, wall: 81.712592 ms, 
[18:45:13.198], CLIENT, 97, , , , , , shared_secret_rerandomization, CPU: 1.560411 ms, wall: 1.571496 ms, 
[18:45:13.201], CLIENT, 97, , , , , , compute_gamma, CPU: 0.281944 ms, wall: 0.286907 ms, 
[18:45:13.201], CLIENT, 97, , , , , , initial_layer, CPU: 2.741769 ms, wall: 2.759673 ms, 
[18:45:13.203], CLIENT, 97, , , , , , compute_gamma, CPU: 0.264197 ms, wall: 0.264055 ms, 
[18:45:13.203], CLIENT, 97, , , , , , add_layer, CPU: 1.340772 ms, wall: 1.347261 ms, 
[18:45:13.204], CLIENT, 97, , , , , , compute_gamma, CPU: 0.312951 ms, wall: 0.316996 ms, 
[18:45:13.204], CLIENT, 97, , , , , , add_layer, CPU: 1.411105 ms, wall: 1.427113 ms, 
[18:45:13.205], CLIENT, 97, , , , , , compute_gamma, CPU: 0.323278 ms, wall: 0.323645 ms, 
[18:45:13.206], CLIENT, 97, , , , , , add_layer, CPU: 1.182070 ms, wall: 1.187665 ms, 
[18:45:13.207], CLIENT, 97, , , , , , compute_gamma, CPU: 0.248622 ms, wall: 0.248185 ms, 
[18:45:13.207], CLIENT, 97, , , , , , add_layer, CPU: 1.331958 ms, wall: 1.339844 ms, 
[18:45:13.207], CLIENT, 97, , , , , , compute_layers, CPU: 8.358162 ms, wall: 8.419720 ms, 
[18:45:13.207], CLIENT, 97, , , , , , build_packet, CPU: 47.426223 ms, wall: 92.737005 ms, 
[18:45:13.207], CLIENT, 97, -->, MIX, 26, Header, 166738d3, RUN, , , 
[18:45:13.242], CLIENT, 97, <--, MIX, 36, Header, d91eb101, RUN, , , 
