[18:45:13.212], CLIENT, 98, -->, STTP, 3, list, 48d2378c, ROUTE, , , 
[18:45:13.212], CLIENT, 98, -->, STTP, 11, list, 48d2378c, ROUTE, , , 
[18:45:13.212], CLIENT, 98, -->, STTP, 14, list, 48d2378c, ROUTE, , , 
[18:45:13.212], CLIENT, 98, -->, STTP, 10, list, 48d2378c, ROUTE, , , 
[18:45:13.213], CLIENT, 98, -->, STTP, 6, list, 48d2378c, ROUTE, , , 
[18:45:13.217], CLIENT, 98, <--, STTP, 6, list, fae2758b, ROUTE, , , 
[18:45:13.220], CLIENT, 98, <--, STTP, 10, list, e69da0e6, ROUTE, , , 
[18:45:13.222], CLIENT, 98, <--, STTP, 14, list, 6178d5b1, ROUTE, , , 
[18:45:13.224], CLIENT, 98, <--, STTP, 11, list, c32c794a, ROUTE, , , 
[18:45:13.230], CLIENT, 98, <--, STTP, 3, list, 380d70f2, ROUTE, , , 
[18:45:13.246], CLIENT, 98, , , , , , query_route, CPU: 28.819835 ms, wall: 34.841548 ms, 
[18:45:13.248], CLIENT, 98, , , , , , shared_secret_rerandomization, CPU: 1.528452 ms, wall: 1.538213 ms, 
[18:45:13.251], CLIENT, 98, , , , , , compute_gamma, CPU: 0.316942 ms, wall: 0.316448 ms, 
[18:45:13.251], CLIENT, 98, , , , , , initial_layer, CPU: 2.676509 ms, wall: 2.697451 ms, 
[18:45:13.252], CLIENT, 98, , , , , , compute_gamma, CPU: 0.256186 ms, wall: 0.256007 ms, 
[18:45:13.252], CLIENT, 98, , , , , , add_layer, CPU: 1.320974 ms, wall: 1.327326 ms, 
[18:45:13.254], CLIENT, 98, , , , , , compute_gamma, CPU: 0.237719 ms, wall: 0.237596 ms, 
[18:45:13.254], CLIENT, 98, , , , , , add_layer, CPU: 1.323849 ms, wall: 1.330498 ms, 
[18:45:13.255], CLIENT, 98, , , , , , compute_gamma, CPU: 0.241296 ms, wall: 0.246659 ms, 
[18:45:13.255], CLIENT, 98, , , , , , add_layer, CPU: 1.314744 ms, wall: 1.365255 ms, 
[18:45:13.257], CLIENT, 98, , , , , , compute_gamma, CPU: 0.321545 ms, wall: 0.321484 ms, 
[18:45:13.257], CLIENT, 98, , , , , , add_layer, CPU: 1.420342 ms, wall: 1.426845 ms, 
[18:45:13.257], CLIENT, 98, , , , , , compute_layers, CPU: 8.438645 ms, wall: 8.632775 ms, 
[18:45:13.257], CLIENT, 98, , , , , , build_packet, CPU: 39.723773 ms, wall: 45.952738 ms, 
[18:45:13.257], CLIENT, 98, -->, MIX, 46, Header, 49c3c285, RUN, , , 
[18:45:13.281], CLIENT, 98, <--, MIX, 23, Header, a85bd417, RUN, , , 
