[18:45:10.104], MIX, 1, -->, STTP, 1, list, b63bbb60, SETUP, , , 
[18:45:10.116], MIX, 1, -->, STTP, 2, list, 597640f6, SETUP, , , 
[18:45:10.143], MIX, 1, -->, STTP, 3, list, 681cb726, SETUP, , , 
[18:45:10.194], MIX, 1, -->, STTP, 4, list, 326b1685, SETUP, , , 
[18:45:10.257], MIX, 1, -->, STTP, 5, list, cd66fef2, SETUP, , , 
[18:45:10.258], MIX, 1, -->, STTP, 6, list, e93ec16c, SETUP, , , 
[18:45:10.266], MIX, 1, -->, STTP, 7, list, a18559f9, SETUP, , , 
[18:45:10.266], MIX, 1, -->, STTP, 8, list, b20ea060, SETUP, , , 
[18:45:10.278], MIX, 1, -->, STTP, 9, list, ca233ca5, SETUP, , , 
[18:45:10.279], MIX, 1, -->, STTP, 10, list, 48da7a26, SETUP, , , 
[18:45:10.286], MIX, 1, -->, STTP, 11, list, 4e521870, SETUP, , , 
[18:45:10.340], MIX, 1, -->, STTP, 12, list, bef717e4, SETUP, , , 
[18:45:10.341], MIX, 1, -->, STTP, 13, list, 97dd3bab, SETUP, , , 
[18:45:10.347], MIX, 1, -->, STTP, 14, list, 0c00e363, SETUP, , , 
[18:45:10.348], MIX, 1, -->, STTP, 15, list, bb9107b1, SETUP, , , 
[18:45:10.358], MIX, 1, -->, STTP, 16, list, cb8d87d6, SETUP, , , 
[18:45:10.359], MIX, 1, -->, STTP, 17, list, 96705a7b, SETUP, , , 
[18:45:10.360], MIX, 1, -->, STTP, 18, list, 4b090e68, SETUP, , , 
[18:45:10.363], MIX, 1, -->, STTP, 19, list, 561fa672, SETUP, , , 
[18:45:10.363], MIX, 1, -->, STTP, 20, list, 05e646aa, SETUP, , , 
[18:45:10.366], MIX, 1, , , , , , setup, CPU: 23.877421 ms, wall: 265.079638 ms, 
[18:45:12.593], MIX, 1, <--, MIX, 5, Header, bfe3d7b3, RUN, , , 
[18:45:12.594], MIX, 1, , , , , , compute_shared_secret, CPU: 0.139228 ms, wall: 0.139127 ms, 
[18:45:12.594], MIX, 1, , , , , , verify_integrity, CPU: 0.209325 ms, wall: 0.215030 ms, 
[18:45:12.595], MIX, 1, , , , , , decrypt_beta, CPU: 0.850637 ms, wall: 0.855882 ms, 
[18:45:12.595], MIX, 1, , , , , , update_alpha, CPU: 0.070637 ms, wall: 0.070314 ms, 
[18:45:12.595], MIX, 1, , , , , , process_header, CPU: 1.593178 ms, wall: 1.602862 ms, 
[18:45:12.595], MIX, 1, -->, CLIENT, 87, Header, 22700a05, RUN, , , 
[18:45:12.604], MIX, 1, <--, MIX, 40, Header, 3f34b774, RUN, , , 
[18:45:12.605], MIX, 1, , , , , , compute_shared_secret, CPU: 0.131886 ms, wall: 0.132049 ms, 
[18:45:12.605], MIX, 1, , , , , , verify_integrity, CPU: 0.151897 ms, wall: 0.151902 ms, 
[18:45:12.606], MIX, 1, , , , , , decrypt_beta, CPU: 0.758454 ms, wall: 0.767841 ms, 
[18:45:12.606], MIX, 1, , , , , , update_alpha, CPU: 0.062967 ms, wall: 0.062907 ms, 
[18:45:12.606], MIX, 1, , , , , , process_header, CPU: 1.356155 ms, wall: 1.364444 ms, 
[18:45:12.606], MIX, 1, -->, MIX, 4, Header, dbab373f, RUN, , , 
[18:45:12.859], MIX, 1, <--, CLIENT, 27, Header, 411243d8, RUN, , , 
[18:45:12.860], MIX, 1, , , , , , compute_shared_secret, CPU: 0.120848 ms, wall: 0.120816 ms, 
[18:45:12.860], MIX, 1, , , , , , verify_integrity, CPU: 0.147363 ms, wall: 0.152838 ms, 
[18:45:12.861], MIX, 1, , , , , , decrypt_beta, CPU: 0.761057 ms, wall: 0.761091 ms, 
[18:45:12.861], MIX, 1, , , , , , update_alpha, CPU: 0.064676 ms, wall: 0.070437 ms, 
[18:45:12.861], MIX, 1, , , , , , process_header, CPU: 1.325640 ms, wall: 1.337308 ms, 
[18:45:12.861], MIX, 1, -->, MIX, 41, Header, d27e1731, RUN, , , 
[18:45:13.030], MIX, 1, <--, MIX, 46, Header, 4d1e796f, RUN, , , 
[18:45:13.031], MIX, 1, , , , , , compute_shared_secret, CPU: 0.351424 ms, wall: 0.352268 ms, 
[18:45:13.031], MIX, 1, , , , , , verify_integrity, CPU: 0.391883 ms, wall: 0.405843 ms, 
[18:45:13.034], MIX, 1, , , , , , decrypt_beta, CPU: 2.522637 ms, wall: 2.542482 ms, 
[18:45:13.034], MIX, 1, , , , , , update_alpha, CPU: 0.216566 ms, wall: 0.216438 ms, 
[18:45:13.034], MIX, 1, , , , , , process_header, CPU: 4.212416 ms, wall: 4.253273 ms, 
[18:45:13.035], MIX, 1, -->, MIX, 2, Header, d7980354, RUN, , , 
[18:45:13.133], MIX, 1, <--, MIX, 33, Header, 28493b78, RUN, , , 
[18:45:13.139], MIX, 1, , , , , , compute_shared_secret, CPU: 0.209918 ms, wall: 0.210255 ms, 
[18:45:13.140], MIX, 1, , , , , , verify_integrity, CPU: 0.274720 ms, wall: 0.274734 ms, 
[18:45:13.141], MIX, 1, , , , , , decrypt_beta, CPU: 1.264336 ms, wall: 1.282865 ms, 
[18:45:13.141], MIX, 1, , , , , , update_alpha, CPU: 0.107256 ms, wall: 0.107449 ms, 
[18:45:13.141], MIX, 1, , , , , , process_header, CPU: 2.309654 ms, wall: 2.326912 ms, 
[18:45:13.141], MIX, 1, -->, CLIENT, 33, Header, be41d6df, RUN, , , 
[18:45:13.189], MIX, 1, <--, MIX, 20, Header, da51b9ac, RUN, , , 
[18:45:13.189], MIX, 1, , , , , , compute_shared_secret, CPU: 0.174441 ms, wall: 0.174576 ms, 
[18:45:13.190], MIX, 1, , , , , , verify_integrity, CPU: 0.223680 ms, wall: 0.223664 ms, 
[18:45:13.191], MIX, 1, , , , , , decrypt_beta, CPU: 1.236200 ms, wall: 1.249146 ms, 
[18:45:13.191], MIX, 1, , , , , , update_alpha, CPU: 0.098416 ms, wall: 0.098162 ms, 
[18:45:13.191], MIX, 1, , , , , , process_header, CPU: 2.084954 ms, wall: 2.096758 ms, 
[18:45:13.191], MIX, 1, -->, MIX, 13, Header, f44e19e3, RUN, , , 
[18:45:13.249], MIX, 1, <--, MIX, 29, Header, 91aa9808, RUN, , , 
[18:45:13.249], MIX, 1, , , , , , compute_shared_secret, CPU: 0.179815 ms, wall: 0.179880 ms, 
[18:45:13.250], MIX, 1, , , , , , verify_integrity, CPU: 0.219852 ms, wall: 0.219705 ms, 
[18:45:13.251], MIX, 1, , , , , , decrypt_beta, CPU: 1.198939 ms, wall: 1.215179 ms, 
[18:45:13.251], MIX, 1, , , , , , update_alpha, CPU: 0.101691 ms, wall: 0.101468 ms, 
[18:45:13.251], MIX, 1, , , , , , process_header, CPU: 2.112967 ms, wall: 2.127781 ms, 
[18:45:13.251], MIX, 1, -->, CLIENT, 17, Header, 8b3ea144, RUN, , , 
[18:45:13.290], MIX, 1, <--, MIX, 5, Header, 6f8fb280, RUN, , , 
[18:45:13.290], MIX, 1, , , , , , compute_shared_secret, CPU: 0.126048 ms, wall: 0.126170 ms, 
[18:45:13.291], MIX, 1, , , , , , verify_integrity, CPU: 0.152862 ms, wall: 0.152658 ms, 
[18:45:13.292], MIX, 1, , , , , , decrypt_beta, CPU: 0.850509 ms, wall: 0.857493 ms, 
[18:45:13.292], MIX, 1, , , , , , update_alpha, CPU: 0.088703 ms, wall: 0.088604 ms, 
[18:45:13.292], MIX, 1, , , , , , process_header, CPU: 1.533618 ms, wall: 1.539616 ms, 
