[18:45:10.327], MIX, 10, -->, STTP, 1, list, d49fc99a, SETUP, , , 
[18:45:10.329], MIX, 10, -->, STTP, 2, list, 375ee4b9, SETUP, , , 
[18:45:10.331], MIX, 10, -->, STTP, 3, list, 926ebedd, SETUP, , , 
[18:45:10.332], MIX, 10, -->, STTP, 4, list, bcaefc5e, SETUP, , , 
[18:45:10.336], MIX, 10, -->, STTP, 5, list, 6413bca5, SETUP, , , 
[18:45:10.337], MIX, 10, -->, STTP, 6, list, aa8676e0, SETUP, , , 
[18:45:10.339], MIX, 10, -->, STTP, 7, list, c5ae2a49, SETUP, , , 
[18:45:10.341], MIX, 10, -->, STTP, 8, list, 613d29ba, SETUP, , , 
[18:45:10.342], MIX, 10, -->, STTP, 9, list, e9a604f1, SETUP, , , 
[18:45:10.344], MIX, 10, -->, STTP, 10, list, f6226442, SETUP, , , 
[18:45:10.345], MIX, 10, -->, STTP, 11, list, 8c4931a7, SETUP, , , 
[18:45:10.347], MIX, 10, -->, STTP, 12, list, a9cc8d73, SETUP, , , 
[18:45:10.388], MIX, 10, -->, STTP, 13, list, 2a613001, SETUP, , , 
[18:45:10.394], MIX, 10, -->, STTP, 14, list, bd470c29, SETUP, , , 
[18:45:10.396], MIX, 10, -->, STTP, 15, list, c5bb5660, SETUP, , , 
[18:45:10.398], MIX, 10, -->, STTP, 16, list, bcc95b8b, SETUP, , , 
[18:45:10.400], MIX, 10, -->, STTP, 17, list, 4417c0f4, SETUP, , , 
[18:45:10.409], MIX, 10, -->, STTP, 18, list, a4c8a466, SETUP, , , 
[18:45:10.409], MIX, 10, -->, STTP, 19, list, 1103131c, SETUP, , , 
[18:45:10.410], MIX, 10, -->, STTP, 20, list, 9778fce2, SETUP, , , 
[18:45:10.410], MIX, 10, , , , , , setup, CPU: 30.010554 ms, wall: 84.187326 ms, 
[18:45:12.391], MIX, 10, <--, MIX, 18, Header, 2b264506, RUN, , , 
[18:45:12.391], MIX, 10, , , , , , compute_shared_secret, CPU: 0.126377 ms, wall: 0.131944 ms, 
[18:45:12.391], MIX, 10, , , , , , verify_integrity, CPU: 0.188456 ms, wall: 0.188444 ms, 
[18:45:12.392], MIX, 10, , , , , , decrypt_beta, CPU: 0.775358 ms, wall: 0.779146 ms, 
[18:45:12.392], MIX, 10, , , , , , update_alpha, CPU: 0.062680 ms, wall: 0.062706 ms, 
[18:45:12.392], MIX, 10, , , , , , process_header, CPU: 1.395715 ms, wall: 1.403659 ms, 
[18:45:12.392], MIX, 10, -->, MIX, 49, Header, 0a517dab, RUN, , , 
[18:45:12.821], MIX, 10, <--, MIX, 36, Header, 142c8f16, RUN, , , 
[18:45:12.822], MIX, 10, , , , , , compute_shared_secret, CPU: 0.122307 ms, wall: 0.122366 ms, 
[18:45:12.822], MIX, 10, , , , , , verify_integrity, CPU: 0.154132 ms, wall: 0.154066 ms, 
[18:45:12.823], MIX, 10, , , , , , decrypt_beta, CPU: 0.741079 ms, wall: 0.747510 ms, 
[18:45:12.823], MIX, 10, , , , , , update_alpha, CPU: 0.061667 ms, wall: 0.061677 ms, 
[18:45:12.823], MIX, 10, , , , , , process_header, CPU: 1.326564 ms, wall: 1.331864 ms, 
[18:45:12.823], MIX, 10, -->, MIX, 18, Header, 2253c81a, RUN, , , 
[18:45:12.914], MIX, 10, <--, CLIENT, 25, Header, a1ea8c10, RUN, , , 
[18:45:12.914], MIX, 10, , , , , , compute_shared_secret, CPU: 0.121288 ms, wall: 0.121367 ms, 
[18:45:12.914], MIX, 10, , , , , , verify_integrity, CPU: 0.168823 ms, wall: 0.168820 ms, 
[18:45:12.915], MIX, 10, , , , , , decrypt_beta, CPU: 0.762103 ms, wall: 0.767359 ms, 
[18:45:12.915], MIX, 10, , , , , , update_alpha, CPU: 0.064278 ms, wall: 0.064184 ms, 
[18:45:12.915], MIX, 10, , , , , , process_header, CPU: 1.347035 ms, wall: 1.351525 ms, 
[18:45:12.915], MIX, 10, -->, MIX, 13, Header, 4a40ea59, RUN, , , 
[18:45:12.921], MIX, 10, <--, MIX, 13, Header, f0b17a41, RUN, , , 
[18:45:12.921], MIX, 10, , , , , , compute_shared_secret, CPU: 0.116732 ms, wall: 0.116777 ms, 
[18:45:12.922], MIX, 10, , , , , , verify_integrity, CPU: 0.166230 ms, wall: 0.166195 ms, 
[18:45:12.923], MIX, 10, , , , , , decrypt_beta, CPU: 0.766630 ms, wall: 0.772435 ms, 
[18:45:12.923], MIX, 10, , , , , , update_alpha, CPU: 0.063091 ms, wall: 0.063000 ms, 
[18:45:12.923], MIX, 10, , , , , , process_header, CPU: 1.343105 ms, wall: 1.347879 ms, 
[18:45:12.923], MIX, 10, -->, MIX, 36, Header, 03dca9f1, RUN, , , 
[18:45:13.027], MIX, 10, <--, MIX, 19, Header, 4b0ed39c, RUN, , , 
[18:45:13.028], MIX, 10, , , , , , compute_shared_secret, CPU: 0.121849 ms, wall: 0.121965 ms, 
[18:45:13.028], MIX, 10, , , , , , verify_integrity, CPU: 0.143646 ms, wall: 0.143663 ms, 
[18:45:13.029], MIX, 10, , , , , , decrypt_beta, CPU: 0.736438 ms, wall: 0.736580 ms, 
[18:45:13.029], MIX, 10, , , , , , update_alpha, CPU: 0.062353 ms, wall: 0.062296 ms, 
[18:45:13.029], MIX, 10, , , , , , process_header, CPU: 1.318419 ms, wall: 1.322770 ms, 
[18:45:13.029], MIX, 10, -->, MIX, 6, Header, 3efddeff, RUN, , , 
[18:45:13.031], MIX, 10, <--, MIX, 35, Header, b46b8f28, RUN, , , 
[18:45:13.031], MIX, 10, , , , , , compute_shared_secret, CPU: 0.123519 ms, wall: 0.132603 ms, 
[18:45:13.031], MIX, 10, , , , , , verify_integrity, CPU: 0.204096 ms, wall: 0.204320 ms, 
[18:45:13.032], MIX, 10, , , , , , decrypt_beta, CPU: 0.814877 ms, wall: 0.828268 ms, 
[18:45:13.032], MIX, 10, , , , , , update_alpha, CPU: 0.063263 ms, wall: 0.063205 ms, 
[18:45:13.032], MIX, 10, , , , , , process_header, CPU: 1.574633 ms, wall: 1.596091 ms, 
[18:45:13.033], MIX, 10, -->, MIX, 21, Header, 4e83fe53, RUN, , , 
[18:45:13.064], MIX, 10, <--, MIX, 36, Header, 75432dfa, RUN, , , 
[18:45:13.064], MIX, 10, , , , , , compute_shared_secret, CPU: 0.123409 ms, wall: 0.123442 ms, 
[18:45:13.064], MIX, 10, , , , , , verify_integrity, CPU: 0.169390 ms, wall: 0.169402 ms, 
[18:45:13.065], MIX, 10, , , , , , decrypt_beta, CPU: 0.751058 ms, wall: 0.759061 ms, 
[18:45:13.065], MIX, 10, , , , , , update_alpha, CPU: 0.062403 ms, wall: 0.062349 ms, 
[18:45:13.065], MIX, 10, , , , , , process_header, CPU: 1.340839 ms, wall: 1.347591 ms, 
[18:45:13.065], MIX, 10, -->, MIX, 25, Header, d2650508, RUN, , , 
[18:45:13.137], MIX, 10, <--, CLIENT, 19, Header, 760e20a3, RUN, , , 
[18:45:13.138], MIX, 10, , , , , , compute_shared_secret, CPU: 0.183544 ms, wall: 0.183563 ms, 
[18:45:13.138], MIX, 10, , , , , , verify_integrity, CPU: 0.229257 ms, wall: 0.229268 ms, 
[18:45:13.139], MIX, 10, , , , , , decrypt_beta, CPU: 1.205535 ms, wall: 1.220305 ms, 
[18:45:13.139], MIX, 10, , , , , , update_alpha, CPU: 0.103243 ms, wall: 0.103036 ms, 
[18:45:13.139], MIX, 10, , , , , , process_header, CPU: 2.114245 ms, wall: 2.127469 ms, 
[18:45:13.140], MIX, 10, -->, MIX, 14, Header, 37666102, RUN, , , 
[18:45:13.175], MIX, 10, <--, MIX, 30, Header, 21461e70, RUN, , , 
[18:45:13.175], MIX, 10, , , , , , compute_shared_secret, CPU: 0.140773 ms, wall: 0.140824 ms, 
[18:45:13.175], MIX, 10, , , , , , verify_integrity, CPU: 0.198772 ms, wall: 0.198727 ms, 
[18:45:13.178], MIX, 10, , , , , , decrypt_beta, CPU: 1.807453 ms, wall: 2.286258 ms, 
[18:45:13.178], MIX, 10, , , , , , update_alpha, CPU: 0.220223 ms, wall: 0.229968 ms, 
[18:45:13.178], MIX, 10, , , , , , process_header, CPU: 2.959476 ms, wall: 3.454393 ms, 
[18:45:13.178], MIX, 10, -->, MIX, 36, Header, d78c0e8e, RUN, , , 
[18:45:13.235], MIX, 10, <--, CLIENT, 49, Header, b3a6bfc6, RUN, , , 
[18:45:13.236], MIX, 10, , , , , , compute_shared_secret, CPU: 0.330560 ms, wall: 0.331249 ms, 
[18:45:13.237], MIX, 10, , , , , , verify_integrity, CPU: 0.461240 ms, wall: 0.461082 ms, 
[18:45:13.245], MIX, 10, , , , , , decrypt_beta, CPU: 2.612208 ms, wall: 6.883993 ms, 
[18:45:13.245], MIX, 10, , , , , , update_alpha, CPU: 0.223956 ms, wall: 0.223834 ms, 
[18:45:13.245], MIX, 10, , , , , , process_header, CPU: 4.337077 ms, wall: 9.883112 ms, 
[18:45:13.246], MIX, 10, -->, MIX, 38, Header, 4c25943c, RUN, , , 
[18:45:13.257], MIX, 10, <--, MIX, 36, Header, 251b9eec, RUN, , , 
[18:45:13.257], MIX, 10, , , , , , compute_shared_secret, CPU: 0.325502 ms, wall: 0.326300 ms, 
[18:45:13.258], MIX, 10, , , , , , verify_integrity, CPU: 0.460377 ms, wall: 0.460596 ms, 
[18:45:13.261], MIX, 10, , , , , , decrypt_beta, CPU: 2.551950 ms, wall: 2.569540 ms, 
[18:45:13.261], MIX, 10, , , , , , update_alpha, CPU: 0.220634 ms, wall: 0.229451 ms, 
[18:45:13.261], MIX, 10, , , , , , process_header, CPU: 4.196199 ms, wall: 4.229519 ms, 
[18:45:13.261], MIX, 10, -->, CLIENT, 80, Header, a4f15c8c, RUN, , , 
