[18:45:10.511], MIX, 11, -->, STTP, 1, list, 942d3058, SETUP, , , 
[18:45:10.515], MIX, 11, -->, STTP, 2, list, 3c5d806c, SETUP, , , 
[18:45:10.518], MIX, 11, -->, STTP, 3, list, 6c6142c0, SETUP, , , 
[18:45:10.520], MIX, 11, -->, STTP, 4, list, cba0073d, SETUP, , , 
[18:45:10.523], MIX, 11, -->, STTP, 5, list, 3833f8a5, SETUP, , , 
[18:45:10.527], MIX, 11, -->, STTP, 6, list, 99dc9c6a, SETUP, , , 
[18:45:10.530], MIX, 11, -->, STTP, 7, list, 5202d73d, SETUP, , , 
[18:45:10.533], MIX, 11, -->, STTP, 8, list, a8810423, SETUP, , , 
[18:45:10.535], MIX, 11, -->, STTP, 9, list, 4f541094, SETUP, , , 
[18:45:10.536], MIX, 11, -->, STTP, 10, list, a34f086b, SETUP, , , 
[18:45:10.539], MIX, 11, -->, STTP, 11, list, 49b4e5e2, SETUP, , , 
[18:45:10.544], MIX, 11, -->, STTP, 12, list, 4f4fc931, SETUP, , , 
[18:45:10.546], MIX, 11, -->, STTP, 13, list, ae4f2731, SETUP, , , 
[18:45:10.549], MIX, 11, -->, STTP, 14, list, 05794c3c, SETUP, , , 
[18:45:10.552], MIX, 11, -->, STTP, 15, list, 71c9e321, SETUP, , , 
[18:45:10.555], MIX, 11, -->, STTP, 16, list, b2c4b4cb, SETUP, , , 
[18:45:10.558], MIX, 11, -->, STTP, 17, list, 89efdb46, SETUP, , , 
[18:45:10.560], MIX, 11, -->, STTP, 18, list, 202fa801, SETUP, , , 
[18:45:10.565], MIX, 11, -->, STTP, 19, list, 95f99e7c, SETUP, , , 
[18:45:10.568], MIX, 11, -->, STTP, 20, list, a99261da, SETUP, , , 
[18:45:10.568], MIX, 11, , , , , , setup, CPU: 35.760910 ms, wall: 60.753687 ms, 
[18:45:13.118], MIX, 11, <--, MIX, 36, Header, 94fe0890, RUN, , , 
[18:45:13.119], MIX, 11, , , , , , compute_shared_secret, CPU: 0.171481 ms, wall: 0.171516 ms, 
[18:45:13.119], MIX, 11, , , , , , verify_integrity, CPU: 0.241041 ms, wall: 0.241407 ms, 
[18:45:13.120], MIX, 11, , , , , , decrypt_beta, CPU: 0.955751 ms, wall: 0.956998 ms, 
[18:45:13.120], MIX, 11, , , , , , update_alpha, CPU: 0.100759 ms, wall: 0.100319 ms, 
[18:45:13.120], MIX, 11, , , , , , process_header, CPU: 1.948368 ms, wall: 1.961651 ms, 
[18:45:13.120], MIX, 11, -->, MIX, 36, Header, 95ecf1b3, RUN, , , 
[18:45:13.274], MIX, 11, <--, MIX, 37, Header, 8c0063ee, RUN, , , 
[18:45:13.275], MIX, 11, , , , , , compute_shared_secret, CPU: 0.333126 ms, wall: 0.334068 ms, 
[18:45:13.275], MIX, 11, , , , , , verify_integrity, CPU: 0.383743 ms, wall: 0.393701 ms, 
[18:45:13.279], MIX, 11, , , , , , decrypt_beta, CPU: 2.550800 ms, wall: 3.333707 ms, 
[18:45:13.279], MIX, 11, , , , , , update_alpha, CPU: 0.217466 ms, wall: 0.226217 ms, 
[18:45:13.279], MIX, 11, , , , , , process_header, CPU: 4.165643 ms, wall: 4.965928 ms, 
[18:45:13.279], MIX, 11, -->, MIX, 32, Header, 067f6c8d, RUN, , , 
[18:45:13.286], MIX, 11, <--, MIX, 14, Header, 5edadf66, RUN, , , 
[18:45:13.287], MIX, 11, , , , , , compute_shared_secret, CPU: 0.175284 ms, wall: 0.175338 ms, 
[18:45:13.287], MIX, 11, , , , , , verify_integrity, CPU: 0.219493 ms, wall: 0.228272 ms, 
[18:45:13.288], MIX, 11, , , , , , decrypt_beta, CPU: 1.196145 ms, wall: 1.201624 ms, 
[18:45:13.288], MIX, 11, , , , , , update_alpha, CPU: 0.092690 ms, wall: 0.092575 ms, 
[18:45:13.289], MIX, 11, , , , , , process_header, CPU: 2.050916 ms, wall: 2.064128 ms, 
[18:45:13.289], MIX, 11, -->, MIX, 20, Header, 4ad7661c, RUN, , , 
[18:45:13.295], MIX, 11, <--, MIX, 30, Header, 4635dee4, RUN, , , 
[18:45:13.295], MIX, 11, , , , , , compute_shared_secret, CPU: 0.342508 ms, wall: 0.343336 ms, 
[18:45:13.296], MIX, 11, , , , , , verify_integrity, CPU: 0.415921 ms, wall: 0.415765 ms, 
[18:45:13.299], MIX, 11, , , , , , decrypt_beta, CPU: 2.528177 ms, wall: 2.547868 ms, 
[18:45:13.299], MIX, 11, , , , , , update_alpha, CPU: 0.217148 ms, wall: 0.223653 ms, 
[18:45:13.299], MIX, 11, , , , , , process_header, CPU: 4.154951 ms, wall: 4.191061 ms, 
[18:45:13.299], MIX, 11, -->, CLIENT, 73, Header, 188a2f87, RUN, , , 
[18:45:13.304], MIX, 11, <--, MIX, 1, Header, d2a0891c, RUN, , , 
[18:45:13.305], MIX, 11, , , , , , compute_shared_secret, CPU: 0.320690 ms, wall: 0.321556 ms, 
[18:45:13.305], MIX, 11, , , , , , verify_integrity, CPU: 0.362105 ms, wall: 0.372090 ms, 
[18:45:13.308], MIX, 11, , , , , , decrypt_beta, CPU: 2.454067 ms, wall: 2.467733 ms, 
[18:45:13.308], MIX, 11, , , , , , update_alpha, CPU: 0.274605 ms, wall: 0.295772 ms, 
[18:45:13.308], MIX, 11, , , , , , process_header, CPU: 4.037089 ms, wall: 4.079523 ms, 
[18:45:13.308], MIX, 11, -->, MIX, 45, Header, 5cf60a3e, RUN, , , 
