[18:45:10.358], MIX, 14, -->, STTP, 1, list, 2673dd94, SETUP, , , 
[18:45:10.363], MIX, 14, -->, STTP, 2, list, f16d779d, SETUP, , , 
[18:45:10.364], MIX, 14, -->, STTP, 3, list, f77d4d60, SETUP, , , 
[18:45:10.365], MIX, 14, -->, STTP, 4, list, ae8dbe8c, SETUP, , , 
[18:45:10.366], MIX, 14, -->, STTP, 5, list, 5dfe470f, SETUP, , , 
[18:45:10.367], MIX, 14, -->, STTP, 6, list, 33edacbf, SETUP, , , 
[18:45:10.367], MIX, 14, -->, STTP, 7, list, 617f0459, SETUP, , , 
[18:45:10.368], MIX, 14, -->, STTP, 8, list, acdf3e49, SETUP, , , 
[18:45:10.369], MIX, 14, -->, STTP, 9, list, 4ba5931c, SETUP, , , 
[18:45:10.370], MIX, 14, -->, STTP, 10, list, f5f718df, SETUP, , , 
[18:45:10.371], MIX, 14, -->, STTP, 11, list, f7b0a2e8, SETUP, , , 
[18:45:10.372], MIX, 14, -->, STTP, 12, list, 0b6760da, SETUP, , , 
[18:45:10.372], MIX, 14, -->, STTP, 13, list, f67546e3, SETUP, , , 
[18:45:10.373], MIX, 14, -->, STTP, 14, list, c38a60c7, SETUP, , , 
[18:45:10.374], MIX, 14, -->, STTP, 15, list, 28666d92, SETUP, , , 
[18:45:10.374], MIX, 14, -->, STTP, 16, list, d69221bb, SETUP, , , 
[18:45:10.375], MIX, 14, -->, STTP, 17, list, a4b7cb4f, SETUP, , , 
[18:45:10.375], MIX, 14, -->, STTP, 18, list, 6046ef57, SETUP, , , 
[18:45:10.376], MIX, 14, -->, STTP, 19, list, a039e911, SETUP, , , 
[18:45:10.376], MIX, 14, -->, STTP, 20, list, 47215490, SETUP, , , 
[18:45:10.376], MIX, 14, , , , , , setup, CPU: 14.055268 ms, wall: 19.141573 ms, 
[18:45:12.593], MIX, 14, <--, CLIENT, 1, Header, aae2f756, RUN, , , 
[18:45:12.594], MIX, 14, , , , , , compute_shared_secret, CPU: 0.131536 ms, wall: 0.131476 ms, 
[18:45:12.594], MIX, 14, , , , , , verify_integrity, CPU: 0.221333 ms, wall: 0.221384 ms, 
[18:45:12.595], MIX, 14, , , , , , decrypt_beta, CPU: 0.796302 ms, wall: 0.801971 ms, 
[18:45:12.595], MIX, 14, , , , , , update_alpha, CPU: 0.064466 ms, wall: 0.064430 ms, 
[18:45:12.595], MIX, 14, , , , , , process_header, CPU: 1.464616 ms, wall: 1.468752 ms, 
[18:45:12.595], MIX, 14, -->, MIX, 6, Header, 82144958, RUN, , , 
[18:45:12.811], MIX, 14, <--, CLIENT, 14, Header, 21f3a10c, RUN, , , 
[18:45:12.811], MIX, 14, , , , , , compute_shared_secret, CPU: 0.125029 ms, wall: 0.125045 ms, 
[18:45:12.812], MIX, 14, , , , , , verify_integrity, CPU: 0.177552 ms, wall: 0.177484 ms, 
[18:45:12.812], MIX, 14, , , , , , decrypt_beta, CPU: 0.740780 ms, wall: 0.746055 ms, 
[18:45:12.813], MIX, 14, , , , , , update_alpha, CPU: 0.062209 ms, wall: 0.062177 ms, 
[18:45:12.813], MIX, 14, , , , , , process_header, CPU: 1.345900 ms, wall: 1.350105 ms, 
[18:45:12.813], MIX, 14, -->, MIX, 18, Header, 13288a4a, RUN, , , 
[18:45:12.922], MIX, 14, <--, MIX, 27, Header, c26bb149, RUN, , , 
[18:45:12.922], MIX, 14, , , , , , compute_shared_secret, CPU: 0.124615 ms, wall: 0.133395 ms, 
[18:45:12.922], MIX, 14, , , , , , verify_integrity, CPU: 0.148953 ms, wall: 0.148953 ms, 
[18:45:12.923], MIX, 14, , , , , , decrypt_beta, CPU: 0.753756 ms, wall: 0.759008 ms, 
[18:45:12.923], MIX, 14, , , , , , update_alpha, CPU: 0.062816 ms, wall: 0.062812 ms, 
[18:45:12.923], MIX, 14, , , , , , process_header, CPU: 1.337061 ms, wall: 1.349942 ms, 
[18:45:12.923], MIX, 14, -->, MIX, 7, Header, f0783d4d, RUN, , , 
[18:45:12.957], MIX, 14, <--, MIX, 22, Header, 8e207dac, RUN, , , 
[18:45:12.958], MIX, 14, , , , , , compute_shared_secret, CPU: 0.121109 ms, wall: 0.121185 ms, 
[18:45:12.958], MIX, 14, , , , , , verify_integrity, CPU: 0.207373 ms, wall: 0.207413 ms, 
[18:45:12.959], MIX, 14, , , , , , decrypt_beta, CPU: 0.765621 ms, wall: 0.771953 ms, 
[18:45:12.959], MIX, 14, , , , , , update_alpha, CPU: 0.063091 ms, wall: 0.063054 ms, 
[18:45:12.959], MIX, 14, , , , , , process_header, CPU: 1.389148 ms, wall: 1.394239 ms, 
[18:45:12.959], MIX, 14, -->, MIX, 19, Header, fd7309a3, RUN, , , 
[18:45:13.072], MIX, 14, <--, MIX, 25, Header, 88841e2a, RUN, , , 
