[18:45:10.356], MIX, 15, -->, STTP, 1, list, 52c2abc7, SETUP, , , 
[18:45:10.357], MIX, 15, -->, STTP, 2, list, bc3242a3, SETUP, , , 
[18:45:10.358], MIX, 15, -->, STTP, 3, list, 8e318e08, SETUP, , , 
[18:45:10.358], MIX, 15, -->, STTP, 4, list, e6c4f889, SETUP, , , 
[18:45:10.359], MIX, 15, -->, STTP, 5, list, 7b8c66f2, SETUP, , , 
[18:45:10.397], MIX, 15, -->, STTP, 6, list, 91dee641, SETUP, , , 
[18:45:10.398], MIX, 15, -->, STTP, 7, list, 7f6e8c36, SETUP, , , 
[18:45:10.400], MIX, 15, -->, STTP, 8, list, 5767835a, SETUP, , , 
[18:45:10.409], MIX, 15, -->, STTP, 9, list, 0ea98910, SETUP, , , 
[18:45:10.410], MIX, 15, -->, STTP, 10, list, a4f117aa, SETUP, , , 
[18:45:10.410], MIX, 15, -->, STTP, 11, list, 16854354, SETUP, , , 
[18:45:10.412], MIX, 15, -->, STTP, 12, list, a619da8b, SETUP, , , 
[18:45:10.413], MIX, 15, -->, STTP, 13, list, 492d41e5, SETUP, , , 
[18:45:10.414], MIX, 15, -->, STTP, 14, list, 7a3f7db1, SETUP, , , 
[18:45:10.414], MIX, 15, -->, STTP, 15, list, eebd8cce, SETUP, , , 
[18:45:10.418], MIX, 15, -->, STTP, 16, list, b7538329, SETUP, , , 
[18:45:10.418], MIX, 15, -->, STTP, 17, list, 90f04cbf, SETUP, , , 
[18:45:10.419], MIX, 15, -->, STTP, 18, list, 65356a52, SETUP, , , 
[18:45:10.420], MIX, 15, -->, STTP, 19, list, b6708f64, SETUP, , , 
[18:45:10.422], MIX, 15, -->, STTP, 20, list, 19c60469, SETUP, , , 
[18:45:10.422], MIX, 15, , , , , , setup, CPU: 15.165289 ms, wall: 66.506267 ms, 
[18:45:12.580], MIX, 15, <--, MIX, 47, Header, f653d0bf, RUN, , , 
[18:45:12.580], MIX, 15, , , , , , compute_shared_secret, CPU: 0.135353 ms, wall: 0.135548 ms, 
[18:45:12.580], MIX, 15, , , , , , verify_integrity, CPU: 0.179628 ms, wall: 0.179519 ms, 
[18:45:12.581], MIX, 15, , , , , , decrypt_beta, CPU: 0.824606 ms, wall: 0.830070 ms, 
[18:45:12.582], MIX, 15, , , , , , update_alpha, CPU: 0.069457 ms, wall: 0.069330 ms, 
[18:45:12.582], MIX, 15, , , , , , process_header, CPU: 1.514823 ms, wall: 1.519450 ms, 
[18:45:12.582], MIX, 15, -->, MIX, 49, Header, 131d31db, RUN, , , 
[18:45:12.657], MIX, 15, <--, CLIENT, 37, Header, a81f4d71, RUN, , , 
[18:45:12.658], MIX, 15, , , , , , compute_shared_secret, CPU: 0.127008 ms, wall: 0.127075 ms, 
[18:45:12.658], MIX, 15, , , , , , verify_integrity, CPU: 0.204631 ms, wall: 0.210309 ms, 
[18:45:12.659], MIX, 15, , , , , , decrypt_beta, CPU: 0.753387 ms, wall: 0.753546 ms, 
[18:45:12.659], MIX, 15, , , , , , update_alpha, CPU: 0.063091 ms, wall: 0.062953 ms, 
[18:45:12.659], MIX, 15, , , , , , process_header, CPU: 1.382695 ms, wall: 1.390667 ms, 
[18:45:12.659], MIX, 15, -->, MIX, 5, Header, 5e4f1fe0, RUN, , , 
[18:45:12.848], MIX, 15, <--, CLIENT, 18, Header, 00f4455c, RUN, , , 
[18:45:12.848], MIX, 15, , , , , , compute_shared_secret, CPU: 0.124618 ms, wall: 0.129526 ms, 
[18:45:12.848], MIX, 15, , , , , , verify_integrity, CPU: 0.207299 ms, wall: 0.207296 ms, 
[18:45:12.849], MIX, 15, , , , , , decrypt_beta, CPU: 0.741096 ms, wall: 0.746426 ms, 
[18:45:12.849], MIX, 15, , , , , , update_alpha, CPU: 0.061076 ms, wall: 0.060935 ms, 
[18:45:12.849], MIX, 15, , , , , , process_header, CPU: 1.369241 ms, wall: 1.378158 ms, 
[18:45:12.849], MIX, 15, -->, MIX, 16, Header, efe99327, RUN, , , 
[18:45:13.063], MIX, 15, <--, CLIENT, 63, Header, e4df520e, RUN, , , 
[18:45:13.064], MIX, 15, , , , , , compute_shared_secret, CPU: 0.119407 ms, wall: 0.119429 ms, 
