[18:45:10.256], MIX, 16, -->, STTP, 1, list, 50216f06, SETUP, , , 
[18:45:10.257], MIX, 16, -->, STTP, 2, list, 5e4f3879, SETUP, , , 
[18:45:10.258], MIX, 16, -->, STTP, 3, list, 47655a63, SETUP, , , 
[18:45:10.258], MIX, 16, -->, STTP, 4, list, 259885a5, SETUP, , , 
[18:45:10.259], MIX, 16, -->, STTP, 5, list, b3ba5489, SETUP, , , 
[18:45:10.260], MIX, 16, -->, STTP, 6, list, 45779edf, SETUP, , , 
[18:45:10.307], MIX, 16, -->, STTP, 7, list, 2675e99b, SETUP, , , 
[18:45:10.308], MIX, 16, -->, STTP, 8, list, 5d6c7542, SETUP, , , 
[18:45:10.311], MIX, 16, -->, STTP, 9, list, 931a2479, SETUP, , , 
[18:45:10.362], MIX, 16, -->, STTP, 10, list, 734a857d, SETUP, , , 
[18:45:10.369], MIX, 16, -->, STTP, 11, list, ab3862ed, SETUP, , , 
[18:45:10.378], MIX, 16, -->, STTP, 12, list, e0646d25, SETUP, , , 
[18:45:10.378], MIX, 16, -->, STTP, 13, list, b85e9c3c, SETUP, , , 
[18:45:10.380], MIX, 16, -->, STTP, 14, list, d10d3b03, SETUP, , , 
[18:45:10.381], MIX, 16, -->, STTP, 15, list, bd552011, SETUP, , , 
[18:45:10.382], MIX, 16, -->, STTP, 16, list, f25e3877, SETUP, , , 
[18:45:10.383], MIX, 16, -->, STTP, 17, list, f0ca132d, SETUP, , , 
[18:45:10.383], MIX, 16, -->, STTP, 18, list, 5f248e59, SETUP, , , 
[18:45:10.384], MIX, 16, -->, STTP, 19, list, 06c9465f, SETUP, , , 
[18:45:10.385], MIX, 16, -->, STTP, 20, list, 1d575ace, SETUP, , , 
[18:45:10.387], MIX, 16, , , , , , setup, CPU: 18.521755 ms, wall: 131.917250 ms, 
[18:45:12.850], MIX, 16, <--, MIX, 2, Header, cb0f0cf6, RUN, , , 
[18:45:12.850], MIX, 16, , , , , , compute_shared_secret, CPU: 0.142537 ms, wall: 0.176432 ms, 
[18:45:12.850], MIX, 16, , , , , , verify_integrity, CPU: 0.167605 ms, wall: 0.167719 ms, 
[18:45:12.851], MIX, 16, , , , , , decrypt_beta, CPU: 0.794293 ms, wall: 0.839885 ms, 
[18:45:12.851], MIX, 16, , , , , , update_alpha, CPU: 0.063604 ms, wall: 0.063477 ms, 
[18:45:12.851], MIX, 16, , , , , , process_header, CPU: 1.447963 ms, wall: 1.525792 ms, 
[18:45:12.851], MIX, 16, -->, MIX, 23, Header, 7a5443bb, RUN, , , 
[18:45:12.853], MIX, 16, <--, MIX, 15, Header, ddc152a3, RUN, , , 
[18:45:12.853], MIX, 16, , , , , , compute_shared_secret, CPU: 0.104809 ms, wall: 0.104845 ms, 
[18:45:12.854], MIX, 16, , , , , , verify_integrity, CPU: 0.141987 ms, wall: 0.141945 ms, 
[18:45:12.854], MIX, 16, , , , , , decrypt_beta, CPU: 0.753350 ms, wall: 0.758702 ms, 
[18:45:12.854], MIX, 16, , , , , , update_alpha, CPU: 0.062822 ms, wall: 0.062768 ms, 
[18:45:12.854], MIX, 16, , , , , , process_header, CPU: 1.260502 ms, wall: 1.265035 ms, 
[18:45:12.855], MIX, 16, -->, MIX, 3, Header, af231417, RUN, , , 
[18:45:12.870], MIX, 16, <--, MIX, 7, Header, 7fc6fc8b, RUN, , , 
[18:45:12.870], MIX, 16, , , , , , compute_shared_secret, CPU: 0.120445 ms, wall: 0.126438 ms, 
[18:45:12.870], MIX, 16, , , , , , verify_integrity, CPU: 0.196593 ms, wall: 0.196524 ms, 
[18:45:12.871], MIX, 16, , , , , , decrypt_beta, CPU: 0.766269 ms, wall: 0.773132 ms, 
[18:45:12.871], MIX, 16, , , , , , update_alpha, CPU: 0.063696 ms, wall: 0.063626 ms, 
[18:45:12.871], MIX, 16, , , , , , process_header, CPU: 1.390325 ms, wall: 1.401848 ms, 
[18:45:12.871], MIX, 16, -->, MIX, 18, Header, 9a34517b, RUN, , , 
[18:45:12.973], MIX, 16, <--, MIX, 42, Header, 74d036d4, RUN, , , 
[18:45:12.974], MIX, 16, , , , , , compute_shared_secret, CPU: 0.118594 ms, wall: 0.118664 ms, 
[18:45:12.974], MIX, 16, , , , , , verify_integrity, CPU: 0.197888 ms, wall: 0.197953 ms, 
[18:45:12.975], MIX, 16, , , , , , decrypt_beta, CPU: 0.771522 ms, wall: 0.777110 ms, 
[18:45:12.975], MIX, 16, , , , , , update_alpha, CPU: 0.063287 ms, wall: 0.063246 ms, 
[18:45:12.975], MIX, 16, , , , , , process_header, CPU: 1.382110 ms, wall: 1.386677 ms, 
[18:45:12.975], MIX, 16, -->, MIX, 17, Header, 3469a400, RUN, , , 
[18:45:13.132], MIX, 16, <--, MIX, 40, Header, 6936219b, RUN, , , 
[18:45:13.137], MIX, 16, , , , , , compute_shared_secret, CPU: 0.199196 ms, wall: 0.199314 ms, 
