[18:45:10.382], MIX, 17, -->, STTP, 1, list, 0fc9dcdf, SETUP, , , 
[18:45:10.384], MIX, 17, -->, STTP, 2, list, 83439633, SETUP, , , 
[18:45:10.404], MIX, 17, -->, STTP, 3, list, 9fa44df9, SETUP, , , 
[18:45:10.404], MIX, 17, -->, STTP, 4, list, 9f27e96a, SETUP, , , 
[18:45:10.405], MIX, 17, -->, STTP, 5, list, caa7f69c, SETUP, , , 
[18:45:10.406], MIX, 17, -->, STTP, 6, list, 81ee87de, SETUP, , , 
[18:45:10.406], MIX, 17, -->, STTP, 7, list, 686e6e79, SETUP, , , 
[18:45:10.407], MIX, 17, -->, STTP, 8, list, 10989021, SETUP, , , 
[18:45:10.415], MIX, 17, -->, STTP, 9, list, 631933ae, SETUP, , , 
[18:45:10.416], MIX, 17, -->, STTP, 10, list, 02ae2e71, SETUP, , , 
[18:45:10.417], MIX, 17, -->, STTP, 11, list, 009ab85b, SETUP, , , 
[18:45:10.417], MIX, 17, -->, STTP, 12, list, 9b02ddfe, SETUP, , , 
[18:45:10.418], MIX, 17, -->, STTP, 13, list, 5d19b229, SETUP, , , 
[18:45:10.419], MIX, 17, -->, STTP, 14, list, 07bcbb27, SETUP, , , 
[18:45:10.419], MIX, 17, -->, STTP, 15, list, ea75a289, SETUP, , , 
[18:45:10.420], MIX, 17, -->, STTP, 16, list, c717285c, SETUP, , , 
[18:45:10.420], MIX, 17, -->, STTP, 17, list, 66ac7994, SETUP, , , 
[18:45:10.421], MIX, 17, -->, STTP, 18, list, 5d4a8d30, SETUP, , , 
[18:45:10.421], MIX, 17, -->, STTP, 19, list, 1db734ec, SETUP, , , 
[18:45:10.422], MIX, 17, -->, STTP, 20, list, 2730ae9c, SETUP, , , 
[18:45:10.422], MIX, 17, , , , , , setup, CPU: 14.962072 ms, wall: 41.652781 ms, 
[18:45:12.581], MIX, 17, <--, MIX, 45, Header, a1de32d4, RUN, , , 
[18:45:12.581], MIX, 17, , , , , , compute_shared_secret, CPU: 0.125369 ms, wall: 0.125315 ms, 
[18:45:12.581], MIX, 17, , , , , , verify_integrity, CPU: 0.184736 ms, wall: 0.190874 ms, 
[18:45:12.582], MIX, 17, , , , , , decrypt_beta, CPU: 0.763833 ms, wall: 0.763881 ms, 
[18:45:12.582], MIX, 17, , , , , , update_alpha, CPU: 0.062094 ms, wall: 0.061973 ms, 
[18:45:12.582], MIX, 17, , , , , , process_header, CPU: 1.377959 ms, wall: 1.386612 ms, 
[18:45:12.582], MIX, 17, -->, MIX, 5, Header, b09a5ad4, RUN, , , 
[18:45:12.977], MIX, 17, <--, MIX, 16, Header, 1b2d280e, RUN, , , 
[18:45:12.977], MIX, 17, , , , , , compute_shared_secret, CPU: 0.127013 ms, wall: 0.132776 ms, 
[18:45:12.977], MIX, 17, , , , , , verify_integrity, CPU: 0.191990 ms, wall: 0.191920 ms, 
[18:45:12.978], MIX, 17, , , , , , decrypt_beta, CPU: 0.788394 ms, wall: 0.797452 ms, 
[18:45:12.978], MIX, 17, , , , , , update_alpha, CPU: 0.073026 ms, wall: 0.072904 ms, 
[18:45:12.978], MIX, 17, , , , , , process_header, CPU: 1.482581 ms, wall: 1.496287 ms, 
[18:45:12.978], MIX, 17, -->, CLIENT, 29, Header, d81f3f28, RUN, , , 
[18:45:13.165], MIX, 17, <--, MIX, 35, Header, aac0e5e7, RUN, , , 
[18:45:13.168], MIX, 17, , , , , , compute_shared_secret, CPU: 0.210265 ms, wall: 0.210229 ms, 
[18:45:13.169], MIX, 17, , , , , , verify_integrity, CPU: 0.225451 ms, wall: 0.225516 ms, 
[18:45:13.172], MIX, 17, , , , , , decrypt_beta, CPU: 1.182438 ms, wall: 3.282361 ms, 
[18:45:13.172], MIX, 17, , , , , , update_alpha, CPU: 0.126176 ms, wall: 0.125911 ms, 
[18:45:13.172], MIX, 17, , , , , , process_header, CPU: 2.237457 ms, wall: 4.329251 ms, 
[18:45:13.172], MIX, 17, -->, MIX, 7, Header, b6e7d324, RUN, , , 
[18:45:13.214], MIX, 17, <--, MIX, 39, Header, b06bb2cc, RUN, , , 
[18:45:13.215], MIX, 17, , , , , , compute_shared_secret, CPU: 0.178540 ms, wall: 0.178598 ms, 
[18:45:13.215], MIX, 17, , , , , , verify_integrity, CPU: 0.254537 ms, wall: 0.262313 ms, 
[18:45:13.216], MIX, 17, , , , , , decrypt_beta, CPU: 1.246511 ms, wall: 1.254222 ms, 
[18:45:13.217], MIX, 17, , , , , , update_alpha, CPU: 0.103523 ms, wall: 0.103379 ms, 
[18:45:13.217], MIX, 17, , , , , , process_header, CPU: 2.210940 ms, wall: 2.322860 ms, 
[18:45:13.217], MIX, 17, -->, MIX, 43, Header, 125d88ab, RUN, , , 
[18:45:13.235], MIX, 17, <--, MIX, 44, Header, 88627696, RUN, , , 
[18:45:13.236], MIX, 17, , , , , , compute_shared_secret, CPU: 0.183716 ms, wall: 0.183755 ms, 
[18:45:13.236], MIX, 17, , , , , , verify_integrity, CPU: 0.319093 ms, wall: 0.326611 ms, 
[18:45:13.237], MIX, 17, , , , , , decrypt_beta, CPU: 1.238647 ms, wall: 1.244184 ms, 
[18:45:13.238], MIX, 17, , , , , , update_alpha, CPU: 0.099984 ms, wall: 0.099914 ms, 
[18:45:13.238], MIX, 17, , , , , , process_header, CPU: 2.274005 ms, wall: 2.286007 ms, 
[18:45:13.238], MIX, 17, -->, CLIENT, 86, Header, b039479c, RUN, , , 
[18:45:13.275], MIX, 17, <--, MIX, 45, Header, 9f4a9cf0, RUN, , , 
[18:45:13.275], MIX, 17, , , , , , compute_shared_secret, CPU: 0.132324 ms, wall: 0.138919 ms, 
[18:45:13.275], MIX, 17, , , , , , verify_integrity, CPU: 0.150094 ms, wall: 0.150131 ms, 
[18:45:13.276], MIX, 17, , , , , , decrypt_beta, CPU: 0.767121 ms, wall: 0.772486 ms, 
[18:45:13.276], MIX, 17, , , , , , update_alpha, CPU: 0.061919 ms, wall: 0.061873 ms, 
[18:45:13.276], MIX, 17, , , , , , process_header, CPU: 1.369012 ms, wall: 1.379777 ms, 
[18:45:13.276], MIX, 17, -->, MIX, 26, Header, 39b86816, RUN, , , 
