[18:45:10.126], MIX, 19, -->, STTP, 1, list, 304f737c, SETUP, , , 
[18:45:10.130], MIX, 19, -->, STTP, 2, list, 88941af4, SETUP, , , 
[18:45:10.137], MIX, 19, -->, STTP, 3, list, c7790671, SETUP, , , 
[18:45:10.169], MIX, 19, -->, STTP, 4, list, 256bc656, SETUP, , , 
[18:45:10.204], MIX, 19, -->, STTP, 5, list, b2944294, SETUP, , , 
[18:45:10.207], MIX, 19, -->, STTP, 6, list, 28e38163, SETUP, , , 
[18:45:10.216], MIX, 19, -->, STTP, 7, list, b8cddf63, SETUP, , , 
[18:45:10.281], MIX, 19, -->, STTP, 8, list, c04658af, SETUP, , , 
[18:45:10.282], MIX, 19, -->, STTP, 9, list, da439f9d, SETUP, , , 
[18:45:10.282], MIX, 19, -->, STTP, 10, list, 73ad4659, SETUP, , , 
[18:45:10.283], MIX, 19, -->, STTP, 11, list, d8502c89, SETUP, , , 
[18:45:10.284], MIX, 19, -->, STTP, 12, list, 043ec590, SETUP, , , 
[18:45:10.284], MIX, 19, -->, STTP, 13, list, 80a77793, SETUP, , , 
[18:45:10.285], MIX, 19, -->, STTP, 14, list, 39371a03, SETUP, , , 
[18:45:10.286], MIX, 19, -->, STTP, 15, list, c02e561d, SETUP, , , 
[18:45:10.334], MIX, 19, -->, STTP, 16, list, 043ecb24, SETUP, , , 
[18:45:10.337], MIX, 19, -->, STTP, 17, list, 25577c64, SETUP, , , 
[18:45:10.341], MIX, 19, -->, STTP, 18, list, 360fb501, SETUP, , , 
[18:45:10.347], MIX, 19, -->, STTP, 19, list, d65d5b20, SETUP, , , 
[18:45:10.353], MIX, 19, -->, STTP, 20, list, 48976626, SETUP, , , 
[18:45:10.353], MIX, 19, , , , , , setup, CPU: 25.041342 ms, wall: 232.784828 ms, 
[18:45:12.672], MIX, 19, <--, MIX, 25, Header, def2256f, RUN, , , 
[18:45:12.672], MIX, 19, , , , , , compute_shared_secret, CPU: 0.124902 ms, wall: 0.124909 ms, 
[18:45:12.672], MIX, 19, , , , , , verify_integrity, CPU: 0.186709 ms, wall: 0.186559 ms, 
[18:45:12.673], MIX, 19, , , , , , decrypt_beta, CPU: 0.801633 ms, wall: 0.806122 ms, 
[18:45:12.673], MIX, 19, , , , , , update_alpha, CPU: 0.064910 ms, wall: 0.064860 ms, 
[18:45:12.673], MIX, 19, , , , , , process_header, CPU: 1.457706 ms, wall: 1.467525 ms, 
[18:45:12.673], MIX, 19, -->, CLIENT, 37, Header, c086668c, RUN, , , 
[18:45:12.829], MIX, 19, <--, MIX, 33, Header, b2328f95, RUN, , , 
[18:45:12.829], MIX, 19, , , , , , compute_shared_secret, CPU: 0.128288 ms, wall: 0.128290 ms, 
[18:45:12.829], MIX, 19, , , , , , verify_integrity, CPU: 0.155467 ms, wall: 0.165639 ms, 
[18:45:12.830], MIX, 19, , , , , , decrypt_beta, CPU: 0.798374 ms, wall: 0.799213 ms, 
[18:45:12.830], MIX, 19, , , , , , update_alpha, CPU: 0.088252 ms, wall: 0.088270 ms, 
[18:45:12.830], MIX, 19, , , , , , process_header, CPU: 1.512207 ms, wall: 1.527310 ms, 
[18:45:12.830], MIX, 19, -->, CLIENT, 11, Header, 4d97b56a, RUN, , , 
[18:45:12.961], MIX, 19, <--, MIX, 14, Header, aadde241, RUN, , , 
[18:45:12.961], MIX, 19, , , , , , compute_shared_secret, CPU: 0.118879 ms, wall: 0.118839 ms, 
[18:45:12.961], MIX, 19, , , , , , verify_integrity, CPU: 0.147377 ms, wall: 0.147396 ms, 
[18:45:12.962], MIX, 19, , , , , , decrypt_beta, CPU: 0.755288 ms, wall: 0.760552 ms, 
[18:45:12.962], MIX, 19, , , , , , update_alpha, CPU: 0.063559 ms, wall: 0.063466 ms, 
[18:45:12.962], MIX, 19, , , , , , process_header, CPU: 1.332567 ms, wall: 1.335588 ms, 
[18:45:12.962], MIX, 19, -->, CLIENT, 10, Header, e6b2fe34, RUN, , , 
[18:45:13.024], MIX, 19, <--, CLIENT, 21, Header, d6d8ca2d, RUN, , , 
[18:45:13.024], MIX, 19, , , , , , compute_shared_secret, CPU: 0.139848 ms, wall: 0.146308 ms, 
[18:45:13.024], MIX, 19, , , , , , verify_integrity, CPU: 0.170295 ms, wall: 0.170462 ms, 
[18:45:13.025], MIX, 19, , , , , , decrypt_beta, CPU: 0.859077 ms, wall: 0.869149 ms, 
[18:45:13.025], MIX, 19, , , , , , update_alpha, CPU: 0.063156 ms, wall: 0.063015 ms, 
[18:45:13.026], MIX, 19, , , , , , process_header, CPU: 1.575647 ms, wall: 1.591105 ms, 
[18:45:13.026], MIX, 19, -->, MIX, 10, Header, 9055eb61, RUN, , , 
