[18:45:10.244], MIX, 2, -->, STTP, 1, list, a5b80b19, SETUP, , , 
[18:45:10.250], MIX, 2, -->, STTP, 2, list, 53920f01, SETUP, , , 
[18:45:10.256], MIX, 2, -->, STTP, 3, list, aa68f174, SETUP, , , 
[18:45:10.256], MIX, 2, -->, STTP, 4, list, f9fffad1, SETUP, , , 
[18:45:10.262], MIX, 2, -->, STTP, 5, list, b0a1d977, SETUP, , , 
[18:45:10.263], MIX, 2, -->, STTP, 6, list, bc740022, SETUP, , , 
[18:45:10.267], MIX, 2, -->, STTP, 7, list, 58b54b98, SETUP, , , 
[18:45:10.268], MIX, 2, -->, STTP, 8, list, 0bc2a916, SETUP, , , 
[18:45:10.271], MIX, 2, -->, STTP, 9, list, cf32c2cd, SETUP, , , 
[18:45:10.327], MIX, 2, -->, STTP, 10, list, 8fccf00f, SETUP, , , 
[18:45:10.327], MIX, 2, -->, STTP, 11, list, 003ee51c, SETUP, , , 
[18:45:10.332], MIX, 2, -->, STTP, 12, list, 31def8c5, SETUP, , , 
[18:45:10.333], MIX, 2, -->, STTP, 13, list, 3e737d12, SETUP, , , 
[18:45:10.333], MIX, 2, -->, STTP, 14, list, ace6025c, SETUP, , , 
[18:45:10.339], MIX, 2, -->, STTP, 15, list, 596aba47, SETUP, , , 
[18:45:10.340], MIX, 2, -->, STTP, 16, list, da80773a, SETUP, , , 
[18:45:10.341], MIX, 2, -->, STTP, 17, list, 3ccf2ea7, SETUP, , , 
[18:45:10.346], MIX, 2, -->, STTP, 18, list, 892405ff, SETUP, , , 
[18:45:10.347], MIX, 2, -->, STTP, 19, list, 3adc93bd, SETUP, , , 
[18:45:10.348], MIX, 2, -->, STTP, 20, list, f1c38032, SETUP, , , 
[18:45:10.352], MIX, 2, , , , , , setup, CPU: 18.246986 ms, wall: 108.652746 ms, 
[18:45:12.845], MIX, 2, <--, MIX, 34, Header, fe928056, RUN, , , 
[18:45:12.846], MIX, 2, , , , , , compute_shared_secret, CPU: 0.128611 ms, wall: 0.128672 ms, 
[18:45:12.846], MIX, 2, , , , , , verify_integrity, CPU: 0.167632 ms, wall: 0.174490 ms, 
[18:45:12.847], MIX, 2, , , , , , decrypt_beta, CPU: 0.776736 ms, wall: 0.776912 ms, 
[18:45:12.847], MIX, 2, , , , , , update_alpha, CPU: 0.062412 ms, wall: 0.067743 ms, 
[18:45:12.847], MIX, 2, , , , , , process_header, CPU: 1.393520 ms, wall: 1.403554 ms, 
[18:45:12.847], MIX, 2, -->, MIX, 16, Header, 5b91737e, RUN, , , 
[18:45:13.039], MIX, 2, <--, MIX, 1, Header, be5dacf0, RUN, , , 
[18:45:13.040], MIX, 2, , , , , , compute_shared_secret, CPU: 0.340103 ms, wall: 0.349587 ms, 
[18:45:13.041], MIX, 2, , , , , , verify_integrity, CPU: 0.397042 ms, wall: 0.397460 ms, 
[18:45:13.043], MIX, 2, , , , , , decrypt_beta, CPU: 1.804342 ms, wall: 1.944430 ms, 
[18:45:13.043], MIX, 2, , , , , , update_alpha, CPU: 0.070060 ms, wall: 0.078988 ms, 
[18:45:13.043], MIX, 2, , , , , , process_header, CPU: 3.176756 ms, wall: 3.332198 ms, 
[18:45:13.043], MIX, 2, -->, MIX, 49, Header, cd0ea25f, RUN, , , 
[18:45:13.076], MIX, 2, <--, MIX, 48, Header, 09e76d9e, RUN, , , 
[18:45:13.076], MIX, 2, , , , , , compute_shared_secret, CPU: 0.140070 ms, wall: 0.140313 ms, 
[18:45:13.076], MIX, 2, , , , , , verify_integrity, CPU: 0.198878 ms, wall: 0.198836 ms, 
[18:45:13.077], MIX, 2, , , , , , decrypt_beta, CPU: 0.838242 ms, wall: 0.843657 ms, 
[18:45:13.078], MIX, 2, , , , , , update_alpha, CPU: 0.077717 ms, wall: 0.077692 ms, 
[18:45:13.078], MIX, 2, , , , , , process_header, CPU: 1.535144 ms, wall: 1.539703 ms, 
[18:45:13.078], MIX, 2, -->, MIX, 36, Header, a635c81a, RUN, , , 
[18:45:13.145], MIX, 2, <--, CLIENT, 22, Header, 35983907, RUN, , , 
[18:45:13.146], MIX, 2, , , , , , compute_shared_secret, CPU: 0.181383 ms, wall: 0.181515 ms, 
[18:45:13.146], MIX, 2, , , , , , verify_integrity, CPU: 0.324784 ms, wall: 0.324507 ms, 
[18:45:13.148], MIX, 2, , , , , , decrypt_beta, CPU: 1.218947 ms, wall: 1.225528 ms, 
[18:45:13.148], MIX, 2, , , , , , update_alpha, CPU: 0.103780 ms, wall: 0.103501 ms, 
[18:45:13.148], MIX, 2, , , , , , process_header, CPU: 2.213865 ms, wall: 2.231005 ms, 
[18:45:13.148], MIX, 2, -->, MIX, 18, Header, 2f19a21b, RUN, , , 
[18:45:13.176], MIX, 2, <--, MIX, 46, Header, bd47884b, RUN, , , 
[18:45:13.176], MIX, 2, , , , , , compute_shared_secret, CPU: 0.181303 ms, wall: 0.187233 ms, 
[18:45:13.176], MIX, 2, , , , , , verify_integrity, CPU: 0.225574 ms, wall: 0.225397 ms, 
[18:45:13.178], MIX, 2, , , , , , decrypt_beta, CPU: 1.253443 ms, wall: 1.259500 ms, 
[18:45:13.178], MIX, 2, , , , , , update_alpha, CPU: 0.099979 ms, wall: 0.099809 ms, 
[18:45:13.178], MIX, 2, , , , , , process_header, CPU: 2.171497 ms, wall: 2.188148 ms, 
[18:45:13.178], MIX, 2, -->, MIX, 43, Header, ca67e533, RUN, , , 
[18:45:13.232], MIX, 2, <--, MIX, 23, Header, 2f0d2853, RUN, , , 
[18:45:13.233], MIX, 2, , , , , , compute_shared_secret, CPU: 0.174114 ms, wall: 0.174770 ms, 
