[18:45:10.422], MIX, 20, -->, STTP, 1, list, 28f6f400, SETUP, , , 
[18:45:10.424], MIX, 20, -->, STTP, 2, list, e63f8153, SETUP, , , 
[18:45:10.426], MIX, 20, -->, STTP, 3, list, b4e18165, SETUP, , , 
[18:45:10.427], MIX, 20, -->, STTP, 4, list, 0598ef90, SETUP, , , 
[18:45:10.429], MIX, 20, -->, STTP, 5, list, dc22d1b4, SETUP, , , 
[18:45:10.432], MIX, 20, -->, STTP, 6, list, 2590c7eb, SETUP, , , 
[18:45:10.433], MIX, 20, -->, STTP, 7, list, 8671d84a, SETUP, , , 
[18:45:10.435], MIX, 20, -->, STTP, 8, list, 467c37e5, SETUP, , , 
[18:45:10.436], MIX, 20, -->, STTP, 9, list, 80396afb, SETUP, , , 
[18:45:10.438], MIX, 20, -->, STTP, 10, list, 8b80a9c4, SETUP, , , 
[18:45:10.441], MIX, 20, -->, STTP, 11, list, d6aa01de, SETUP, , , 
[18:45:10.442], MIX, 20, -->, STTP, 12, list, 2799e25d, SETUP, , , 
[18:45:10.444], MIX, 20, -->, STTP, 13, list, a50a1e0d, SETUP, , , 
[18:45:10.445], MIX, 20, -->, STTP, 14, list, a7c97faa, SETUP, , , 
[18:45:10.448], MIX, 20, -->, STTP, 15, list, 87a044a5, SETUP, , , 
[18:45:10.450], MIX, 20, -->, STTP, 16, list, d4abd4e9, SETUP, , , 
[18:45:10.451], MIX, 20, -->, STTP, 17, list, 76775df0, SETUP, , , 
[18:45:10.453], MIX, 20, -->, STTP, 18, list, 00f5df54, SETUP, , , 
[18:45:10.455], MIX, 20, -->, STTP, 19, list, 0efcf64d, SETUP, , , 
[18:45:10.457], MIX, 20, -->, STTP, 20, list, 36134157, SETUP, , , 
[18:45:10.457], MIX, 20, , , , , , setup, CPU: 31.726943 ms, wall: 39.548503 ms, 
[18:45:13.184], MIX, 20, <--, CLIENT, 35, Header, e417b7c7, RUN, , , 
[18:45:13.184], MIX, 20, , , , , , compute_shared_secret, CPU: 0.185776 ms, wall: 0.185792 ms, 
[18:45:13.185], MIX, 20, , , , , , verify_integrity, CPU: 0.328569 ms, wall: 0.328578 ms, 
[18:45:13.186], MIX, 20, , , , , , decrypt_beta, CPU: 1.218035 ms, wall: 1.230119 ms, 
[18:45:13.186], MIX, 20, , , , , , update_alpha, CPU: 0.098410 ms, wall: 0.098367 ms, 
[18:45:13.186], MIX, 20, , , , , , process_header, CPU: 2.218999 ms, wall: 2.230129 ms, 
[18:45:13.186], MIX, 20, -->, MIX, 1, Header, 55e854b0, RUN, , , 
[18:45:13.195], MIX, 20, <--, MIX, 7, Header, a06c7145, RUN, , , 
[18:45:13.196], MIX, 20, , , , , , compute_shared_secret, CPU: 0.340155 ms, wall: 0.340757 ms, 
[18:45:13.196], MIX, 20, , , , , , verify_integrity, CPU: 0.483954 ms, wall: 0.493138 ms, 
[18:45:13.199], MIX, 20, , , , , , decrypt_beta, CPU: 2.484094 ms, wall: 2.514660 ms, 
[18:45:13.199], MIX, 20, , , , , , update_alpha, CPU: 0.220210 ms, wall: 0.219747 ms, 
[18:45:13.200], MIX, 20, , , , , , process_header, CPU: 4.222003 ms, wall: 4.268516 ms, 
[18:45:13.200], MIX, 20, -->, MIX, 36, Header, dc8c9271, RUN, , , 
[18:45:13.291], MIX, 20, <--, MIX, 11, Header, 86959904, RUN, , , 
[18:45:13.291], MIX, 20, , , , , , compute_shared_secret, CPU: 0.125788 ms, wall: 0.125915 ms, 
[18:45:13.291], MIX, 20, , , , , , verify_integrity, CPU: 0.168988 ms, wall: 0.169465 ms, 
[18:45:13.293], MIX, 20, , , , , , decrypt_beta, CPU: 0.953086 ms, wall: 0.961424 ms, 
[18:45:13.293], MIX, 20, , , , , , update_alpha, CPU: 0.063075 ms, wall: 0.062572 ms, 
[18:45:13.293], MIX, 20, , , , , , process_header, CPU: 1.682362 ms, wall: 1.689215 ms, 
[18:45:13.293], MIX, 20, -->, MIX, 48, Header, fd2f5402, RUN, , , 
