[18:45:10.335], MIX, 21, -->, STTP, 1, list, 386aa90a, SETUP, , , 
[18:45:10.336], MIX, 21, -->, STTP, 2, list, ec51a0b5, SETUP, , , 
[18:45:10.337], MIX, 21, -->, STTP, 3, list, c2a1b5da, SETUP, , , 
[18:45:10.337], MIX, 21, -->, STTP, 4, list, bd420692, SETUP, , , 
[18:45:10.338], MIX, 21, -->, STTP, 5, list, 53c495f8, SETUP, , , 
[18:45:10.339], MIX, 21, -->, STTP, 6, list, 5e9fff82, SETUP, , , 
[18:45:10.340], MIX, 21, -->, STTP, 7, list, c987cd6c, SETUP, , , 
[18:45:10.341], MIX, 21, -->, STTP, 8, list, aa193a67, SETUP, , , 
[18:45:10.341], MIX, 21, -->, STTP, 9, list, 01208b5f, SETUP, , , 
[18:45:10.342], MIX, 21, -->, STTP, 10, list, 6c5e04cd, SETUP, , , 
[18:45:10.343], MIX, 21, -->, STTP, 11, list, 5fb52291, SETUP, , , 
[18:45:10.344], MIX, 21, -->, STTP, 12, list, e24bfb6c, SETUP, , , 
[18:45:10.344], MIX, 21, -->, STTP, 13, list, 29391b41, SETUP, , , 
[18:45:10.345], MIX, 21, -->, STTP, 14, list, e17d7983, SETUP, , , 
[18:45:10.346], MIX, 21, -->, STTP, 15, list, 81d77e15, SETUP, , , 
[18:45:10.347], MIX, 21, -->, STTP, 16, list, 465912d4, SETUP, , , 
[18:45:10.348], MIX, 21, -->, STTP, 17, list, a20932de, SETUP, , , 
[18:45:10.349], MIX, 21, -->, STTP, 18, list, 654ea353, SETUP, , , 
[18:45:10.349], MIX, 21, -->, STTP, 19, list, 80c1c34f, SETUP, , , 
[18:45:10.350], MIX, 21, -->, STTP, 20, list, 0805ea6f, SETUP, , , 
[18:45:10.350], MIX, 21, , , , , , setup, CPU: 15.823978 ms, wall: 16.509653 ms, 
[18:45:12.570], MIX, 21, <--, MIX, 43, Header, 250a666b, RUN, , , 
[18:45:12.571], MIX, 21, , , , , , compute_shared_secret, CPU: 0.188959 ms, wall: 0.189102 ms, 
[18:45:12.571], MIX, 21, , , , , , verify_integrity, CPU: 0.331195 ms, wall: 0.331186 ms, 
[18:45:12.572], MIX, 21, , , , , , decrypt_beta, CPU: 0.870983 ms, wall: 0.876573 ms, 
[18:45:12.572], MIX, 21, , , , , , update_alpha, CPU: 0.062522 ms, wall: 0.062427 ms, 
[18:45:12.572], MIX, 21, , , , , , process_header, CPU: 1.802933 ms, wall: 1.813917 ms, 
[18:45:12.573], MIX, 21, -->, MIX, 47, Header, 4ae34ddf, RUN, , , 
[18:45:12.928], MIX, 21, <--, MIX, 36, Header, 2ca7cc9b, RUN, , , 
[18:45:12.928], MIX, 21, , , , , , compute_shared_secret, CPU: 0.131333 ms, wall: 0.131426 ms, 
[18:45:12.928], MIX, 21, , , , , , verify_integrity, CPU: 0.162387 ms, wall: 0.162194 ms, 
[18:45:12.929], MIX, 21, , , , , , decrypt_beta, CPU: 0.825340 ms, wall: 0.834762 ms, 
[18:45:12.929], MIX, 21, , , , , , update_alpha, CPU: 0.069531 ms, wall: 0.069323 ms, 
[18:45:12.930], MIX, 21, , , , , , process_header, CPU: 1.497954 ms, wall: 1.506699 ms, 
[18:45:12.930], MIX, 21, -->, CLIENT, 25, Header, ff4354f1, RUN, , , 
[18:45:13.035], MIX, 21, <--, MIX, 10, Header, 9493b12c, RUN, , , 
[18:45:13.035], MIX, 21, , , , , , compute_shared_secret, CPU: 0.121343 ms, wall: 0.121344 ms, 
[18:45:13.035], MIX, 21, , , , , , verify_integrity, CPU: 0.151786 ms, wall: 0.151623 ms, 
[18:45:13.036], MIX, 21, , , , , , decrypt_beta, CPU: 0.784052 ms, wall: 0.790244 ms, 
[18:45:13.036], MIX, 21, , , , , , update_alpha, CPU: 0.065864 ms, wall: 0.065886 ms, 
[18:45:13.036], MIX, 21, , , , , , process_header, CPU: 1.389450 ms, wall: 1.405860 ms, 
[18:45:13.036], MIX, 21, -->, CLIENT, 39, Header, 95acfeef, RUN, , , 
[18:45:13.144], MIX, 21, <--, MIX, 26, Header, 49fa301d, RUN, , , 
[18:45:13.145], MIX, 21, , , , , , compute_shared_secret, CPU: 0.331143 ms, wall: 0.332028 ms, 
[18:45:13.145], MIX, 21, , , , , , verify_integrity, CPU: 0.468755 ms, wall: 0.479676 ms, 
[18:45:13.148], MIX, 21, , , , , , decrypt_beta, CPU: 2.511543 ms, wall: 2.535408 ms, 
[18:45:13.149], MIX, 21, , , , , , update_alpha, CPU: 0.258275 ms, wall: 0.251026 ms, 
[18:45:13.150], MIX, 21, , , , , , process_header, CPU: 4.336557 ms, wall: 5.088876 ms, 
[18:45:13.150], MIX, 21, -->, MIX, 12, Header, 2a04d79f, RUN, , , 
[18:45:13.155], MIX, 21, <--, MIX, 14, Header, e581fcaf, RUN, , , 
[18:45:13.156], MIX, 21, , , , , , compute_shared_secret, CPU: 0.324007 ms, wall: 0.349864 ms, 
[18:45:13.156], MIX, 21, , , , , , verify_integrity, CPU: 0.383134 ms, wall: 0.411040 ms, 
[18:45:13.159], MIX, 21, , , , , , decrypt_beta, CPU: 2.568517 ms, wall: 2.835836 ms, 
[18:45:13.160], MIX, 21, , , , , , update_alpha, CPU: 0.221680 ms, wall: 0.249214 ms, 
[18:45:13.160], MIX, 21, , , , , , process_header, CPU: 4.227730 ms, wall: 4.636473 ms, 
[18:45:13.160], MIX, 21, -->, MIX, 38, Header, bb9d1cb3, RUN, , , 
[18:45:13.193], MIX, 21, <--, MIX, 45, Header, 76dc8d76, RUN, , , 
[18:45:13.193], MIX, 21, , , , , , compute_shared_secret, CPU: 0.331782 ms, wall: 0.343303 ms, 
[18:45:13.194], MIX, 21, , , , , , verify_integrity, CPU: 0.377993 ms, wall: 0.378143 ms, 
[18:45:13.197], MIX, 21, , , , , , decrypt_beta, CPU: 2.594531 ms, wall: 3.213047 ms, 
[18:45:13.198], MIX, 21, , , , , , update_alpha, CPU: 0.219997 ms, wall: 0.219633 ms, 
[18:45:13.199], MIX, 21, , , , , , process_header, CPU: 4.299065 ms, wall: 5.913210 ms, 
[18:45:13.199], MIX, 21, -->, MIX, 7, Header, fd519a28, RUN, , , 
[18:45:13.234], MIX, 21, <--, MIX, 26, Header, 4a6a8b16, RUN, , , 
[18:45:13.235], MIX, 21, , , , , , compute_shared_secret, CPU: 0.122166 ms, wall: 0.122176 ms, 
[18:45:13.235], MIX, 21, , , , , , verify_integrity, CPU: 0.219861 ms, wall: 0.231512 ms, 
[18:45:13.236], MIX, 21, , , , , , decrypt_beta, CPU: 1.166115 ms, wall: 1.186641 ms, 
[18:45:13.237], MIX, 21, , , , , , update_alpha, CPU: 0.102799 ms, wall: 0.102700 ms, 
[18:45:13.237], MIX, 21, , , , , , process_header, CPU: 2.025382 ms, wall: 2.079611 ms, 
[18:45:13.237], MIX, 21, -->, MIX, 35, Header, ab8647cc, RUN, , , 
