[18:45:10.379], MIX, 22, -->, STTP, 1, list, 53f445de, SETUP, , , 
[18:45:10.380], MIX, 22, -->, STTP, 2, list, 4b5f20c1, SETUP, , , 
[18:45:10.381], MIX, 22, -->, STTP, 3, list, 4a167996, SETUP, , , 
[18:45:10.382], MIX, 22, -->, STTP, 4, list, d2db1eae, SETUP, , , 
[18:45:10.383], MIX, 22, -->, STTP, 5, list, 4a1fdf23, SETUP, , , 
[18:45:10.383], MIX, 22, -->, STTP, 6, list, 2b08579a, SETUP, , , 
[18:45:10.384], MIX, 22, -->, STTP, 7, list, ff79a4dc, SETUP, , , 
[18:45:10.385], MIX, 22, -->, STTP, 8, list, e73f4600, SETUP, , , 
[18:45:10.404], MIX, 22, -->, STTP, 9, list, a7fc8caa, SETUP, , , 
[18:45:10.405], MIX, 22, -->, STTP, 10, list, 2c4ae030, SETUP, , , 
[18:45:10.406], MIX, 22, -->, STTP, 11, list, 8a48937c, SETUP, , , 
[18:45:10.406], MIX, 22, -->, STTP, 12, list, 7cdeb30c, SETUP, , , 
[18:45:10.411], MIX, 22, -->, STTP, 13, list, 24f56827, SETUP, , , 
[18:45:10.412], MIX, 22, -->, STTP, 14, list, cd811a94, SETUP, , , 
[18:45:10.412], MIX, 22, -->, STTP, 15, list, 60f17f32, SETUP, , , 
[18:45:10.413], MIX, 22, -->, STTP, 16, list, 19cee483, SETUP, , , 
[18:45:10.414], MIX, 22, -->, STTP, 17, list, 4af5b224, SETUP, , , 
[18:45:10.417], MIX, 22, -->, STTP, 18, list, 6713671d, SETUP, , , 
[18:45:10.417], MIX, 22, -->, STTP, 19, list, 001d9ce9, SETUP, , , 
[18:45:10.420], MIX, 22, -->, STTP, 20, list, 3816bb80, SETUP, , , 
[18:45:10.420], MIX, 22, , , , , , setup, CPU: 16.450870 ms, wall: 41.644032 ms, 
[18:45:12.954], MIX, 22, <--, MIX, 37, Header, 06c915ac, RUN, , , 
[18:45:12.954], MIX, 22, , , , , , compute_shared_secret, CPU: 0.126654 ms, wall: 0.126623 ms, 
[18:45:12.954], MIX, 22, , , , , , verify_integrity, CPU: 0.215299 ms, wall: 0.215699 ms, 
[18:45:12.955], MIX, 22, , , , , , decrypt_beta, CPU: 0.778749 ms, wall: 0.784825 ms, 
[18:45:12.955], MIX, 22, , , , , , update_alpha, CPU: 0.063386 ms, wall: 0.063279 ms, 
[18:45:12.955], MIX, 22, , , , , , process_header, CPU: 1.436145 ms, wall: 1.441269 ms, 
[18:45:12.955], MIX, 22, -->, MIX, 14, Header, 2a98e2cb, RUN, , , 
