[18:45:10.325], MIX, 23, -->, STTP, 1, list, 28ca057a, SETUP, , , 
[18:45:10.326], MIX, 23, -->, STTP, 2, list, 7df70681, SETUP, , , 
[18:45:10.327], MIX, 23, -->, STTP, 3, list, 6be36b19, SETUP, , , 
[18:45:10.327], MIX, 23, -->, STTP, 4, list, 4b31d2b7, SETUP, , , 
[18:45:10.328], MIX, 23, -->, STTP, 5, list, 2704110f, SETUP, , , 
[18:45:10.328], MIX, 23, -->, STTP, 6, list, 6b29a67f, SETUP, , , 
[18:45:10.329], MIX, 23, -->, STTP, 7, list, 428aaf9b, SETUP, , , 
[18:45:10.385], MIX, 23, -->, STTP, 8, list, 321f4722, SETUP, , , 
[18:45:10.386], MIX, 23, -->, STTP, 9, list, 59bea210, SETUP, , , 
[18:45:10.386], MIX, 23, -->, STTP, 10, list, d7627a5c, SETUP, , , 
[18:45:10.387], MIX, 23, -->, STTP, 11, list, eade093a, SETUP, , , 
[18:45:10.388], MIX, 23, -->, STTP, 12, list, ea6b2d71, SETUP, , , 
[18:45:10.389], MIX, 23, -->, STTP, 13, list, 6e9c25f5, SETUP, , , 
[18:45:10.390], MIX, 23, -->, STTP, 14, list, ac348929, SETUP, , , 
[18:45:10.390], MIX, 23, -->, STTP, 15, list, 62329a45, SETUP, , , 
[18:45:10.391], MIX, 23, -->, STTP, 16, list, fcb94df7, SETUP, , , 
[18:45:10.392], MIX, 23, -->, STTP, 17, list, c08eea6c, SETUP, , , 
[18:45:10.393], MIX, 23, -->, STTP, 18, list, 6509c0d9, SETUP, , , 
[18:45:10.393], MIX, 23, -->, STTP, 19, list, 439a4a27, SETUP, , , 
[18:45:10.394], MIX, 23, -->, STTP, 20, list, a23d080a, SETUP, , , 
[18:45:10.394], MIX, 23, , , , , , setup, CPU: 14.176509 ms, wall: 69.482266 ms, 
[18:45:12.572], MIX, 23, <--, MIX, 32, Header, 8d7bff9d, RUN, , , 
[18:45:12.572], MIX, 23, , , , , , compute_shared_secret, CPU: 0.171053 ms, wall: 0.171233 ms, 
[18:45:12.573], MIX, 23, , , , , , verify_integrity, CPU: 0.205107 ms, wall: 0.205288 ms, 
[18:45:12.574], MIX, 23, , , , , , decrypt_beta, CPU: 0.970747 ms, wall: 0.978809 ms, 
[18:45:12.574], MIX, 23, , , , , , update_alpha, CPU: 0.070394 ms, wall: 0.077158 ms, 
[18:45:12.574], MIX, 23, , , , , , process_header, CPU: 1.877058 ms, wall: 1.885937 ms, 
[18:45:12.574], MIX, 23, -->, MIX, 45, Header, c90761ca, RUN, , , 
[18:45:12.795], MIX, 23, <--, CLIENT, 45, Header, 50277b8e, RUN, , , 
[18:45:12.795], MIX, 23, , , , , , compute_shared_secret, CPU: 0.126512 ms, wall: 0.126507 ms, 
[18:45:12.796], MIX, 23, , , , , , verify_integrity, CPU: 0.154022 ms, wall: 0.154088 ms, 
[18:45:12.796], MIX, 23, , , , , , decrypt_beta, CPU: 0.755275 ms, wall: 0.762896 ms, 
[18:45:12.797], MIX, 23, , , , , , update_alpha, CPU: 0.062855 ms, wall: 0.062934 ms, 
[18:45:12.797], MIX, 23, , , , , , process_header, CPU: 1.342505 ms, wall: 1.349047 ms, 
[18:45:12.797], MIX, 23, -->, MIX, 8, Header, 947b6085, RUN, , , 
[18:45:12.854], MIX, 23, <--, MIX, 16, Header, 17c60b32, RUN, , , 
[18:45:12.855], MIX, 23, , , , , , compute_shared_secret, CPU: 0.392742 ms, wall: 0.406330 ms, 
[18:45:12.855], MIX, 23, , , , , , verify_integrity, CPU: 0.413274 ms, wall: 0.424962 ms, 
[18:45:12.858], MIX, 23, , , , , , decrypt_beta, CPU: 2.675587 ms, wall: 2.714910 ms, 
[18:45:12.858], MIX, 23, , , , , , update_alpha, CPU: 0.088206 ms, wall: 0.087930 ms, 
[18:45:12.858], MIX, 23, , , , , , process_header, CPU: 4.224856 ms, wall: 4.285845 ms, 
[18:45:12.858], MIX, 23, -->, MIX, 43, Header, e1503a58, RUN, , , 
[18:45:12.877], MIX, 23, <--, MIX, 18, Header, 0b5d06a2, RUN, , , 
[18:45:12.877], MIX, 23, , , , , , compute_shared_secret, CPU: 0.129354 ms, wall: 0.137029 ms, 
[18:45:12.877], MIX, 23, , , , , , verify_integrity, CPU: 0.177292 ms, wall: 0.177117 ms, 
[18:45:12.878], MIX, 23, , , , , , decrypt_beta, CPU: 0.861634 ms, wall: 0.870606 ms, 
[18:45:12.878], MIX, 23, , , , , , update_alpha, CPU: 0.077964 ms, wall: 0.077855 ms, 
[18:45:12.878], MIX, 23, , , , , , process_header, CPU: 1.624111 ms, wall: 1.638818 ms, 
[18:45:12.879], MIX, 23, -->, MIX, 3, Header, 9a79f450, RUN, , , 
[18:45:13.109], MIX, 23, <--, CLIENT, 71, Header, 5a86b3f6, RUN, , , 
[18:45:13.110], MIX, 23, , , , , , compute_shared_secret, CPU: 0.357392 ms, wall: 0.358373 ms, 
[18:45:13.111], MIX, 23, , , , , , verify_integrity, CPU: 0.488386 ms, wall: 0.488316 ms, 
[18:45:13.114], MIX, 23, , , , , , decrypt_beta, CPU: 2.548901 ms, wall: 2.565101 ms, 
[18:45:13.114], MIX, 23, , , , , , update_alpha, CPU: 0.217610 ms, wall: 0.217223 ms, 
[18:45:13.114], MIX, 23, , , , , , process_header, CPU: 4.376159 ms, wall: 4.667759 ms, 
[18:45:13.114], MIX, 23, -->, MIX, 41, Header, 3b980864, RUN, , , 
[18:45:13.163], MIX, 23, <--, MIX, 32, Header, 531b2bea, RUN, , , 
[18:45:13.164], MIX, 23, , , , , , compute_shared_secret, CPU: 0.181902 ms, wall: 0.182254 ms, 
[18:45:13.164], MIX, 23, , , , , , verify_integrity, CPU: 0.302895 ms, wall: 0.310769 ms, 
[18:45:13.165], MIX, 23, , , , , , decrypt_beta, CPU: 1.155585 ms, wall: 1.162149 ms, 
[18:45:13.166], MIX, 23, , , , , , update_alpha, CPU: 0.098092 ms, wall: 0.097763 ms, 
[18:45:13.166], MIX, 23, , , , , , process_header, CPU: 2.239508 ms, wall: 2.252015 ms, 
[18:45:13.166], MIX, 23, -->, MIX, 32, Header, 1b306027, RUN, , , 
[18:45:13.221], MIX, 23, <--, MIX, 45, Header, 72daf51f, RUN, , , 
[18:45:13.225], MIX, 23, , , , , , compute_shared_secret, CPU: 0.231366 ms, wall: 0.594755 ms, 
[18:45:13.227], MIX, 23, , , , , , verify_integrity, CPU: 0.351390 ms, wall: 2.175917 ms, 
[18:45:13.228], MIX, 23, , , , , , decrypt_beta, CPU: 1.215891 ms, wall: 1.221726 ms, 
[18:45:13.228], MIX, 23, , , , , , update_alpha, CPU: 0.102110 ms, wall: 0.102042 ms, 
[18:45:13.229], MIX, 23, , , , , , process_header, CPU: 2.412511 ms, wall: 4.663427 ms, 
[18:45:13.229], MIX, 23, -->, MIX, 2, Header, 0e92f567, RUN, , , 
[18:45:13.231], MIX, 23, <--, MIX, 38, Header, 99190b12, RUN, , , 
[18:45:13.232], MIX, 23, , , , , , compute_shared_secret, CPU: 0.171573 ms, wall: 0.171838 ms, 
[18:45:13.232], MIX, 23, , , , , , verify_integrity, CPU: 0.263103 ms, wall: 0.270403 ms, 
[18:45:13.233], MIX, 23, , , , , , decrypt_beta, CPU: 1.206782 ms, wall: 1.214963 ms, 
[18:45:13.234], MIX, 23, , , , , , update_alpha, CPU: 0.104190 ms, wall: 0.103930 ms, 
[18:45:13.234], MIX, 23, , , , , , process_header, CPU: 2.176083 ms, wall: 2.190352 ms, 
[18:45:13.234], MIX, 23, -->, MIX, 45, Header, 194b9073, RUN, , , 
[18:45:13.254], MIX, 23, <--, MIX, 32, Header, 940a977a, RUN, , , 
[18:45:13.255], MIX, 23, , , , , , compute_shared_secret, CPU: 0.177210 ms, wall: 0.177362 ms, 
[18:45:13.255], MIX, 23, , , , , , verify_integrity, CPU: 0.282895 ms, wall: 0.381241 ms, 
[18:45:13.257], MIX, 23, , , , , , decrypt_beta, CPU: 1.248881 ms, wall: 1.255642 ms, 
[18:45:13.257], MIX, 23, , , , , , update_alpha, CPU: 0.096952 ms, wall: 0.096817 ms, 
