[18:45:10.146], MIX, 24, -->, STTP, 1, list, 4818c34b, SETUP, , , 
[18:45:10.148], MIX, 24, -->, STTP, 2, list, 83a2eda4, SETUP, , , 
[18:45:10.149], MIX, 24, -->, STTP, 3, list, b25afa5d, SETUP, , , 
[18:45:10.151], MIX, 24, -->, STTP, 4, list, f9a999cc, SETUP, , , 
[18:45:10.153], MIX, 24, -->, STTP, 5, list, 95de86c1, SETUP, , , 
[18:45:10.192], MIX, 24, -->, STTP, 6, list, d3a78654, SETUP, , , 
[18:45:10.253], MIX, 24, -->, STTP, 7, list, b6a4bf8c, SETUP, , , 
[18:45:10.254], MIX, 24, -->, STTP, 8, list, bca33188, SETUP, , , 
[18:45:10.261], MIX, 24, -->, STTP, 9, list, c1eb82f7, SETUP, , , 
[18:45:10.262], MIX, 24, -->, STTP, 10, list, e9d9e8a9, SETUP, , , 
[18:45:10.271], MIX, 24, -->, STTP, 11, list, ef1cc28a, SETUP, , , 
[18:45:10.331], MIX, 24, -->, STTP, 12, list, 4ad69e7b, SETUP, , , 
[18:45:10.336], MIX, 24, -->, STTP, 13, list, a0fbba34, SETUP, , , 
[18:45:10.340], MIX, 24, -->, STTP, 14, list, f7c556be, SETUP, , , 
[18:45:10.344], MIX, 24, -->, STTP, 15, list, 3e4d891c, SETUP, , , 
[18:45:10.347], MIX, 24, -->, STTP, 16, list, 665e422e, SETUP, , , 
[18:45:10.352], MIX, 24, -->, STTP, 17, list, b0ac4337, SETUP, , , 
[18:45:10.356], MIX, 24, -->, STTP, 18, list, 77d4f3ab, SETUP, , , 
[18:45:10.359], MIX, 24, -->, STTP, 19, list, 0f0c27f3, SETUP, , , 
[18:45:10.362], MIX, 24, -->, STTP, 20, list, ccb09e6c, SETUP, , , 
[18:45:10.366], MIX, 24, , , , , , setup, CPU: 31.280529 ms, wall: 221.586185 ms, 
[18:45:13.264], MIX, 24, <--, MIX, 5, Header, 595ff26b, RUN, , , 
[18:45:13.265], MIX, 24, , , , , , compute_shared_secret, CPU: 0.340567 ms, wall: 0.354151 ms, 
[18:45:13.266], MIX, 24, , , , , , verify_integrity, CPU: 0.402979 ms, wall: 0.542095 ms, 
[18:45:13.269], MIX, 24, , , , , , decrypt_beta, CPU: 2.553443 ms, wall: 2.570530 ms, 
[18:45:13.269], MIX, 24, , , , , , update_alpha, CPU: 0.216779 ms, wall: 0.224682 ms, 
[18:45:13.269], MIX, 24, , , , , , process_header, CPU: 4.229016 ms, wall: 4.407765 ms, 
[18:45:13.269], MIX, 24, -->, MIX, 33, Header, 828618e6, RUN, , , 
