[18:45:10.104], MIX, 26, -->, STTP, 1, list, 588d052c, SETUP, , , 
[18:45:10.134], MIX, 26, -->, STTP, 2, list, 14e7b7f6, SETUP, , , 
[18:45:10.149], MIX, 26, -->, STTP, 3, list, 8df60cc0, SETUP, , , 
[18:45:10.160], MIX, 26, -->, STTP, 4, list, e7d25fa3, SETUP, , , 
[18:45:10.170], MIX, 26, -->, STTP, 5, list, 457e81d5, SETUP, , , 
[18:45:10.180], MIX, 26, -->, STTP, 6, list, 20820549, SETUP, , , 
[18:45:10.192], MIX, 26, -->, STTP, 7, list, c8689567, SETUP, , , 
[18:45:10.252], MIX, 26, -->, STTP, 8, list, 81d149e6, SETUP, , , 
[18:45:10.262], MIX, 26, -->, STTP, 9, list, 21312905, SETUP, , , 
[18:45:10.263], MIX, 26, -->, STTP, 10, list, 3d8473ef, SETUP, , , 
[18:45:10.267], MIX, 26, -->, STTP, 11, list, 9c88ee1f, SETUP, , , 
[18:45:10.268], MIX, 26, -->, STTP, 12, list, c7c42770, SETUP, , , 
[18:45:10.273], MIX, 26, -->, STTP, 13, list, 99b5e66e, SETUP, , , 
[18:45:10.274], MIX, 26, -->, STTP, 14, list, 6e3f1e26, SETUP, , , 
[18:45:10.274], MIX, 26, -->, STTP, 15, list, 8a1fdf16, SETUP, , , 
[18:45:10.275], MIX, 26, -->, STTP, 16, list, 9d111b5a, SETUP, , , 
[18:45:10.277], MIX, 26, -->, STTP, 17, list, 6d6c73fe, SETUP, , , 
[18:45:10.278], MIX, 26, -->, STTP, 18, list, 91c6a2b7, SETUP, , , 
[18:45:10.279], MIX, 26, -->, STTP, 19, list, d91a23fe, SETUP, , , 
[18:45:10.281], MIX, 26, -->, STTP, 20, list, eda42d20, SETUP, , , 
[18:45:10.282], MIX, 26, , , , , , setup, CPU: 26.282451 ms, wall: 181.871086 ms, 
[18:45:12.984], MIX, 26, <--, CLIENT, 93, Header, 2f5dafa0, RUN, , , 
[18:45:12.985], MIX, 26, , , , , , compute_shared_secret, CPU: 0.126952 ms, wall: 0.126923 ms, 
[18:45:12.985], MIX, 26, , , , , , verify_integrity, CPU: 0.190966 ms, wall: 0.190926 ms, 
[18:45:12.986], MIX, 26, , , , , , decrypt_beta, CPU: 0.784651 ms, wall: 0.791584 ms, 
[18:45:12.986], MIX, 26, , , , , , update_alpha, CPU: 0.063095 ms, wall: 0.063073 ms, 
[18:45:12.986], MIX, 26, , , , , , process_header, CPU: 1.424448 ms, wall: 1.429777 ms, 
[18:45:12.986], MIX, 26, -->, MIX, 46, Header, 3a5902d0, RUN, , , 
[18:45:13.114], MIX, 26, <--, MIX, 13, Header, 4867b670, RUN, , , 
[18:45:13.115], MIX, 26, , , , , , compute_shared_secret, CPU: 0.178762 ms, wall: 0.178772 ms, 
[18:45:13.115], MIX, 26, , , , , , verify_integrity, CPU: 0.231820 ms, wall: 0.241133 ms, 
[18:45:13.116], MIX, 26, , , , , , decrypt_beta, CPU: 1.209305 ms, wall: 1.217377 ms, 
[18:45:13.117], MIX, 26, , , , , , update_alpha, CPU: 0.105202 ms, wall: 0.105003 ms, 
[18:45:13.117], MIX, 26, , , , , , process_header, CPU: 2.163746 ms, wall: 2.179839 ms, 
[18:45:13.117], MIX, 26, -->, MIX, 14, Header, bf2ee2c0, RUN, , , 
[18:45:13.137], MIX, 26, <--, MIX, 41, Header, 8112e6ed, RUN, , , 
[18:45:13.137], MIX, 26, , , , , , compute_shared_secret, CPU: 0.178905 ms, wall: 0.178990 ms, 
[18:45:13.138], MIX, 26, , , , , , verify_integrity, CPU: 0.313297 ms, wall: 0.313531 ms, 
[18:45:13.139], MIX, 26, , , , , , decrypt_beta, CPU: 1.227675 ms, wall: 1.233633 ms, 
[18:45:13.139], MIX, 26, , , , , , update_alpha, CPU: 0.095085 ms, wall: 0.095042 ms, 
[18:45:13.139], MIX, 26, , , , , , process_header, CPU: 2.186873 ms, wall: 2.195098 ms, 
[18:45:13.139], MIX, 26, -->, MIX, 21, Header, 9fe6307b, RUN, , , 
[18:45:13.210], MIX, 26, <--, CLIENT, 97, Header, 202c833b, RUN, , , 
[18:45:13.210], MIX, 26, , , , , , compute_shared_secret, CPU: 0.175646 ms, wall: 0.175707 ms, 
[18:45:13.211], MIX, 26, , , , , , verify_integrity, CPU: 0.222612 ms, wall: 0.222604 ms, 
[18:45:13.212], MIX, 26, , , , , , decrypt_beta, CPU: 1.199351 ms, wall: 1.206482 ms, 
[18:45:13.212], MIX, 26, , , , , , update_alpha, CPU: 0.103406 ms, wall: 0.111355 ms, 
[18:45:13.212], MIX, 26, , , , , , process_header, CPU: 2.114552 ms, wall: 2.128610 ms, 
[18:45:13.212], MIX, 26, -->, MIX, 45, Header, f3aa6939, RUN, , , 
[18:45:13.229], MIX, 26, <--, CLIENT, 88, Header, 79707d0e, RUN, , , 
[18:45:13.230], MIX, 26, , , , , , compute_shared_secret, CPU: 0.179171 ms, wall: 0.179333 ms, 
[18:45:13.230], MIX, 26, , , , , , verify_integrity, CPU: 0.316990 ms, wall: 0.324181 ms, 
[18:45:13.231], MIX, 26, , , , , , decrypt_beta, CPU: 1.197189 ms, wall: 1.210138 ms, 
[18:45:13.232], MIX, 26, , , , , , update_alpha, CPU: 0.111538 ms, wall: 0.142179 ms, 
[18:45:13.232], MIX, 26, , , , , , process_header, CPU: 2.239122 ms, wall: 2.294164 ms, 
[18:45:13.232], MIX, 26, -->, MIX, 21, Header, 98f0e69a, RUN, , , 
[18:45:13.278], MIX, 26, <--, MIX, 17, Header, 9881df9f, RUN, , , 
[18:45:13.278], MIX, 26, , , , , , compute_shared_secret, CPU: 0.124494 ms, wall: 0.124612 ms, 
[18:45:13.279], MIX, 26, , , , , , verify_integrity, CPU: 0.202861 ms, wall: 0.208128 ms, 
[18:45:13.279], MIX, 26, , , , , , decrypt_beta, CPU: 0.763259 ms, wall: 0.780930 ms, 
[18:45:13.280], MIX, 26, , , , , , update_alpha, CPU: 0.072373 ms, wall: 0.091434 ms, 
[18:45:13.280], MIX, 26, , , , , , process_header, CPU: 1.420716 ms, wall: 1.461713 ms, 
[18:45:13.280], MIX, 26, -->, MIX, 45, Header, 63843182, RUN, , , 
[18:45:13.281], MIX, 26, <--, MIX, 3, Header, a4689a92, RUN, , , 
[18:45:13.282], MIX, 26, , , , , , compute_shared_secret, CPU: 0.106688 ms, wall: 0.106805 ms, 
[18:45:13.282], MIX, 26, , , , , , verify_integrity, CPU: 0.186865 ms, wall: 0.186853 ms, 
[18:45:13.283], MIX, 26, , , , , , decrypt_beta, CPU: 0.749679 ms, wall: 0.763501 ms, 
[18:45:13.283], MIX, 26, , , , , , update_alpha, CPU: 0.061965 ms, wall: 0.061947 ms, 
[18:45:13.283], MIX, 26, , , , , , process_header, CPU: 1.291696 ms, wall: 1.311222 ms, 
[18:45:13.283], MIX, 26, -->, MIX, 40, Header, 866d52f0, RUN, , , 
[18:45:13.286], MIX, 26, <--, MIX, 45, Header, 3bff1664, RUN, , , 
[18:45:13.286], MIX, 26, , , , , , compute_shared_secret, CPU: 0.123341 ms, wall: 0.123400 ms, 
[18:45:13.287], MIX, 26, , , , , , verify_integrity, CPU: 0.148091 ms, wall: 0.148020 ms, 
[18:45:13.287], MIX, 26, , , , , , decrypt_beta, CPU: 0.773199 ms, wall: 0.828485 ms, 
[18:45:13.288], MIX, 26, , , , , , update_alpha, CPU: 0.063181 ms, wall: 0.063194 ms, 
[18:45:13.288], MIX, 26, , , , , , process_header, CPU: 1.371091 ms, wall: 1.425178 ms, 
[18:45:13.288], MIX, 26, -->, CLIENT, 66, Header, a6af3392, RUN, , , 
