[18:45:10.334], MIX, 27, -->, STTP, 1, list, cd612797, SETUP, , , 
[18:45:10.335], MIX, 27, -->, STTP, 2, list, ee284e2c, SETUP, , , 
[18:45:10.336], MIX, 27, -->, STTP, 3, list, b551e7fd, SETUP, , , 
[18:45:10.337], MIX, 27, -->, STTP, 4, list, ac8a5b48, SETUP, , , 
[18:45:10.339], MIX, 27, -->, STTP, 5, list, 5055119e, SETUP, , , 
[18:45:10.340], MIX, 27, -->, STTP, 6, list, 56c1eeb1, SETUP, , , 
[18:45:10.385], MIX, 27, -->, STTP, 7, list, 853d2ecd, SETUP, , , 
[18:45:10.386], MIX, 27, -->, STTP, 8, list, f514be7a, SETUP, , , 
[18:45:10.386], MIX, 27, -->, STTP, 9, list, 97ee02d8, SETUP, , , 
[18:45:10.387], MIX, 27, -->, STTP, 10, list, d1da2ecb, SETUP, , , 
[18:45:10.388], MIX, 27, -->, STTP, 11, list, 6859a822, SETUP, , , 
[18:45:10.388], MIX, 27, -->, STTP, 12, list, 0f225253, SETUP, , , 
[18:45:10.389], MIX, 27, -->, STTP, 13, list, cf9fd3a7, SETUP, , , 
[18:45:10.389], MIX, 27, -->, STTP, 14, list, fdca0ebe, SETUP, , , 
[18:45:10.390], MIX, 27, -->, STTP, 15, list, 50477bcc, SETUP, , , 
[18:45:10.391], MIX, 27, -->, STTP, 16, list, c55ae012, SETUP, , , 
[18:45:10.391], MIX, 27, -->, STTP, 17, list, 2c701a67, SETUP, , , 
[18:45:10.392], MIX, 27, -->, STTP, 18, list, 8410eec3, SETUP, , , 
[18:45:10.392], MIX, 27, -->, STTP, 19, list, 94ebd5ec, SETUP, , , 
[18:45:10.392], MIX, 27, -->, STTP, 20, list, d8b3940b, SETUP, , , 
[18:45:10.393], MIX, 27, , , , , , setup, CPU: 12.287586 ms, wall: 59.414227 ms, 
[18:45:12.918], MIX, 27, <--, MIX, 43, Header, cea3ed9d, RUN, , , 
[18:45:12.919], MIX, 27, , , , , , compute_shared_secret, CPU: 0.131414 ms, wall: 0.131480 ms, 
[18:45:12.919], MIX, 27, , , , , , verify_integrity, CPU: 0.163909 ms, wall: 0.163877 ms, 
[18:45:12.920], MIX, 27, , , , , , decrypt_beta, CPU: 0.772938 ms, wall: 0.772553 ms, 
[18:45:12.920], MIX, 27, , , , , , update_alpha, CPU: 0.062742 ms, wall: 0.062734 ms, 
[18:45:12.920], MIX, 27, , , , , , process_header, CPU: 1.396157 ms, wall: 1.406264 ms, 
[18:45:12.920], MIX, 27, -->, MIX, 14, Header, 8f6ccac8, RUN, , , 
[18:45:13.003], MIX, 27, <--, MIX, 34, Header, aa73ee2e, RUN, , , 
[18:45:13.004], MIX, 27, , , , , , compute_shared_secret, CPU: 0.133697 ms, wall: 0.133848 ms, 
[18:45:13.004], MIX, 27, , , , , , verify_integrity, CPU: 0.191440 ms, wall: 0.191277 ms, 
[18:45:13.005], MIX, 27, , , , , , decrypt_beta, CPU: 0.777661 ms, wall: 0.783667 ms, 
[18:45:13.005], MIX, 27, , , , , , update_alpha, CPU: 0.069117 ms, wall: 0.068884 ms, 
[18:45:13.005], MIX, 27, , , , , , process_header, CPU: 1.446269 ms, wall: 1.451599 ms, 
[18:45:13.005], MIX, 27, -->, MIX, 12, Header, dafbd0fb, RUN, , , 
[18:45:13.067], MIX, 27, <--, MIX, 15, Header, 9261dcd9, RUN, , , 
[18:45:13.067], MIX, 27, , , , , , compute_shared_secret, CPU: 0.124190 ms, wall: 0.130075 ms, 
[18:45:13.067], MIX, 27, , , , , , verify_integrity, CPU: 0.171606 ms, wall: 0.171489 ms, 
[18:45:13.068], MIX, 27, , , , , , decrypt_beta, CPU: 0.774629 ms, wall: 0.783060 ms, 
[18:45:13.068], MIX, 27, , , , , , update_alpha, CPU: 0.063150 ms, wall: 0.063039 ms, 
[18:45:13.068], MIX, 27, , , , , , process_header, CPU: 1.395760 ms, wall: 1.409140 ms, 
[18:45:13.068], MIX, 27, -->, MIX, 48, Header, 8a3c15a1, RUN, , , 
[18:45:13.116], MIX, 27, <--, CLIENT, 99, Header, 8bbc3f33, RUN, , , 
[18:45:13.119], MIX, 27, , , , , , compute_shared_secret, CPU: 0.352869 ms, wall: 0.353865 ms, 
[18:45:13.119], MIX, 27, , , , , , verify_integrity, CPU: 0.438246 ms, wall: 0.453939 ms, 
[18:45:13.122], MIX, 27, , , , , , decrypt_beta, CPU: 2.563936 ms, wall: 2.585481 ms, 
[18:45:13.122], MIX, 27, , , , , , update_alpha, CPU: 0.221073 ms, wall: 0.220656 ms, 
[18:45:13.122], MIX, 27, , , , , , process_header, CPU: 4.279776 ms, wall: 4.322760 ms, 
[18:45:13.123], MIX, 27, -->, MIX, 36, Header, 90c77ed2, RUN, , , 
[18:45:13.149], MIX, 27, <--, MIX, 45, Header, 8e2cb669, RUN, , , 
[18:45:13.149], MIX, 27, , , , , , compute_shared_secret, CPU: 0.338794 ms, wall: 0.345303 ms, 
[18:45:13.158], MIX, 27, , , , , , verify_integrity, CPU: 0.468733 ms, wall: 8.443395 ms, 
[18:45:13.161], MIX, 27, , , , , , decrypt_beta, CPU: 2.589657 ms, wall: 2.607711 ms, 
[18:45:13.162], MIX, 27, , , , , , update_alpha, CPU: 0.234828 ms, wall: 0.444881 ms, 
[18:45:13.165], MIX, 27, , , , , , process_header, CPU: 4.580608 ms, wall: 16.068613 ms, 
