[18:45:10.280], MIX, 28, -->, STTP, 1, list, 0cfb69c5, SETUP, , , 
[18:45:10.281], MIX, 28, -->, STTP, 2, list, 9de5146b, SETUP, , , 
[18:45:10.282], MIX, 28, -->, STTP, 3, list, 6d698bf6, SETUP, , , 
[18:45:10.283], MIX, 28, -->, STTP, 4, list, d9af9e61, SETUP, , , 
[18:45:10.283], MIX, 28, -->, STTP, 5, list, 09a140fb, SETUP, , , 
[18:45:10.284], MIX, 28, -->, STTP, 6, list, 160167b6, SETUP, , , 
[18:45:10.285], MIX, 28, -->, STTP, 7, list, f6dc601a, SETUP, , , 
[18:45:10.286], MIX, 28, -->, STTP, 8, list, 47d28a0d, SETUP, , , 
[18:45:10.335], MIX, 28, -->, STTP, 9, list, a77671f9, SETUP, , , 
[18:45:10.336], MIX, 28, -->, STTP, 10, list, a3b5c2c1, SETUP, , , 
[18:45:10.341], MIX, 28, -->, STTP, 11, list, 98f4ba4f, SETUP, , , 
[18:45:10.342], MIX, 28, -->, STTP, 12, list, 5f6fea65, SETUP, , , 
[18:45:10.345], MIX, 28, -->, STTP, 13, list, b98e4e81, SETUP, , , 
[18:45:10.346], MIX, 28, -->, STTP, 14, list, 8d7cf690, SETUP, , , 
[18:45:10.347], MIX, 28, -->, STTP, 15, list, 7271bd85, SETUP, , , 
[18:45:10.350], MIX, 28, -->, STTP, 16, list, bbbef2d0, SETUP, , , 
[18:45:10.351], MIX, 28, -->, STTP, 17, list, 33ff115e, SETUP, , , 
[18:45:10.353], MIX, 28, -->, STTP, 18, list, 15e5aebe, SETUP, , , 
[18:45:10.354], MIX, 28, -->, STTP, 19, list, c66197f1, SETUP, , , 
[18:45:10.357], MIX, 28, -->, STTP, 20, list, 50863417, SETUP, , , 
[18:45:10.357], MIX, 28, , , , , , setup, CPU: 16.554190 ms, wall: 77.519383 ms, 
[18:45:12.403], MIX, 28, <--, MIX, 7, Header, 26bcbcbd, RUN, , , 
[18:45:12.403], MIX, 28, , , , , , compute_shared_secret, CPU: 0.183749 ms, wall: 0.183787 ms, 
[18:45:12.404], MIX, 28, , , , , , verify_integrity, CPU: 0.322136 ms, wall: 0.323394 ms, 
[18:45:12.405], MIX, 28, , , , , , decrypt_beta, CPU: 1.415126 ms, wall: 1.433442 ms, 
[18:45:12.406], MIX, 28, , , , , , update_alpha, CPU: 0.127588 ms, wall: 0.127120 ms, 
[18:45:12.406], MIX, 28, , , , , , process_header, CPU: 2.696921 ms, wall: 2.714197 ms, 
[18:45:12.406], MIX, 28, -->, CLIENT, 7, Header, 3ede55fd, RUN, , , 
[18:45:12.863], MIX, 28, <--, MIX, 9, Header, 7e604570, RUN, , , 
[18:45:12.864], MIX, 28, , , , , , compute_shared_secret, CPU: 0.125921 ms, wall: 0.125932 ms, 
[18:45:12.864], MIX, 28, , , , , , verify_integrity, CPU: 0.157716 ms, wall: 0.157727 ms, 
[18:45:12.865], MIX, 28, , , , , , decrypt_beta, CPU: 0.749054 ms, wall: 0.749217 ms, 
[18:45:12.865], MIX, 28, , , , , , update_alpha, CPU: 0.063034 ms, wall: 0.063001 ms, 
[18:45:12.865], MIX, 28, , , , , , process_header, CPU: 1.353882 ms, wall: 1.360883 ms, 
[18:45:12.865], MIX, 28, -->, CLIENT, 18, Header, b04b4786, RUN, , , 
[18:45:13.038], MIX, 28, <--, MIX, 33, Header, 43b7c687, RUN, , , 
[18:45:13.039], MIX, 28, , , , , , compute_shared_secret, CPU: 0.176725 ms, wall: 0.176845 ms, 
[18:45:13.039], MIX, 28, , , , , , verify_integrity, CPU: 0.228777 ms, wall: 0.236960 ms, 
[18:45:13.040], MIX, 28, , , , , , decrypt_beta, CPU: 0.760017 ms, wall: 0.760058 ms, 
[18:45:13.040], MIX, 28, , , , , , update_alpha, CPU: 0.062920 ms, wall: 0.062657 ms, 
[18:45:13.040], MIX, 28, , , , , , process_header, CPU: 1.533885 ms, wall: 1.546652 ms, 
[18:45:13.040], MIX, 28, -->, CLIENT, 21, Header, 13c09b9e, RUN, , , 
[18:45:13.121], MIX, 28, <--, CLIENT, 68, Header, 63903a80, RUN, , , 
[18:45:13.122], MIX, 28, , , , , , compute_shared_secret, CPU: 0.174356 ms, wall: 0.174415 ms, 
[18:45:13.122], MIX, 28, , , , , , verify_integrity, CPU: 0.220923 ms, wall: 0.220760 ms, 
[18:45:13.124], MIX, 28, , , , , , decrypt_beta, CPU: 1.206459 ms, wall: 1.212490 ms, 
[18:45:13.124], MIX, 28, , , , , , update_alpha, CPU: 0.099330 ms, wall: 0.099260 ms, 
[18:45:13.124], MIX, 28, , , , , , process_header, CPU: 2.109945 ms, wall: 2.181895 ms, 
[18:45:13.124], MIX, 28, -->, MIX, 40, Header, b02df7cf, RUN, , , 
[18:45:13.235], MIX, 28, <--, MIX, 49, Header, da87e068, RUN, , , 
[18:45:13.236], MIX, 28, , , , , , compute_shared_secret, CPU: 0.186867 ms, wall: 0.186911 ms, 
[18:45:13.236], MIX, 28, , , , , , verify_integrity, CPU: 0.319650 ms, wall: 0.335780 ms, 
[18:45:13.237], MIX, 28, , , , , , decrypt_beta, CPU: 1.102366 ms, wall: 1.109917 ms, 
[18:45:13.238], MIX, 28, , , , , , update_alpha, CPU: 0.080604 ms, wall: 0.080206 ms, 
[18:45:13.238], MIX, 28, , , , , , process_header, CPU: 2.102815 ms, wall: 2.125085 ms, 
[18:45:13.238], MIX, 28, -->, MIX, 37, Header, 6522858f, RUN, , , 
