[18:45:10.234], MIX, 29, -->, STTP, 1, list, f1d042a5, SETUP, , , 
[18:45:10.235], MIX, 29, -->, STTP, 2, list, e10363f7, SETUP, , , 
[18:45:10.236], MIX, 29, -->, STTP, 3, list, cc8db122, SETUP, , , 
[18:45:10.237], MIX, 29, -->, STTP, 4, list, bc4615f6, SETUP, , , 
[18:45:10.238], MIX, 29, -->, STTP, 5, list, dd8b5341, SETUP, , , 
[18:45:10.238], MIX, 29, -->, STTP, 6, list, ecff7084, SETUP, , , 
[18:45:10.239], MIX, 29, -->, STTP, 7, list, 26aaedf4, SETUP, , , 
[18:45:10.240], MIX, 29, -->, STTP, 8, list, a4b6085f, SETUP, , , 
[18:45:10.240], MIX, 29, -->, STTP, 9, list, f89eaeac, SETUP, , , 
[18:45:10.241], MIX, 29, -->, STTP, 10, list, a2c03dd2, SETUP, , , 
[18:45:10.242], MIX, 29, -->, STTP, 11, list, 49c6329f, SETUP, , , 
[18:45:10.244], MIX, 29, -->, STTP, 12, list, 8e1d9972, SETUP, , , 
[18:45:10.306], MIX, 29, -->, STTP, 13, list, 042a745c, SETUP, , , 
[18:45:10.307], MIX, 29, -->, STTP, 14, list, 4bc63ea4, SETUP, , , 
[18:45:10.309], MIX, 29, -->, STTP, 15, list, 20076134, SETUP, , , 
[18:45:10.314], MIX, 29, -->, STTP, 16, list, 1e969c4f, SETUP, , , 
[18:45:10.317], MIX, 29, -->, STTP, 17, list, e67a420e, SETUP, , , 
[18:45:10.319], MIX, 29, -->, STTP, 18, list, 02942702, SETUP, , , 
[18:45:10.320], MIX, 29, -->, STTP, 19, list, 38d2811c, SETUP, , , 
[18:45:10.379], MIX, 29, -->, STTP, 20, list, 327fac16, SETUP, , , 
[18:45:10.401], MIX, 29, , , , , , setup, CPU: 23.179466 ms, wall: 167.226848 ms, 
[18:45:12.991], MIX, 29, <--, CLIENT, 55, Header, 1d5443f4, RUN, , , 
[18:45:12.991], MIX, 29, , , , , , compute_shared_secret, CPU: 0.133289 ms, wall: 0.133315 ms, 
[18:45:12.991], MIX, 29, , , , , , verify_integrity, CPU: 0.165524 ms, wall: 0.165684 ms, 
[18:45:12.992], MIX, 29, , , , , , decrypt_beta, CPU: 0.780819 ms, wall: 0.786868 ms, 
[18:45:12.992], MIX, 29, , , , , , update_alpha, CPU: 0.062540 ms, wall: 0.062460 ms, 
[18:45:12.992], MIX, 29, , , , , , process_header, CPU: 1.410155 ms, wall: 1.414519 ms, 
[18:45:12.992], MIX, 29, -->, MIX, 46, Header, 0d8badbd, RUN, , , 
[18:45:13.039], MIX, 29, <--, MIX, 43, Header, e155a798, RUN, , , 
[18:45:13.039], MIX, 29, , , , , , compute_shared_secret, CPU: 0.175503 ms, wall: 0.176030 ms, 
[18:45:13.039], MIX, 29, , , , , , verify_integrity, CPU: 0.164990 ms, wall: 0.164836 ms, 
[18:45:13.040], MIX, 29, , , , , , decrypt_beta, CPU: 0.786362 ms, wall: 0.793194 ms, 
[18:45:13.040], MIX, 29, , , , , , update_alpha, CPU: 0.077183 ms, wall: 0.077182 ms, 
[18:45:13.041], MIX, 29, , , , , , process_header, CPU: 1.528390 ms, wall: 1.534072 ms, 
[18:45:13.041], MIX, 29, -->, MIX, 7, Header, 7af94b16, RUN, , , 
[18:45:13.245], MIX, 29, <--, MIX, 37, Header, af2b1cb5, RUN, , , 
[18:45:13.245], MIX, 29, , , , , , compute_shared_secret, CPU: 0.135896 ms, wall: 0.142803 ms, 
[18:45:13.245], MIX, 29, , , , , , verify_integrity, CPU: 0.147647 ms, wall: 0.147617 ms, 
[18:45:13.246], MIX, 29, , , , , , decrypt_beta, CPU: 0.786160 ms, wall: 0.791350 ms, 
[18:45:13.246], MIX, 29, , , , , , update_alpha, CPU: 0.093058 ms, wall: 0.092802 ms, 
[18:45:13.246], MIX, 29, , , , , , process_header, CPU: 1.465868 ms, wall: 1.494631 ms, 
[18:45:13.246], MIX, 29, -->, MIX, 1, Header, 9442b6e7, RUN, , , 
