[18:45:10.406], MIX, 3, -->, STTP, 1, list, dbed1251, SETUP, , , 
[18:45:10.406], MIX, 3, -->, STTP, 2, list, 6b5b0f55, SETUP, , , 
[18:45:10.407], MIX, 3, -->, STTP, 3, list, 5ff6ee06, SETUP, , , 
[18:45:10.415], MIX, 3, -->, STTP, 4, list, 08c7b8db, SETUP, , , 
[18:45:10.416], MIX, 3, -->, STTP, 5, list, 089503f6, SETUP, , , 
[18:45:10.420], MIX, 3, -->, STTP, 6, list, 702a3598, SETUP, , , 
[18:45:10.421], MIX, 3, -->, STTP, 7, list, a935a47c, SETUP, , , 
[18:45:10.422], MIX, 3, -->, STTP, 8, list, c29f1fe3, SETUP, , , 
[18:45:10.423], MIX, 3, -->, STTP, 9, list, 3e47e140, SETUP, , , 
[18:45:10.424], MIX, 3, -->, STTP, 10, list, c13cbc6f, SETUP, , , 
[18:45:10.425], MIX, 3, -->, STTP, 11, list, 4ef709e1, SETUP, , , 
[18:45:10.426], MIX, 3, -->, STTP, 12, list, 8a33f0ff, SETUP, , , 
[18:45:10.427], MIX, 3, -->, STTP, 13, list, d51286fd, SETUP, , , 
[18:45:10.427], MIX, 3, -->, STTP, 14, list, 7c7b898a, SETUP, , , 
[18:45:10.428], MIX, 3, -->, STTP, 15, list, 3cad07d5, SETUP, , , 
[18:45:10.429], MIX, 3, -->, STTP, 16, list, d5318a54, SETUP, , , 
[18:45:10.429], MIX, 3, -->, STTP, 17, list, d020cd4d, SETUP, , , 
[18:45:10.430], MIX, 3, -->, STTP, 18, list, a6ac257a, SETUP, , , 
[18:45:10.431], MIX, 3, -->, STTP, 19, list, f1d45e2c, SETUP, , , 
[18:45:10.432], MIX, 3, -->, STTP, 20, list, f253e6fe, SETUP, , , 
[18:45:10.432], MIX, 3, , , , , , setup, CPU: 15.909194 ms, wall: 27.268103 ms, 
[18:45:12.803], MIX, 3, <--, MIX, 8, Header, 7a0a0ffe, RUN, , , 
[18:45:12.803], MIX, 3, , , , , , compute_shared_secret, CPU: 0.132835 ms, wall: 0.137450 ms, 
[18:45:12.803], MIX, 3, , , , , , verify_integrity, CPU: 0.205904 ms, wall: 0.206053 ms, 
[18:45:12.804], MIX, 3, , , , , , decrypt_beta, CPU: 0.783130 ms, wall: 0.789183 ms, 
[18:45:12.804], MIX, 3, , , , , , update_alpha, CPU: 0.062308 ms, wall: 0.062369 ms, 
[18:45:12.804], MIX, 3, , , , , , process_header, CPU: 1.457046 ms, wall: 1.466441 ms, 
[18:45:12.804], MIX, 3, -->, MIX, 38, Header, 73f0ea5d, RUN, , , 
[18:45:12.856], MIX, 3, <--, MIX, 16, Header, 5f3a5d2a, RUN, , , 
[18:45:12.857], MIX, 3, , , , , , compute_shared_secret, CPU: 0.136757 ms, wall: 0.136808 ms, 
[18:45:12.857], MIX, 3, , , , , , verify_integrity, CPU: 0.159130 ms, wall: 0.159057 ms, 
[18:45:12.858], MIX, 3, , , , , , decrypt_beta, CPU: 0.758411 ms, wall: 0.764495 ms, 
[18:45:12.858], MIX, 3, , , , , , update_alpha, CPU: 0.063822 ms, wall: 0.063667 ms, 
[18:45:12.858], MIX, 3, , , , , , process_header, CPU: 1.365779 ms, wall: 1.370830 ms, 
[18:45:12.858], MIX, 3, -->, MIX, 9, Header, 89dad6a4, RUN, , , 
[18:45:12.880], MIX, 3, <--, MIX, 23, Header, 44c2a774, RUN, , , 
[18:45:12.881], MIX, 3, , , , , , compute_shared_secret, CPU: 0.123764 ms, wall: 0.123909 ms, 
[18:45:12.881], MIX, 3, , , , , , verify_integrity, CPU: 0.172832 ms, wall: 0.172723 ms, 
[18:45:12.882], MIX, 3, , , , , , decrypt_beta, CPU: 0.750320 ms, wall: 0.755504 ms, 
[18:45:12.882], MIX, 3, , , , , , update_alpha, CPU: 0.061536 ms, wall: 0.061461 ms, 
[18:45:12.882], MIX, 3, , , , , , process_header, CPU: 1.343408 ms, wall: 1.347430 ms, 
[18:45:12.882], MIX, 3, -->, CLIENT, 67, Header, 955aa0d8, RUN, , , 
[18:45:13.150], MIX, 3, <--, MIX, 16, Header, 0f2d1efb, RUN, , , 
[18:45:13.151], MIX, 3, , , , , , compute_shared_secret, CPU: 0.181268 ms, wall: 0.181589 ms, 
[18:45:13.151], MIX, 3, , , , , , verify_integrity, CPU: 0.315843 ms, wall: 0.315730 ms, 
[18:45:13.152], MIX, 3, , , , , , decrypt_beta, CPU: 1.245648 ms, wall: 1.251899 ms, 
[18:45:13.152], MIX, 3, , , , , , update_alpha, CPU: 0.089651 ms, wall: 0.089605 ms, 
[18:45:13.153], MIX, 3, , , , , , process_header, CPU: 2.239868 ms, wall: 2.254480 ms, 
[18:45:13.153], MIX, 3, -->, MIX, 47, Header, 683d426c, RUN, , , 
[18:45:13.253], MIX, 3, <--, CLIENT, 79, Header, 8f86824f, RUN, , , 
[18:45:13.253], MIX, 3, , , , , , compute_shared_secret, CPU: 0.175435 ms, wall: 0.185494 ms, 
[18:45:13.253], MIX, 3, , , , , , verify_integrity, CPU: 0.303398 ms, wall: 0.303415 ms, 
[18:45:13.255], MIX, 3, , , , , , decrypt_beta, CPU: 1.117920 ms, wall: 1.124674 ms, 
[18:45:13.255], MIX, 3, , , , , , update_alpha, CPU: 0.069537 ms, wall: 0.069027 ms, 
[18:45:13.255], MIX, 3, , , , , , process_header, CPU: 2.081368 ms, wall: 2.103526 ms, 
[18:45:13.255], MIX, 3, -->, MIX, 5, Header, 4607b3b7, RUN, , , 
[18:45:13.276], MIX, 3, <--, MIX, 23, Header, e3f50fc5, RUN, , , 
[18:45:13.276], MIX, 3, , , , , , compute_shared_secret, CPU: 0.122891 ms, wall: 0.123109 ms, 
[18:45:13.276], MIX, 3, , , , , , verify_integrity, CPU: 0.179210 ms, wall: 0.179120 ms, 
[18:45:13.277], MIX, 3, , , , , , decrypt_beta, CPU: 0.829694 ms, wall: 0.836109 ms, 
[18:45:13.277], MIX, 3, , , , , , update_alpha, CPU: 0.069488 ms, wall: 0.069482 ms, 
[18:45:13.277], MIX, 3, , , , , , process_header, CPU: 1.472526 ms, wall: 1.486869 ms, 
[18:45:13.277], MIX, 3, -->, MIX, 26, Header, b9d300b7, RUN, , , 
