[18:45:10.251], MIX, 30, -->, STTP, 1, list, bb87af95, SETUP, , , 
[18:45:10.253], MIX, 30, -->, STTP, 2, list, 3be41dfe, SETUP, , , 
[18:45:10.253], MIX, 30, -->, STTP, 3, list, 85862973, SETUP, , , 
[18:45:10.254], MIX, 30, -->, STTP, 4, list, e53520fd, SETUP, , , 
[18:45:10.255], MIX, 30, -->, STTP, 5, list, b11476b7, SETUP, , , 
[18:45:10.256], MIX, 30, -->, STTP, 6, list, 2b755646, SETUP, , , 
[18:45:10.257], MIX, 30, -->, STTP, 7, list, c2ce092b, SETUP, , , 
[18:45:10.257], MIX, 30, -->, STTP, 8, list, 98991200, SETUP, , , 
[18:45:10.258], MIX, 30, -->, STTP, 9, list, 19ba4203, SETUP, , , 
[18:45:10.259], MIX, 30, -->, STTP, 10, list, 244ddd14, SETUP, , , 
[18:45:10.260], MIX, 30, -->, STTP, 11, list, 4be3acff, SETUP, , , 
[18:45:10.260], MIX, 30, -->, STTP, 12, list, b0b8f62c, SETUP, , , 
[18:45:10.310], MIX, 30, -->, STTP, 13, list, 64f403cd, SETUP, , , 
[18:45:10.311], MIX, 30, -->, STTP, 14, list, 07f2ebdb, SETUP, , , 
[18:45:10.363], MIX, 30, -->, STTP, 15, list, c1ddc45c, SETUP, , , 
[18:45:10.373], MIX, 30, -->, STTP, 16, list, 46c518b7, SETUP, , , 
[18:45:10.380], MIX, 30, -->, STTP, 17, list, 8e88678d, SETUP, , , 
[18:45:10.404], MIX, 30, -->, STTP, 18, list, 27468ef6, SETUP, , , 
[18:45:10.405], MIX, 30, -->, STTP, 19, list, 34a8325e, SETUP, , , 
[18:45:10.405], MIX, 30, -->, STTP, 20, list, f9636032, SETUP, , , 
[18:45:10.406], MIX, 30, , , , , , setup, CPU: 18.502968 ms, wall: 154.910284 ms, 
[18:45:12.705], MIX, 30, <--, MIX, 8, Header, bf765bf2, RUN, , , 
[18:45:12.705], MIX, 30, , , , , , compute_shared_secret, CPU: 0.132351 ms, wall: 0.132357 ms, 
[18:45:12.705], MIX, 30, , , , , , verify_integrity, CPU: 0.190399 ms, wall: 0.190360 ms, 
[18:45:12.706], MIX, 30, , , , , , decrypt_beta, CPU: 0.793955 ms, wall: 0.801037 ms, 
[18:45:12.706], MIX, 30, , , , , , update_alpha, CPU: 0.072911 ms, wall: 0.072893 ms, 
[18:45:12.706], MIX, 30, , , , , , process_header, CPU: 1.454956 ms, wall: 1.466594 ms, 
[18:45:12.706], MIX, 30, -->, MIX, 31, Header, c6848d34, RUN, , , 
[18:45:13.170], MIX, 30, <--, MIX, 49, Header, 83ce2c92, RUN, , , 
[18:45:13.171], MIX, 30, , , , , , compute_shared_secret, CPU: 0.177969 ms, wall: 0.178341 ms, 
[18:45:13.171], MIX, 30, , , , , , verify_integrity, CPU: 0.292409 ms, wall: 0.299009 ms, 
[18:45:13.172], MIX, 30, , , , , , decrypt_beta, CPU: 1.045618 ms, wall: 1.053540 ms, 
[18:45:13.172], MIX, 30, , , , , , update_alpha, CPU: 0.083565 ms, wall: 0.083524 ms, 
[18:45:13.173], MIX, 30, , , , , , process_header, CPU: 2.122292 ms, wall: 2.130912 ms, 
[18:45:13.173], MIX, 30, -->, MIX, 10, Header, 728a91d7, RUN, , , 
[18:45:13.192], MIX, 30, <--, MIX, 32, Header, 29958186, RUN, , , 
[18:45:13.193], MIX, 30, , , , , , compute_shared_secret, CPU: 0.178791 ms, wall: 0.179329 ms, 
[18:45:13.193], MIX, 30, , , , , , verify_integrity, CPU: 0.304813 ms, wall: 0.304651 ms, 
[18:45:13.195], MIX, 30, , , , , , decrypt_beta, CPU: 1.238138 ms, wall: 1.242812 ms, 
[18:45:13.195], MIX, 30, , , , , , update_alpha, CPU: 0.101653 ms, wall: 0.101481 ms, 
[18:45:13.195], MIX, 30, , , , , , process_header, CPU: 2.223069 ms, wall: 2.233948 ms, 
[18:45:13.195], MIX, 30, -->, MIX, 13, Header, 14dd542e, RUN, , , 
[18:45:13.243], MIX, 30, <--, CLIENT, 82, Header, 5f051739, RUN, , , 
