[18:45:10.386], MIX, 31, -->, STTP, 1, list, c3cdf05f, SETUP, , , 
[18:45:10.387], MIX, 31, -->, STTP, 2, list, ded34159, SETUP, , , 
[18:45:10.388], MIX, 31, -->, STTP, 3, list, 1381ea6f, SETUP, , , 
[18:45:10.389], MIX, 31, -->, STTP, 4, list, 61961f3f, SETUP, , , 
[18:45:10.390], MIX, 31, -->, STTP, 5, list, b8022ad1, SETUP, , , 
[18:45:10.390], MIX, 31, -->, STTP, 6, list, bac8c6a2, SETUP, , , 
[18:45:10.392], MIX, 31, -->, STTP, 7, list, 5627abce, SETUP, , , 
[18:45:10.394], MIX, 31, -->, STTP, 8, list, 1f812b49, SETUP, , , 
[18:45:10.397], MIX, 31, -->, STTP, 9, list, d308e0c6, SETUP, , , 
[18:45:10.398], MIX, 31, -->, STTP, 10, list, 89cb6efd, SETUP, , , 
[18:45:10.399], MIX, 31, -->, STTP, 11, list, 13eeba09, SETUP, , , 
[18:45:10.411], MIX, 31, -->, STTP, 12, list, c7fe01a4, SETUP, , , 
[18:45:10.416], MIX, 31, -->, STTP, 13, list, 22b45de3, SETUP, , , 
[18:45:10.418], MIX, 31, -->, STTP, 14, list, 1d0d6822, SETUP, , , 
[18:45:10.420], MIX, 31, -->, STTP, 15, list, c3ab8a8f, SETUP, , , 
[18:45:10.421], MIX, 31, -->, STTP, 16, list, c52c42be, SETUP, , , 
[18:45:10.423], MIX, 31, -->, STTP, 17, list, 2ed3e2e8, SETUP, , , 
[18:45:10.424], MIX, 31, -->, STTP, 18, list, f1843c3c, SETUP, , , 
[18:45:10.426], MIX, 31, -->, STTP, 19, list, eed319d8, SETUP, , , 
[18:45:10.427], MIX, 31, -->, STTP, 20, list, b4b59362, SETUP, , , 
[18:45:10.428], MIX, 31, , , , , , setup, CPU: 24.045339 ms, wall: 42.583689 ms, 
[18:45:12.711], MIX, 31, <--, MIX, 30, Header, 79de38f8, RUN, , , 
[18:45:12.712], MIX, 31, , , , , , compute_shared_secret, CPU: 0.352983 ms, wall: 0.353531 ms, 
[18:45:12.712], MIX, 31, , , , , , verify_integrity, CPU: 0.374024 ms, wall: 0.415879 ms, 
[18:45:12.713], MIX, 31, , , , , , decrypt_beta, CPU: 0.818746 ms, wall: 0.827561 ms, 
[18:45:12.713], MIX, 31, , , , , , update_alpha, CPU: 0.063825 ms, wall: 0.063752 ms, 
[18:45:12.713], MIX, 31, , , , , , process_header, CPU: 2.055765 ms, wall: 2.103346 ms, 
[18:45:12.713], MIX, 31, -->, CLIENT, 56, Header, d376dcc7, RUN, , , 
[18:45:13.138], MIX, 31, <--, CLIENT, 48, Header, e509db71, RUN, , , 
[18:45:13.138], MIX, 31, , , , , , compute_shared_secret, CPU: 0.343559 ms, wall: 0.354517 ms, 
[18:45:13.139], MIX, 31, , , , , , verify_integrity, CPU: 0.387728 ms, wall: 0.387842 ms, 
[18:45:13.142], MIX, 31, , , , , , decrypt_beta, CPU: 2.516463 ms, wall: 2.534942 ms, 
[18:45:13.142], MIX, 31, , , , , , update_alpha, CPU: 0.222415 ms, wall: 0.221704 ms, 
[18:45:13.142], MIX, 31, , , , , , process_header, CPU: 4.198558 ms, wall: 4.245003 ms, 
[18:45:13.142], MIX, 31, -->, MIX, 8, Header, ab5d3fea, RUN, , , 
[18:45:13.167], MIX, 31, <--, CLIENT, 46, Header, 6955f522, RUN, , , 
[18:45:13.167], MIX, 31, , , , , , compute_shared_secret, CPU: 0.179215 ms, wall: 0.179177 ms, 
[18:45:13.168], MIX, 31, , , , , , verify_integrity, CPU: 0.219104 ms, wall: 0.219095 ms, 
[18:45:13.169], MIX, 31, , , , , , decrypt_beta, CPU: 1.203299 ms, wall: 1.215971 ms, 
[18:45:13.171], MIX, 31, , , , , , update_alpha, CPU: 0.131948 ms, wall: 0.139078 ms, 
[18:45:13.171], MIX, 31, , , , , , process_header, CPU: 2.192924 ms, wall: 3.873771 ms, 
[18:45:13.171], MIX, 31, -->, MIX, 33, Header, 91a11b39, RUN, , , 
[18:45:13.187], MIX, 31, <--, MIX, 25, Header, 467ca6e2, RUN, , , 
[18:45:13.189], MIX, 31, , , , , , compute_shared_secret, CPU: 0.204650 ms, wall: 0.204704 ms, 
[18:45:13.189], MIX, 31, , , , , , verify_integrity, CPU: 0.243785 ms, wall: 0.243550 ms, 
[18:45:13.191], MIX, 31, , , , , , decrypt_beta, CPU: 1.252855 ms, wall: 1.259128 ms, 
[18:45:13.191], MIX, 31, , , , , , update_alpha, CPU: 0.102892 ms, wall: 0.102828 ms, 
[18:45:13.191], MIX, 31, , , , , , process_header, CPU: 2.232172 ms, wall: 2.250630 ms, 
[18:45:13.191], MIX, 31, -->, MIX, 35, Header, 493404cb, RUN, , , 
