[18:45:10.263], MIX, 32, -->, STTP, 1, list, 613d5ef6, SETUP, , , 
[18:45:10.267], MIX, 32, -->, STTP, 2, list, e48cbeb3, SETUP, , , 
[18:45:10.319], MIX, 32, -->, STTP, 3, list, e30fcafe, SETUP, , , 
[18:45:10.384], MIX, 32, -->, STTP, 4, list, ac9efa03, SETUP, , , 
[18:45:10.388], MIX, 32, -->, STTP, 5, list, 957d5f1b, SETUP, , , 
[18:45:10.392], MIX, 32, -->, STTP, 6, list, 45b2da5f, SETUP, , , 
[18:45:10.398], MIX, 32, -->, STTP, 7, list, 4dcbb3f6, SETUP, , , 
[18:45:10.402], MIX, 32, -->, STTP, 8, list, e78c57a2, SETUP, , , 
[18:45:10.404], MIX, 32, -->, STTP, 9, list, 7d50b2ed, SETUP, , , 
[18:45:10.406], MIX, 32, -->, STTP, 10, list, 87458fab, SETUP, , , 
[18:45:10.407], MIX, 32, -->, STTP, 11, list, d701e46c, SETUP, , , 
[18:45:10.412], MIX, 32, -->, STTP, 12, list, 54265457, SETUP, , , 
[18:45:10.413], MIX, 32, -->, STTP, 13, list, 96968f79, SETUP, , , 
[18:45:10.413], MIX, 32, -->, STTP, 14, list, 712840bd, SETUP, , , 
[18:45:10.414], MIX, 32, -->, STTP, 15, list, ac99c029, SETUP, , , 
[18:45:10.415], MIX, 32, -->, STTP, 16, list, a35ea46f, SETUP, , , 
[18:45:10.416], MIX, 32, -->, STTP, 17, list, f70bd887, SETUP, , , 
[18:45:10.416], MIX, 32, -->, STTP, 18, list, 024f41a7, SETUP, , , 
[18:45:10.418], MIX, 32, -->, STTP, 19, list, 0fd99929, SETUP, , , 
[18:45:10.418], MIX, 32, -->, STTP, 20, list, 6db95411, SETUP, , , 
[18:45:10.419], MIX, 32, , , , , , setup, CPU: 25.012741 ms, wall: 159.330735 ms, 
[18:45:12.568], MIX, 32, <--, CLIENT, 20, Header, 4d5ac355, RUN, , , 
[18:45:12.568], MIX, 32, , , , , , compute_shared_secret, CPU: 0.126520 ms, wall: 0.133794 ms, 
[18:45:12.568], MIX, 32, , , , , , verify_integrity, CPU: 0.168387 ms, wall: 0.168705 ms, 
[18:45:12.569], MIX, 32, , , , , , decrypt_beta, CPU: 0.778166 ms, wall: 0.783966 ms, 
[18:45:12.569], MIX, 32, , , , , , update_alpha, CPU: 0.062472 ms, wall: 0.062341 ms, 
[18:45:12.569], MIX, 32, , , , , , process_header, CPU: 1.388269 ms, wall: 1.399614 ms, 
[18:45:12.569], MIX, 32, -->, MIX, 23, Header, a9473e0e, RUN, , , 
[18:45:12.582], MIX, 32, <--, MIX, 44, Header, dbe622f1, RUN, , , 
[18:45:12.582], MIX, 32, , , , , , compute_shared_secret, CPU: 0.128838 ms, wall: 0.134901 ms, 
[18:45:12.582], MIX, 32, , , , , , verify_integrity, CPU: 0.180545 ms, wall: 0.180477 ms, 
[18:45:12.583], MIX, 32, , , , , , decrypt_beta, CPU: 0.740187 ms, wall: 0.747253 ms, 
[18:45:12.583], MIX, 32, , , , , , update_alpha, CPU: 0.062076 ms, wall: 0.061952 ms, 
[18:45:12.584], MIX, 32, , , , , , process_header, CPU: 1.802685 ms, wall: 1.814672 ms, 
[18:45:12.584], MIX, 32, -->, CLIENT, 85, Header, 5d0c5130, RUN, , , 
[18:45:12.874], MIX, 32, <--, MIX, 33, Header, 61997130, RUN, , , 
[18:45:12.874], MIX, 32, , , , , , compute_shared_secret, CPU: 0.139144 ms, wall: 0.139184 ms, 
[18:45:12.875], MIX, 32, , , , , , verify_integrity, CPU: 0.182040 ms, wall: 0.182220 ms, 
[18:45:12.875], MIX, 32, , , , , , decrypt_beta, CPU: 0.738987 ms, wall: 0.747034 ms, 
[18:45:12.875], MIX, 32, , , , , , update_alpha, CPU: 0.061157 ms, wall: 0.060960 ms, 
[18:45:12.876], MIX, 32, , , , , , process_header, CPU: 1.403164 ms, wall: 1.409792 ms, 
[18:45:12.876], MIX, 32, -->, CLIENT, 27, Header, c66cb2d7, RUN, , , 
[18:45:13.157], MIX, 32, <--, MIX, 5, Header, d42d3d53, RUN, , , 
[18:45:13.158], MIX, 32, , , , , , compute_shared_secret, CPU: 0.175471 ms, wall: 0.176103 ms, 
[18:45:13.158], MIX, 32, , , , , , verify_integrity, CPU: 0.224555 ms, wall: 0.233533 ms, 
[18:45:13.159], MIX, 32, , , , , , decrypt_beta, CPU: 1.140420 ms, wall: 1.148386 ms, 
[18:45:13.160], MIX, 32, , , , , , update_alpha, CPU: 0.109212 ms, wall: 0.205549 ms, 
[18:45:13.160], MIX, 32, , , , , , process_header, CPU: 2.202772 ms, wall: 2.566208 ms, 
[18:45:13.160], MIX, 32, -->, MIX, 23, Header, cca2f0fe, RUN, , , 
[18:45:13.171], MIX, 32, <--, MIX, 23, Header, 4bd21b19, RUN, , , 
