[18:45:10.247], MIX, 33, -->, STTP, 1, list, 0e7c0b7a, SETUP, , , 
[18:45:10.249], MIX, 33, -->, STTP, 2, list, 91f9c5aa, SETUP, , , 
[18:45:10.249], MIX, 33, -->, STTP, 3, list, aeefb59a, SETUP, , , 
[18:45:10.250], MIX, 33, -->, STTP, 4, list, 4210bf69, SETUP, , , 
[18:45:10.251], MIX, 33, -->, STTP, 5, list, 6e3479ed, SETUP, , , 
[18:45:10.253], MIX, 33, -->, STTP, 6, list, 2f57a619, SETUP, , , 
[18:45:10.254], MIX, 33, -->, STTP, 7, list, 86844c4d, SETUP, , , 
[18:45:10.256], MIX, 33, -->, STTP, 8, list, 18d5b005, SETUP, , , 
[18:45:10.257], MIX, 33, -->, STTP, 9, list, 367e6d96, SETUP, , , 
[18:45:10.258], MIX, 33, -->, STTP, 10, list, 900a7e59, SETUP, , , 
[18:45:10.259], MIX, 33, -->, STTP, 11, list, 2beadad5, SETUP, , , 
[18:45:10.261], MIX, 33, -->, STTP, 12, list, 57f4a4be, SETUP, , , 
[18:45:10.262], MIX, 33, -->, STTP, 13, list, 7632d778, SETUP, , , 
[18:45:10.263], MIX, 33, -->, STTP, 14, list, d53125c7, SETUP, , , 
[18:45:10.264], MIX, 33, -->, STTP, 15, list, 96078d72, SETUP, , , 
[18:45:10.264], MIX, 33, -->, STTP, 16, list, 11a346e9, SETUP, , , 
[18:45:10.315], MIX, 33, -->, STTP, 17, list, b6b9d818, SETUP, , , 
[18:45:10.316], MIX, 33, -->, STTP, 18, list, 20efddcb, SETUP, , , 
[18:45:10.319], MIX, 33, -->, STTP, 19, list, cd458683, SETUP, , , 
[18:45:10.319], MIX, 33, -->, STTP, 20, list, 7b263b02, SETUP, , , 
[18:45:10.321], MIX, 33, , , , , , setup, CPU: 16.852496 ms, wall: 73.863235 ms, 
[18:45:12.697], MIX, 33, <--, MIX, 38, Header, d2a93b60, RUN, , , 
[18:45:12.697], MIX, 33, , , , , , compute_shared_secret, CPU: 0.133217 ms, wall: 0.133278 ms, 
[18:45:12.698], MIX, 33, , , , , , verify_integrity, CPU: 0.164898 ms, wall: 0.164999 ms, 
[18:45:12.698], MIX, 33, , , , , , decrypt_beta, CPU: 0.803225 ms, wall: 0.811764 ms, 
[18:45:12.699], MIX, 33, , , , , , update_alpha, CPU: 0.064231 ms, wall: 0.064165 ms, 
[18:45:12.699], MIX, 33, , , , , , process_header, CPU: 1.423850 ms, wall: 1.430781 ms, 
[18:45:12.699], MIX, 33, -->, MIX, 8, Header, c7d4b8fe, RUN, , , 
[18:45:12.825], MIX, 33, <--, MIX, 25, Header, 73d15d5b, RUN, , , 
[18:45:12.825], MIX, 33, , , , , , compute_shared_secret, CPU: 0.126057 ms, wall: 0.126050 ms, 
[18:45:12.826], MIX, 33, , , , , , verify_integrity, CPU: 0.199941 ms, wall: 0.200138 ms, 
[18:45:12.827], MIX, 33, , , , , , decrypt_beta, CPU: 0.797283 ms, wall: 0.805780 ms, 
[18:45:12.827], MIX, 33, , , , , , update_alpha, CPU: 0.064505 ms, wall: 0.064389 ms, 
[18:45:12.827], MIX, 33, , , , , , process_header, CPU: 1.440228 ms, wall: 1.447616 ms, 
[18:45:12.827], MIX, 33, -->, MIX, 19, Header, 16879c2c, RUN, , , 
[18:45:12.870], MIX, 33, <--, MIX, 5, Header, 99c1a36a, RUN, , , 
[18:45:12.871], MIX, 33, , , , , , compute_shared_secret, CPU: 0.123036 ms, wall: 0.122976 ms, 
[18:45:12.871], MIX, 33, , , , , , verify_integrity, CPU: 0.212898 ms, wall: 0.219006 ms, 
[18:45:12.872], MIX, 33, , , , , , decrypt_beta, CPU: 0.760031 ms, wall: 0.759990 ms, 
[18:45:12.872], MIX, 33, , , , , , update_alpha, CPU: 0.067190 ms, wall: 0.071754 ms, 
[18:45:12.872], MIX, 33, , , , , , process_header, CPU: 1.410323 ms, wall: 1.419574 ms, 
[18:45:12.872], MIX, 33, -->, MIX, 32, Header, 0fac2e32, RUN, , , 
[18:45:13.034], MIX, 33, <--, MIX, 6, Header, 2fb3517d, RUN, , , 
[18:45:13.034], MIX, 33, , , , , , compute_shared_secret, CPU: 0.124033 ms, wall: 0.124083 ms, 
[18:45:13.035], MIX, 33, , , , , , verify_integrity, CPU: 0.149102 ms, wall: 0.149175 ms, 
[18:45:13.036], MIX, 33, , , , , , decrypt_beta, CPU: 0.786598 ms, wall: 0.796250 ms, 
[18:45:13.036], MIX, 33, , , , , , update_alpha, CPU: 0.063256 ms, wall: 0.063229 ms, 
[18:45:13.036], MIX, 33, , , , , , process_header, CPU: 1.368146 ms, wall: 1.376947 ms, 
[18:45:13.036], MIX, 33, -->, MIX, 28, Header, 08aca320, RUN, , , 
[18:45:13.128], MIX, 33, <--, MIX, 14, Header, e1d3779a, RUN, , , 
[18:45:13.128], MIX, 33, , , , , , compute_shared_secret, CPU: 0.185201 ms, wall: 0.192717 ms, 
[18:45:13.128], MIX, 33, , , , , , verify_integrity, CPU: 0.228758 ms, wall: 0.229235 ms, 
[18:45:13.130], MIX, 33, , , , , , decrypt_beta, CPU: 1.215933 ms, wall: 1.224350 ms, 
[18:45:13.130], MIX, 33, , , , , , update_alpha, CPU: 0.108995 ms, wall: 0.108655 ms, 
[18:45:13.130], MIX, 33, , , , , , process_header, CPU: 2.238051 ms, wall: 2.259858 ms, 
[18:45:13.130], MIX, 33, -->, MIX, 1, Header, 31d8f69e, RUN, , , 
[18:45:13.146], MIX, 33, <--, MIX, 38, Header, 756f2069, RUN, , , 
[18:45:13.146], MIX, 33, , , , , , compute_shared_secret, CPU: 0.175491 ms, wall: 0.175687 ms, 
[18:45:13.147], MIX, 33, , , , , , verify_integrity, CPU: 0.218691 ms, wall: 0.218660 ms, 
[18:45:13.148], MIX, 33, , , , , , decrypt_beta, CPU: 1.282265 ms, wall: 1.745178 ms, 
[18:45:13.149], MIX, 33, , , , , , update_alpha, CPU: 0.129448 ms, wall: 0.191246 ms, 
[18:45:13.149], MIX, 33, , , , , , process_header, CPU: 2.304596 ms, wall: 2.875080 ms, 
[18:45:13.149], MIX, 33, -->, CLIENT, 47, Header, bef7be87, RUN, , , 
[18:45:13.172], MIX, 33, <--, MIX, 44, Header, 3aab6859, RUN, , , 
[18:45:13.172], MIX, 33, , , , , , compute_shared_secret, CPU: 0.331085 ms, wall: 0.331752 ms, 
[18:45:13.173], MIX, 33, , , , , , verify_integrity, CPU: 0.409560 ms, wall: 0.419428 ms, 
[18:45:13.176], MIX, 33, , , , , , decrypt_beta, CPU: 2.528044 ms, wall: 2.586478 ms, 
[18:45:13.176], MIX, 33, , , , , , update_alpha, CPU: 0.222334 ms, wall: 0.232084 ms, 
[18:45:13.176], MIX, 33, , , , , , process_header, CPU: 4.139128 ms, wall: 4.216581 ms, 
[18:45:13.176], MIX, 33, -->, CLIENT, 99, Header, 49289160, RUN, , , 
[18:45:13.181], MIX, 33, <--, MIX, 31, Header, e5825d6a, RUN, , , 
[18:45:13.182], MIX, 33, , , , , , compute_shared_secret, CPU: 0.329364 ms, wall: 0.330490 ms, 
[18:45:13.182], MIX, 33, , , , , , verify_integrity, CPU: 0.363436 ms, wall: 0.363467 ms, 
[18:45:13.185], MIX, 33, , , , , , decrypt_beta, CPU: 2.538128 ms, wall: 2.578319 ms, 
[18:45:13.185], MIX, 33, , , , , , update_alpha, CPU: 0.216203 ms, wall: 0.215804 ms, 
[18:45:13.186], MIX, 33, , , , , , process_header, CPU: 4.091299 ms, wall: 4.252209 ms, 
[18:45:13.186], MIX, 33, -->, MIX, 40, Header, 4a766b4c, RUN, , , 
[18:45:13.229], MIX, 33, <--, CLIENT, 95, Header, 1efd7ddb, RUN, , , 
[18:45:13.232], MIX, 33, , , , , , compute_shared_secret, CPU: 0.339094 ms, wall: 0.340037 ms, 
[18:45:13.232], MIX, 33, , , , , , verify_integrity, CPU: 0.382367 ms, wall: 0.392639 ms, 
[18:45:13.240], MIX, 33, , , , , , decrypt_beta, CPU: 2.554224 ms, wall: 7.597758 ms, 
[18:45:13.240], MIX, 33, , , , , , update_alpha, CPU: 0.226996 ms, wall: 0.226291 ms, 
[18:45:13.241], MIX, 33, , , , , , process_header, CPU: 4.226353 ms, wall: 9.272688 ms, 
[18:45:13.241], MIX, 33, -->, MIX, 13, Header, 7eb1a35b, RUN, , , 
[18:45:13.262], MIX, 33, <--, MIX, 30, Header, c33b42ef, RUN, , , 
[18:45:13.263], MIX, 33, , , , , , compute_shared_secret, CPU: 0.343081 ms, wall: 0.344293 ms, 
[18:45:13.263], MIX, 33, , , , , , verify_integrity, CPU: 0.470534 ms, wall: 0.483619 ms, 
[18:45:13.267], MIX, 33, , , , , , decrypt_beta, CPU: 2.583260 ms, wall: 3.633865 ms, 
[18:45:13.268], MIX, 33, , , , , , update_alpha, CPU: 0.219518 ms, wall: 0.218840 ms, 
[18:45:13.268], MIX, 33, , , , , , process_header, CPU: 4.347733 ms, wall: 5.409348 ms, 
[18:45:13.268], MIX, 33, -->, MIX, 18, Header, 69e6ab54, RUN, , , 
[18:45:13.272], MIX, 33, <--, MIX, 24, Header, c8570de5, RUN, , , 
[18:45:13.272], MIX, 33, , , , , , compute_shared_secret, CPU: 0.163498 ms, wall: 0.164004 ms, 
[18:45:13.273], MIX, 33, , , , , , verify_integrity, CPU: 0.242443 ms, wall: 0.242202 ms, 
[18:45:13.274], MIX, 33, , , , , , decrypt_beta, CPU: 0.868040 ms, wall: 0.875342 ms, 
[18:45:13.274], MIX, 33, , , , , , update_alpha, CPU: 0.065795 ms, wall: 0.065539 ms, 
[18:45:13.274], MIX, 33, , , , , , process_header, CPU: 1.727731 ms, wall: 1.733684 ms, 
[18:45:13.274], MIX, 33, -->, CLIENT, 49, Header, d89496a3, RUN, , , 
