[18:45:10.270], MIX, 34, -->, STTP, 1, list, ad296f72, SETUP, , , 
[18:45:10.324], MIX, 34, -->, STTP, 2, list, aaa13831, SETUP, , , 
[18:45:10.325], MIX, 34, -->, STTP, 3, list, 0a00a089, SETUP, , , 
[18:45:10.326], MIX, 34, -->, STTP, 4, list, ba7a59db, SETUP, , , 
[18:45:10.326], MIX, 34, -->, STTP, 5, list, dac33185, SETUP, , , 
[18:45:10.327], MIX, 34, -->, STTP, 6, list, 8612fdb5, SETUP, , , 
[18:45:10.328], MIX, 34, -->, STTP, 7, list, 614bd6cc, SETUP, , , 
[18:45:10.329], MIX, 34, -->, STTP, 8, list, e1c8806f, SETUP, , , 
[18:45:10.330], MIX, 34, -->, STTP, 9, list, f492c24f, SETUP, , , 
[18:45:10.330], MIX, 34, -->, STTP, 10, list, 2a0d2971, SETUP, , , 
[18:45:10.331], MIX, 34, -->, STTP, 11, list, 2a0da8ff, SETUP, , , 
[18:45:10.332], MIX, 34, -->, STTP, 12, list, d67deae3, SETUP, , , 
[18:45:10.333], MIX, 34, -->, STTP, 13, list, 480c44ea, SETUP, , , 
[18:45:10.334], MIX, 34, -->, STTP, 14, list, 7d9c5398, SETUP, , , 
[18:45:10.334], MIX, 34, -->, STTP, 15, list, 026e9e18, SETUP, , , 
[18:45:10.335], MIX, 34, -->, STTP, 16, list, f8fa36bd, SETUP, , , 
[18:45:10.336], MIX, 34, -->, STTP, 17, list, f0827f54, SETUP, , , 
[18:45:10.337], MIX, 34, -->, STTP, 18, list, 74a2e85f, SETUP, , , 
[18:45:10.337], MIX, 34, -->, STTP, 19, list, c85bb76b, SETUP, , , 
[18:45:10.339], MIX, 34, -->, STTP, 20, list, 4da2fab1, SETUP, , , 
[18:45:10.339], MIX, 34, , , , , , setup, CPU: 16.204121 ms, wall: 69.854243 ms, 
[18:45:12.576], MIX, 34, <--, CLIENT, 87, Header, 344d480b, RUN, , , 
[18:45:12.576], MIX, 34, , , , , , compute_shared_secret, CPU: 0.145292 ms, wall: 0.145459 ms, 
[18:45:12.577], MIX, 34, , , , , , verify_integrity, CPU: 0.315106 ms, wall: 0.315257 ms, 
[18:45:12.578], MIX, 34, , , , , , decrypt_beta, CPU: 0.789839 ms, wall: 0.796565 ms, 
[18:45:12.578], MIX, 34, , , , , , update_alpha, CPU: 0.063014 ms, wall: 0.062844 ms, 
[18:45:12.578], MIX, 34, , , , , , process_header, CPU: 1.656484 ms, wall: 1.662465 ms, 
[18:45:12.578], MIX, 34, -->, MIX, 8, Header, 3be3cbd9, RUN, , , 
[18:45:12.842], MIX, 34, <--, CLIENT, 43, Header, 3679c813, RUN, , , 
[18:45:12.842], MIX, 34, , , , , , compute_shared_secret, CPU: 0.137181 ms, wall: 0.136855 ms, 
[18:45:12.842], MIX, 34, , , , , , verify_integrity, CPU: 0.171071 ms, wall: 0.171338 ms, 
[18:45:12.843], MIX, 34, , , , , , decrypt_beta, CPU: 0.814013 ms, wall: 0.820783 ms, 
[18:45:12.843], MIX, 34, , , , , , update_alpha, CPU: 0.071794 ms, wall: 0.071820 ms, 
[18:45:12.844], MIX, 34, , , , , , process_header, CPU: 1.544336 ms, wall: 1.550441 ms, 
[18:45:12.844], MIX, 34, -->, MIX, 2, Header, 27f45ecb, RUN, , , 
[18:45:13.000], MIX, 34, <--, MIX, 46, Header, b8a4f6ee, RUN, , , 
[18:45:13.000], MIX, 34, , , , , , compute_shared_secret, CPU: 0.123078 ms, wall: 0.123160 ms, 
[18:45:13.000], MIX, 34, , , , , , verify_integrity, CPU: 0.158977 ms, wall: 0.158643 ms, 
[18:45:13.001], MIX, 34, , , , , , decrypt_beta, CPU: 0.799505 ms, wall: 0.805510 ms, 
[18:45:13.001], MIX, 34, , , , , , update_alpha, CPU: 0.069132 ms, wall: 0.068943 ms, 
[18:45:13.001], MIX, 34, , , , , , process_header, CPU: 1.449744 ms, wall: 1.462981 ms, 
[18:45:13.001], MIX, 34, -->, MIX, 27, Header, a6beca8a, RUN, , , 
[18:45:13.198], MIX, 34, <--, MIX, 13, Header, 973397d2, RUN, , , 
[18:45:13.198], MIX, 34, , , , , , compute_shared_secret, CPU: 0.178632 ms, wall: 0.178928 ms, 
[18:45:13.199], MIX, 34, , , , , , verify_integrity, CPU: 0.261406 ms, wall: 0.261372 ms, 
[18:45:13.200], MIX, 34, , , , , , decrypt_beta, CPU: 1.252951 ms, wall: 1.267593 ms, 
[18:45:13.200], MIX, 34, , , , , , update_alpha, CPU: 0.105144 ms, wall: 0.105027 ms, 
[18:45:13.200], MIX, 34, , , , , , process_header, CPU: 2.198961 ms, wall: 2.212803 ms, 
[18:45:13.200], MIX, 34, -->, MIX, 43, Header, f87fc3e0, RUN, , , 
[18:45:13.270], MIX, 34, <--, MIX, 43, Header, 3c05f121, RUN, , , 
[18:45:13.271], MIX, 34, , , , , , compute_shared_secret, CPU: 0.119692 ms, wall: 0.119784 ms, 
[18:45:13.271], MIX, 34, , , , , , verify_integrity, CPU: 0.145369 ms, wall: 0.145400 ms, 
[18:45:13.272], MIX, 34, , , , , , decrypt_beta, CPU: 0.798587 ms, wall: 0.807230 ms, 
[18:45:13.272], MIX, 34, , , , , , update_alpha, CPU: 0.073701 ms, wall: 0.073525 ms, 
[18:45:13.272], MIX, 34, , , , , , process_header, CPU: 1.417841 ms, wall: 1.425510 ms, 
[18:45:13.272], MIX, 34, -->, MIX, 45, Header, adf6962d, RUN, , , 
