[18:45:10.204], MIX, 35, -->, STTP, 1, list, e3c721a1, SETUP, , , 
[18:45:10.209], MIX, 35, -->, STTP, 2, list, 122efc5e, SETUP, , , 
[18:45:10.213], MIX, 35, -->, STTP, 3, list, 39ba59c5, SETUP, , , 
[18:45:10.224], MIX, 35, -->, STTP, 4, list, 01c9bcc5, SETUP, , , 
[18:45:10.232], MIX, 35, -->, STTP, 5, list, 351e29a5, SETUP, , , 
[18:45:10.302], MIX, 35, -->, STTP, 6, list, f63079a6, SETUP, , , 
[18:45:10.365], MIX, 35, -->, STTP, 7, list, e5702319, SETUP, , , 
[18:45:10.372], MIX, 35, -->, STTP, 8, list, d6312025, SETUP, , , 
[18:45:10.378], MIX, 35, -->, STTP, 9, list, cbde16fa, SETUP, , , 
[18:45:10.381], MIX, 35, -->, STTP, 10, list, 932b9fde, SETUP, , , 
[18:45:10.383], MIX, 35, -->, STTP, 11, list, 03f5dfd2, SETUP, , , 
[18:45:10.386], MIX, 35, -->, STTP, 12, list, 4be4fbb7, SETUP, , , 
[18:45:10.391], MIX, 35, -->, STTP, 13, list, 09deafce, SETUP, , , 
[18:45:10.393], MIX, 35, -->, STTP, 14, list, 8752f45d, SETUP, , , 
[18:45:10.394], MIX, 35, -->, STTP, 15, list, d2f2790d, SETUP, , , 
[18:45:10.396], MIX, 35, -->, STTP, 16, list, 767b5fef, SETUP, , , 
[18:45:10.408], MIX, 35, -->, STTP, 17, list, 6d33e26d, SETUP, , , 
[18:45:10.410], MIX, 35, -->, STTP, 18, list, 23f7094c, SETUP, , , 
[18:45:10.412], MIX, 35, -->, STTP, 19, list, 1a885d21, SETUP, , , 
[18:45:10.413], MIX, 35, -->, STTP, 20, list, c169d61c, SETUP, , , 
[18:45:10.414], MIX, 35, , , , , , setup, CPU: 35.417164 ms, wall: 213.692925 ms, 
[18:45:13.024], MIX, 35, <--, MIX, 22, Header, 9c2c73a9, RUN, , , 
[18:45:13.024], MIX, 35, , , , , , compute_shared_secret, CPU: 0.123823 ms, wall: 0.123825 ms, 
[18:45:13.025], MIX, 35, , , , , , verify_integrity, CPU: 0.213248 ms, wall: 0.213376 ms, 
[18:45:13.026], MIX, 35, , , , , , decrypt_beta, CPU: 0.827099 ms, wall: 0.841398 ms, 
[18:45:13.026], MIX, 35, , , , , , update_alpha, CPU: 0.064190 ms, wall: 0.064177 ms, 
[18:45:13.026], MIX, 35, , , , , , process_header, CPU: 1.498500 ms, wall: 1.511609 ms, 
[18:45:13.026], MIX, 35, -->, MIX, 10, Header, d7b05688, RUN, , , 
[18:45:13.157], MIX, 35, <--, CLIENT, 65, Header, f6933b4f, RUN, , , 
[18:45:13.158], MIX, 35, , , , , , compute_shared_secret, CPU: 0.181861 ms, wall: 0.182205 ms, 
[18:45:13.158], MIX, 35, , , , , , verify_integrity, CPU: 0.237646 ms, wall: 0.246766 ms, 
[18:45:13.162], MIX, 35, , , , , , decrypt_beta, CPU: 1.282180 ms, wall: 3.659101 ms, 
