[18:45:10.126], MIX, 37, -->, STTP, 1, list, a6f1b6f0, SETUP, , , 
[18:45:10.130], MIX, 37, -->, STTP, 2, list, 61aa797d, SETUP, , , 
[18:45:10.133], MIX, 37, -->, STTP, 3, list, 466a51dd, SETUP, , , 
[18:45:10.157], MIX, 37, -->, STTP, 4, list, f3b40f0a, SETUP, , , 
[18:45:10.183], MIX, 37, -->, STTP, 5, list, 9a4091be, SETUP, , , 
[18:45:10.245], MIX, 37, -->, STTP, 6, list, 5eecac97, SETUP, , , 
[18:45:10.256], MIX, 37, -->, STTP, 7, list, cbbd8940, SETUP, , , 
[18:45:10.261], MIX, 37, -->, STTP, 8, list, 1d35cbf1, SETUP, , , 
[18:45:10.267], MIX, 37, -->, STTP, 9, list, 1fa7708e, SETUP, , , 
[18:45:10.268], MIX, 37, -->, STTP, 10, list, ebe06b69, SETUP, , , 
[18:45:10.269], MIX, 37, -->, STTP, 11, list, cee56f53, SETUP, , , 
[18:45:10.317], MIX, 37, -->, STTP, 12, list, 60aa61aa, SETUP, , , 
[18:45:10.318], MIX, 37, -->, STTP, 13, list, 910210e4, SETUP, , , 
[18:45:10.321], MIX, 37, -->, STTP, 14, list, f9d3af5c, SETUP, , , 
[18:45:10.381], MIX, 37, -->, STTP, 15, list, f39a7b7f, SETUP, , , 
[18:45:10.382], MIX, 37, -->, STTP, 16, list, 4b3f7da3, SETUP, , , 
[18:45:10.383], MIX, 37, -->, STTP, 17, list, cf942d07, SETUP, , , 
[18:45:10.384], MIX, 37, -->, STTP, 18, list, d8140c3e, SETUP, , , 
[18:45:10.385], MIX, 37, -->, STTP, 19, list, ff15893a, SETUP, , , 
[18:45:10.387], MIX, 37, -->, STTP, 20, list, c0ce41d8, SETUP, , , 
[18:45:10.387], MIX, 37, , , , , , setup, CPU: 26.849573 ms, wall: 264.576707 ms, 
[18:45:12.950], MIX, 37, <--, MIX, 25, Header, 121f930c, RUN, , , 
[18:45:12.951], MIX, 37, , , , , , compute_shared_secret, CPU: 0.279843 ms, wall: 0.278810 ms, 
[18:45:12.951], MIX, 37, , , , , , verify_integrity, CPU: 0.223127 ms, wall: 0.223281 ms, 
[18:45:12.952], MIX, 37, , , , , , decrypt_beta, CPU: 0.784618 ms, wall: 0.784640 ms, 
[18:45:12.952], MIX, 37, , , , , , update_alpha, CPU: 0.063353 ms, wall: 0.063338 ms, 
[18:45:12.952], MIX, 37, , , , , , process_header, CPU: 1.613659 ms, wall: 1.621643 ms, 
[18:45:12.952], MIX, 37, -->, MIX, 22, Header, 1a9da489, RUN, , , 
[18:45:13.161], MIX, 37, <--, MIX, 49, Header, 9cec3c1b, RUN, , , 
[18:45:13.161], MIX, 37, , , , , , compute_shared_secret, CPU: 0.177768 ms, wall: 0.177981 ms, 
[18:45:13.162], MIX, 37, , , , , , verify_integrity, CPU: 0.274997 ms, wall: 0.275069 ms, 
[18:45:13.163], MIX, 37, , , , , , decrypt_beta, CPU: 1.216080 ms, wall: 1.229056 ms, 
[18:45:13.163], MIX, 37, , , , , , update_alpha, CPU: 0.101276 ms, wall: 0.101150 ms, 
[18:45:13.163], MIX, 37, , , , , , process_header, CPU: 2.193480 ms, wall: 2.205341 ms, 
[18:45:13.164], MIX, 37, -->, MIX, 25, Header, cd62c235, RUN, , , 
[18:45:13.240], MIX, 37, <--, MIX, 28, Header, 040f5933, RUN, , , 
[18:45:13.241], MIX, 37, , , , , , compute_shared_secret, CPU: 0.176630 ms, wall: 0.176754 ms, 
[18:45:13.241], MIX, 37, , , , , , verify_integrity, CPU: 0.230685 ms, wall: 0.237684 ms, 
[18:45:13.242], MIX, 37, , , , , , decrypt_beta, CPU: 1.171892 ms, wall: 1.212909 ms, 
[18:45:13.242], MIX, 37, , , , , , update_alpha, CPU: 0.100033 ms, wall: 0.099843 ms, 
[18:45:13.243], MIX, 37, , , , , , process_header, CPU: 2.162728 ms, wall: 2.248864 ms, 
[18:45:13.243], MIX, 37, -->, MIX, 29, Header, 13a8ffd6, RUN, , , 
[18:45:13.266], MIX, 37, <--, CLIENT, 52, Header, d33730b0, RUN, , , 
[18:45:13.267], MIX, 37, , , , , , compute_shared_secret, CPU: 0.170364 ms, wall: 0.170537 ms, 
[18:45:13.267], MIX, 37, , , , , , verify_integrity, CPU: 0.169200 ms, wall: 0.210318 ms, 
[18:45:13.268], MIX, 37, , , , , , decrypt_beta, CPU: 0.817525 ms, wall: 0.839030 ms, 
[18:45:13.268], MIX, 37, , , , , , update_alpha, CPU: 0.093007 ms, wall: 0.092983 ms, 
[18:45:13.268], MIX, 37, , , , , , process_header, CPU: 1.630589 ms, wall: 1.692024 ms, 
[18:45:13.268], MIX, 37, -->, MIX, 11, Header, 39331f79, RUN, , , 
[18:45:13.301], MIX, 37, <--, MIX, 48, Header, c071f6f5, RUN, , , 
[18:45:13.302], MIX, 37, , , , , , compute_shared_secret, CPU: 0.286875 ms, wall: 0.301619 ms, 
[18:45:13.302], MIX, 37, , , , , , verify_integrity, CPU: 0.217648 ms, wall: 0.217403 ms, 
[18:45:13.303], MIX, 37, , , , , , decrypt_beta, CPU: 0.754070 ms, wall: 0.763287 ms, 
[18:45:13.303], MIX, 37, , , , , , update_alpha, CPU: 0.062194 ms, wall: 0.062076 ms, 
[18:45:13.303], MIX, 37, , , , , , process_header, CPU: 1.658408 ms, wall: 1.678794 ms, 
[18:45:13.304], MIX, 37, -->, CLIENT, 89, Header, b5af9a7e, RUN, , , 
