[18:45:10.087], MIX, 38, -->, STTP, 1, list, a113556e, SETUP, , , 
[18:45:10.092], MIX, 38, -->, STTP, 2, list, c3ec4c65, SETUP, , , 
[18:45:10.094], MIX, 38, -->, STTP, 3, list, a590c841, SETUP, , , 
[18:45:10.095], MIX, 38, -->, STTP, 4, list, 92a556d3, SETUP, , , 
[18:45:10.102], MIX, 38, -->, STTP, 5, list, 4777c833, SETUP, , , 
[18:45:10.103], MIX, 38, -->, STTP, 6, list, d64c1b8d, SETUP, , , 
[18:45:10.115], MIX, 38, -->, STTP, 7, list, 508fa96e, SETUP, , , 
[18:45:10.119], MIX, 38, -->, STTP, 8, list, 618d1ca5, SETUP, , , 
[18:45:10.131], MIX, 38, -->, STTP, 9, list, e59dc514, SETUP, , , 
[18:45:10.168], MIX, 38, -->, STTP, 10, list, 1e07312a, SETUP, , , 
[18:45:10.177], MIX, 38, -->, STTP, 11, list, b5485474, SETUP, , , 
[18:45:10.178], MIX, 38, -->, STTP, 12, list, 3fce9ece, SETUP, , , 
[18:45:10.188], MIX, 38, -->, STTP, 13, list, 47a4e63d, SETUP, , , 
[18:45:10.189], MIX, 38, -->, STTP, 14, list, e9474895, SETUP, , , 
[18:45:10.198], MIX, 38, -->, STTP, 15, list, 6d41fea9, SETUP, , , 
[18:45:10.208], MIX, 38, -->, STTP, 16, list, 591dd3fa, SETUP, , , 
[18:45:10.210], MIX, 38, -->, STTP, 17, list, 7765329b, SETUP, , , 
[18:45:10.216], MIX, 38, -->, STTP, 18, list, da0ce508, SETUP, , , 
[18:45:10.220], MIX, 38, -->, STTP, 19, list, 61ae6fd9, SETUP, , , 
[18:45:10.292], MIX, 38, -->, STTP, 20, list, 50b8a412, SETUP, , , 
[18:45:10.300], MIX, 38, , , , , , setup, CPU: 21.680877 ms, wall: 213.734630 ms, 
[18:45:12.693], MIX, 38, <--, CLIENT, 56, Header, 6ff0a7c6, RUN, , , 
[18:45:12.694], MIX, 38, , , , , , compute_shared_secret, CPU: 0.133346 ms, wall: 0.133403 ms, 
[18:45:12.694], MIX, 38, , , , , , verify_integrity, CPU: 0.189181 ms, wall: 0.197104 ms, 
[18:45:12.695], MIX, 38, , , , , , decrypt_beta, CPU: 0.783733 ms, wall: 0.783784 ms, 
[18:45:12.695], MIX, 38, , , , , , update_alpha, CPU: 0.063014 ms, wall: 0.062964 ms, 
[18:45:12.695], MIX, 38, , , , , , process_header, CPU: 1.418039 ms, wall: 1.428945 ms, 
[18:45:12.695], MIX, 38, -->, MIX, 33, Header, 83c3646c, RUN, , , 
[18:45:12.806], MIX, 38, <--, MIX, 3, Header, c941f8f6, RUN, , , 
[18:45:12.807], MIX, 38, , , , , , compute_shared_secret, CPU: 0.124313 ms, wall: 0.124440 ms, 
[18:45:12.807], MIX, 38, , , , , , verify_integrity, CPU: 0.155359 ms, wall: 0.155248 ms, 
[18:45:12.808], MIX, 38, , , , , , decrypt_beta, CPU: 0.756457 ms, wall: 0.760856 ms, 
[18:45:12.808], MIX, 38, , , , , , update_alpha, CPU: 0.065980 ms, wall: 0.065997 ms, 
[18:45:12.808], MIX, 38, , , , , , process_header, CPU: 1.334971 ms, wall: 1.338024 ms, 
[18:45:12.808], MIX, 38, -->, MIX, 6, Header, a9232b5c, RUN, , , 
[18:45:13.139], MIX, 38, <--, MIX, 39, Header, a6b1fb55, RUN, , , 
[18:45:13.139], MIX, 38, , , , , , compute_shared_secret, CPU: 0.182028 ms, wall: 0.182278 ms, 
[18:45:13.140], MIX, 38, , , , , , verify_integrity, CPU: 0.195381 ms, wall: 0.195537 ms, 
[18:45:13.141], MIX, 38, , , , , , decrypt_beta, CPU: 0.798723 ms, wall: 0.806666 ms, 
[18:45:13.141], MIX, 38, , , , , , update_alpha, CPU: 0.066454 ms, wall: 0.066276 ms, 
[18:45:13.141], MIX, 38, , , , , , process_header, CPU: 1.566134 ms, wall: 1.573290 ms, 
[18:45:13.141], MIX, 38, -->, MIX, 33, Header, 151fe81e, RUN, , , 
[18:45:13.166], MIX, 38, <--, MIX, 21, Header, 87ed7bfb, RUN, , , 
[18:45:13.166], MIX, 38, , , , , , compute_shared_secret, CPU: 0.336451 ms, wall: 0.337207 ms, 
[18:45:13.167], MIX, 38, , , , , , verify_integrity, CPU: 0.468297 ms, wall: 0.478300 ms, 
[18:45:13.170], MIX, 38, , , , , , decrypt_beta, CPU: 2.506281 ms, wall: 2.522683 ms, 
[18:45:13.170], MIX, 38, , , , , , update_alpha, CPU: 0.226925 ms, wall: 0.244611 ms, 
[18:45:13.170], MIX, 38, , , , , , process_header, CPU: 4.183000 ms, wall: 4.226888 ms, 
[18:45:13.170], MIX, 38, -->, MIX, 7, Header, 39ad8282, RUN, , , 
[18:45:13.217], MIX, 38, <--, CLIENT, 80, Header, 2af5a79a, RUN, , , 
