[18:45:10.389], MIX, 39, -->, STTP, 1, list, 6230e5c6, SETUP, , , 
[18:45:10.390], MIX, 39, -->, STTP, 2, list, 0a6229f0, SETUP, , , 
[18:45:10.391], MIX, 39, -->, STTP, 3, list, a978c5fe, SETUP, , , 
[18:45:10.392], MIX, 39, -->, STTP, 4, list, 37ed12d9, SETUP, , , 
[18:45:10.393], MIX, 39, -->, STTP, 5, list, feb01a8c, SETUP, , , 
[18:45:10.394], MIX, 39, -->, STTP, 6, list, 42efcf61, SETUP, , , 
[18:45:10.395], MIX, 39, -->, STTP, 7, list, d4442857, SETUP, , , 
[18:45:10.396], MIX, 39, -->, STTP, 8, list, b2cfa012, SETUP, , , 
[18:45:10.398], MIX, 39, -->, STTP, 9, list, 5067be66, SETUP, , , 
[18:45:10.399], MIX, 39, -->, STTP, 10, list, 6185ccba, SETUP, , , 
[18:45:10.408], MIX, 39, -->, STTP, 11, list, 6545c204, SETUP, , , 
[18:45:10.409], MIX, 39, -->, STTP, 12, list, 2efcbf15, SETUP, , , 
[18:45:10.410], MIX, 39, -->, STTP, 13, list, 698f4858, SETUP, , , 
[18:45:10.410], MIX, 39, -->, STTP, 14, list, 608dc5ae, SETUP, , , 
[18:45:10.411], MIX, 39, -->, STTP, 15, list, 8b54865a, SETUP, , , 
[18:45:10.411], MIX, 39, -->, STTP, 16, list, 5c9d96db, SETUP, , , 
[18:45:10.412], MIX, 39, -->, STTP, 17, list, abb9c11a, SETUP, , , 
[18:45:10.413], MIX, 39, -->, STTP, 18, list, 6debeca7, SETUP, , , 
[18:45:10.414], MIX, 39, -->, STTP, 19, list, 11ced042, SETUP, , , 
[18:45:10.414], MIX, 39, -->, STTP, 20, list, dfbd2d48, SETUP, , , 
[18:45:10.415], MIX, 39, , , , , , setup, CPU: 14.779452 ms, wall: 26.255012 ms, 
[18:45:13.131], MIX, 39, <--, MIX, 6, Header, 4e98403f, RUN, , , 
[18:45:13.134], MIX, 39, , , , , , compute_shared_secret, CPU: 0.779638 ms, wall: 0.996149 ms, 
[18:45:13.134], MIX, 39, , , , , , verify_integrity, CPU: 0.000000 ms, wall: 0.251988 ms, 
[18:45:13.136], MIX, 39, , , , , , decrypt_beta, CPU: 1.203942 ms, wall: 1.286812 ms, 
[18:45:13.136], MIX, 39, , , , , , update_alpha, CPU: 0.121048 ms, wall: 0.192872 ms, 
[18:45:13.136], MIX, 39, , , , , , process_header, CPU: 2.349527 ms, wall: 3.211797 ms, 
[18:45:13.136], MIX, 39, -->, MIX, 38, Header, 0b5d134b, RUN, , , 
[18:45:13.148], MIX, 39, <--, MIX, 41, Header, 0bafbf79, RUN, , , 
[18:45:13.149], MIX, 39, , , , , , compute_shared_secret, CPU: 0.345793 ms, wall: 0.346799 ms, 
[18:45:13.149], MIX, 39, , , , , , verify_integrity, CPU: 0.388297 ms, wall: 0.401018 ms, 
[18:45:13.152], MIX, 39, , , , , , decrypt_beta, CPU: 2.512552 ms, wall: 2.537399 ms, 
[18:45:13.152], MIX, 39, , , , , , update_alpha, CPU: 0.219068 ms, wall: 0.218480 ms, 
[18:45:13.153], MIX, 39, , , , , , process_header, CPU: 4.120304 ms, wall: 4.156518 ms, 
[18:45:13.153], MIX, 39, -->, CLIENT, 75, Header, 3b8cc031, RUN, , , 
[18:45:13.209], MIX, 39, <--, CLIENT, 86, Header, 50f32fb6, RUN, , , 
[18:45:13.210], MIX, 39, , , , , , compute_shared_secret, CPU: 0.176617 ms, wall: 0.176611 ms, 
[18:45:13.210], MIX, 39, , , , , , verify_integrity, CPU: 0.222061 ms, wall: 0.230013 ms, 
[18:45:13.211], MIX, 39, , , , , , decrypt_beta, CPU: 1.190888 ms, wall: 1.199055 ms, 
[18:45:13.212], MIX, 39, , , , , , update_alpha, CPU: 0.107686 ms, wall: 0.107441 ms, 
[18:45:13.212], MIX, 39, , , , , , process_header, CPU: 2.102735 ms, wall: 2.117646 ms, 
[18:45:13.212], MIX, 39, -->, MIX, 17, Header, ef4ecd24, RUN, , , 
[18:45:13.214], MIX, 39, <--, CLIENT, 74, Header, 8a2a24ee, RUN, , , 
[18:45:13.228], MIX, 39, , , , , , compute_shared_secret, CPU: 0.211667 ms, wall: 0.219011 ms, 
[18:45:13.229], MIX, 39, , , , , , verify_integrity, CPU: 0.285733 ms, wall: 0.285652 ms, 
[18:45:13.233], MIX, 39, , , , , , decrypt_beta, CPU: 1.250659 ms, wall: 4.345971 ms, 
[18:45:13.233], MIX, 39, , , , , , update_alpha, CPU: 0.132925 ms, wall: 0.132505 ms, 
[18:45:13.233], MIX, 39, , , , , , process_header, CPU: 2.419413 ms, wall: 5.509481 ms, 
[18:45:13.233], MIX, 39, -->, MIX, 5, Header, 9455ff46, RUN, , , 
[18:45:13.270], MIX, 39, <--, MIX, 30, Header, ab4c2d15, RUN, , , 
[18:45:13.270], MIX, 39, , , , , , compute_shared_secret, CPU: 0.153070 ms, wall: 0.153274 ms, 
[18:45:13.271], MIX, 39, , , , , , verify_integrity, CPU: 0.153243 ms, wall: 0.153230 ms, 
[18:45:13.272], MIX, 39, , , , , , decrypt_beta, CPU: 0.880820 ms, wall: 0.891058 ms, 
[18:45:13.272], MIX, 39, , , , , , update_alpha, CPU: 0.066538 ms, wall: 0.066446 ms, 
[18:45:13.272], MIX, 39, , , , , , process_header, CPU: 1.593568 ms, wall: 1.601928 ms, 
[18:45:13.272], MIX, 39, -->, CLIENT, 88, Header, 6ec6a13c, RUN, , , 
