[18:45:10.136], MIX, 4, -->, STTP, 1, list, 36ad72ad, SETUP, , , 
[18:45:10.167], MIX, 4, -->, STTP, 2, list, 8c789e30, SETUP, , , 
[18:45:10.174], MIX, 4, -->, STTP, 3, list, e52ae775, SETUP, , , 
[18:45:10.222], MIX, 4, -->, STTP, 4, list, 4ed4ad5a, SETUP, , , 
[18:45:10.234], MIX, 4, -->, STTP, 5, list, cf094fae, SETUP, , , 
[18:45:10.247], MIX, 4, -->, STTP, 6, list, 95f51213, SETUP, , , 
[18:45:10.256], MIX, 4, -->, STTP, 7, list, 8a1f9ca9, SETUP, , , 
[18:45:10.262], MIX, 4, -->, STTP, 8, list, a34e3dfb, SETUP, , , 
[18:45:10.264], MIX, 4, -->, STTP, 9, list, 878b7a4e, SETUP, , , 
[18:45:10.265], MIX, 4, -->, STTP, 10, list, 35524301, SETUP, , , 
[18:45:10.267], MIX, 4, -->, STTP, 11, list, a57fca00, SETUP, , , 
[18:45:10.319], MIX, 4, -->, STTP, 12, list, b84a6081, SETUP, , , 
[18:45:10.379], MIX, 4, -->, STTP, 13, list, 0d5323b0, SETUP, , , 
[18:45:10.380], MIX, 4, -->, STTP, 14, list, 6b8ac6b4, SETUP, , , 
[18:45:10.381], MIX, 4, -->, STTP, 15, list, 52427bb2, SETUP, , , 
[18:45:10.382], MIX, 4, -->, STTP, 16, list, fae956ab, SETUP, , , 
[18:45:10.383], MIX, 4, -->, STTP, 17, list, 93c0fceb, SETUP, , , 
[18:45:10.384], MIX, 4, -->, STTP, 18, list, dd1dd707, SETUP, , , 
[18:45:10.385], MIX, 4, -->, STTP, 19, list, de4d7bba, SETUP, , , 
[18:45:10.386], MIX, 4, -->, STTP, 20, list, a0abda62, SETUP, , , 
[18:45:10.386], MIX, 4, , , , , , setup, CPU: 26.351354 ms, wall: 255.538359 ms, 
[18:45:12.608], MIX, 4, <--, MIX, 1, Header, ab885644, RUN, , , 
[18:45:12.608], MIX, 4, , , , , , compute_shared_secret, CPU: 0.136875 ms, wall: 0.136916 ms, 
[18:45:12.608], MIX, 4, , , , , , verify_integrity, CPU: 0.170653 ms, wall: 0.170598 ms, 
[18:45:12.609], MIX, 4, , , , , , decrypt_beta, CPU: 0.796230 ms, wall: 0.803204 ms, 
[18:45:12.609], MIX, 4, , , , , , update_alpha, CPU: 0.063177 ms, wall: 0.063076 ms, 
[18:45:12.609], MIX, 4, , , , , , process_header, CPU: 1.436930 ms, wall: 1.448944 ms, 
[18:45:12.609], MIX, 4, -->, CLIENT, 1, Header, ed48233e, RUN, , , 
[18:45:13.249], MIX, 4, <--, MIX, 13, Header, 349c3e17, RUN, , , 
[18:45:13.249], MIX, 4, , , , , , compute_shared_secret, CPU: 0.185313 ms, wall: 0.194217 ms, 
[18:45:13.250], MIX, 4, , , , , , verify_integrity, CPU: 0.241886 ms, wall: 0.241942 ms, 
[18:45:13.251], MIX, 4, , , , , , decrypt_beta, CPU: 1.225983 ms, wall: 1.241175 ms, 
[18:45:13.251], MIX, 4, , , , , , update_alpha, CPU: 0.104075 ms, wall: 0.104061 ms, 
[18:45:13.251], MIX, 4, , , , , , process_header, CPU: 2.165207 ms, wall: 2.188052 ms, 
[18:45:13.251], MIX, 4, -->, MIX, 30, Header, f307ac71, RUN, , , 
[18:45:13.295], MIX, 4, <--, MIX, 5, Header, 5315350c, RUN, , , 
[18:45:13.296], MIX, 4, , , , , , compute_shared_secret, CPU: 0.174223 ms, wall: 0.174262 ms, 
[18:45:13.296], MIX, 4, , , , , , verify_integrity, CPU: 0.414249 ms, wall: 0.426916 ms, 
[18:45:13.299], MIX, 4, , , , , , decrypt_beta, CPU: 2.494895 ms, wall: 2.516920 ms, 
[18:45:13.299], MIX, 4, , , , , , update_alpha, CPU: 0.213206 ms, wall: 0.212885 ms, 
[18:45:13.300], MIX, 4, , , , , , process_header, CPU: 3.983237 ms, wall: 4.031646 ms, 
[18:45:13.300], MIX, 4, -->, MIX, 25, Header, 730cd81d, RUN, , , 
