[18:45:10.083], MIX, 40, -->, STTP, 1, list, 3f60340e, SETUP, , , 
[18:45:10.089], MIX, 40, -->, STTP, 2, list, ee06dfef, SETUP, , , 
[18:45:10.093], MIX, 40, -->, STTP, 3, list, 56e2cdbb, SETUP, , , 
[18:45:10.094], MIX, 40, -->, STTP, 4, list, d067122e, SETUP, , , 
[18:45:10.094], MIX, 40, -->, STTP, 5, list, 9ff69419, SETUP, , , 
[18:45:10.106], MIX, 40, -->, STTP, 6, list, 6ef3e486, SETUP, , , 
[18:45:10.140], MIX, 40, -->, STTP, 7, list, 2d5f570d, SETUP, , , 
[18:45:10.155], MIX, 40, -->, STTP, 8, list, f7afb92c, SETUP, , , 
[18:45:10.191], MIX, 40, -->, STTP, 9, list, 932daddd, SETUP, , , 
[18:45:10.246], MIX, 40, -->, STTP, 10, list, bbc20b64, SETUP, , , 
[18:45:10.258], MIX, 40, -->, STTP, 11, list, 8f0290fd, SETUP, , , 
[18:45:10.265], MIX, 40, -->, STTP, 12, list, a41c8806, SETUP, , , 
[18:45:10.266], MIX, 40, -->, STTP, 13, list, 28e5f5af, SETUP, , , 
[18:45:10.267], MIX, 40, -->, STTP, 14, list, 7c45836c, SETUP, , , 
[18:45:10.269], MIX, 40, -->, STTP, 15, list, 533402e1, SETUP, , , 
[18:45:10.326], MIX, 40, -->, STTP, 16, list, 16165345, SETUP, , , 
[18:45:10.329], MIX, 40, -->, STTP, 17, list, 244922d5, SETUP, , , 
[18:45:10.331], MIX, 40, -->, STTP, 18, list, 8eeb395f, SETUP, , , 
[18:45:10.332], MIX, 40, -->, STTP, 19, list, 2bf7cbac, SETUP, , , 
[18:45:10.333], MIX, 40, -->, STTP, 20, list, b3b28aa8, SETUP, , , 
[18:45:10.333], MIX, 40, , , , , , setup, CPU: 24.941930 ms, wall: 253.857329 ms, 
[18:45:12.600], MIX, 40, <--, MIX, 6, Header, 577e62b6, RUN, , , 
