[18:45:10.225], MIX, 41, -->, STTP, 1, list, 5deefaf0, SETUP, , , 
[18:45:10.295], MIX, 41, -->, STTP, 2, list, 3eff2326, SETUP, , , 
[18:45:10.352], MIX, 41, -->, STTP, 3, list, 9fdb01ff, SETUP, , , 
[18:45:10.353], MIX, 41, -->, STTP, 4, list, 14c1f721, SETUP, , , 
[18:45:10.353], MIX, 41, -->, STTP, 5, list, 4ad0f42b, SETUP, , , 
[18:45:10.354], MIX, 41, -->, STTP, 6, list, 5651a55c, SETUP, , , 
[18:45:10.356], MIX, 41, -->, STTP, 7, list, 7487d79d, SETUP, , , 
[18:45:10.357], MIX, 41, -->, STTP, 8, list, 73a94b71, SETUP, , , 
[18:45:10.358], MIX, 41, -->, STTP, 9, list, 84d3a528, SETUP, , , 
[18:45:10.358], MIX, 41, -->, STTP, 10, list, 1f0071f4, SETUP, , , 
[18:45:10.359], MIX, 41, -->, STTP, 11, list, 19b809dc, SETUP, , , 
[18:45:10.360], MIX, 41, -->, STTP, 12, list, b5ea6280, SETUP, , , 
[18:45:10.361], MIX, 41, -->, STTP, 13, list, ad2b9894, SETUP, , , 
[18:45:10.362], MIX, 41, -->, STTP, 14, list, 9681abd9, SETUP, , , 
[18:45:10.362], MIX, 41, -->, STTP, 15, list, eb7c28a5, SETUP, , , 
[18:45:10.363], MIX, 41, -->, STTP, 16, list, 086867aa, SETUP, , , 
[18:45:10.401], MIX, 41, -->, STTP, 17, list, 84a437a1, SETUP, , , 
[18:45:10.402], MIX, 41, -->, STTP, 18, list, 50c6ef36, SETUP, , , 
[18:45:10.402], MIX, 41, -->, STTP, 19, list, a5de7039, SETUP, , , 
[18:45:10.403], MIX, 41, -->, STTP, 20, list, 2c900611, SETUP, , , 
[18:45:10.403], MIX, 41, , , , , , setup, CPU: 16.953019 ms, wall: 180.202224 ms, 
[18:45:12.567], MIX, 41, <--, CLIENT, 85, Header, 480e36d7, RUN, , , 
[18:45:12.568], MIX, 41, , , , , , compute_shared_secret, CPU: 0.126615 ms, wall: 0.126676 ms, 
[18:45:12.568], MIX, 41, , , , , , verify_integrity, CPU: 0.165725 ms, wall: 0.174048 ms, 
[18:45:12.569], MIX, 41, , , , , , decrypt_beta, CPU: 0.790553 ms, wall: 0.813227 ms, 
[18:45:12.569], MIX, 41, , , , , , update_alpha, CPU: 0.064143 ms, wall: 0.069257 ms, 
[18:45:12.569], MIX, 41, , , , , , process_header, CPU: 1.407939 ms, wall: 1.448991 ms, 
[18:45:12.569], MIX, 41, -->, MIX, 43, Header, 288b8402, RUN, , , 
[18:45:12.863], MIX, 41, <--, MIX, 1, Header, 4fedadf5, RUN, , , 
[18:45:12.863], MIX, 41, , , , , , compute_shared_secret, CPU: 0.127660 ms, wall: 0.127691 ms, 
[18:45:12.863], MIX, 41, , , , , , verify_integrity, CPU: 0.181053 ms, wall: 0.180991 ms, 
[18:45:12.864], MIX, 41, , , , , , decrypt_beta, CPU: 0.767016 ms, wall: 0.815315 ms, 
[18:45:12.864], MIX, 41, , , , , , update_alpha, CPU: 0.069053 ms, wall: 0.068069 ms, 
[18:45:12.865], MIX, 41, , , , , , process_header, CPU: 1.392205 ms, wall: 1.451983 ms, 
[18:45:12.865], MIX, 41, -->, MIX, 5, Header, bb585988, RUN, , , 
[18:45:13.124], MIX, 41, <--, MIX, 23, Header, 13041ce3, RUN, , , 
[18:45:13.125], MIX, 41, , , , , , compute_shared_secret, CPU: 0.326256 ms, wall: 0.327015 ms, 
[18:45:13.125], MIX, 41, , , , , , verify_integrity, CPU: 0.383818 ms, wall: 0.383747 ms, 
[18:45:13.133], MIX, 41, , , , , , decrypt_beta, CPU: 2.629328 ms, wall: 3.091907 ms, 
[18:45:13.133], MIX, 41, , , , , , update_alpha, CPU: 0.212049 ms, wall: 0.211573 ms, 
[18:45:13.134], MIX, 41, , , , , , process_header, CPU: 4.272343 ms, wall: 9.081222 ms, 
[18:45:13.134], MIX, 41, -->, MIX, 26, Header, 64b102e6, RUN, , , 
[18:45:13.139], MIX, 41, <--, MIX, 36, Header, b415798f, RUN, , , 
