[18:45:10.132], MIX, 43, -->, STTP, 1, list, 97a43e16, SETUP, , , 
[18:45:10.135], MIX, 43, -->, STTP, 2, list, b0d23aaa, SETUP, , , 
[18:45:10.136], MIX, 43, -->, STTP, 3, list, 1bb6c0ad, SETUP, , , 
[18:45:10.169], MIX, 43, -->, STTP, 4, list, fd20d3d1, SETUP, , , 
[18:45:10.235], MIX, 43, -->, STTP, 5, list, f07c0988, SETUP, , , 
[18:45:10.248], MIX, 43, -->, STTP, 6, list, 39d3c9c3, SETUP, , , 
[18:45:10.255], MIX, 43, -->, STTP, 7, list, 30e6a211, SETUP, , , 
[18:45:10.263], MIX, 43, -->, STTP, 8, list, 3b6410bc, SETUP, , , 
[18:45:10.272], MIX, 43, -->, STTP, 9, list, 794d288d, SETUP, , , 
[18:45:10.274], MIX, 43, -->, STTP, 10, list, 3776236d, SETUP, , , 
[18:45:10.275], MIX, 43, -->, STTP, 11, list, e4e7b7a7, SETUP, , , 
[18:45:10.277], MIX, 43, -->, STTP, 12, list, e7e45ffc, SETUP, , , 
[18:45:10.278], MIX, 43, -->, STTP, 13, list, bb6d73b7, SETUP, , , 
[18:45:10.280], MIX, 43, -->, STTP, 14, list, 14d4eb9a, SETUP, , , 
[18:45:10.282], MIX, 43, -->, STTP, 15, list, 278388dd, SETUP, , , 
[18:45:10.288], MIX, 43, -->, STTP, 16, list, 64e6f34a, SETUP, , , 
[18:45:10.291], MIX, 43, -->, STTP, 17, list, 99751b31, SETUP, , , 
[18:45:10.352], MIX, 43, -->, STTP, 18, list, 05941ab0, SETUP, , , 
[18:45:10.355], MIX, 43, -->, STTP, 19, list, b17fcd24, SETUP, , , 
[18:45:10.358], MIX, 43, -->, STTP, 20, list, a7f93dda, SETUP, , , 
[18:45:10.358], MIX, 43, , , , , , setup, CPU: 32.589017 ms, wall: 226.597435 ms, 
[18:45:12.566], MIX, 43, <--, CLIENT, 3, Header, b61cead6, RUN, , , 
[18:45:12.567], MIX, 43, , , , , , compute_shared_secret, CPU: 0.130305 ms, wall: 0.130263 ms, 
[18:45:12.567], MIX, 43, , , , , , verify_integrity, CPU: 0.187094 ms, wall: 0.187111 ms, 
[18:45:12.568], MIX, 43, , , , , , decrypt_beta, CPU: 0.785130 ms, wall: 0.791717 ms, 
[18:45:12.568], MIX, 43, , , , , , update_alpha, CPU: 0.063455 ms, wall: 0.063292 ms, 
[18:45:12.568], MIX, 43, , , , , , process_header, CPU: 1.411218 ms, wall: 1.416680 ms, 
[18:45:12.568], MIX, 43, -->, MIX, 21, Header, da04cd83, RUN, , , 
[18:45:12.571], MIX, 43, <--, MIX, 41, Header, e9f4b8ef, RUN, , , 
[18:45:12.571], MIX, 43, , , , , , compute_shared_secret, CPU: 0.119191 ms, wall: 0.119252 ms, 
[18:45:12.571], MIX, 43, , , , , , verify_integrity, CPU: 0.175454 ms, wall: 0.175356 ms, 
[18:45:12.572], MIX, 43, , , , , , decrypt_beta, CPU: 0.813291 ms, wall: 0.828234 ms, 
[18:45:12.572], MIX, 43, , , , , , update_alpha, CPU: 0.071647 ms, wall: 0.071425 ms, 
[18:45:12.572], MIX, 43, , , , , , process_header, CPU: 1.508791 ms, wall: 1.522378 ms, 
[18:45:12.573], MIX, 43, -->, MIX, 7, Header, 9b0df2aa, RUN, , , 
[18:45:12.586], MIX, 43, <--, MIX, 8, Header, 00b78af5, RUN, , , 
[18:45:12.587], MIX, 43, , , , , , compute_shared_secret, CPU: 0.117656 ms, wall: 0.117705 ms, 
[18:45:12.587], MIX, 43, , , , , , verify_integrity, CPU: 0.167112 ms, wall: 0.167024 ms, 
[18:45:12.588], MIX, 43, , , , , , decrypt_beta, CPU: 0.755283 ms, wall: 0.760926 ms, 
[18:45:12.588], MIX, 43, , , , , , update_alpha, CPU: 0.062599 ms, wall: 0.062555 ms, 
[18:45:12.588], MIX, 43, , , , , , process_header, CPU: 1.329884 ms, wall: 1.334098 ms, 
[18:45:12.588], MIX, 43, -->, MIX, 5, Header, a470db4c, RUN, , , 
[18:45:12.860], MIX, 43, <--, MIX, 23, Header, 26a26b35, RUN, , , 
[18:45:12.861], MIX, 43, , , , , , compute_shared_secret, CPU: 0.119970 ms, wall: 0.120013 ms, 
[18:45:12.861], MIX, 43, , , , , , verify_integrity, CPU: 0.146569 ms, wall: 0.146549 ms, 
[18:45:12.862], MIX, 43, , , , , , decrypt_beta, CPU: 0.770727 ms, wall: 0.777201 ms, 
[18:45:12.862], MIX, 43, , , , , , update_alpha, CPU: 0.063743 ms, wall: 0.063708 ms, 
[18:45:12.862], MIX, 43, , , , , , process_header, CPU: 1.323453 ms, wall: 1.329085 ms, 
[18:45:12.862], MIX, 43, -->, CLIENT, 43, Header, ba8d4bd1, RUN, , , 
[18:45:12.915], MIX, 43, <--, MIX, 5, Header, edf1b3cb, RUN, , , 
[18:45:12.915], MIX, 43, , , , , , compute_shared_secret, CPU: 0.117931 ms, wall: 0.117983 ms, 
[18:45:12.916], MIX, 43, , , , , , verify_integrity, CPU: 0.201177 ms, wall: 0.201286 ms, 
[18:45:12.916], MIX, 43, , , , , , decrypt_beta, CPU: 0.734629 ms, wall: 0.744333 ms, 
[18:45:12.916], MIX, 43, , , , , , update_alpha, CPU: 0.061035 ms, wall: 0.060957 ms, 
[18:45:12.917], MIX, 43, , , , , , process_header, CPU: 1.369067 ms, wall: 1.377600 ms, 
[18:45:12.917], MIX, 43, -->, MIX, 27, Header, 820768b4, RUN, , , 
[18:45:12.997], MIX, 43, <--, MIX, 7, Header, 882edf61, RUN, , , 
[18:45:12.997], MIX, 43, , , , , , compute_shared_secret, CPU: 0.154312 ms, wall: 0.162275 ms, 
[18:45:12.997], MIX, 43, , , , , , verify_integrity, CPU: 0.155005 ms, wall: 0.154965 ms, 
[18:45:12.998], MIX, 43, , , , , , decrypt_beta, CPU: 0.761397 ms, wall: 0.769083 ms, 
[18:45:12.998], MIX, 43, , , , , , update_alpha, CPU: 0.063095 ms, wall: 0.063149 ms, 
[18:45:12.998], MIX, 43, , , , , , process_header, CPU: 1.400793 ms, wall: 1.415028 ms, 
[18:45:12.998], MIX, 43, -->, MIX, 42, Header, 727d15f4, RUN, , , 
[18:45:13.035], MIX, 43, <--, MIX, 5, Header, 796e4d03, RUN, , , 
[18:45:13.035], MIX, 43, , , , , , compute_shared_secret, CPU: 0.119217 ms, wall: 0.119239 ms, 
[18:45:13.035], MIX, 43, , , , , , verify_integrity, CPU: 0.145373 ms, wall: 0.145329 ms, 
[18:45:13.037], MIX, 43, , , , , , decrypt_beta, CPU: 1.113475 ms, wall: 1.121783 ms, 
[18:45:13.037], MIX, 43, , , , , , update_alpha, CPU: 0.067346 ms, wall: 0.066998 ms, 
[18:45:13.037], MIX, 43, , , , , , process_header, CPU: 1.766358 ms, wall: 1.773112 ms, 
[18:45:13.037], MIX, 43, -->, MIX, 29, Header, ad986ec1, RUN, , , 
[18:45:13.181], MIX, 43, <--, MIX, 2, Header, e77ffae4, RUN, , , 
[18:45:13.181], MIX, 43, , , , , , compute_shared_secret, CPU: 0.182439 ms, wall: 0.187058 ms, 
[18:45:13.181], MIX, 43, , , , , , verify_integrity, CPU: 0.232063 ms, wall: 0.232005 ms, 
[18:45:13.183], MIX, 43, , , , , , decrypt_beta, CPU: 1.239920 ms, wall: 1.248318 ms, 
[18:45:13.183], MIX, 43, , , , , , update_alpha, CPU: 0.107793 ms, wall: 0.112383 ms, 
[18:45:13.183], MIX, 43, , , , , , process_header, CPU: 2.164382 ms, wall: 2.175802 ms, 
[18:45:13.183], MIX, 43, -->, MIX, 44, Header, 606de353, RUN, , , 
[18:45:13.205], MIX, 43, <--, MIX, 34, Header, 0082bdaf, RUN, , , 
[18:45:13.218], MIX, 43, , , , , , compute_shared_secret, CPU: 0.208350 ms, wall: 0.216519 ms, 
[18:45:13.219], MIX, 43, , , , , , verify_integrity, CPU: 0.284601 ms, wall: 0.284592 ms, 
[18:45:13.220], MIX, 43, , , , , , decrypt_beta, CPU: 1.198234 ms, wall: 1.204800 ms, 
[18:45:13.220], MIX, 43, , , , , , update_alpha, CPU: 0.092424 ms, wall: 0.097800 ms, 
[18:45:13.220], MIX, 43, , , , , , process_header, CPU: 2.232370 ms, wall: 2.251125 ms, 
[18:45:13.220], MIX, 43, -->, CLIENT, 35, Header, 3e215592, RUN, , , 
[18:45:13.225], MIX, 43, <--, MIX, 17, Header, 0feaa109, RUN, , , 
[18:45:13.225], MIX, 43, , , , , , compute_shared_secret, CPU: 0.170989 ms, wall: 0.177385 ms, 
[18:45:13.225], MIX, 43, , , , , , verify_integrity, CPU: 0.210248 ms, wall: 0.210335 ms, 
[18:45:13.227], MIX, 43, , , , , , decrypt_beta, CPU: 1.192724 ms, wall: 1.200626 ms, 
[18:45:13.227], MIX, 43, , , , , , update_alpha, CPU: 0.101866 ms, wall: 0.109268 ms, 
[18:45:13.227], MIX, 43, , , , , , process_header, CPU: 2.088815 ms, wall: 2.109717 ms, 
[18:45:13.227], MIX, 43, -->, MIX, 44, Header, 61fe825d, RUN, , , 
[18:45:13.266], MIX, 43, <--, MIX, 5, Header, befe164a, RUN, , , 
[18:45:13.266], MIX, 43, , , , , , compute_shared_secret, CPU: 0.151304 ms, wall: 0.161780 ms, 
[18:45:13.266], MIX, 43, , , , , , verify_integrity, CPU: 0.166995 ms, wall: 0.166905 ms, 
[18:45:13.267], MIX, 43, , , , , , decrypt_beta, CPU: 0.955550 ms, wall: 0.961555 ms, 
[18:45:13.268], MIX, 43, , , , , , update_alpha, CPU: 0.105085 ms, wall: 0.105070 ms, 
[18:45:13.268], MIX, 43, , , , , , process_header, CPU: 1.737959 ms, wall: 1.753176 ms, 
[18:45:13.268], MIX, 43, -->, MIX, 34, Header, 87c2beb4, RUN, , , 
[18:45:13.280], MIX, 43, <--, CLIENT, 76, Header, 10718261, RUN, , , 
[18:45:13.281], MIX, 43, , , , , , compute_shared_secret, CPU: 0.328835 ms, wall: 0.335021 ms, 
[18:45:13.282], MIX, 43, , , , , , verify_integrity, CPU: 0.468391 ms, wall: 0.468146 ms, 
[18:45:13.284], MIX, 43, , , , , , decrypt_beta, CPU: 2.485668 ms, wall: 2.511563 ms, 
[18:45:13.285], MIX, 43, , , , , , update_alpha, CPU: 0.215136 ms, wall: 0.214818 ms, 
[18:45:13.285], MIX, 43, , , , , , process_header, CPU: 4.190709 ms, wall: 4.244926 ms, 
[18:45:13.285], MIX, 43, -->, MIX, 18, Header, 42930ad8, RUN, , , 
[18:45:13.297], MIX, 43, <--, MIX, 48, Header, 41353cb1, RUN, , , 
[18:45:13.297], MIX, 43, , , , , , compute_shared_secret, CPU: 0.125402 ms, wall: 0.125506 ms, 
[18:45:13.298], MIX, 43, , , , , , verify_integrity, CPU: 0.152549 ms, wall: 0.152537 ms, 
[18:45:13.298], MIX, 43, , , , , , decrypt_beta, CPU: 0.746544 ms, wall: 0.753945 ms, 
[18:45:13.299], MIX, 43, , , , , , update_alpha, CPU: 0.064215 ms, wall: 0.064198 ms, 
[18:45:13.299], MIX, 43, , , , , , process_header, CPU: 1.330499 ms, wall: 1.336850 ms, 
[18:45:13.299], MIX, 43, -->, CLIENT, 52, Header, 1b6e4311, RUN, , , 
