[18:45:10.310], MIX, 44, -->, STTP, 1, list, 251c9ffa, SETUP, , , 
[18:45:10.311], MIX, 44, -->, STTP, 2, list, 4b4a8c93, SETUP, , , 
[18:45:10.370], MIX, 44, -->, STTP, 3, list, 7092ac22, SETUP, , , 
[18:45:10.372], MIX, 44, -->, STTP, 4, list, 48823c53, SETUP, , , 
[18:45:10.376], MIX, 44, -->, STTP, 5, list, a6c3e139, SETUP, , , 
[18:45:10.377], MIX, 44, -->, STTP, 6, list, fbf41ad7, SETUP, , , 
[18:45:10.381], MIX, 44, -->, STTP, 7, list, 32818334, SETUP, , , 
[18:45:10.383], MIX, 44, -->, STTP, 8, list, e2f313d1, SETUP, , , 
[18:45:10.384], MIX, 44, -->, STTP, 9, list, c3a64984, SETUP, , , 
[18:45:10.386], MIX, 44, -->, STTP, 10, list, b61e838b, SETUP, , , 
[18:45:10.388], MIX, 44, -->, STTP, 11, list, 7320feab, SETUP, , , 
[18:45:10.389], MIX, 44, -->, STTP, 12, list, 3719a2b9, SETUP, , , 
[18:45:10.393], MIX, 44, -->, STTP, 13, list, a14ee0ca, SETUP, , , 
[18:45:10.397], MIX, 44, -->, STTP, 14, list, 995d3ed0, SETUP, , , 
[18:45:10.401], MIX, 44, -->, STTP, 15, list, 27dc3b98, SETUP, , , 
[18:45:10.403], MIX, 44, -->, STTP, 16, list, f0cc235f, SETUP, , , 
[18:45:10.404], MIX, 44, -->, STTP, 17, list, f6155e68, SETUP, , , 
[18:45:10.406], MIX, 44, -->, STTP, 18, list, 984c2e98, SETUP, , , 
[18:45:10.407], MIX, 44, -->, STTP, 19, list, 34469308, SETUP, , , 
[18:45:10.421], MIX, 44, -->, STTP, 20, list, 8996c413, SETUP, , , 
[18:45:10.422], MIX, 44, , , , , , setup, CPU: 31.425222 ms, wall: 112.694202 ms, 
[18:45:12.578], MIX, 44, <--, MIX, 7, Header, 49a4638d, RUN, , , 
[18:45:12.579], MIX, 44, , , , , , compute_shared_secret, CPU: 0.124665 ms, wall: 0.124755 ms, 
[18:45:12.579], MIX, 44, , , , , , verify_integrity, CPU: 0.160191 ms, wall: 0.160288 ms, 
[18:45:12.580], MIX, 44, , , , , , decrypt_beta, CPU: 0.777353 ms, wall: 0.784967 ms, 
[18:45:12.580], MIX, 44, , , , , , update_alpha, CPU: 0.062399 ms, wall: 0.062346 ms, 
[18:45:12.580], MIX, 44, , , , , , process_header, CPU: 1.368130 ms, wall: 1.374454 ms, 
[18:45:12.580], MIX, 44, -->, MIX, 32, Header, c7a6b852, RUN, , , 
[18:45:12.977], MIX, 44, <--, MIX, 47, Header, f30066c2, RUN, , , 
[18:45:12.978], MIX, 44, , , , , , compute_shared_secret, CPU: 0.279800 ms, wall: 0.294775 ms, 
[18:45:12.978], MIX, 44, , , , , , verify_integrity, CPU: 0.451125 ms, wall: 0.463082 ms, 
[18:45:12.981], MIX, 44, , , , , , decrypt_beta, CPU: 2.541362 ms, wall: 2.573237 ms, 
[18:45:12.981], MIX, 44, , , , , , update_alpha, CPU: 0.223638 ms, wall: 0.223128 ms, 
[18:45:12.982], MIX, 44, , , , , , process_header, CPU: 4.255112 ms, wall: 4.311252 ms, 
[18:45:12.982], MIX, 44, -->, MIX, 18, Header, 423564dc, RUN, , , 
[18:45:13.017], MIX, 44, <--, CLIENT, 26, Header, c11346fa, RUN, , , 
[18:45:13.017], MIX, 44, , , , , , compute_shared_secret, CPU: 0.183868 ms, wall: 0.191734 ms, 
[18:45:13.017], MIX, 44, , , , , , verify_integrity, CPU: 0.305926 ms, wall: 0.305878 ms, 
[18:45:13.020], MIX, 44, , , , , , decrypt_beta, CPU: 2.341791 ms, wall: 2.381923 ms, 
[18:45:13.020], MIX, 44, , , , , , update_alpha, CPU: 0.219205 ms, wall: 0.218715 ms, 
[18:45:13.021], MIX, 44, , , , , , process_header, CPU: 3.664250 ms, wall: 3.718720 ms, 
[18:45:13.021], MIX, 44, -->, MIX, 46, Header, d7a891ce, RUN, , , 
[18:45:13.146], MIX, 44, <--, CLIENT, 50, Header, 60d95981, RUN, , , 
[18:45:13.146], MIX, 44, , , , , , compute_shared_secret, CPU: 0.188055 ms, wall: 0.194487 ms, 
[18:45:13.147], MIX, 44, , , , , , verify_integrity, CPU: 0.264195 ms, wall: 0.264388 ms, 
[18:45:13.148], MIX, 44, , , , , , decrypt_beta, CPU: 1.267801 ms, wall: 1.359412 ms, 
[18:45:13.148], MIX, 44, , , , , , update_alpha, CPU: 0.096122 ms, wall: 0.096116 ms, 
[18:45:13.148], MIX, 44, , , , , , process_header, CPU: 2.321150 ms, wall: 2.442528 ms, 
[18:45:13.148], MIX, 44, -->, MIX, 5, Header, d9af6922, RUN, , , 
[18:45:13.155], MIX, 44, <--, MIX, 22, Header, 43b329bf, RUN, , , 
[18:45:13.155], MIX, 44, , , , , , compute_shared_secret, CPU: 0.174128 ms, wall: 0.174587 ms, 
[18:45:13.156], MIX, 44, , , , , , verify_integrity, CPU: 0.270043 ms, wall: 0.269797 ms, 
[18:45:13.167], MIX, 44, , , , , , decrypt_beta, CPU: 1.210410 ms, wall: 10.826595 ms, 
[18:45:13.167], MIX, 44, , , , , , update_alpha, CPU: 0.136416 ms, wall: 0.135825 ms, 
[18:45:13.167], MIX, 44, , , , , , process_header, CPU: 2.350583 ms, wall: 11.954763 ms, 
[18:45:13.167], MIX, 44, -->, MIX, 33, Header, 3ba2fbc4, RUN, , , 
[18:45:13.186], MIX, 44, <--, MIX, 43, Header, 79c49b0f, RUN, , , 
[18:45:13.186], MIX, 44, , , , , , compute_shared_secret, CPU: 0.180990 ms, wall: 0.181317 ms, 
[18:45:13.187], MIX, 44, , , , , , verify_integrity, CPU: 0.317629 ms, wall: 0.317921 ms, 
[18:45:13.188], MIX, 44, , , , , , decrypt_beta, CPU: 1.228058 ms, wall: 1.241160 ms, 
[18:45:13.188], MIX, 44, , , , , , update_alpha, CPU: 0.104182 ms, wall: 0.104035 ms, 
[18:45:13.188], MIX, 44, , , , , , process_header, CPU: 2.244502 ms, wall: 2.256616 ms, 
[18:45:13.188], MIX, 44, -->, CLIENT, 9, Header, 82e1b722, RUN, , , 
[18:45:13.213], MIX, 44, <--, MIX, 22, Header, 018184a6, RUN, , , 
[18:45:13.214], MIX, 44, , , , , , compute_shared_secret, CPU: 0.334820 ms, wall: 0.335442 ms, 
[18:45:13.214], MIX, 44, , , , , , verify_integrity, CPU: 0.418865 ms, wall: 0.429414 ms, 
[18:45:13.217], MIX, 44, , , , , , decrypt_beta, CPU: 2.505171 ms, wall: 2.522862 ms, 
[18:45:13.217], MIX, 44, , , , , , update_alpha, CPU: 0.217134 ms, wall: 0.216625 ms, 
[18:45:13.218], MIX, 44, , , , , , process_header, CPU: 4.123183 ms, wall: 4.252916 ms, 
[18:45:13.218], MIX, 44, -->, CLIENT, 94, Header, 7c9f1c9e, RUN, , , 
[18:45:13.230], MIX, 44, <--, MIX, 43, Header, afe502ec, RUN, , , 
[18:45:13.230], MIX, 44, , , , , , compute_shared_secret, CPU: 0.179783 ms, wall: 0.179853 ms, 
[18:45:13.231], MIX, 44, , , , , , verify_integrity, CPU: 0.312713 ms, wall: 0.313280 ms, 
[18:45:13.232], MIX, 44, , , , , , decrypt_beta, CPU: 1.280273 ms, wall: 1.321010 ms, 
[18:45:13.232], MIX, 44, , , , , , update_alpha, CPU: 0.105802 ms, wall: 0.105469 ms, 
[18:45:13.232], MIX, 44, , , , , , process_header, CPU: 2.335790 ms, wall: 2.375260 ms, 
[18:45:13.232], MIX, 44, -->, MIX, 17, Header, 9f6bbe5d, RUN, , , 
