[18:45:10.370], MIX, 45, -->, STTP, 1, list, 329c9086, SETUP, , , 
[18:45:10.372], MIX, 45, -->, STTP, 2, list, 20c45226, SETUP, , , 
[18:45:10.373], MIX, 45, -->, STTP, 3, list, 1e2e8aa4, SETUP, , , 
[18:45:10.375], MIX, 45, -->, STTP, 4, list, 52bf404e, SETUP, , , 
[18:45:10.376], MIX, 45, -->, STTP, 5, list, a9e59f35, SETUP, , , 
[18:45:10.378], MIX, 45, -->, STTP, 6, list, 15b79b1d, SETUP, , , 
[18:45:10.379], MIX, 45, -->, STTP, 7, list, 916a3c56, SETUP, , , 
[18:45:10.381], MIX, 45, -->, STTP, 8, list, a8b92d50, SETUP, , , 
[18:45:10.382], MIX, 45, -->, STTP, 9, list, 5ec896ff, SETUP, , , 
[18:45:10.384], MIX, 45, -->, STTP, 10, list, 99813b2e, SETUP, , , 
[18:45:10.385], MIX, 45, -->, STTP, 11, list, 7cbe3819, SETUP, , , 
[18:45:10.387], MIX, 45, -->, STTP, 12, list, a76483b3, SETUP, , , 
[18:45:10.388], MIX, 45, -->, STTP, 13, list, 2e37fa9a, SETUP, , , 
[18:45:10.390], MIX, 45, -->, STTP, 14, list, 0645bfd8, SETUP, , , 
[18:45:10.391], MIX, 45, -->, STTP, 15, list, 63a9873b, SETUP, , , 
[18:45:10.393], MIX, 45, -->, STTP, 16, list, 5243d35e, SETUP, , , 
[18:45:10.394], MIX, 45, -->, STTP, 17, list, 3457d172, SETUP, , , 
[18:45:10.396], MIX, 45, -->, STTP, 18, list, 070bcafe, SETUP, , , 
[18:45:10.397], MIX, 45, -->, STTP, 19, list, d4d6be8d, SETUP, , , 
[18:45:10.399], MIX, 45, -->, STTP, 20, list, c31501bd, SETUP, , , 
[18:45:10.404], MIX, 45, , , , , , setup, CPU: 30.283080 ms, wall: 36.015069 ms, 
[18:45:12.577], MIX, 45, <--, MIX, 23, Header, 8d3cc4a0, RUN, , , 
[18:45:12.577], MIX, 45, , , , , , compute_shared_secret, CPU: 0.137709 ms, wall: 0.139083 ms, 
[18:45:12.578], MIX, 45, , , , , , verify_integrity, CPU: 0.171752 ms, wall: 0.171858 ms, 
[18:45:12.578], MIX, 45, , , , , , decrypt_beta, CPU: 0.823738 ms, wall: 0.831141 ms, 
[18:45:12.579], MIX, 45, , , , , , update_alpha, CPU: 0.069917 ms, wall: 0.069924 ms, 
[18:45:12.579], MIX, 45, , , , , , process_header, CPU: 1.509449 ms, wall: 1.517160 ms, 
[18:45:12.579], MIX, 45, -->, MIX, 17, Header, 2d7cd8d0, RUN, , , 
[18:45:12.966], MIX, 45, <--, MIX, 36, Header, a05c54c8, RUN, , , 
[18:45:12.966], MIX, 45, , , , , , compute_shared_secret, CPU: 0.137640 ms, wall: 0.137812 ms, 
[18:45:12.967], MIX, 45, , , , , , verify_integrity, CPU: 0.184624 ms, wall: 0.184654 ms, 
[18:45:12.968], MIX, 45, , , , , , decrypt_beta, CPU: 0.777460 ms, wall: 0.793655 ms, 
[18:45:12.968], MIX, 45, , , , , , update_alpha, CPU: 0.068403 ms, wall: 0.068301 ms, 
[18:45:12.968], MIX, 45, , , , , , process_header, CPU: 1.437728 ms, wall: 1.452925 ms, 
[18:45:12.968], MIX, 45, -->, MIX, 42, Header, 891c8f69, RUN, , , 
[18:45:13.131], MIX, 45, <--, MIX, 47, Header, c6f7e3f9, RUN, , , 
[18:45:13.131], MIX, 45, , , , , , compute_shared_secret, CPU: 0.172554 ms, wall: 0.172687 ms, 
[18:45:13.132], MIX, 45, , , , , , verify_integrity, CPU: 0.228835 ms, wall: 0.228916 ms, 
[18:45:13.134], MIX, 45, , , , , , decrypt_beta, CPU: 1.888043 ms, wall: 1.924134 ms, 
[18:45:13.134], MIX, 45, , , , , , update_alpha, CPU: 0.224213 ms, wall: 0.223890 ms, 
[18:45:13.134], MIX, 45, , , , , , process_header, CPU: 3.123302 ms, wall: 3.165587 ms, 
[18:45:13.135], MIX, 45, -->, MIX, 27, Header, d7607bfb, RUN, , , 
[18:45:13.181], MIX, 45, <--, CLIENT, 30, Header, befcbbe6, RUN, , , 
[18:45:13.181], MIX, 45, , , , , , compute_shared_secret, CPU: 0.326118 ms, wall: 0.326643 ms, 
[18:45:13.182], MIX, 45, , , , , , verify_integrity, CPU: 0.378174 ms, wall: 0.378213 ms, 
[18:45:13.186], MIX, 45, , , , , , decrypt_beta, CPU: 2.563961 ms, wall: 3.343070 ms, 
[18:45:13.186], MIX, 45, , , , , , update_alpha, CPU: 0.222011 ms, wall: 0.231838 ms, 
[18:45:13.186], MIX, 45, , , , , , process_header, CPU: 4.227356 ms, wall: 5.195040 ms, 
[18:45:13.186], MIX, 45, -->, MIX, 21, Header, 7395f02c, RUN, , , 
[18:45:13.214], MIX, 45, <--, MIX, 26, Header, 6507b69e, RUN, , , 
[18:45:13.215], MIX, 45, , , , , , compute_shared_secret, CPU: 0.154112 ms, wall: 0.154380 ms, 
[18:45:13.215], MIX, 45, , , , , , verify_integrity, CPU: 0.255803 ms, wall: 0.262415 ms, 
[18:45:13.217], MIX, 45, , , , , , decrypt_beta, CPU: 1.254763 ms, wall: 1.351872 ms, 
[18:45:13.217], MIX, 45, , , , , , update_alpha, CPU: 0.104137 ms, wall: 0.103954 ms, 
[18:45:13.217], MIX, 45, , , , , , process_header, CPU: 2.241460 ms, wall: 2.393307 ms, 
[18:45:13.217], MIX, 45, -->, MIX, 23, Header, bb210067, RUN, , , 
[18:45:13.237], MIX, 45, <--, MIX, 23, Header, 8f5dd380, RUN, , , 
[18:45:13.238], MIX, 45, , , , , , compute_shared_secret, CPU: 0.347050 ms, wall: 0.394253 ms, 
[18:45:13.239], MIX, 45, , , , , , verify_integrity, CPU: 0.380402 ms, wall: 0.385650 ms, 
[18:45:13.242], MIX, 45, , , , , , decrypt_beta, CPU: 2.521624 ms, wall: 2.538853 ms, 
[18:45:13.242], MIX, 45, , , , , , update_alpha, CPU: 0.222646 ms, wall: 0.222516 ms, 
[18:45:13.242], MIX, 45, , , , , , process_header, CPU: 4.168146 ms, wall: 4.249520 ms, 
[18:45:13.242], MIX, 45, -->, MIX, 36, Header, aef7961f, RUN, , , 
[18:45:13.261], MIX, 45, <--, MIX, 38, Header, 8a9f77b0, RUN, , , 
[18:45:13.262], MIX, 45, , , , , , compute_shared_secret, CPU: 0.173656 ms, wall: 0.173691 ms, 
[18:45:13.263], MIX, 45, , , , , , verify_integrity, CPU: 0.446257 ms, wall: 0.445704 ms, 
[18:45:13.265], MIX, 45, , , , , , decrypt_beta, CPU: 2.546514 ms, wall: 2.580007 ms, 
[18:45:13.266], MIX, 45, , , , , , update_alpha, CPU: 0.217929 ms, wall: 0.217618 ms, 
[18:45:13.266], MIX, 45, , , , , , process_header, CPU: 4.075990 ms, wall: 4.246285 ms, 
[18:45:13.266], MIX, 45, -->, MIX, 50, Header, 801abf85, RUN, , , 
[18:45:13.271], MIX, 45, <--, CLIENT, 66, Header, d44734ad, RUN, , , 
[18:45:13.271], MIX, 45, , , , , , compute_shared_secret, CPU: 0.139402 ms, wall: 0.139528 ms, 
[18:45:13.271], MIX, 45, , , , , , verify_integrity, CPU: 0.170755 ms, wall: 0.170807 ms, 
[18:45:13.272], MIX, 45, , , , , , decrypt_beta, CPU: 0.776195 ms, wall: 0.781584 ms, 
[18:45:13.272], MIX, 45, , , , , , update_alpha, CPU: 0.062978 ms, wall: 0.062849 ms, 
[18:45:13.273], MIX, 45, , , , , , process_header, CPU: 1.414121 ms, wall: 1.420127 ms, 
[18:45:13.273], MIX, 45, -->, MIX, 17, Header, 21a27e8a, RUN, , , 
[18:45:13.274], MIX, 45, <--, CLIENT, 78, Header, 7e038e18, RUN, , , 
[18:45:13.275], MIX, 45, , , , , , compute_shared_secret, CPU: 0.124909 ms, wall: 0.125100 ms, 
[18:45:13.275], MIX, 45, , , , , , verify_integrity, CPU: 0.166793 ms, wall: 0.166777 ms, 
[18:45:13.276], MIX, 45, , , , , , decrypt_beta, CPU: 0.861724 ms, wall: 0.868809 ms, 
[18:45:13.276], MIX, 45, , , , , , update_alpha, CPU: 0.076213 ms, wall: 0.076098 ms, 
[18:45:13.276], MIX, 45, , , , , , process_header, CPU: 1.474280 ms, wall: 1.485470 ms, 
[18:45:13.276], MIX, 45, -->, MIX, 9, Header, eee3ac51, RUN, , , 
[18:45:13.278], MIX, 45, <--, MIX, 34, Header, caa13421, RUN, , , 
[18:45:13.278], MIX, 45, , , , , , compute_shared_secret, CPU: 0.114671 ms, wall: 0.114521 ms, 
[18:45:13.278], MIX, 45, , , , , , verify_integrity, CPU: 0.191719 ms, wall: 0.191813 ms, 
[18:45:13.279], MIX, 45, , , , , , decrypt_beta, CPU: 0.897006 ms, wall: 0.903857 ms, 
[18:45:13.279], MIX, 45, , , , , , update_alpha, CPU: 0.077019 ms, wall: 0.076987 ms, 
[18:45:13.279], MIX, 45, , , , , , process_header, CPU: 1.520113 ms, wall: 1.526451 ms, 
[18:45:13.280], MIX, 45, -->, CLIENT, 79, Header, ae2903aa, RUN, , , 
[18:45:13.282], MIX, 45, <--, MIX, 26, Header, 0d10d1e9, RUN, , , 
[18:45:13.282], MIX, 45, , , , , , compute_shared_secret, CPU: 0.121446 ms, wall: 0.121494 ms, 
[18:45:13.282], MIX, 45, , , , , , verify_integrity, CPU: 0.172471 ms, wall: 0.172720 ms, 
[18:45:13.283], MIX, 45, , , , , , decrypt_beta, CPU: 0.837163 ms, wall: 0.844972 ms, 
[18:45:13.284], MIX, 45, , , , , , update_alpha, CPU: 0.482310 ms, wall: 0.483311 ms, 
[18:45:13.284], MIX, 45, , , , , , process_header, CPU: 2.243616 ms, wall: 2.266127 ms, 
[18:45:13.284], MIX, 45, -->, MIX, 26, Header, 611c2c91, RUN, , , 
[18:45:13.295], MIX, 45, <--, MIX, 35, Header, d08d4c8f, RUN, , , 
[18:45:13.295], MIX, 45, , , , , , compute_shared_secret, CPU: 0.119862 ms, wall: 0.120001 ms, 
[18:45:13.296], MIX, 45, , , , , , verify_integrity, CPU: 0.193108 ms, wall: 0.193255 ms, 
[18:45:13.297], MIX, 45, , , , , , decrypt_beta, CPU: 0.863380 ms, wall: 0.865003 ms, 
[18:45:13.297], MIX, 45, , , , , , update_alpha, CPU: 0.072498 ms, wall: 0.072421 ms, 
[18:45:13.297], MIX, 45, , , , , , process_header, CPU: 1.570693 ms, wall: 1.575609 ms, 
[18:45:13.297], MIX, 45, -->, MIX, 50, Header, 2ad90962, RUN, , , 
[18:45:13.310], MIX, 45, <--, MIX, 11, Header, 2acf00b1, RUN, , , 
[18:45:13.311], MIX, 45, , , , , , compute_shared_secret, CPU: 0.120674 ms, wall: 0.120618 ms, 
[18:45:13.311], MIX, 45, , , , , , verify_integrity, CPU: 0.196720 ms, wall: 0.196772 ms, 
[18:45:13.312], MIX, 45, , , , , , decrypt_beta, CPU: 0.770754 ms, wall: 0.777134 ms, 
[18:45:13.312], MIX, 45, , , , , , update_alpha, CPU: 0.063255 ms, wall: 0.063146 ms, 
[18:45:13.312], MIX, 45, , , , , , process_header, CPU: 1.374913 ms, wall: 1.380175 ms, 
[18:45:13.312], MIX, 45, -->, MIX, 23, Header, 37f1c5fd, RUN, , , 
