[18:45:10.337], MIX, 46, -->, STTP, 1, list, d22ca904, SETUP, , , 
[18:45:10.339], MIX, 46, -->, STTP, 2, list, 72d721bd, SETUP, , , 
[18:45:10.341], MIX, 46, -->, STTP, 3, list, 33ae50e2, SETUP, , , 
[18:45:10.342], MIX, 46, -->, STTP, 4, list, e8df8928, SETUP, , , 
[18:45:10.346], MIX, 46, -->, STTP, 5, list, 54fa7836, SETUP, , , 
[18:45:10.347], MIX, 46, -->, STTP, 6, list, 8d012d81, SETUP, , , 
[18:45:10.348], MIX, 46, -->, STTP, 7, list, 67d3d669, SETUP, , , 
[18:45:10.350], MIX, 46, -->, STTP, 8, list, 035c2537, SETUP, , , 
[18:45:10.351], MIX, 46, -->, STTP, 9, list, 77fdd574, SETUP, , , 
[18:45:10.352], MIX, 46, -->, STTP, 10, list, 6aaf3d10, SETUP, , , 
[18:45:10.353], MIX, 46, -->, STTP, 11, list, 8b962d38, SETUP, , , 
[18:45:10.354], MIX, 46, -->, STTP, 12, list, 81a2fd19, SETUP, , , 
[18:45:10.355], MIX, 46, -->, STTP, 13, list, aa2d46ad, SETUP, , , 
[18:45:10.356], MIX, 46, -->, STTP, 14, list, d88a52f4, SETUP, , , 
[18:45:10.357], MIX, 46, -->, STTP, 15, list, 16ff9652, SETUP, , , 
[18:45:10.358], MIX, 46, -->, STTP, 16, list, 78512638, SETUP, , , 
[18:45:10.359], MIX, 46, -->, STTP, 17, list, 2a861509, SETUP, , , 
[18:45:10.360], MIX, 46, -->, STTP, 18, list, 494157e4, SETUP, , , 
[18:45:10.360], MIX, 46, -->, STTP, 19, list, e7518f5e, SETUP, , , 
[18:45:10.361], MIX, 46, -->, STTP, 20, list, 894b844d, SETUP, , , 
[18:45:10.361], MIX, 46, , , , , , setup, CPU: 16.253505 ms, wall: 26.676854 ms, 
[18:45:12.988], MIX, 46, <--, MIX, 26, Header, 8b986bdf, RUN, , , 
[18:45:12.989], MIX, 46, , , , , , compute_shared_secret, CPU: 0.181027 ms, wall: 0.181114 ms, 
[18:45:12.989], MIX, 46, , , , , , verify_integrity, CPU: 0.199768 ms, wall: 0.199792 ms, 
[18:45:12.990], MIX, 46, , , , , , decrypt_beta, CPU: 0.777929 ms, wall: 0.786625 ms, 
[18:45:12.990], MIX, 46, , , , , , update_alpha, CPU: 0.062041 ms, wall: 0.061952 ms, 
[18:45:12.990], MIX, 46, , , , , , process_header, CPU: 1.510409 ms, wall: 1.525836 ms, 
[18:45:12.990], MIX, 46, -->, MIX, 7, Header, 1bcd417f, RUN, , , 
[18:45:12.994], MIX, 46, <--, MIX, 29, Header, e0abdaca, RUN, , , 
[18:45:12.994], MIX, 46, , , , , , compute_shared_secret, CPU: 0.121664 ms, wall: 0.124141 ms, 
[18:45:12.995], MIX, 46, , , , , , verify_integrity, CPU: 0.185093 ms, wall: 0.185060 ms, 
[18:45:12.996], MIX, 46, , , , , , decrypt_beta, CPU: 0.781574 ms, wall: 0.788099 ms, 
[18:45:12.996], MIX, 46, , , , , , update_alpha, CPU: 0.065768 ms, wall: 0.065812 ms, 
[18:45:12.996], MIX, 46, , , , , , process_header, CPU: 1.400258 ms, wall: 1.408204 ms, 
[18:45:12.996], MIX, 46, -->, MIX, 34, Header, c3fb5a89, RUN, , , 
[18:45:13.025], MIX, 46, <--, MIX, 44, Header, 9b386fb4, RUN, , , 
[18:45:13.026], MIX, 46, , , , , , compute_shared_secret, CPU: 0.123171 ms, wall: 0.123361 ms, 
[18:45:13.026], MIX, 46, , , , , , verify_integrity, CPU: 0.206335 ms, wall: 0.206272 ms, 
[18:45:13.027], MIX, 46, , , , , , decrypt_beta, CPU: 0.773013 ms, wall: 0.772930 ms, 
[18:45:13.027], MIX, 46, , , , , , update_alpha, CPU: 0.062544 ms, wall: 0.062517 ms, 
[18:45:13.027], MIX, 46, , , , , , process_header, CPU: 1.423180 ms, wall: 1.428908 ms, 
[18:45:13.027], MIX, 46, -->, MIX, 1, Header, 3435ed36, RUN, , , 
[18:45:13.170], MIX, 46, <--, MIX, 50, Header, bb42d08c, RUN, , , 
[18:45:13.171], MIX, 46, , , , , , compute_shared_secret, CPU: 0.176692 ms, wall: 0.176731 ms, 
[18:45:13.171], MIX, 46, , , , , , verify_integrity, CPU: 0.228388 ms, wall: 0.228095 ms, 
[18:45:13.173], MIX, 46, , , , , , decrypt_beta, CPU: 1.248924 ms, wall: 1.255391 ms, 
[18:45:13.173], MIX, 46, , , , , , update_alpha, CPU: 0.103914 ms, wall: 0.103997 ms, 
[18:45:13.173], MIX, 46, , , , , , process_header, CPU: 2.138873 ms, wall: 2.151107 ms, 
[18:45:13.173], MIX, 46, -->, MIX, 2, Header, 1363f836, RUN, , , 
[18:45:13.260], MIX, 46, <--, CLIENT, 98, Header, 96003c1b, RUN, , , 
[18:45:13.260], MIX, 46, , , , , , compute_shared_secret, CPU: 0.179051 ms, wall: 0.180740 ms, 
[18:45:13.261], MIX, 46, , , , , , verify_integrity, CPU: 0.313187 ms, wall: 0.313265 ms, 
[18:45:13.262], MIX, 46, , , , , , decrypt_beta, CPU: 1.216852 ms, wall: 1.225389 ms, 
[18:45:13.262], MIX, 46, , , , , , update_alpha, CPU: 0.108342 ms, wall: 0.108073 ms, 
[18:45:13.262], MIX, 46, , , , , , process_header, CPU: 2.270245 ms, wall: 2.290583 ms, 
[18:45:13.262], MIX, 46, -->, MIX, 22, Header, 8a99402b, RUN, , , 
