[18:45:10.431], MIX, 47, -->, STTP, 1, list, 22d72a6e, SETUP, , , 
[18:45:10.433], MIX, 47, -->, STTP, 2, list, 0014ecc2, SETUP, , , 
[18:45:10.435], MIX, 47, -->, STTP, 3, list, feb48634, SETUP, , , 
[18:45:10.437], MIX, 47, -->, STTP, 4, list, db9c950a, SETUP, , , 
[18:45:10.438], MIX, 47, -->, STTP, 5, list, 84bd48ca, SETUP, , , 
[18:45:10.440], MIX, 47, -->, STTP, 6, list, 264cc98d, SETUP, , , 
[18:45:10.441], MIX, 47, -->, STTP, 7, list, 99ec078d, SETUP, , , 
[18:45:10.443], MIX, 47, -->, STTP, 8, list, 74cce406, SETUP, , , 
[18:45:10.444], MIX, 47, -->, STTP, 9, list, 5400bdd4, SETUP, , , 
[18:45:10.446], MIX, 47, -->, STTP, 10, list, e3cd5b49, SETUP, , , 
[18:45:10.447], MIX, 47, -->, STTP, 11, list, 24c09ebe, SETUP, , , 
[18:45:10.449], MIX, 47, -->, STTP, 12, list, e77d27aa, SETUP, , , 
[18:45:10.451], MIX, 47, -->, STTP, 13, list, 39946ef4, SETUP, , , 
[18:45:10.452], MIX, 47, -->, STTP, 14, list, 1375cd2e, SETUP, , , 
[18:45:10.454], MIX, 47, -->, STTP, 15, list, 3f498cde, SETUP, , , 
[18:45:10.455], MIX, 47, -->, STTP, 16, list, f037374f, SETUP, , , 
[18:45:10.457], MIX, 47, -->, STTP, 17, list, 7e0c475a, SETUP, , , 
[18:45:10.458], MIX, 47, -->, STTP, 18, list, 7ebbb919, SETUP, , , 
[18:45:10.459], MIX, 47, -->, STTP, 19, list, 3f9a5d70, SETUP, , , 
[18:45:10.460], MIX, 47, -->, STTP, 20, list, 65caf781, SETUP, , , 
[18:45:10.460], MIX, 47, , , , , , setup, CPU: 29.528308 ms, wall: 30.052508 ms, 
[18:45:12.574], MIX, 47, <--, MIX, 21, Header, 19a7ae28, RUN, , , 
[18:45:12.575], MIX, 47, , , , , , compute_shared_secret, CPU: 0.129979 ms, wall: 0.130103 ms, 
[18:45:12.575], MIX, 47, , , , , , verify_integrity, CPU: 0.214930 ms, wall: 0.214940 ms, 
[18:45:12.576], MIX, 47, , , , , , decrypt_beta, CPU: 0.776407 ms, wall: 0.780864 ms, 
[18:45:12.576], MIX, 47, , , , , , update_alpha, CPU: 0.062130 ms, wall: 0.062037 ms, 
[18:45:12.576], MIX, 47, , , , , , process_header, CPU: 1.424663 ms, wall: 1.428156 ms, 
[18:45:12.576], MIX, 47, -->, MIX, 15, Header, e257c1f1, RUN, , , 
[18:45:12.970], MIX, 47, <--, CLIENT, 54, Header, fc5652b9, RUN, , , 
[18:45:12.970], MIX, 47, , , , , , compute_shared_secret, CPU: 0.124812 ms, wall: 0.124832 ms, 
[18:45:12.971], MIX, 47, , , , , , verify_integrity, CPU: 0.213947 ms, wall: 0.213959 ms, 
[18:45:12.971], MIX, 47, , , , , , decrypt_beta, CPU: 0.848436 ms, wall: 0.854361 ms, 
[18:45:12.972], MIX, 47, , , , , , update_alpha, CPU: 0.242510 ms, wall: 0.241547 ms, 
