[18:45:10.161], MIX, 48, -->, STTP, 1, list, 732486b0, SETUP, , , 
[18:45:10.162], MIX, 48, -->, STTP, 2, list, c9eb229e, SETUP, , , 
[18:45:10.163], MIX, 48, -->, STTP, 3, list, 7d2bd309, SETUP, , , 
[18:45:10.165], MIX, 48, -->, STTP, 4, list, c0d8345c, SETUP, , , 
[18:45:10.166], MIX, 48, -->, STTP, 5, list, db3fedc2, SETUP, , , 
[18:45:10.167], MIX, 48, -->, STTP, 6, list, 272cdda5, SETUP, , , 
[18:45:10.167], MIX, 48, -->, STTP, 7, list, 7923d059, SETUP, , , 
[18:45:10.168], MIX, 48, -->, STTP, 8, list, 251eceb8, SETUP, , , 
[18:45:10.170], MIX, 48, -->, STTP, 9, list, cf14fe15, SETUP, , , 
[18:45:10.171], MIX, 48, -->, STTP, 10, list, efb5985c, SETUP, , , 
[18:45:10.171], MIX, 48, -->, STTP, 11, list, 6ff4b345, SETUP, , , 
[18:45:10.173], MIX, 48, -->, STTP, 12, list, 9c2cf23f, SETUP, , , 
[18:45:10.225], MIX, 48, -->, STTP, 13, list, ce94d117, SETUP, , , 
[18:45:10.236], MIX, 48, -->, STTP, 14, list, 9193f64c, SETUP, , , 
[18:45:10.243], MIX, 48, -->, STTP, 15, list, 974f1840, SETUP, , , 
[18:45:10.257], MIX, 48, -->, STTP, 16, list, 45980d15, SETUP, , , 
[18:45:10.259], MIX, 48, -->, STTP, 17, list, a808a3b4, SETUP, , , 
[18:45:10.266], MIX, 48, -->, STTP, 18, list, 80ea0e9b, SETUP, , , 
[18:45:10.269], MIX, 48, -->, STTP, 19, list, 7ea46a93, SETUP, , , 
[18:45:10.323], MIX, 48, -->, STTP, 20, list, 1aae908e, SETUP, , , 
[18:45:10.323], MIX, 48, , , , , , setup, CPU: 24.870171 ms, wall: 162.829852 ms, 
[18:45:13.016], MIX, 48, <--, CLIENT, 39, Header, b7ddf152, RUN, , , 
[18:45:13.016], MIX, 48, , , , , , compute_shared_secret, CPU: 0.185579 ms, wall: 0.185514 ms, 
[18:45:13.016], MIX, 48, , , , , , verify_integrity, CPU: 0.236654 ms, wall: 0.236586 ms, 
[18:45:13.018], MIX, 48, , , , , , decrypt_beta, CPU: 1.211098 ms, wall: 1.219254 ms, 
[18:45:13.018], MIX, 48, , , , , , update_alpha, CPU: 0.071368 ms, wall: 0.076262 ms, 
[18:45:13.018], MIX, 48, , , , , , process_header, CPU: 2.084496 ms, wall: 2.094195 ms, 
[18:45:13.018], MIX, 48, -->, MIX, 22, Header, 3544b6fa, RUN, , , 
[18:45:13.071], MIX, 48, <--, MIX, 27, Header, 95e50f1e, RUN, , , 
[18:45:13.071], MIX, 48, , , , , , compute_shared_secret, CPU: 0.145895 ms, wall: 0.154334 ms, 
[18:45:13.071], MIX, 48, , , , , , verify_integrity, CPU: 0.200352 ms, wall: 0.200446 ms, 
[18:45:13.073], MIX, 48, , , , , , decrypt_beta, CPU: 1.198373 ms, wall: 1.210483 ms, 
[18:45:13.073], MIX, 48, , , , , , update_alpha, CPU: 0.110455 ms, wall: 0.110117 ms, 
[18:45:13.073], MIX, 48, , , , , , process_header, CPU: 2.107471 ms, wall: 2.133216 ms, 
[18:45:13.073], MIX, 48, -->, MIX, 2, Header, bc2513df, RUN, , , 
[18:45:13.294], MIX, 48, <--, MIX, 32, Header, da25e99e, RUN, , , 
[18:45:13.294], MIX, 48, , , , , , compute_shared_secret, CPU: 0.133065 ms, wall: 0.140215 ms, 
[18:45:13.294], MIX, 48, , , , , , verify_integrity, CPU: 0.148663 ms, wall: 0.148588 ms, 
[18:45:13.295], MIX, 48, , , , , , decrypt_beta, CPU: 0.779294 ms, wall: 0.786888 ms, 
[18:45:13.295], MIX, 48, , , , , , update_alpha, CPU: 0.061842 ms, wall: 0.061868 ms, 
[18:45:13.295], MIX, 48, , , , , , process_header, CPU: 1.370218 ms, wall: 1.383584 ms, 
[18:45:13.295], MIX, 48, -->, MIX, 43, Header, df7360d6, RUN, , , 
[18:45:13.297], MIX, 48, <--, MIX, 20, Header, 45c980f7, RUN, , , 
[18:45:13.297], MIX, 48, , , , , , compute_shared_secret, CPU: 0.115266 ms, wall: 0.115306 ms, 
[18:45:13.298], MIX, 48, , , , , , verify_integrity, CPU: 0.138067 ms, wall: 0.137968 ms, 
[18:45:13.298], MIX, 48, , , , , , decrypt_beta, CPU: 0.801463 ms, wall: 0.809666 ms, 
[18:45:13.299], MIX, 48, , , , , , update_alpha, CPU: 0.096502 ms, wall: 0.096372 ms, 
[18:45:13.299], MIX, 48, , , , , , process_header, CPU: 1.444462 ms, wall: 1.451042 ms, 
[18:45:13.299], MIX, 48, -->, MIX, 37, Header, da35131d, RUN, , , 
