[18:45:10.321], MIX, 49, -->, STTP, 1, list, d6892c7d, SETUP, , , 
[18:45:10.382], MIX, 49, -->, STTP, 2, list, efa35943, SETUP, , , 
[18:45:10.383], MIX, 49, -->, STTP, 3, list, 39ee8c3a, SETUP, , , 
[18:45:10.387], MIX, 49, -->, STTP, 4, list, 6c3e177d, SETUP, , , 
[18:45:10.391], MIX, 49, -->, STTP, 5, list, 5a61148e, SETUP, , , 
[18:45:10.394], MIX, 49, -->, STTP, 6, list, 9c159ad7, SETUP, , , 
[18:45:10.397], MIX, 49, -->, STTP, 7, list, b4424a51, SETUP, , , 
[18:45:10.399], MIX, 49, -->, STTP, 8, list, 5982f4da, SETUP, , , 
[18:45:10.402], MIX, 49, -->, STTP, 9, list, ba64210c, SETUP, , , 
[18:45:10.403], MIX, 49, -->, STTP, 10, list, 45a82a2f, SETUP, , , 
[18:45:10.405], MIX, 49, -->, STTP, 11, list, c778df80, SETUP, , , 
[18:45:10.407], MIX, 49, -->, STTP, 12, list, fcd32bab, SETUP, , , 
[18:45:10.413], MIX, 49, -->, STTP, 13, list, 3aeb7b13, SETUP, , , 
[18:45:10.413], MIX, 49, -->, STTP, 14, list, 7b213274, SETUP, , , 
[18:45:10.414], MIX, 49, -->, STTP, 15, list, e9872a4f, SETUP, , , 
[18:45:10.414], MIX, 49, -->, STTP, 16, list, 7ff42f6f, SETUP, , , 
[18:45:10.415], MIX, 49, -->, STTP, 17, list, ffc93def, SETUP, , , 
[18:45:10.416], MIX, 49, -->, STTP, 18, list, 0dd000a1, SETUP, , , 
[18:45:10.417], MIX, 49, -->, STTP, 19, list, df0ae802, SETUP, , , 
[18:45:10.418], MIX, 49, -->, STTP, 20, list, a2467611, SETUP, , , 
[18:45:10.419], MIX, 49, , , , , , setup, CPU: 19.414199 ms, wall: 98.584132 ms, 
[18:45:12.394], MIX, 49, <--, MIX, 10, Header, 2da629b7, RUN, , , 
[18:45:12.395], MIX, 49, , , , , , compute_shared_secret, CPU: 0.128826 ms, wall: 0.128872 ms, 
[18:45:12.395], MIX, 49, , , , , , verify_integrity, CPU: 0.163002 ms, wall: 0.163111 ms, 
[18:45:12.396], MIX, 49, , , , , , decrypt_beta, CPU: 0.799187 ms, wall: 0.806014 ms, 
[18:45:12.396], MIX, 49, , , , , , update_alpha, CPU: 0.084580 ms, wall: 0.084623 ms, 
[18:45:12.396], MIX, 49, , , , , , process_header, CPU: 1.490890 ms, wall: 1.496766 ms, 
[18:45:12.396], MIX, 49, -->, MIX, 7, Header, 6ad2fac0, RUN, , , 
[18:45:12.584], MIX, 49, <--, MIX, 15, Header, 9b9c7d8c, RUN, , , 
