[18:45:10.072], MIX, 5, -->, STTP, 1, list, 9f08dd8a, SETUP, , , 
[18:45:10.085], MIX, 5, -->, STTP, 2, list, 81c72b96, SETUP, , , 
[18:45:10.096], MIX, 5, -->, STTP, 3, list, 3877891f, SETUP, , , 
[18:45:10.105], MIX, 5, -->, STTP, 4, list, 8ecef54e, SETUP, , , 
[18:45:10.145], MIX, 5, -->, STTP, 5, list, 37b45934, SETUP, , , 
[18:45:10.157], MIX, 5, -->, STTP, 6, list, e595a8f0, SETUP, , , 
[18:45:10.167], MIX, 5, -->, STTP, 7, list, 9c0a6079, SETUP, , , 
[18:45:10.175], MIX, 5, -->, STTP, 8, list, f80fa5ad, SETUP, , , 
[18:45:10.184], MIX, 5, -->, STTP, 9, list, a123e6da, SETUP, , , 
[18:45:10.233], MIX, 5, -->, STTP, 10, list, 8d512463, SETUP, , , 
[18:45:10.243], MIX, 5, -->, STTP, 11, list, e6aaebd4, SETUP, , , 
[18:45:10.254], MIX, 5, -->, STTP, 12, list, 32bd1ab6, SETUP, , , 
[18:45:10.305], MIX, 5, -->, STTP, 13, list, 5e922053, SETUP, , , 
[18:45:10.306], MIX, 5, -->, STTP, 14, list, e788e6dd, SETUP, , , 
[18:45:10.307], MIX, 5, -->, STTP, 15, list, 21c7f5fb, SETUP, , , 
[18:45:10.308], MIX, 5, -->, STTP, 16, list, 5f5fd10f, SETUP, , , 
[18:45:10.309], MIX, 5, -->, STTP, 17, list, 26be15fa, SETUP, , , 
[18:45:10.310], MIX, 5, -->, STTP, 18, list, ab9af6ef, SETUP, , , 
[18:45:10.311], MIX, 5, -->, STTP, 19, list, e8b4c11c, SETUP, , , 
[18:45:10.367], MIX, 5, -->, STTP, 20, list, 79b0c81b, SETUP, , , 
[18:45:10.374], MIX, 5, , , , , , setup, CPU: 32.580451 ms, wall: 306.158553 ms, 
[18:45:12.584], MIX, 5, <--, MIX, 17, Header, 351fb572, RUN, , , 
[18:45:12.584], MIX, 5, , , , , , compute_shared_secret, CPU: 0.130807 ms, wall: 0.130799 ms, 
[18:45:12.585], MIX, 5, , , , , , verify_integrity, CPU: 0.186933 ms, wall: 0.186894 ms, 
[18:45:12.586], MIX, 5, , , , , , decrypt_beta, CPU: 0.829125 ms, wall: 0.834614 ms, 
[18:45:12.586], MIX, 5, , , , , , update_alpha, CPU: 0.072456 ms, wall: 0.072188 ms, 
[18:45:12.586], MIX, 5, , , , , , process_header, CPU: 1.542115 ms, wall: 1.546529 ms, 
[18:45:12.586], MIX, 5, -->, CLIENT, 20, Header, 5a6e991f, RUN, , , 
[18:45:12.590], MIX, 5, <--, MIX, 43, Header, b5b2a89d, RUN, , , 
[18:45:12.590], MIX, 5, , , , , , compute_shared_secret, CPU: 0.128321 ms, wall: 0.128214 ms, 
[18:45:12.590], MIX, 5, , , , , , verify_integrity, CPU: 0.213616 ms, wall: 0.213434 ms, 
[18:45:12.591], MIX, 5, , , , , , decrypt_beta, CPU: 0.788698 ms, wall: 0.794208 ms, 
[18:45:12.591], MIX, 5, , , , , , update_alpha, CPU: 0.070333 ms, wall: 0.070244 ms, 
[18:45:12.591], MIX, 5, , , , , , process_header, CPU: 1.499406 ms, wall: 1.509523 ms, 
[18:45:12.591], MIX, 5, -->, MIX, 1, Header, e4c484c7, RUN, , , 
[18:45:12.661], MIX, 5, <--, MIX, 15, Header, 8edea04d, RUN, , , 
[18:45:12.661], MIX, 5, , , , , , compute_shared_secret, CPU: 0.118671 ms, wall: 0.118724 ms, 
[18:45:12.662], MIX, 5, , , , , , verify_integrity, CPU: 0.199908 ms, wall: 0.199926 ms, 
[18:45:12.663], MIX, 5, , , , , , decrypt_beta, CPU: 0.769131 ms, wall: 0.775013 ms, 
[18:45:12.663], MIX, 5, , , , , , update_alpha, CPU: 0.063342 ms, wall: 0.063279 ms, 
[18:45:12.663], MIX, 5, , , , , , process_header, CPU: 1.376646 ms, wall: 1.381512 ms, 
[18:45:12.663], MIX, 5, -->, MIX, 36, Header, 9b1e13c9, RUN, , , 
[18:45:12.867], MIX, 5, <--, MIX, 41, Header, 6444db7c, RUN, , , 
[18:45:12.867], MIX, 5, , , , , , compute_shared_secret, CPU: 0.120985 ms, wall: 0.121014 ms, 
[18:45:12.868], MIX, 5, , , , , , verify_integrity, CPU: 0.174728 ms, wall: 0.174915 ms, 
[18:45:12.868], MIX, 5, , , , , , decrypt_beta, CPU: 0.784776 ms, wall: 0.792392 ms, 
[18:45:12.869], MIX, 5, , , , , , update_alpha, CPU: 0.070241 ms, wall: 0.069820 ms, 
[18:45:12.869], MIX, 5, , , , , , process_header, CPU: 1.415779 ms, wall: 1.422352 ms, 
[18:45:12.869], MIX, 5, -->, MIX, 33, Header, 585b424e, RUN, , , 
[18:45:12.912], MIX, 5, <--, CLIENT, 36, Header, 66021478, RUN, , , 
[18:45:12.912], MIX, 5, , , , , , compute_shared_secret, CPU: 0.123267 ms, wall: 0.123296 ms, 
[18:45:12.912], MIX, 5, , , , , , verify_integrity, CPU: 0.145617 ms, wall: 0.145510 ms, 
[18:45:12.913], MIX, 5, , , , , , decrypt_beta, CPU: 0.750169 ms, wall: 0.757159 ms, 
[18:45:12.913], MIX, 5, , , , , , update_alpha, CPU: 0.061908 ms, wall: 0.061825 ms, 
[18:45:12.913], MIX, 5, , , , , , process_header, CPU: 1.340010 ms, wall: 1.354639 ms, 
[18:45:12.913], MIX, 5, -->, MIX, 43, Header, 8fce6dab, RUN, , , 
[18:45:13.031], MIX, 5, <--, MIX, 36, Header, 08dc4ad4, RUN, , , 
[18:45:13.032], MIX, 5, , , , , , compute_shared_secret, CPU: 0.121663 ms, wall: 0.121649 ms, 
[18:45:13.032], MIX, 5, , , , , , verify_integrity, CPU: 0.154254 ms, wall: 0.160521 ms, 
[18:45:13.033], MIX, 5, , , , , , decrypt_beta, CPU: 0.749011 ms, wall: 0.749068 ms, 
[18:45:13.033], MIX, 5, , , , , , update_alpha, CPU: 0.061471 ms, wall: 0.061480 ms, 
[18:45:13.033], MIX, 5, , , , , , process_header, CPU: 1.339975 ms, wall: 1.355642 ms, 
[18:45:13.033], MIX, 5, -->, MIX, 43, Header, bae1e012, RUN, , , 
[18:45:13.121], MIX, 5, <--, CLIENT, 47, Header, 9137149f, RUN, , , 
[18:45:13.122], MIX, 5, , , , , , compute_shared_secret, CPU: 0.175359 ms, wall: 0.175467 ms, 
[18:45:13.122], MIX, 5, , , , , , verify_integrity, CPU: 0.212514 ms, wall: 0.212499 ms, 
[18:45:13.123], MIX, 5, , , , , , decrypt_beta, CPU: 1.181132 ms, wall: 1.195901 ms, 
[18:45:13.123], MIX, 5, , , , , , update_alpha, CPU: 0.104996 ms, wall: 0.104780 ms, 
[18:45:13.123], MIX, 5, , , , , , process_header, CPU: 2.106286 ms, wall: 2.119805 ms, 
[18:45:13.124], MIX, 5, -->, MIX, 6, Header, 0709294c, RUN, , , 
[18:45:13.152], MIX, 5, <--, MIX, 44, Header, c64137ba, RUN, , , 
[18:45:13.153], MIX, 5, , , , , , compute_shared_secret, CPU: 0.184696 ms, wall: 0.184692 ms, 
[18:45:13.153], MIX, 5, , , , , , verify_integrity, CPU: 0.285087 ms, wall: 0.291217 ms, 
[18:45:13.154], MIX, 5, , , , , , decrypt_beta, CPU: 1.115295 ms, wall: 1.121878 ms, 
[18:45:13.155], MIX, 5, , , , , , update_alpha, CPU: 0.106747 ms, wall: 0.106297 ms, 
[18:45:13.155], MIX, 5, , , , , , process_header, CPU: 2.168979 ms, wall: 2.179511 ms, 
[18:45:13.155], MIX, 5, -->, MIX, 32, Header, efd01652, RUN, , , 
[18:45:13.235], MIX, 5, <--, MIX, 35, Header, db9910c8, RUN, , , 
[18:45:13.235], MIX, 5, , , , , , compute_shared_secret, CPU: 0.333085 ms, wall: 0.341264 ms, 
[18:45:13.236], MIX, 5, , , , , , verify_integrity, CPU: 0.456021 ms, wall: 0.456058 ms, 
[18:45:13.239], MIX, 5, , , , , , decrypt_beta, CPU: 2.505670 ms, wall: 2.521907 ms, 
[18:45:13.239], MIX, 5, , , , , , update_alpha, CPU: 0.237760 ms, wall: 0.278344 ms, 
[18:45:13.239], MIX, 5, , , , , , process_header, CPU: 4.200086 ms, wall: 4.341296 ms, 
[18:45:13.239], MIX, 5, -->, MIX, 38, Header, 19ded454, RUN, , , 
[18:45:13.248], MIX, 5, <--, MIX, 39, Header, f3001c61, RUN, , , 
[18:45:13.249], MIX, 5, , , , , , compute_shared_secret, CPU: 0.328498 ms, wall: 0.329358 ms, 
[18:45:13.249], MIX, 5, , , , , , verify_integrity, CPU: 0.372235 ms, wall: 0.372337 ms, 
[18:45:13.252], MIX, 5, , , , , , decrypt_beta, CPU: 2.474172 ms, wall: 2.497696 ms, 
[18:45:13.252], MIX, 5, , , , , , update_alpha, CPU: 0.213417 ms, wall: 0.212833 ms, 
[18:45:13.253], MIX, 5, , , , , , process_header, CPU: 4.036855 ms, wall: 4.069989 ms, 
[18:45:13.253], MIX, 5, -->, MIX, 38, Header, 29511712, RUN, , , 
[18:45:13.256], MIX, 5, <--, MIX, 38, Header, fb67a7f5, RUN, , , 
[18:45:13.257], MIX, 5, , , , , , compute_shared_secret, CPU: 0.169840 ms, wall: 0.170126 ms, 
[18:45:13.257], MIX, 5, , , , , , verify_integrity, CPU: 0.262354 ms, wall: 0.295134 ms, 
[18:45:13.259], MIX, 5, , , , , , decrypt_beta, CPU: 1.222585 ms, wall: 1.251361 ms, 
[18:45:13.259], MIX, 5, , , , , , update_alpha, CPU: 0.100127 ms, wall: 0.100028 ms, 
[18:45:13.259], MIX, 5, , , , , , process_header, CPU: 2.155950 ms, wall: 2.246643 ms, 
[18:45:13.259], MIX, 5, -->, MIX, 24, Header, a9be0425, RUN, , , 
[18:45:13.261], MIX, 5, <--, MIX, 3, Header, 71cc0b5e, RUN, , , 
[18:45:13.262], MIX, 5, , , , , , compute_shared_secret, CPU: 0.165198 ms, wall: 0.165407 ms, 
[18:45:13.262], MIX, 5, , , , , , verify_integrity, CPU: 0.260669 ms, wall: 0.286827 ms, 
[18:45:13.263], MIX, 5, , , , , , decrypt_beta, CPU: 1.189475 ms, wall: 1.225467 ms, 
[18:45:13.264], MIX, 5, , , , , , update_alpha, CPU: 0.103358 ms, wall: 0.103161 ms, 
[18:45:13.264], MIX, 5, , , , , , process_header, CPU: 2.096996 ms, wall: 2.157741 ms, 
