[18:45:10.402], MIX, 50, -->, STTP, 1, list, d0326514, SETUP, , , 
[18:45:10.403], MIX, 50, -->, STTP, 2, list, 484579c3, SETUP, , , 
[18:45:10.404], MIX, 50, -->, STTP, 3, list, ba2a449d, SETUP, , , 
[18:45:10.405], MIX, 50, -->, STTP, 4, list, 78bbfe77, SETUP, , , 
[18:45:10.405], MIX, 50, -->, STTP, 5, list, 77b93f91, SETUP, , , 
[18:45:10.406], MIX, 50, -->, STTP, 6, list, 1390fee9, SETUP, , , 
[18:45:10.407], MIX, 50, -->, STTP, 7, list, dc65a782, SETUP, , , 
[18:45:10.413], MIX, 50, -->, STTP, 8, list, 89248ada, SETUP, , , 
[18:45:10.414], MIX, 50, -->, STTP, 9, list, 1ff18c1b, SETUP, , , 
[18:45:10.414], MIX, 50, -->, STTP, 10, list, d1510fae, SETUP, , , 
[18:45:10.415], MIX, 50, -->, STTP, 11, list, dd5f3860, SETUP, , , 
[18:45:10.416], MIX, 50, -->, STTP, 12, list, bd008f57, SETUP, , , 
[18:45:10.416], MIX, 50, -->, STTP, 13, list, c15f3aa7, SETUP, , , 
[18:45:10.417], MIX, 50, -->, STTP, 14, list, d49eb0fa, SETUP, , , 
[18:45:10.418], MIX, 50, -->, STTP, 15, list, e83ac858, SETUP, , , 
[18:45:10.419], MIX, 50, -->, STTP, 16, list, 67be6fd0, SETUP, , , 
[18:45:10.419], MIX, 50, -->, STTP, 17, list, 629dbbe7, SETUP, , , 
[18:45:10.420], MIX, 50, -->, STTP, 18, list, 8e0943ac, SETUP, , , 
[18:45:10.421], MIX, 50, -->, STTP, 19, list, 4dd970e6, SETUP, , , 
[18:45:10.421], MIX, 50, -->, STTP, 20, list, 20d51f2a, SETUP, , , 
[18:45:10.421], MIX, 50, , , , , , setup, CPU: 15.024601 ms, wall: 20.233594 ms, 
[18:45:13.165], MIX, 50, <--, CLIENT, 9, Header, cb725018, RUN, , , 
[18:45:13.166], MIX, 50, , , , , , compute_shared_secret, CPU: 0.188821 ms, wall: 0.188889 ms, 
[18:45:13.166], MIX, 50, , , , , , verify_integrity, CPU: 0.249400 ms, wall: 0.256169 ms, 
[18:45:13.168], MIX, 50, , , , , , decrypt_beta, CPU: 1.287406 ms, wall: 1.292535 ms, 
[18:45:13.168], MIX, 50, , , , , , update_alpha, CPU: 0.105067 ms, wall: 0.105113 ms, 
[18:45:13.168], MIX, 50, , , , , , process_header, CPU: 2.214691 ms, wall: 2.225260 ms, 
[18:45:13.168], MIX, 50, -->, MIX, 46, Header, 589b8f59, RUN, , , 
[18:45:13.215], MIX, 50, <--, MIX, 7, Header, 0336be38, RUN, , , 
[18:45:13.215], MIX, 50, , , , , , compute_shared_secret, CPU: 0.180468 ms, wall: 0.180904 ms, 
[18:45:13.216], MIX, 50, , , , , , verify_integrity, CPU: 0.230532 ms, wall: 0.230514 ms, 
[18:45:13.217], MIX, 50, , , , , , decrypt_beta, CPU: 1.209019 ms, wall: 1.216720 ms, 
[18:45:13.217], MIX, 50, , , , , , update_alpha, CPU: 0.098819 ms, wall: 0.098674 ms, 
[18:45:13.217], MIX, 50, , , , , , process_header, CPU: 2.138443 ms, wall: 2.150102 ms, 
[18:45:13.217], MIX, 50, -->, MIX, 41, Header, eacb00b2, RUN, , , 
[18:45:13.270], MIX, 50, <--, MIX, 45, Header, 1c7fa198, RUN, , , 
[18:45:13.270], MIX, 50, , , , , , compute_shared_secret, CPU: 0.122024 ms, wall: 0.122009 ms, 
[18:45:13.270], MIX, 50, , , , , , verify_integrity, CPU: 0.167592 ms, wall: 0.167755 ms, 
[18:45:13.271], MIX, 50, , , , , , decrypt_beta, CPU: 0.821598 ms, wall: 0.832480 ms, 
[18:45:13.272], MIX, 50, , , , , , update_alpha, CPU: 0.087269 ms, wall: 0.087207 ms, 
[18:45:13.272], MIX, 50, , , , , , process_header, CPU: 1.546036 ms, wall: 1.555824 ms, 
[18:45:13.272], MIX, 50, -->, CLIENT, 74, Header, 2087452a, RUN, , , 
[18:45:13.299], MIX, 50, <--, MIX, 45, Header, bc4bac15, RUN, , , 
[18:45:13.299], MIX, 50, , , , , , compute_shared_secret, CPU: 0.124363 ms, wall: 0.130958 ms, 
[18:45:13.299], MIX, 50, , , , , , verify_integrity, CPU: 0.197168 ms, wall: 0.197055 ms, 
[18:45:13.300], MIX, 50, , , , , , decrypt_beta, CPU: 0.761687 ms, wall: 0.765814 ms, 
[18:45:13.300], MIX, 50, , , , , , update_alpha, CPU: 0.062549 ms, wall: 0.062432 ms, 
[18:45:13.300], MIX, 50, , , , , , process_header, CPU: 1.380354 ms, wall: 1.389999 ms, 
[18:45:13.300], MIX, 50, -->, MIX, 27, Header, 03857e49, RUN, , , 
