[18:45:10.149], MIX, 6, -->, STTP, 1, list, ddb0c3b2, SETUP, , , 
[18:45:10.150], MIX, 6, -->, STTP, 2, list, 435ca757, SETUP, , , 
[18:45:10.151], MIX, 6, -->, STTP, 3, list, 01970597, SETUP, , , 
[18:45:10.152], MIX, 6, -->, STTP, 4, list, bc28f75c, SETUP, , , 
[18:45:10.152], MIX, 6, -->, STTP, 5, list, 16553605, SETUP, , , 
[18:45:10.180], MIX, 6, -->, STTP, 6, list, 3e094730, SETUP, , , 
[18:45:10.226], MIX, 6, -->, STTP, 7, list, 88cef133, SETUP, , , 
[18:45:10.290], MIX, 6, -->, STTP, 8, list, a0aa564f, SETUP, , , 
[18:45:10.343], MIX, 6, -->, STTP, 9, list, f6357721, SETUP, , , 
[18:45:10.344], MIX, 6, -->, STTP, 10, list, 6954f84e, SETUP, , , 
[18:45:10.345], MIX, 6, -->, STTP, 11, list, 765ea83e, SETUP, , , 
[18:45:10.346], MIX, 6, -->, STTP, 12, list, 7675c300, SETUP, , , 
[18:45:10.347], MIX, 6, -->, STTP, 13, list, 143da5b4, SETUP, , , 
[18:45:10.348], MIX, 6, -->, STTP, 14, list, 21dcda08, SETUP, , , 
[18:45:10.349], MIX, 6, -->, STTP, 15, list, 9ede7381, SETUP, , , 
[18:45:10.350], MIX, 6, -->, STTP, 16, list, 88be4275, SETUP, , , 
[18:45:10.351], MIX, 6, -->, STTP, 17, list, e7fcdd67, SETUP, , , 
[18:45:10.351], MIX, 6, -->, STTP, 18, list, cc22ff07, SETUP, , , 
[18:45:10.352], MIX, 6, -->, STTP, 19, list, fd4f158f, SETUP, , , 
[18:45:10.353], MIX, 6, -->, STTP, 20, list, 39c40f18, SETUP, , , 
[18:45:10.354], MIX, 6, , , , , , setup, CPU: 18.002455 ms, wall: 205.878558 ms, 
[18:45:12.597], MIX, 6, <--, MIX, 14, Header, 6e279150, RUN, , , 
[18:45:12.597], MIX, 6, , , , , , compute_shared_secret, CPU: 0.146101 ms, wall: 0.146316 ms, 
[18:45:12.598], MIX, 6, , , , , , verify_integrity, CPU: 0.229274 ms, wall: 0.229190 ms, 
[18:45:12.598], MIX, 6, , , , , , decrypt_beta, CPU: 0.793849 ms, wall: 0.804784 ms, 
[18:45:12.599], MIX, 6, , , , , , update_alpha, CPU: 0.071829 ms, wall: 0.071697 ms, 
[18:45:12.599], MIX, 6, , , , , , process_header, CPU: 1.556162 ms, wall: 1.566211 ms, 
[18:45:12.599], MIX, 6, -->, MIX, 40, Header, f6b00ea9, RUN, , , 
[18:45:12.810], MIX, 6, <--, MIX, 38, Header, 85d237d9, RUN, , , 
[18:45:12.810], MIX, 6, , , , , , compute_shared_secret, CPU: 0.138166 ms, wall: 0.146512 ms, 
[18:45:12.810], MIX, 6, , , , , , verify_integrity, CPU: 0.158655 ms, wall: 0.158681 ms, 
[18:45:12.811], MIX, 6, , , , , , decrypt_beta, CPU: 0.755047 ms, wall: 0.760842 ms, 
[18:45:12.811], MIX, 6, , , , , , update_alpha, CPU: 0.070074 ms, wall: 0.070120 ms, 
[18:45:12.811], MIX, 6, , , , , , process_header, CPU: 1.384627 ms, wall: 1.397747 ms, 
[18:45:12.811], MIX, 6, -->, CLIENT, 45, Header, f202d681, RUN, , , 
[18:45:13.031], MIX, 6, <--, MIX, 10, Header, f81c6b61, RUN, , , 
[18:45:13.031], MIX, 6, , , , , , compute_shared_secret, CPU: 0.124562 ms, wall: 0.132262 ms, 
[18:45:13.031], MIX, 6, , , , , , verify_integrity, CPU: 0.171188 ms, wall: 0.171159 ms, 
[18:45:13.032], MIX, 6, , , , , , decrypt_beta, CPU: 0.762315 ms, wall: 0.767986 ms, 
[18:45:13.032], MIX, 6, , , , , , update_alpha, CPU: 0.062941 ms, wall: 0.063102 ms, 
[18:45:13.032], MIX, 6, , , , , , process_header, CPU: 1.364147 ms, wall: 1.376502 ms, 
[18:45:13.032], MIX, 6, -->, MIX, 33, Header, 0db4666e, RUN, , , 
[18:45:13.126], MIX, 6, <--, MIX, 5, Header, 04b5739d, RUN, , , 
[18:45:13.127], MIX, 6, , , , , , compute_shared_secret, CPU: 0.172495 ms, wall: 0.172845 ms, 
[18:45:13.127], MIX, 6, , , , , , verify_integrity, CPU: 0.309840 ms, wall: 0.317112 ms, 
[18:45:13.128], MIX, 6, , , , , , decrypt_beta, CPU: 1.241794 ms, wall: 1.247419 ms, 
[18:45:13.129], MIX, 6, , , , , , update_alpha, CPU: 0.104219 ms, wall: 0.103968 ms, 
[18:45:13.129], MIX, 6, , , , , , process_header, CPU: 2.259986 ms, wall: 2.271543 ms, 
[18:45:13.129], MIX, 6, -->, MIX, 39, Header, 7fac56b8, RUN, , , 
[18:45:13.170], MIX, 6, <--, MIX, 13, Header, 045c491b, RUN, , , 
[18:45:13.170], MIX, 6, , , , , , compute_shared_secret, CPU: 0.189735 ms, wall: 0.189873 ms, 
[18:45:13.171], MIX, 6, , , , , , verify_integrity, CPU: 0.235539 ms, wall: 0.235508 ms, 
[18:45:13.172], MIX, 6, , , , , , decrypt_beta, CPU: 1.143571 ms, wall: 1.231487 ms, 
[18:45:13.172], MIX, 6, , , , , , update_alpha, CPU: 0.115106 ms, wall: 0.114906 ms, 
[18:45:13.172], MIX, 6, , , , , , process_header, CPU: 2.149849 ms, wall: 2.235258 ms, 
[18:45:13.172], MIX, 6, -->, CLIENT, 48, Header, 2fc5c1c1, RUN, , , 
[18:45:13.175], MIX, 6, <--, CLIENT, 70, Header, 4c5c3a3e, RUN, , , 
[18:45:13.175], MIX, 6, , , , , , compute_shared_secret, CPU: 0.130327 ms, wall: 0.130310 ms, 
[18:45:13.176], MIX, 6, , , , , , verify_integrity, CPU: 0.206475 ms, wall: 0.206547 ms, 
[18:45:13.177], MIX, 6, , , , , , decrypt_beta, CPU: 0.809446 ms, wall: 0.815951 ms, 
[18:45:13.177], MIX, 6, , , , , , update_alpha, CPU: 0.065965 ms, wall: 0.065927 ms, 
[18:45:13.177], MIX, 6, , , , , , process_header, CPU: 1.516249 ms, wall: 1.521608 ms, 
[18:45:13.177], MIX, 6, -->, MIX, 25, Header, f494d6ca, RUN, , , 
[18:45:13.210], MIX, 6, <--, MIX, 47, Header, cce1a82d, RUN, , , 
[18:45:13.211], MIX, 6, , , , , , compute_shared_secret, CPU: 0.182976 ms, wall: 0.189538 ms, 
[18:45:13.211], MIX, 6, , , , , , verify_integrity, CPU: 0.223117 ms, wall: 0.222956 ms, 
[18:45:13.213], MIX, 6, , , , , , decrypt_beta, CPU: 1.233071 ms, wall: 1.241183 ms, 
[18:45:13.213], MIX, 6, , , , , , update_alpha, CPU: 0.105405 ms, wall: 0.105185 ms, 
[18:45:13.213], MIX, 6, , , , , , process_header, CPU: 2.169475 ms, wall: 2.404192 ms, 
[18:45:13.213], MIX, 6, -->, MIX, 18, Header, 12ce044c, RUN, , , 
[18:45:13.252], MIX, 6, <--, MIX, 38, Header, e39ad62e, RUN, , , 
[18:45:13.253], MIX, 6, , , , , , compute_shared_secret, CPU: 0.176655 ms, wall: 0.176899 ms, 
[18:45:13.253], MIX, 6, , , , , , verify_integrity, CPU: 0.224438 ms, wall: 0.231825 ms, 
[18:45:13.256], MIX, 6, , , , , , decrypt_beta, CPU: 1.267979 ms, wall: 1.265340 ms, 
[18:45:13.256], MIX, 6, , , , , , update_alpha, CPU: 0.102788 ms, wall: 0.102396 ms, 
[18:45:13.257], MIX, 6, , , , , , process_header, CPU: 2.223116 ms, wall: 4.093618 ms, 
[18:45:13.257], MIX, 6, -->, MIX, 49, Header, 80e0d3e3, RUN, , , 
