[18:45:10.348], MIX, 7, -->, STTP, 1, list, 31331292, SETUP, , , 
[18:45:10.351], MIX, 7, -->, STTP, 2, list, e8ad94bb, SETUP, , , 
[18:45:10.353], MIX, 7, -->, STTP, 3, list, 871fe520, SETUP, , , 
[18:45:10.354], MIX, 7, -->, STTP, 4, list, c54da3ca, SETUP, , , 
[18:45:10.357], MIX, 7, -->, STTP, 5, list, 627f3c82, SETUP, , , 
[18:45:10.361], MIX, 7, -->, STTP, 6, list, acf7ef7e, SETUP, , , 
[18:45:10.369], MIX, 7, -->, STTP, 7, list, 8deee026, SETUP, , , 
[18:45:10.373], MIX, 7, -->, STTP, 8, list, 3ea10416, SETUP, , , 
[18:45:10.379], MIX, 7, -->, STTP, 9, list, 4e76c9a2, SETUP, , , 
[18:45:10.380], MIX, 7, -->, STTP, 10, list, be2cd305, SETUP, , , 
[18:45:10.382], MIX, 7, -->, STTP, 11, list, ddd9f735, SETUP, , , 
[18:45:10.384], MIX, 7, -->, STTP, 12, list, 42042a30, SETUP, , , 
[18:45:10.385], MIX, 7, -->, STTP, 13, list, ab3f857d, SETUP, , , 
[18:45:10.387], MIX, 7, -->, STTP, 14, list, 23da010d, SETUP, , , 
[18:45:10.389], MIX, 7, -->, STTP, 15, list, bf3cc9ae, SETUP, , , 
[18:45:10.390], MIX, 7, -->, STTP, 16, list, 1c1c9817, SETUP, , , 
[18:45:10.393], MIX, 7, -->, STTP, 17, list, 52ce5e18, SETUP, , , 
[18:45:10.394], MIX, 7, -->, STTP, 18, list, 6ea6175a, SETUP, , , 
[18:45:10.396], MIX, 7, -->, STTP, 19, list, 092d5bdb, SETUP, , , 
[18:45:10.397], MIX, 7, -->, STTP, 20, list, aadc3ce1, SETUP, , , 
[18:45:10.398], MIX, 7, , , , , , setup, CPU: 32.571753 ms, wall: 51.496482 ms, 
[18:45:12.398], MIX, 7, <--, MIX, 49, Header, c2af0cf4, RUN, , , 
[18:45:12.398], MIX, 7, , , , , , compute_shared_secret, CPU: 0.163885 ms, wall: 0.164018 ms, 
[18:45:12.399], MIX, 7, , , , , , verify_integrity, CPU: 0.214736 ms, wall: 0.214706 ms, 
[18:45:12.400], MIX, 7, , , , , , decrypt_beta, CPU: 1.044298 ms, wall: 1.053644 ms, 
[18:45:12.400], MIX, 7, , , , , , update_alpha, CPU: 0.097232 ms, wall: 0.101678 ms, 
[18:45:12.400], MIX, 7, , , , , , process_header, CPU: 1.890026 ms, wall: 1.901345 ms, 
[18:45:12.400], MIX, 7, -->, MIX, 28, Header, 7b3c32fd, RUN, , , 
[18:45:12.574], MIX, 7, <--, MIX, 43, Header, 864bc713, RUN, , , 
[18:45:12.575], MIX, 7, , , , , , compute_shared_secret, CPU: 0.124891 ms, wall: 0.124944 ms, 
[18:45:12.575], MIX, 7, , , , , , verify_integrity, CPU: 0.154421 ms, wall: 0.154344 ms, 
[18:45:12.576], MIX, 7, , , , , , decrypt_beta, CPU: 0.755160 ms, wall: 0.755065 ms, 
[18:45:12.576], MIX, 7, , , , , , update_alpha, CPU: 0.063257 ms, wall: 0.063243 ms, 
[18:45:12.576], MIX, 7, , , , , , process_header, CPU: 1.337503 ms, wall: 1.341194 ms, 
[18:45:12.576], MIX, 7, -->, MIX, 44, Header, b6fab5ae, RUN, , , 
[18:45:12.866], MIX, 7, <--, CLIENT, 67, Header, 6be6e2f4, RUN, , , 
[18:45:12.866], MIX, 7, , , , , , compute_shared_secret, CPU: 0.136009 ms, wall: 0.136270 ms, 
[18:45:12.867], MIX, 7, , , , , , verify_integrity, CPU: 0.189145 ms, wall: 0.185062 ms, 
[18:45:12.868], MIX, 7, , , , , , decrypt_beta, CPU: 0.783944 ms, wall: 0.790578 ms, 
[18:45:12.868], MIX, 7, , , , , , update_alpha, CPU: 0.063533 ms, wall: 0.063509 ms, 
[18:45:12.868], MIX, 7, , , , , , process_header, CPU: 1.441307 ms, wall: 1.446918 ms, 
[18:45:12.868], MIX, 7, -->, MIX, 16, Header, 0d0984a3, RUN, , , 
[18:45:12.926], MIX, 7, <--, MIX, 14, Header, 49f22710, RUN, , , 
[18:45:12.927], MIX, 7, , , , , , compute_shared_secret, CPU: 0.122601 ms, wall: 0.122593 ms, 
[18:45:12.927], MIX, 7, , , , , , verify_integrity, CPU: 0.171087 ms, wall: 0.171020 ms, 
[18:45:12.928], MIX, 7, , , , , , decrypt_beta, CPU: 0.760089 ms, wall: 0.767127 ms, 
[18:45:12.928], MIX, 7, , , , , , update_alpha, CPU: 0.063943 ms, wall: 0.063909 ms, 
[18:45:12.928], MIX, 7, , , , , , process_header, CPU: 1.358297 ms, wall: 1.364340 ms, 
[18:45:12.928], MIX, 7, -->, CLIENT, 36, Header, 635fc945, RUN, , , 
[18:45:12.992], MIX, 7, <--, MIX, 46, Header, d6fad079, RUN, , , 
[18:45:12.992], MIX, 7, , , , , , compute_shared_secret, CPU: 0.129727 ms, wall: 0.129870 ms, 
[18:45:12.993], MIX, 7, , , , , , verify_integrity, CPU: 0.206178 ms, wall: 0.206203 ms, 
[18:45:12.994], MIX, 7, , , , , , decrypt_beta, CPU: 1.490316 ms, wall: 1.529363 ms, 
[18:45:12.995], MIX, 7, , , , , , update_alpha, CPU: 0.069214 ms, wall: 0.069118 ms, 
[18:45:12.995], MIX, 7, , , , , , process_header, CPU: 2.278451 ms, wall: 2.315652 ms, 
[18:45:12.995], MIX, 7, -->, MIX, 43, Header, 475e5269, RUN, , , 
[18:45:13.043], MIX, 7, <--, MIX, 29, Header, ac490b48, RUN, , , 
[18:45:13.043], MIX, 7, , , , , , compute_shared_secret, CPU: 0.184846 ms, wall: 0.185051 ms, 
[18:45:13.044], MIX, 7, , , , , , verify_integrity, CPU: 0.227112 ms, wall: 0.227138 ms, 
[18:45:13.045], MIX, 7, , , , , , decrypt_beta, CPU: 0.833264 ms, wall: 0.845324 ms, 
[18:45:13.045], MIX, 7, , , , , , update_alpha, CPU: 0.082939 ms, wall: 0.082774 ms, 
[18:45:13.045], MIX, 7, , , , , , process_header, CPU: 1.755139 ms, wall: 1.773734 ms, 
[18:45:13.045], MIX, 7, -->, CLIENT, 40, Header, ddbd8eb2, RUN, , , 
[18:45:13.175], MIX, 7, <--, MIX, 38, Header, dff3686b, RUN, , , 
[18:45:13.176], MIX, 7, , , , , , compute_shared_secret, CPU: 0.356171 ms, wall: 0.373924 ms, 
[18:45:13.177], MIX, 7, , , , , , verify_integrity, CPU: 0.480762 ms, wall: 0.481395 ms, 
[18:45:13.179], MIX, 7, , , , , , decrypt_beta, CPU: 2.519050 ms, wall: 2.555166 ms, 
[18:45:13.180], MIX, 7, , , , , , update_alpha, CPU: 0.215300 ms, wall: 0.214885 ms, 
[18:45:13.180], MIX, 7, , , , , , process_header, CPU: 4.223439 ms, wall: 4.283083 ms, 
[18:45:13.180], MIX, 7, -->, CLIENT, 19, Header, aea35668, RUN, , , 
[18:45:13.185], MIX, 7, <--, MIX, 17, Header, 6db7f168, RUN, , , 
[18:45:13.185], MIX, 7, , , , , , compute_shared_secret, CPU: 0.323556 ms, wall: 0.324369 ms, 
[18:45:13.186], MIX, 7, , , , , , verify_integrity, CPU: 0.397450 ms, wall: 0.517393 ms, 
[18:45:13.189], MIX, 7, , , , , , decrypt_beta, CPU: 2.619660 ms, wall: 2.891974 ms, 
[18:45:13.190], MIX, 7, , , , , , update_alpha, CPU: 0.221026 ms, wall: 0.220947 ms, 
[18:45:13.190], MIX, 7, , , , , , process_header, CPU: 4.266797 ms, wall: 4.675704 ms, 
[18:45:13.190], MIX, 7, -->, MIX, 20, Header, 065386b5, RUN, , , 
[18:45:13.206], MIX, 7, <--, MIX, 21, Header, 470b05dd, RUN, , , 
[18:45:13.207], MIX, 7, , , , , , compute_shared_secret, CPU: 0.361945 ms, wall: 0.448657 ms, 
[18:45:13.208], MIX, 7, , , , , , verify_integrity, CPU: 0.383339 ms, wall: 0.383553 ms, 
[18:45:13.211], MIX, 7, , , , , , decrypt_beta, CPU: 2.603327 ms, wall: 3.496088 ms, 
[18:45:13.212], MIX, 7, , , , , , update_alpha, CPU: 0.217472 ms, wall: 0.217013 ms, 
[18:45:13.212], MIX, 7, , , , , , process_header, CPU: 4.305651 ms, wall: 5.282186 ms, 
[18:45:13.212], MIX, 7, -->, MIX, 50, Header, 01e62c0b, RUN, , , 
[18:45:13.285], MIX, 7, <--, MIX, 30, Header, cbd7f188, RUN, , , 
[18:45:13.285], MIX, 7, , , , , , compute_shared_secret, CPU: 0.342936 ms, wall: 0.353734 ms, 
[18:45:13.286], MIX, 7, , , , , , verify_integrity, CPU: 0.369959 ms, wall: 0.370172 ms, 
[18:45:13.288], MIX, 7, , , , , , decrypt_beta, CPU: 2.515408 ms, wall: 2.543413 ms, 
[18:45:13.289], MIX, 7, , , , , , update_alpha, CPU: 0.219720 ms, wall: 0.219502 ms, 
[18:45:13.289], MIX, 7, , , , , , process_header, CPU: 4.089233 ms, wall: 4.136628 ms, 
[18:45:13.289], MIX, 7, -->, CLIENT, 95, Header, bb26159f, RUN, , , 
[18:45:13.294], MIX, 7, <--, MIX, 15, Header, e73e29f7, RUN, , , 
[18:45:13.295], MIX, 7, , , , , , compute_shared_secret, CPU: 0.317489 ms, wall: 0.318304 ms, 
[18:45:13.295], MIX, 7, , , , , , verify_integrity, CPU: 0.375799 ms, wall: 0.385681 ms, 
[18:45:13.296], MIX, 7, , , , , , decrypt_beta, CPU: 1.256466 ms, wall: 1.279155 ms, 
[18:45:13.297], MIX, 7, , , , , , update_alpha, CPU: 0.065713 ms, wall: 0.065484 ms, 
[18:45:13.297], MIX, 7, , , , , , process_header, CPU: 2.506273 ms, wall: 2.537291 ms, 
[18:45:13.297], MIX, 7, -->, MIX, 49, Header, 5aca473f, RUN, , , 
