[18:45:10.081], MIX, 8, -->, STTP, 1, list, f26a7da3, SETUP, , , 
[18:45:10.084], MIX, 8, -->, STTP, 2, list, f69cab65, SETUP, , , 
[18:45:10.089], MIX, 8, -->, STTP, 3, list, e916ee0e, SETUP, , , 
[18:45:10.124], MIX, 8, -->, STTP, 4, list, 1e8ff138, SETUP, , , 
[18:45:10.176], MIX, 8, -->, STTP, 5, list, 443498ce, SETUP, , , 
[18:45:10.200], MIX, 8, -->, STTP, 6, list, 37ca42bf, SETUP, , , 
[18:45:10.258], MIX, 8, -->, STTP, 7, list, bc2d28b2, SETUP, , , 
[18:45:10.259], MIX, 8, -->, STTP, 8, list, 2d0b037c, SETUP, , , 
[18:45:10.271], MIX, 8, -->, STTP, 9, list, 24927a90, SETUP, , , 
[18:45:10.328], MIX, 8, -->, STTP, 10, list, 6e5c2562, SETUP, , , 
[18:45:10.335], MIX, 8, -->, STTP, 11, list, 96c3dfff, SETUP, , , 
[18:45:10.339], MIX, 8, -->, STTP, 12, list, f9725bb9, SETUP, , , 
[18:45:10.342], MIX, 8, -->, STTP, 13, list, 6a339c3e, SETUP, , , 
[18:45:10.346], MIX, 8, -->, STTP, 14, list, b436091d, SETUP, , , 
[18:45:10.350], MIX, 8, -->, STTP, 15, list, 81eae57f, SETUP, , , 
[18:45:10.355], MIX, 8, -->, STTP, 16, list, 19663a23, SETUP, , , 
[18:45:10.359], MIX, 8, -->, STTP, 17, list, 67c56096, SETUP, , , 
[18:45:10.361], MIX, 8, -->, STTP, 18, list, 3397253c, SETUP, , , 
[18:45:10.365], MIX, 8, -->, STTP, 19, list, 012b99f8, SETUP, , , 
[18:45:10.368], MIX, 8, -->, STTP, 20, list, 031ed8fe, SETUP, , , 
[18:45:10.368], MIX, 8, , , , , , setup, CPU: 34.433905 ms, wall: 288.872252 ms, 
[18:45:12.580], MIX, 8, <--, MIX, 34, Header, 6f10d564, RUN, , , 
[18:45:12.580], MIX, 8, , , , , , compute_shared_secret, CPU: 0.126120 ms, wall: 0.126082 ms, 
[18:45:12.580], MIX, 8, , , , , , verify_integrity, CPU: 0.202308 ms, wall: 0.208167 ms, 
[18:45:12.583], MIX, 8, , , , , , decrypt_beta, CPU: 2.409424 ms, wall: 2.440248 ms, 
[18:45:12.583], MIX, 8, , , , , , update_alpha, CPU: 0.241491 ms, wall: 0.314076 ms, 
[18:45:12.583], MIX, 8, , , , , , process_header, CPU: 3.589471 ms, wall: 3.696524 ms, 
[18:45:12.584], MIX, 8, -->, MIX, 43, Header, 2920d23e, RUN, , , 
[18:45:12.701], MIX, 8, <--, MIX, 33, Header, eff8fdbb, RUN, , , 
[18:45:12.701], MIX, 8, , , , , , compute_shared_secret, CPU: 0.122360 ms, wall: 0.122537 ms, 
[18:45:12.702], MIX, 8, , , , , , verify_integrity, CPU: 0.201629 ms, wall: 0.201614 ms, 
[18:45:12.703], MIX, 8, , , , , , decrypt_beta, CPU: 0.758887 ms, wall: 0.764445 ms, 
[18:45:12.703], MIX, 8, , , , , , update_alpha, CPU: 0.063228 ms, wall: 0.063113 ms, 
[18:45:12.703], MIX, 8, , , , , , process_header, CPU: 1.382216 ms, wall: 1.386311 ms, 
[18:45:12.703], MIX, 8, -->, MIX, 30, Header, ec259349, RUN, , , 
[18:45:12.798], MIX, 8, <--, MIX, 23, Header, b67aa776, RUN, , , 
[18:45:12.799], MIX, 8, , , , , , compute_shared_secret, CPU: 0.121652 ms, wall: 0.121657 ms, 
[18:45:12.799], MIX, 8, , , , , , verify_integrity, CPU: 0.146868 ms, wall: 0.151229 ms, 
[18:45:12.800], MIX, 8, , , , , , decrypt_beta, CPU: 0.750550 ms, wall: 0.750677 ms, 
[18:45:12.801], MIX, 8, , , , , , update_alpha, CPU: 0.064937 ms, wall: 0.699733 ms, 
[18:45:12.801], MIX, 8, , , , , , process_header, CPU: 1.319623 ms, wall: 1.957695 ms, 
[18:45:12.801], MIX, 8, -->, MIX, 3, Header, 8d5206c3, RUN, , , 
[18:45:13.078], MIX, 8, <--, MIX, 14, Header, d08ab7ea, RUN, , , 
[18:45:13.078], MIX, 8, , , , , , compute_shared_secret, CPU: 0.125056 ms, wall: 0.125086 ms, 
[18:45:13.078], MIX, 8, , , , , , verify_integrity, CPU: 0.167123 ms, wall: 0.167045 ms, 
[18:45:13.079], MIX, 8, , , , , , decrypt_beta, CPU: 1.011876 ms, wall: 1.019274 ms, 
[18:45:13.080], MIX, 8, , , , , , update_alpha, CPU: 0.103464 ms, wall: 0.103134 ms, 
[18:45:13.080], MIX, 8, , , , , , process_header, CPU: 1.785866 ms, wall: 1.792254 ms, 
[18:45:13.080], MIX, 8, -->, CLIENT, 41, Header, f187f669, RUN, , , 
[18:45:13.121], MIX, 8, <--, CLIENT, 59, Header, e44f84b5, RUN, , , 
[18:45:13.121], MIX, 8, , , , , , compute_shared_secret, CPU: 0.182794 ms, wall: 0.182820 ms, 
[18:45:13.122], MIX, 8, , , , , , verify_integrity, CPU: 0.265705 ms, wall: 0.266746 ms, 
[18:45:13.123], MIX, 8, , , , , , decrypt_beta, CPU: 1.224288 ms, wall: 1.230009 ms, 
[18:45:13.123], MIX, 8, , , , , , update_alpha, CPU: 0.101778 ms, wall: 0.106253 ms, 
[18:45:13.123], MIX, 8, , , , , , process_header, CPU: 2.168399 ms, wall: 2.177675 ms, 
[18:45:13.123], MIX, 8, -->, MIX, 47, Header, d26aa7db, RUN, , , 
[18:45:13.145], MIX, 8, <--, MIX, 31, Header, cc7e9e67, RUN, , , 
[18:45:13.146], MIX, 8, , , , , , compute_shared_secret, CPU: 0.177968 ms, wall: 0.178089 ms, 
[18:45:13.146], MIX, 8, , , , , , verify_integrity, CPU: 0.322621 ms, wall: 0.330457 ms, 
[18:45:13.147], MIX, 8, , , , , , decrypt_beta, CPU: 1.243540 ms, wall: 1.248328 ms, 
[18:45:13.148], MIX, 8, , , , , , update_alpha, CPU: 0.105143 ms, wall: 0.105028 ms, 
[18:45:13.148], MIX, 8, , , , , , process_header, CPU: 2.224181 ms, wall: 2.235731 ms, 
[18:45:13.148], MIX, 8, -->, MIX, 25, Header, 8d80696b, RUN, , , 
[18:45:13.294], MIX, 8, <--, MIX, 9, Header, f82dec7a, RUN, , , 
[18:45:13.294], MIX, 8, , , , , , compute_shared_secret, CPU: 0.124138 ms, wall: 0.124274 ms, 
[18:45:13.294], MIX, 8, , , , , , verify_integrity, CPU: 0.148159 ms, wall: 0.148186 ms, 
[18:45:13.295], MIX, 8, , , , , , decrypt_beta, CPU: 0.750028 ms, wall: 0.755785 ms, 
[18:45:13.295], MIX, 8, , , , , , update_alpha, CPU: 0.062082 ms, wall: 0.062259 ms, 
[18:45:13.295], MIX, 8, , , , , , process_header, CPU: 1.309492 ms, wall: 1.314191 ms, 
[18:45:13.295], MIX, 8, -->, MIX, 26, Header, 7fc2e6aa, RUN, , , 
