[18:45:10.352], MIX, 9, -->, STTP, 1, list, 579db6fa, SETUP, , , 
[18:45:10.356], MIX, 9, -->, STTP, 2, list, dfba7e27, SETUP, , , 
[18:45:10.357], MIX, 9, -->, STTP, 3, list, 48150604, SETUP, , , 
[18:45:10.387], MIX, 9, -->, STTP, 4, list, fb652aa4, SETUP, , , 
[18:45:10.388], MIX, 9, -->, STTP, 5, list, 712ffb5b, SETUP, , , 
[18:45:10.393], MIX, 9, -->, STTP, 6, list, 7ea3c0f2, SETUP, , , 
[18:45:10.394], MIX, 9, -->, STTP, 7, list, 415e4947, SETUP, , , 
[18:45:10.395], MIX, 9, -->, STTP, 8, list, f667156f, SETUP, , , 
[18:45:10.395], MIX, 9, -->, STTP, 9, list, d573614d, SETUP, , , 
[18:45:10.397], MIX, 9, -->, STTP, 10, list, ecd7343b, SETUP, , , 
[18:45:10.397], MIX, 9, -->, STTP, 11, list, c534de89, SETUP, , , 
[18:45:10.398], MIX, 9, -->, STTP, 12, list, 0b944365, SETUP, , , 
[18:45:10.399], MIX, 9, -->, STTP, 13, list, bbcb699c, SETUP, , , 
[18:45:10.399], MIX, 9, -->, STTP, 14, list, f4443505, SETUP, , , 
[18:45:10.409], MIX, 9, -->, STTP, 15, list, 5399bf4e, SETUP, , , 
[18:45:10.410], MIX, 9, -->, STTP, 16, list, c8009b6a, SETUP, , , 
[18:45:10.410], MIX, 9, -->, STTP, 17, list, a2fa51d1, SETUP, , , 
[18:45:10.411], MIX, 9, -->, STTP, 18, list, 032db89c, SETUP, , , 
[18:45:10.412], MIX, 9, -->, STTP, 19, list, 4a2c08b5, SETUP, , , 
[18:45:10.413], MIX, 9, -->, STTP, 20, list, 9e99aa61, SETUP, , , 
[18:45:10.413], MIX, 9, , , , , , setup, CPU: 15.620500 ms, wall: 61.864840 ms, 
[18:45:12.860], MIX, 9, <--, MIX, 3, Header, 5a8d7903, RUN, , , 
[18:45:12.860], MIX, 9, , , , , , compute_shared_secret, CPU: 0.157802 ms, wall: 0.165141 ms, 
[18:45:12.860], MIX, 9, , , , , , verify_integrity, CPU: 0.171809 ms, wall: 0.171859 ms, 
[18:45:12.861], MIX, 9, , , , , , decrypt_beta, CPU: 0.813493 ms, wall: 0.820596 ms, 
[18:45:12.861], MIX, 9, , , , , , update_alpha, CPU: 0.063270 ms, wall: 0.063236 ms, 
[18:45:12.861], MIX, 9, , , , , , process_header, CPU: 1.496969 ms, wall: 1.510202 ms, 
[18:45:12.861], MIX, 9, -->, MIX, 28, Header, 38763c4e, RUN, , , 
[18:45:13.274], MIX, 9, <--, CLIENT, 60, Header, 94e45efe, RUN, , , 
[18:45:13.275], MIX, 9, , , , , , compute_shared_secret, CPU: 0.343766 ms, wall: 0.354543 ms, 
[18:45:13.276], MIX, 9, , , , , , verify_integrity, CPU: 0.379668 ms, wall: 0.379585 ms, 
[18:45:13.278], MIX, 9, , , , , , decrypt_beta, CPU: 2.499563 ms, wall: 2.528502 ms, 
[18:45:13.279], MIX, 9, , , , , , update_alpha, CPU: 0.224862 ms, wall: 0.224752 ms, 
[18:45:13.279], MIX, 9, , , , , , process_header, CPU: 4.162441 ms, wall: 4.200214 ms, 
[18:45:13.279], MIX, 9, -->, MIX, 42, Header, 9fd0af86, RUN, , , 
[18:45:13.284], MIX, 9, <--, MIX, 22, Header, 266871b8, RUN, , , 
[18:45:13.284], MIX, 9, , , , , , compute_shared_secret, CPU: 0.323091 ms, wall: 0.323735 ms, 
[18:45:13.285], MIX, 9, , , , , , verify_integrity, CPU: 0.365897 ms, wall: 0.365810 ms, 
[18:45:13.286], MIX, 9, , , , , , decrypt_beta, CPU: 0.899112 ms, wall: 0.920028 ms, 
[18:45:13.286], MIX, 9, , , , , , update_alpha, CPU: 0.064890 ms, wall: 0.064656 ms, 
[18:45:13.286], MIX, 9, , , , , , process_header, CPU: 2.135419 ms, wall: 2.163312 ms, 
[18:45:13.286], MIX, 9, -->, MIX, 14, Header, d8ea38f8, RUN, , , 
[18:45:13.288], MIX, 9, <--, MIX, 45, Header, 3297f73e, RUN, , , 
[18:45:13.288], MIX, 9, , , , , , compute_shared_secret, CPU: 0.110793 ms, wall: 0.110861 ms, 
[18:45:13.288], MIX, 9, , , , , , verify_integrity, CPU: 0.146319 ms, wall: 0.146325 ms, 
[18:45:13.289], MIX, 9, , , , , , decrypt_beta, CPU: 0.782946 ms, wall: 0.789257 ms, 
[18:45:13.289], MIX, 9, , , , , , update_alpha, CPU: 0.074344 ms, wall: 0.074218 ms, 
[18:45:13.290], MIX, 9, , , , , , process_header, CPU: 1.365690 ms, wall: 1.371120 ms, 
[18:45:13.290], MIX, 9, -->, MIX, 8, Header, 692308eb, RUN, , , 
[18:45:13.291], MIX, 9, <--, MIX, 30, Header, d458b237, RUN, , , 
[18:45:13.292], MIX, 9, , , , , , compute_shared_secret, CPU: 0.128603 ms, wall: 0.128618 ms, 
[18:45:13.292], MIX, 9, , , , , , verify_integrity, CPU: 0.209867 ms, wall: 0.217970 ms, 
[18:45:13.293], MIX, 9, , , , , , decrypt_beta, CPU: 0.782486 ms, wall: 0.782612 ms, 
[18:45:13.293], MIX, 9, , , , , , update_alpha, CPU: 0.094708 ms, wall: 0.094669 ms, 
[18:45:13.293], MIX, 9, , , , , , process_header, CPU: 1.556172 ms, wall: 1.568309 ms, 
[18:45:13.293], MIX, 9, -->, MIX, 27, Header, 46948d7e, RUN, , , 
[18:45:13.296], MIX, 9, <--, MIX, 2, Header, c18fecdc, RUN, , , 
[18:45:13.296], MIX, 9, , , , , , compute_shared_secret, CPU: 0.119385 ms, wall: 0.126306 ms, 
[18:45:13.296], MIX, 9, , , , , , verify_integrity, CPU: 0.141008 ms, wall: 0.141014 ms, 
[18:45:13.297], MIX, 9, , , , , , decrypt_beta, CPU: 0.824750 ms, wall: 0.832378 ms, 
[18:45:13.297], MIX, 9, , , , , , update_alpha, CPU: 0.075991 ms, wall: 0.075694 ms, 
[18:45:13.297], MIX, 9, , , , , , process_header, CPU: 1.470739 ms, wall: 1.484106 ms, 
[18:45:13.297], MIX, 9, -->, MIX, 16, Header, 828ab59a, RUN, , , 
