[18:45:10.081], STTP, 1, <--, MIX, 5, list, 9f08dd8a, SETUP, , , 1
[18:45:10.087], STTP, 1, , , , , , store_share, CPU: 0.011380 ms, wall: 0.007648 ms, 1
[18:45:10.087], STTP, 1, <--, MIX, 8, list, f26a7da3, SETUP, , , 1
[18:45:10.112], STTP, 1, , , , , , store_share, CPU: 0.009883 ms, wall: 0.008139 ms, 1
[18:45:10.113], STTP, 1, <--, MIX, 38, list, a113556e, SETUP, , , 1
[18:45:10.113], STTP, 1, , , , , , store_share, CPU: 0.004229 ms, wall: 0.003196 ms, 1
[18:45:10.114], STTP, 1, <--, MIX, 40, list, 3f60340e, SETUP, , , 1
[18:45:10.146], STTP, 1, , , , , , store_share, CPU: 0.012561 ms, wall: 0.008461 ms, 1
[18:45:10.147], STTP, 1, <--, MIX, 1, list, b63bbb60, SETUP, , , 1
[18:45:10.202], STTP, 1, , , , , , store_share, CPU: 0.009075 ms, wall: 0.007789 ms, 1
[18:45:10.203], STTP, 1, <--, MIX, 26, list, 588d052c, SETUP, , , 1
[18:45:10.263], STTP, 1, , , , , , store_share, CPU: 0.005910 ms, wall: 0.004497 ms, 1
[18:45:10.264], STTP, 1, <--, MIX, 37, list, a6f1b6f0, SETUP, , , 1
[18:45:10.264], STTP, 1, , , , , , store_share, CPU: 0.003917 ms, wall: 0.003646 ms, 1
[18:45:10.264], STTP, 1, <--, MIX, 19, list, 304f737c, SETUP, , , 1
[18:45:10.272], STTP, 1, , , , , , store_share, CPU: 0.040900 ms, wall: 0.015178 ms, 1
[18:45:10.274], STTP, 1, <--, MIX, 43, list, 97a43e16, SETUP, , , 1
[18:45:10.274], STTP, 1, , , , , , store_share, CPU: 0.005562 ms, wall: 0.004619 ms, 1
[18:45:10.275], STTP, 1, <--, MIX, 24, list, 4818c34b, SETUP, , , 1
[18:45:10.282], STTP, 1, , , , , , store_share, CPU: 0.006679 ms, wall: 0.005742 ms, 1
[18:45:10.283], STTP, 1, <--, MIX, 6, list, ddb0c3b2, SETUP, , , 1
[18:45:10.283], STTP, 1, , , , , , store_share, CPU: 0.003086 ms, wall: 0.002404 ms, 1
[18:45:10.290], STTP, 1, <--, MIX, 48, list, 732486b0, SETUP, , , 1
[18:45:10.345], STTP, 1, , , , , , store_share, CPU: 0.004926 ms, wall: 0.004286 ms, 1
[18:45:10.346], STTP, 1, <--, MIX, 4, list, 36ad72ad, SETUP, , , 1
[18:45:10.346], STTP, 1, , , , , , store_share, CPU: 0.003003 ms, wall: 0.002352 ms, 1
[18:45:10.346], STTP, 1, <--, MIX, 42, list, 85426189, SETUP, , , 1
[18:45:10.346], STTP, 1, , , , , , store_share, CPU: 0.003873 ms, wall: 0.003032 ms, 1
[18:45:10.347], STTP, 1, <--, MIX, 35, list, e3c721a1, SETUP, , , 1
[18:45:10.354], STTP, 1, , , , , , store_share, CPU: 0.005010 ms, wall: 0.003938 ms, 1
[18:45:10.355], STTP, 1, <--, MIX, 12, list, e196d3a2, SETUP, , , 1
[18:45:10.355], STTP, 1, , , , , , store_share, CPU: 0.003963 ms, wall: 0.003253 ms, 1
[18:45:10.355], STTP, 1, <--, MIX, 29, list, f1d042a5, SETUP, , , 1
[18:45:10.362], STTP, 1, , , , , , store_share, CPU: 0.028073 ms, wall: 0.011443 ms, 1
[18:45:10.363], STTP, 1, <--, MIX, 13, list, 92981753, SETUP, , , 1
[18:45:10.363], STTP, 1, , , , , , store_share, CPU: 0.003299 ms, wall: 0.002680 ms, 1
[18:45:10.363], STTP, 1, <--, MIX, 33, list, 0e7c0b7a, SETUP, , , 1
[18:45:10.363], STTP, 1, , , , , , store_share, CPU: 0.003881 ms, wall: 0.003106 ms, 1
[18:45:10.364], STTP, 1, <--, MIX, 2, list, a5b80b19, SETUP, , , 1
[18:45:10.364], STTP, 1, , , , , , store_share, CPU: 0.003450 ms, wall: 0.002906 ms, 1
