[18:45:10.171], STTP, 10, <--, MIX, 38, list, 1e07312a, SETUP, , , 1
[18:45:10.174], STTP, 10, , , , , , store_share, CPU: 0.010712 ms, wall: 0.007660 ms, 1
[18:45:10.175], STTP, 10, <--, MIX, 48, list, efb5985c, SETUP, , , 1
[18:45:10.219], STTP, 10, , , , , , store_share, CPU: 0.013013 ms, wall: 0.010448 ms, 1
[18:45:10.242], STTP, 10, <--, MIX, 29, list, a2c03dd2, SETUP, , , 1
[18:45:10.243], STTP, 10, , , , , , store_share, CPU: 0.005808 ms, wall: 0.003964 ms, 1
[18:45:10.243], STTP, 10, <--, MIX, 5, list, 8d512463, SETUP, , , 1
[18:45:10.244], STTP, 10, , , , , , store_share, CPU: 0.004655 ms, wall: 0.003565 ms, 1
[18:45:10.248], STTP, 10, <--, MIX, 40, list, bbc20b64, SETUP, , , 1
[18:45:10.248], STTP, 10, , , , , , store_share, CPU: 0.004885 ms, wall: 0.004019 ms, 1
[18:45:10.260], STTP, 10, <--, MIX, 33, list, 900a7e59, SETUP, , , 1
[18:45:10.306], STTP, 10, , , , , , store_share, CPU: 0.005527 ms, wall: 0.004407 ms, 1
[18:45:10.307], STTP, 10, <--, MIX, 30, list, 244ddd14, SETUP, , , 1
[18:45:10.307], STTP, 10, , , , , , store_share, CPU: 0.004008 ms, wall: 0.003031 ms, 1
[18:45:10.308], STTP, 10, <--, MIX, 26, list, 3d8473ef, SETUP, , , 1
[18:45:10.312], STTP, 10, , , , , , store_share, CPU: 0.027239 ms, wall: 0.025714 ms, 1
[18:45:10.313], STTP, 10, <--, MIX, 4, list, 35524301, SETUP, , , 1
[18:45:10.314], STTP, 10, , , , , , store_share, CPU: 0.007904 ms, wall: 0.006019 ms, 1
[18:45:10.316], STTP, 10, <--, MIX, 37, list, ebe06b69, SETUP, , , 1
[18:45:10.317], STTP, 10, , , , , , store_share, CPU: 0.004629 ms, wall: 0.003614 ms, 1
[18:45:10.317], STTP, 10, <--, MIX, 24, list, e9d9e8a9, SETUP, , , 1
[18:45:10.317], STTP, 10, , , , , , store_share, CPU: 0.004417 ms, wall: 0.003041 ms, 1
[18:45:10.318], STTP, 10, <--, MIX, 43, list, 3776236d, SETUP, , , 1
[18:45:10.320], STTP, 10, , , , , , store_share, CPU: 0.004327 ms, wall: 0.003791 ms, 1
[18:45:10.320], STTP, 10, <--, MIX, 1, list, 48da7a26, SETUP, , , 1
[18:45:10.376], STTP, 10, , , , , , store_share, CPU: 0.007476 ms, wall: 0.006299 ms, 1
[18:45:10.377], STTP, 10, <--, MIX, 19, list, 73ad4659, SETUP, , , 1
[18:45:10.377], STTP, 10, , , , , , store_share, CPU: 0.006396 ms, wall: 0.005176 ms, 1
[18:45:10.380], STTP, 10, <--, MIX, 42, list, b610a8e3, SETUP, , , 1
[18:45:10.380], STTP, 10, , , , , , store_share, CPU: 0.007045 ms, wall: 0.005651 ms, 1
[18:45:10.381], STTP, 10, <--, MIX, 13, list, 9db609fa, SETUP, , , 1
[18:45:10.381], STTP, 10, , , , , , store_share, CPU: 0.006198 ms, wall: 0.005064 ms, 1
[18:45:10.382], STTP, 10, <--, MIX, 2, list, 8fccf00f, SETUP, , , 1
[18:45:10.382], STTP, 10, , , , , , store_share, CPU: 0.006481 ms, wall: 0.005300 ms, 1
[18:45:10.383], STTP, 10, <--, MIX, 34, list, 2a0d2971, SETUP, , , 1
[18:45:10.383], STTP, 10, , , , , , store_share, CPU: 0.005762 ms, wall: 0.004887 ms, 1
[18:45:10.384], STTP, 10, <--, MIX, 8, list, 6e5c2562, SETUP, , , 1
[18:45:10.384], STTP, 10, , , , , , store_share, CPU: 0.006042 ms, wall: 0.004941 ms, 1
[18:45:10.385], STTP, 10, <--, MIX, 25, list, 072b92c8, SETUP, , , 1
[18:45:10.386], STTP, 10, , , , , , store_share, CPU: 0.005973 ms, wall: 0.005046 ms, 1
[18:45:10.386], STTP, 10, <--, MIX, 28, list, a3b5c2c1, SETUP, , , 1
[18:45:10.387], STTP, 10, , , , , , store_share, CPU: 0.005904 ms, wall: 0.005127 ms, 1
[18:45:10.387], STTP, 10, <--, MIX, 21, list, 6c5e04cd, SETUP, , , 1
[18:45:10.388], STTP, 10, , , , , , store_share, CPU: 0.005733 ms, wall: 0.004975 ms, 1
[18:45:10.389], STTP, 10, <--, MIX, 10, list, f6226442, SETUP, , , 1
[18:45:10.389], STTP, 10, , , , , , store_share, CPU: 0.005983 ms, wall: 0.005088 ms, 1
[18:45:10.390], STTP, 10, <--, MIX, 6, list, 6954f84e, SETUP, , , 1
[18:45:10.390], STTP, 10, , , , , , store_share, CPU: 0.009449 ms, wall: 0.005323 ms, 1
[18:45:10.391], STTP, 10, <--, MIX, 46, list, 6aaf3d10, SETUP, , , 1
[18:45:10.391], STTP, 10, , , , , , store_share, CPU: 0.006518 ms, wall: 0.005091 ms, 1
[18:45:10.392], STTP, 10, <--, MIX, 36, list, 981c709e, SETUP, , , 1
[18:45:10.392], STTP, 10, , , , , , store_share, CPU: 0.006516 ms, wall: 0.004922 ms, 1
[18:45:10.393], STTP, 10, <--, MIX, 41, list, 1f0071f4, SETUP, , , 1
[18:45:10.393], STTP, 10, , , , , , store_share, CPU: 0.006074 ms, wall: 0.004888 ms, 1
[18:45:10.394], STTP, 10, <--, MIX, 18, list, bc671f94, SETUP, , , 1
[18:45:10.394], STTP, 10, , , , , , store_share, CPU: 0.005703 ms, wall: 0.004719 ms, 1
[18:45:10.395], STTP, 10, <--, MIX, 16, list, 734a857d, SETUP, , , 1
[18:45:10.395], STTP, 10, , , , , , store_share, CPU: 0.005716 ms, wall: 0.004849 ms, 1
[18:45:10.396], STTP, 10, <--, MIX, 14, list, f5f718df, SETUP, , , 1
[18:45:10.396], STTP, 10, , , , , , store_share, CPU: 0.006082 ms, wall: 0.004784 ms, 1
[18:45:10.397], STTP, 10, <--, MIX, 7, list, be2cd305, SETUP, , , 1
[18:45:10.397], STTP, 10, , , , , , store_share, CPU: 0.005928 ms, wall: 0.004771 ms, 1
[18:45:10.398], STTP, 10, <--, MIX, 35, list, 932b9fde, SETUP, , , 1
[18:45:10.398], STTP, 10, , , , , , store_share, CPU: 0.006263 ms, wall: 0.005041 ms, 1
[18:45:10.399], STTP, 10, <--, MIX, 45, list, 99813b2e, SETUP, , , 1
[18:45:10.408], STTP, 10, , , , , , store_share, CPU: 0.008422 ms, wall: 0.006351 ms, 1
[18:45:10.409], STTP, 10, <--, MIX, 23, list, d7627a5c, SETUP, , , 1
[18:45:10.409], STTP, 10, , , , , , store_share, CPU: 0.006989 ms, wall: 0.005432 ms, 1
[18:45:10.410], STTP, 10, <--, MIX, 44, list, b61e838b, SETUP, , , 1
[18:45:10.414], STTP, 10, , , , , , store_share, CPU: 0.007048 ms, wall: 0.005745 ms, 1
[18:45:10.415], STTP, 10, <--, MIX, 27, list, d1da2ecb, SETUP, , , 1
[18:45:10.415], STTP, 10, , , , , , store_share, CPU: 0.006642 ms, wall: 0.005322 ms, 1
[18:45:10.418], STTP, 10, <--, MIX, 9, list, ecd7343b, SETUP, , , 1
[18:45:10.419], STTP, 10, , , , , , store_share, CPU: 0.007022 ms, wall: 0.005696 ms, 1
[18:45:10.419], STTP, 10, <--, MIX, 31, list, 89cb6efd, SETUP, , , 1
[18:45:10.422], STTP, 10, , , , , , store_share, CPU: 0.023129 ms, wall: 0.014514 ms, 1
[18:45:10.423], STTP, 10, <--, MIX, 49, list, 45a82a2f, SETUP, , , 1
[18:45:10.423], STTP, 10, , , , , , store_share, CPU: 0.006551 ms, wall: 0.005370 ms, 1
[18:45:10.424], STTP, 10, <--, MIX, 12, list, 8153f90f, SETUP, , , 1
[18:45:10.425], STTP, 10, , , , , , store_share, CPU: 0.003586 ms, wall: 0.002875 ms, 1
[18:45:10.425], STTP, 10, <--, MIX, 22, list, 2c4ae030, SETUP, , , 1
[18:45:10.425], STTP, 10, , , , , , store_share, CPU: 0.002775 ms, wall: 0.002232 ms, 1
[18:45:10.426], STTP, 10, <--, MIX, 32, list, 87458fab, SETUP, , , 1
[18:45:10.426], STTP, 10, , , , , , store_share, CPU: 0.002121 ms, wall: 0.001671 ms, 1
[18:45:10.426], STTP, 10, <--, MIX, 39, list, 6185ccba, SETUP, , , 1
[18:45:10.426], STTP, 10, , , , , , store_share, CPU: 0.003220 ms, wall: 0.002504 ms, 1
[18:45:10.427], STTP, 10, <--, MIX, 15, list, a4f117aa, SETUP, , , 1
[18:45:10.427], STTP, 10, , , , , , store_share, CPU: 0.002889 ms, wall: 0.002127 ms, 1
[18:45:10.427], STTP, 10, <--, MIX, 50, list, d1510fae, SETUP, , , 1
[18:45:10.427], STTP, 10, , , , , , store_share, CPU: 0.002175 ms, wall: 0.001728 ms, 1
[18:45:10.427], STTP, 10, <--, MIX, 17, list, 02ae2e71, SETUP, , , 1
[18:45:10.428], STTP, 10, , , , , , store_share, CPU: 0.002231 ms, wall: 0.001785 ms, 1
[18:45:10.428], STTP, 10, <--, MIX, 3, list, c13cbc6f, SETUP, , , 1
[18:45:10.428], STTP, 10, , , , , , store_share, CPU: 0.001938 ms, wall: 0.001571 ms, 1
[18:45:10.439], STTP, 10, <--, MIX, 20, list, 8b80a9c4, SETUP, , , 1
[18:45:10.439], STTP, 10, , , , , , store_share, CPU: 0.004256 ms, wall: 0.002970 ms, 1
[18:45:10.447], STTP, 10, <--, MIX, 47, list, e3cd5b49, SETUP, , , 1
[18:45:10.448], STTP, 10, , , , , , store_share, CPU: 0.007861 ms, wall: 0.006036 ms, 1
[18:45:10.538], STTP, 10, <--, MIX, 11, list, a34f086b, SETUP, , , 1
[18:45:10.538], STTP, 10, , , , , , store_share, CPU: 0.036451 ms, wall: 0.034785 ms, 1
[18:45:12.356], STTP, 10, <--, CLIENT, 7, list, be72bd79, ROUTE, , , 1
[18:45:12.357], STTP, 10, -->, CLIENT, 7, list, 7ee9fa47, ROUTE, , , 1
[18:45:12.357], STTP, 10, , , , , , send_share, CPU: 0.995601 ms, wall: 1.009522 ms, 1
[18:45:12.539], STTP, 10, <--, CLIENT, 85, list, fa539e38, ROUTE, , , 1
[18:45:12.540], STTP, 10, -->, CLIENT, 85, list, 4d67cfa1, ROUTE, , , 1
[18:45:12.541], STTP, 10, , , , , , send_share, CPU: 1.255965 ms, wall: 1.295561 ms, 1
[18:45:12.860], STTP, 10, <--, CLIENT, 42, list, 3d1d269d, ROUTE, , , 1
[18:45:12.861], STTP, 10, -->, CLIENT, 42, list, caf1a9df, ROUTE, , , 1
[18:45:12.861], STTP, 10, , , , , , send_share, CPU: 0.799217 ms, wall: 0.811050 ms, 1
[18:45:12.919], STTP, 10, <--, CLIENT, 13, list, b3d2f6b8, ROUTE, , , 1
[18:45:12.920], STTP, 10, -->, CLIENT, 13, list, ffb72f83, ROUTE, , , 1
[18:45:12.920], STTP, 10, , , , , , send_share, CPU: 0.782903 ms, wall: 0.797102 ms, 1
[18:45:12.935], STTP, 10, <--, CLIENT, 2, list, 140ba017, ROUTE, , , 1
[18:45:12.937], STTP, 10, -->, CLIENT, 2, list, d5bcd4c8, ROUTE, , , 1
[18:45:12.938], STTP, 10, , , , , , send_share, CPU: 2.234379 ms, wall: 2.261591 ms, 1
[18:45:12.960], STTP, 10, <--, CLIENT, 55, list, f1e62ade, ROUTE, , , 1
[18:45:12.961], STTP, 10, -->, CLIENT, 55, list, c839af4c, ROUTE, , , 1
[18:45:12.961], STTP, 10, , , , , , send_share, CPU: 0.747497 ms, wall: 0.761639 ms, 1
[18:45:12.963], STTP, 10, <--, CLIENT, 15, list, 94afbdb6, ROUTE, , , 1
[18:45:12.965], STTP, 10, -->, CLIENT, 15, list, a7eb69eb, ROUTE, , , 1
[18:45:12.966], STTP, 10, , , , , , send_share, CPU: 2.179908 ms, wall: 2.206633 ms, 1
[18:45:12.997], STTP, 10, <--, CLIENT, 40, list, efbab566, ROUTE, , , 1
