[18:45:10.172], STTP, 11, <--, MIX, 48, list, 6ff4b345, SETUP, , , 1
[18:45:10.211], STTP, 11, , , , , , store_share, CPU: 0.016290 ms, wall: 0.010718 ms, 1
[18:45:10.211], STTP, 11, <--, MIX, 38, list, b5485474, SETUP, , , 1
[18:45:10.212], STTP, 11, , , , , , store_share, CPU: 0.005472 ms, wall: 0.004527 ms, 1
[18:45:10.244], STTP, 11, <--, MIX, 29, list, 49c6329f, SETUP, , , 1
[18:45:10.245], STTP, 11, , , , , , store_share, CPU: 0.005230 ms, wall: 0.003819 ms, 1
[18:45:10.254], STTP, 11, <--, MIX, 5, list, e6aaebd4, SETUP, , , 1
[18:45:10.255], STTP, 11, , , , , , store_share, CPU: 0.005031 ms, wall: 0.003993 ms, 1
[18:45:10.260], STTP, 11, <--, MIX, 40, list, 8f0290fd, SETUP, , , 1
[18:45:10.312], STTP, 11, , , , , , store_share, CPU: 0.005723 ms, wall: 0.004972 ms, 1
[18:45:10.313], STTP, 11, <--, MIX, 30, list, 4be3acff, SETUP, , , 1
[18:45:10.313], STTP, 11, , , , , , store_share, CPU: 0.003950 ms, wall: 0.003099 ms, 1
[18:45:10.313], STTP, 11, <--, MIX, 33, list, 2beadad5, SETUP, , , 1
[18:45:10.314], STTP, 11, , , , , , store_share, CPU: 0.003887 ms, wall: 0.002745 ms, 1
[18:45:10.314], STTP, 11, <--, MIX, 26, list, 9c88ee1f, SETUP, , , 1
[18:45:10.314], STTP, 11, , , , , , store_share, CPU: 0.004092 ms, wall: 0.002898 ms, 1
[18:45:10.315], STTP, 11, <--, MIX, 43, list, e4e7b7a7, SETUP, , , 1
[18:45:10.315], STTP, 11, , , , , , store_share, CPU: 0.003790 ms, wall: 0.002982 ms, 1
[18:45:10.315], STTP, 11, <--, MIX, 19, list, d8502c89, SETUP, , , 1
[18:45:10.316], STTP, 11, , , , , , store_share, CPU: 0.004193 ms, wall: 0.003148 ms, 1
[18:45:10.316], STTP, 11, <--, MIX, 42, list, 69884373, SETUP, , , 1
[18:45:10.316], STTP, 11, , , , , , store_share, CPU: 0.003996 ms, wall: 0.003120 ms, 1
[18:45:10.317], STTP, 11, <--, MIX, 13, list, 600e26d2, SETUP, , , 1
[18:45:10.317], STTP, 11, , , , , , store_share, CPU: 0.003675 ms, wall: 0.002871 ms, 1
[18:45:10.317], STTP, 11, <--, MIX, 4, list, a57fca00, SETUP, , , 1
[18:45:10.318], STTP, 11, , , , , , store_share, CPU: 0.003490 ms, wall: 0.002631 ms, 1
[18:45:10.318], STTP, 11, <--, MIX, 37, list, cee56f53, SETUP, , , 1
[18:45:10.318], STTP, 11, , , , , , store_share, CPU: 0.003799 ms, wall: 0.003033 ms, 1
[18:45:10.330], STTP, 11, <--, MIX, 2, list, 003ee51c, SETUP, , , 1
[18:45:10.331], STTP, 11, , , , , , store_share, CPU: 0.005264 ms, wall: 0.003741 ms, 1
[18:45:10.331], STTP, 11, <--, MIX, 24, list, ef1cc28a, SETUP, , , 1
[18:45:10.331], STTP, 11, , , , , , store_share, CPU: 0.003230 ms, wall: 0.002672 ms, 1
[18:45:10.334], STTP, 11, <--, MIX, 34, list, 2a0da8ff, SETUP, , , 1
[18:45:10.337], STTP, 11, , , , , , store_share, CPU: 0.022255 ms, wall: 0.012187 ms, 1
[18:45:10.338], STTP, 11, <--, MIX, 25, list, a398ecb1, SETUP, , , 1
[18:45:10.338], STTP, 11, , , , , , store_share, CPU: 0.003407 ms, wall: 0.002536 ms, 1
[18:45:10.338], STTP, 11, <--, MIX, 8, list, 96c3dfff, SETUP, , , 1
[18:45:10.338], STTP, 11, , , , , , store_share, CPU: 0.004025 ms, wall: 0.002974 ms, 1
[18:45:10.341], STTP, 11, <--, MIX, 1, list, 4e521870, SETUP, , , 1
[18:45:10.342], STTP, 11, , , , , , store_share, CPU: 0.004984 ms, wall: 0.003743 ms, 1
[18:45:10.342], STTP, 11, <--, MIX, 28, list, 98f4ba4f, SETUP, , , 1
[18:45:10.342], STTP, 11, , , , , , store_share, CPU: 0.003830 ms, wall: 0.002829 ms, 1
[18:45:10.345], STTP, 11, <--, MIX, 21, list, 5fb52291, SETUP, , , 1
[18:45:10.348], STTP, 11, , , , , , store_share, CPU: 0.020999 ms, wall: 0.012313 ms, 1
[18:45:10.349], STTP, 11, <--, MIX, 6, list, 765ea83e, SETUP, , , 1
