[18:45:10.183], STTP, 12, <--, MIX, 38, list, 3fce9ece, SETUP, , , 1
[18:45:10.229], STTP, 12, , , , , , store_share, CPU: 0.020098 ms, wall: 0.011339 ms, 1
[18:45:10.230], STTP, 12, <--, MIX, 48, list, 9c2cf23f, SETUP, , , 1
[18:45:10.298], STTP, 12, , , , , , store_share, CPU: 0.013603 ms, wall: 0.011426 ms, 1
[18:45:10.299], STTP, 12, <--, MIX, 33, list, 57f4a4be, SETUP, , , 1
[18:45:10.301], STTP, 12, , , , , , store_share, CPU: 0.033905 ms, wall: 0.016865 ms, 1
[18:45:10.302], STTP, 12, <--, MIX, 40, list, a41c8806, SETUP, , , 1
[18:45:10.360], STTP, 12, , , , , , store_share, CPU: 0.005493 ms, wall: 0.004106 ms, 1
[18:45:10.361], STTP, 12, <--, MIX, 26, list, c7c42770, SETUP, , , 1
[18:45:10.361], STTP, 12, , , , , , store_share, CPU: 0.002608 ms, wall: 0.001873 ms, 1
[18:45:10.361], STTP, 12, <--, MIX, 43, list, e7e45ffc, SETUP, , , 1
[18:45:10.361], STTP, 12, , , , , , store_share, CPU: 0.003728 ms, wall: 0.002930 ms, 1
[18:45:10.362], STTP, 12, <--, MIX, 19, list, 043ec590, SETUP, , , 1
[18:45:10.362], STTP, 12, , , , , , store_share, CPU: 0.003220 ms, wall: 0.002730 ms, 1
[18:45:10.362], STTP, 12, <--, MIX, 5, list, 32bd1ab6, SETUP, , , 1
[18:45:10.363], STTP, 12, , , , , , store_share, CPU: 0.003312 ms, wall: 0.002588 ms, 1
[18:45:10.363], STTP, 12, <--, MIX, 29, list, 8e1d9972, SETUP, , , 1
[18:45:10.363], STTP, 12, , , , , , store_share, CPU: 0.003541 ms, wall: 0.002844 ms, 1
[18:45:10.364], STTP, 12, <--, MIX, 30, list, b0b8f62c, SETUP, , , 1
[18:45:10.364], STTP, 12, , , , , , store_share, CPU: 0.003759 ms, wall: 0.002643 ms, 1
[18:45:10.364], STTP, 12, <--, MIX, 42, list, a5723329, SETUP, , , 1
[18:45:10.364], STTP, 12, , , , , , store_share, CPU: 0.003911 ms, wall: 0.002983 ms, 1
[18:45:10.365], STTP, 12, <--, MIX, 37, list, 60aa61aa, SETUP, , , 1
[18:45:10.365], STTP, 12, , , , , , store_share, CPU: 0.003242 ms, wall: 0.002614 ms, 1
[18:45:10.366], STTP, 12, <--, MIX, 2, list, 31def8c5, SETUP, , , 1
[18:45:10.366], STTP, 12, , , , , , store_share, CPU: 0.003479 ms, wall: 0.002642 ms, 1
[18:45:10.366], STTP, 12, <--, MIX, 34, list, d67deae3, SETUP, , , 1
[18:45:10.366], STTP, 12, , , , , , store_share, CPU: 0.003442 ms, wall: 0.002842 ms, 1
[18:45:10.367], STTP, 12, <--, MIX, 24, list, 4ad69e7b, SETUP, , , 1
[18:45:10.367], STTP, 12, , , , , , store_share, CPU: 0.002812 ms, wall: 0.002159 ms, 1
[18:45:10.367], STTP, 12, <--, MIX, 25, list, e52dda3e, SETUP, , , 1
[18:45:10.367], STTP, 12, , , , , , store_share, CPU: 0.003217 ms, wall: 0.002532 ms, 1
[18:45:10.368], STTP, 12, <--, MIX, 1, list, bef717e4, SETUP, , , 1
[18:45:10.368], STTP, 12, , , , , , store_share, CPU: 0.002923 ms, wall: 0.002462 ms, 1
[18:45:10.368], STTP, 12, <--, MIX, 8, list, f9725bb9, SETUP, , , 1
[18:45:10.369], STTP, 12, , , , , , store_share, CPU: 0.003682 ms, wall: 0.002773 ms, 1
[18:45:10.369], STTP, 12, <--, MIX, 28, list, 5f6fea65, SETUP, , , 1
[18:45:10.369], STTP, 12, , , , , , store_share, CPU: 0.004083 ms, wall: 0.003293 ms, 1
[18:45:10.370], STTP, 12, <--, MIX, 21, list, e24bfb6c, SETUP, , , 1
[18:45:10.370], STTP, 12, , , , , , store_share, CPU: 0.003901 ms, wall: 0.002948 ms, 1
[18:45:10.370], STTP, 12, <--, MIX, 6, list, 7675c300, SETUP, , , 1
[18:45:10.370], STTP, 12, , , , , , store_share, CPU: 0.003928 ms, wall: 0.002898 ms, 1
[18:45:10.371], STTP, 12, <--, MIX, 46, list, 81a2fd19, SETUP, , , 1
[18:45:10.401], STTP, 12, , , , , , store_share, CPU: 0.005191 ms, wall: 0.003930 ms, 1
[18:45:10.401], STTP, 12, <--, MIX, 36, list, 5b8a7c84, SETUP, , , 1
[18:45:10.401], STTP, 12, , , , , , store_share, CPU: 0.002319 ms, wall: 0.001841 ms, 1
[18:45:10.402], STTP, 12, <--, MIX, 41, list, b5ea6280, SETUP, , , 1
[18:45:10.402], STTP, 12, , , , , , store_share, CPU: 0.001966 ms, wall: 0.001599 ms, 1
[18:45:10.402], STTP, 12, <--, MIX, 18, list, abee12b1, SETUP, , , 1
[18:45:10.402], STTP, 12, , , , , , store_share, CPU: 0.002033 ms, wall: 0.001743 ms, 1
[18:45:10.402], STTP, 12, <--, MIX, 14, list, 0b6760da, SETUP, , , 1
[18:45:10.402], STTP, 12, , , , , , store_share, CPU: 0.001980 ms, wall: 0.001538 ms, 1
[18:45:10.403], STTP, 12, <--, MIX, 16, list, e0646d25, SETUP, , , 1
[18:45:10.403], STTP, 12, , , , , , store_share, CPU: 0.001945 ms, wall: 0.001546 ms, 1
[18:45:10.403], STTP, 12, <--, MIX, 4, list, b84a6081, SETUP, , , 1
[18:45:10.403], STTP, 12, , , , , , store_share, CPU: 0.002535 ms, wall: 0.002070 ms, 1
[18:45:10.404], STTP, 12, <--, MIX, 13, list, 3e32553f, SETUP, , , 1
[18:45:10.404], STTP, 12, , , , , , store_share, CPU: 0.003427 ms, wall: 0.002647 ms, 1
[18:45:10.404], STTP, 12, <--, MIX, 7, list, 42042a30, SETUP, , , 1
[18:45:10.404], STTP, 12, , , , , , store_share, CPU: 0.003711 ms, wall: 0.002750 ms, 1
[18:45:10.405], STTP, 12, <--, MIX, 35, list, 4be4fbb7, SETUP, , , 1
[18:45:10.405], STTP, 12, , , , , , store_share, CPU: 0.003518 ms, wall: 0.002774 ms, 1
[18:45:10.405], STTP, 12, <--, MIX, 10, list, a9cc8d73, SETUP, , , 1
[18:45:10.406], STTP, 12, , , , , , store_share, CPU: 0.003271 ms, wall: 0.002405 ms, 1
[18:45:10.406], STTP, 12, <--, MIX, 45, list, a76483b3, SETUP, , , 1
[18:45:10.406], STTP, 12, , , , , , store_share, CPU: 0.003522 ms, wall: 0.002781 ms, 1
[18:45:10.407], STTP, 12, <--, MIX, 23, list, ea6b2d71, SETUP, , , 1
[18:45:10.410], STTP, 12, , , , , , store_share, CPU: 0.003904 ms, wall: 0.002997 ms, 1
[18:45:10.411], STTP, 12, <--, MIX, 27, list, 0f225253, SETUP, , , 1
[18:45:10.411], STTP, 12, , , , , , store_share, CPU: 0.006841 ms, wall: 0.013057 ms, 1
[18:45:10.411], STTP, 12, <--, MIX, 44, list, 3719a2b9, SETUP, , , 1
[18:45:10.412], STTP, 12, , , , , , store_share, CPU: 0.003262 ms, wall: 0.002386 ms, 1
[18:45:10.412], STTP, 12, <--, MIX, 9, list, 0b944365, SETUP, , , 1
[18:45:10.412], STTP, 12, , , , , , store_share, CPU: 0.002905 ms, wall: 0.002208 ms, 1
[18:45:10.412], STTP, 12, <--, MIX, 39, list, 2efcbf15, SETUP, , , 1
[18:45:10.413], STTP, 12, , , , , , store_share, CPU: 0.003239 ms, wall: 0.002361 ms, 1
[18:45:10.413], STTP, 12, <--, MIX, 22, list, 7cdeb30c, SETUP, , , 1
[18:45:10.413], STTP, 12, , , , , , store_share, CPU: 0.003474 ms, wall: 0.002588 ms, 1
[18:45:10.414], STTP, 12, <--, MIX, 31, list, c7fe01a4, SETUP, , , 1
[18:45:10.415], STTP, 12, , , , , , store_share, CPU: 0.003830 ms, wall: 0.003147 ms, 1
[18:45:10.415], STTP, 12, <--, MIX, 32, list, 54265457, SETUP, , , 1
[18:45:10.415], STTP, 12, , , , , , store_share, CPU: 0.003867 ms, wall: 0.002980 ms, 1
[18:45:10.416], STTP, 12, <--, MIX, 49, list, fcd32bab, SETUP, , , 1
[18:45:10.416], STTP, 12, , , , , , store_share, CPU: 0.003189 ms, wall: 0.002495 ms, 1
[18:45:10.417], STTP, 12, <--, MIX, 12, list, d8279fa0, SETUP, , , 1
[18:45:10.417], STTP, 12, , , , , , store_share, CPU: 0.003651 ms, wall: 0.002779 ms, 1
[18:45:10.417], STTP, 12, <--, MIX, 15, list, a619da8b, SETUP, , , 1
[18:45:10.417], STTP, 12, , , , , , store_share, CPU: 0.003815 ms, wall: 0.002918 ms, 1
[18:45:10.418], STTP, 12, <--, MIX, 50, list, bd008f57, SETUP, , , 1
