[18:45:10.190], STTP, 13, <--, MIX, 38, list, 47a4e63d, SETUP, , , 1
[18:45:10.193], STTP, 13, , , , , , store_share, CPU: 0.012704 ms, wall: 0.008993 ms, 1
[18:45:10.230], STTP, 13, <--, MIX, 48, list, ce94d117, SETUP, , , 1
[18:45:10.296], STTP, 13, , , , , , store_share, CPU: 0.008386 ms, wall: 0.006912 ms, 1
[18:45:10.297], STTP, 13, <--, MIX, 33, list, 7632d778, SETUP, , , 1
[18:45:10.354], STTP, 13, , , , , , store_share, CPU: 0.004329 ms, wall: 0.003656 ms, 1
[18:45:10.355], STTP, 13, <--, MIX, 40, list, 28e5f5af, SETUP, , , 1
[18:45:10.355], STTP, 13, , , , , , store_share, CPU: 0.005606 ms, wall: 0.002665 ms, 1
[18:45:10.355], STTP, 13, <--, MIX, 26, list, 99b5e66e, SETUP, , , 1
[18:45:10.362], STTP, 13, , , , , , store_share, CPU: 0.026653 ms, wall: 0.013063 ms, 1
[18:45:10.362], STTP, 13, <--, MIX, 43, list, bb6d73b7, SETUP, , , 1
[18:45:10.363], STTP, 13, , , , , , store_share, CPU: 0.003830 ms, wall: 0.003109 ms, 1
[18:45:10.363], STTP, 13, <--, MIX, 19, list, 80a77793, SETUP, , , 1
[18:45:10.397], STTP, 13, , , , , , store_share, CPU: 0.004680 ms, wall: 0.003919 ms, 1
[18:45:10.398], STTP, 13, <--, MIX, 5, list, 5e922053, SETUP, , , 1
[18:45:10.398], STTP, 13, , , , , , store_share, CPU: 0.003709 ms, wall: 0.002883 ms, 1
[18:45:10.398], STTP, 13, <--, MIX, 29, list, 042a745c, SETUP, , , 1
[18:45:10.399], STTP, 13, , , , , , store_share, CPU: 0.003789 ms, wall: 0.002923 ms, 1
[18:45:10.399], STTP, 13, <--, MIX, 30, list, 64f403cd, SETUP, , , 1
[18:45:10.408], STTP, 13, , , , , , store_share, CPU: 0.005020 ms, wall: 0.003873 ms, 1
[18:45:10.409], STTP, 13, <--, MIX, 42, list, c2e454e9, SETUP, , , 1
[18:45:10.409], STTP, 13, , , , , , store_share, CPU: 0.003828 ms, wall: 0.002902 ms, 1
[18:45:10.409], STTP, 13, <--, MIX, 37, list, 910210e4, SETUP, , , 1
[18:45:10.410], STTP, 13, , , , , , store_share, CPU: 0.003303 ms, wall: 0.002476 ms, 1
[18:45:10.410], STTP, 13, <--, MIX, 2, list, 3e737d12, SETUP, , , 1
[18:45:10.410], STTP, 13, , , , , , store_share, CPU: 0.003133 ms, wall: 0.002519 ms, 1
[18:45:10.411], STTP, 13, <--, MIX, 34, list, 480c44ea, SETUP, , , 1
[18:45:10.411], STTP, 13, , , , , , store_share, CPU: 0.003234 ms, wall: 0.002685 ms, 1
[18:45:10.411], STTP, 13, <--, MIX, 24, list, a0fbba34, SETUP, , , 1
[18:45:10.411], STTP, 13, , , , , , store_share, CPU: 0.003645 ms, wall: 0.002927 ms, 1
[18:45:10.412], STTP, 13, <--, MIX, 25, list, 1273e8b7, SETUP, , , 1
[18:45:10.412], STTP, 13, , , , , , store_share, CPU: 0.002859 ms, wall: 0.002468 ms, 1
[18:45:10.412], STTP, 13, <--, MIX, 1, list, 97dd3bab, SETUP, , , 1
[18:45:10.413], STTP, 13, , , , , , store_share, CPU: 0.003314 ms, wall: 0.002662 ms, 1
[18:45:10.413], STTP, 13, <--, MIX, 8, list, 6a339c3e, SETUP, , , 1
[18:45:10.413], STTP, 13, , , , , , store_share, CPU: 0.003289 ms, wall: 0.002822 ms, 1
[18:45:10.414], STTP, 13, <--, MIX, 21, list, 29391b41, SETUP, , , 1
[18:45:10.414], STTP, 13, , , , , , store_share, CPU: 0.002491 ms, wall: 0.001739 ms, 1
[18:45:10.414], STTP, 13, <--, MIX, 28, list, b98e4e81, SETUP, , , 1
[18:45:10.414], STTP, 13, , , , , , store_share, CPU: 0.002309 ms, wall: 0.001836 ms, 1
[18:45:10.414], STTP, 13, <--, MIX, 6, list, 143da5b4, SETUP, , , 1
[18:45:10.415], STTP, 13, , , , , , store_share, CPU: 0.002761 ms, wall: 0.002536 ms, 1
[18:45:10.415], STTP, 13, <--, MIX, 46, list, aa2d46ad, SETUP, , , 1
[18:45:10.415], STTP, 13, , , , , , store_share, CPU: 0.003296 ms, wall: 0.002657 ms, 1
[18:45:10.415], STTP, 13, <--, MIX, 36, list, d4a86abb, SETUP, , , 1
[18:45:10.416], STTP, 13, , , , , , store_share, CPU: 0.003238 ms, wall: 0.002457 ms, 1
[18:45:10.416], STTP, 13, <--, MIX, 41, list, ad2b9894, SETUP, , , 1
[18:45:10.416], STTP, 13, , , , , , store_share, CPU: 0.003347 ms, wall: 0.002612 ms, 1
[18:45:10.417], STTP, 13, <--, MIX, 18, list, 4f2f9de5, SETUP, , , 1
[18:45:10.417], STTP, 13, , , , , , store_share, CPU: 0.004122 ms, wall: 0.003167 ms, 1
[18:45:10.417], STTP, 13, <--, MIX, 14, list, f67546e3, SETUP, , , 1
[18:45:10.417], STTP, 13, , , , , , store_share, CPU: 0.003631 ms, wall: 0.002867 ms, 1
[18:45:10.418], STTP, 13, <--, MIX, 16, list, b85e9c3c, SETUP, , , 1
[18:45:10.418], STTP, 13, , , , , , store_share, CPU: 0.006544 ms, wall: 0.013552 ms, 1
[18:45:10.419], STTP, 13, <--, MIX, 4, list, 0d5323b0, SETUP, , , 1
[18:45:10.419], STTP, 13, , , , , , store_share, CPU: 0.002815 ms, wall: 0.002278 ms, 1
