[18:45:10.196], STTP, 14, <--, MIX, 38, list, e9474895, SETUP, , , 1
[18:45:10.251], STTP, 14, , , , , , store_share, CPU: 0.010634 ms, wall: 0.007403 ms, 1
[18:45:10.252], STTP, 14, <--, MIX, 48, list, 9193f64c, SETUP, , , 1
[18:45:10.252], STTP, 14, , , , , , store_share, CPU: 0.005620 ms, wall: 0.004821 ms, 1
[18:45:10.264], STTP, 14, <--, MIX, 33, list, d53125c7, SETUP, , , 1
[18:45:10.264], STTP, 14, , , , , , store_share, CPU: 0.004990 ms, wall: 0.004143 ms, 1
[18:45:10.267], STTP, 14, <--, MIX, 40, list, 7c45836c, SETUP, , , 1
[18:45:10.316], STTP, 14, , , , , , store_share, CPU: 0.007927 ms, wall: 0.006557 ms, 1
[18:45:10.319], STTP, 14, <--, MIX, 26, list, 6e3f1e26, SETUP, , , 1
[18:45:10.322], STTP, 14, , , , , , store_share, CPU: 0.009245 ms, wall: 0.007275 ms, 1
[18:45:10.323], STTP, 14, <--, MIX, 43, list, 14d4eb9a, SETUP, , , 1
[18:45:10.324], STTP, 14, , , , , , store_share, CPU: 0.006171 ms, wall: 0.005046 ms, 1
[18:45:10.325], STTP, 14, <--, MIX, 19, list, 39371a03, SETUP, , , 1
[18:45:10.327], STTP, 14, , , , , , store_share, CPU: 0.007036 ms, wall: 0.005452 ms, 1
[18:45:10.328], STTP, 14, <--, MIX, 5, list, e788e6dd, SETUP, , , 1
[18:45:10.329], STTP, 14, , , , , , store_share, CPU: 0.021509 ms, wall: 0.011493 ms, 1
[18:45:10.330], STTP, 14, <--, MIX, 29, list, 4bc63ea4, SETUP, , , 1
[18:45:10.330], STTP, 14, , , , , , store_share, CPU: 0.006872 ms, wall: 0.005546 ms, 1
[18:45:10.331], STTP, 14, <--, MIX, 42, list, 7db5c373, SETUP, , , 1
[18:45:10.336], STTP, 14, , , , , , store_share, CPU: 0.008087 ms, wall: 0.006490 ms, 1
[18:45:10.337], STTP, 14, <--, MIX, 2, list, ace6025c, SETUP, , , 1
[18:45:10.337], STTP, 14, , , , , , store_share, CPU: 0.006694 ms, wall: 0.005516 ms, 1
[18:45:10.338], STTP, 14, <--, MIX, 34, list, 7d9c5398, SETUP, , , 1
[18:45:10.344], STTP, 14, , , , , , store_share, CPU: 0.007994 ms, wall: 0.006377 ms, 1
[18:45:10.345], STTP, 14, <--, MIX, 25, list, 840484b7, SETUP, , , 1
[18:45:10.346], STTP, 14, , , , , , store_share, CPU: 0.006792 ms, wall: 0.005206 ms, 1
[18:45:10.351], STTP, 14, <--, MIX, 24, list, f7c556be, SETUP, , , 1
[18:45:10.352], STTP, 14, , , , , , store_share, CPU: 0.007818 ms, wall: 0.006208 ms, 1
[18:45:10.353], STTP, 14, <--, MIX, 21, list, e17d7983, SETUP, , , 1
[18:45:10.354], STTP, 14, , , , , , store_share, CPU: 0.007072 ms, wall: 0.005880 ms, 1
[18:45:10.355], STTP, 14, <--, MIX, 28, list, 8d7cf690, SETUP, , , 1
[18:45:10.355], STTP, 14, , , , , , store_share, CPU: 0.006967 ms, wall: 0.005347 ms, 1
[18:45:10.358], STTP, 14, <--, MIX, 8, list, b436091d, SETUP, , , 1
[18:45:10.393], STTP, 14, , , , , , store_share, CPU: 0.008468 ms, wall: 0.006728 ms, 1
[18:45:10.394], STTP, 14, <--, MIX, 1, list, 0c00e363, SETUP, , , 1
[18:45:10.394], STTP, 14, , , , , , store_share, CPU: 0.007402 ms, wall: 0.005641 ms, 1
[18:45:10.399], STTP, 14, <--, MIX, 6, list, 21dcda08, SETUP, , , 1
[18:45:10.408], STTP, 14, , , , , , store_share, CPU: 0.007507 ms, wall: 0.005822 ms, 1
[18:45:10.409], STTP, 14, <--, MIX, 46, list, d88a52f4, SETUP, , , 1
[18:45:10.409], STTP, 14, , , , , , store_share, CPU: 0.006869 ms, wall: 0.005307 ms, 1
[18:45:10.412], STTP, 14, <--, MIX, 41, list, 9681abd9, SETUP, , , 1
[18:45:10.413], STTP, 14, , , , , , store_share, CPU: 0.006991 ms, wall: 0.005155 ms, 1
[18:45:10.413], STTP, 14, <--, MIX, 30, list, 07f2ebdb, SETUP, , , 1
[18:45:10.416], STTP, 14, , , , , , store_share, CPU: 0.020926 ms, wall: 0.012384 ms, 1
[18:45:10.417], STTP, 14, <--, MIX, 18, list, 8ae7a513, SETUP, , , 1
[18:45:10.417], STTP, 14, , , , , , store_share, CPU: 0.006433 ms, wall: 0.005465 ms, 1
[18:45:10.420], STTP, 14, <--, MIX, 14, list, c38a60c7, SETUP, , , 1
[18:45:10.420], STTP, 14, , , , , , store_share, CPU: 0.007917 ms, wall: 0.005801 ms, 1
[18:45:10.421], STTP, 14, <--, MIX, 37, list, f9d3af5c, SETUP, , , 1
[18:45:10.422], STTP, 14, , , , , , store_share, CPU: 0.007002 ms, wall: 0.005438 ms, 1
[18:45:10.424], STTP, 14, <--, MIX, 4, list, 6b8ac6b4, SETUP, , , 1
[18:45:10.425], STTP, 14, , , , , , store_share, CPU: 0.008642 ms, wall: 0.006456 ms, 1
[18:45:10.425], STTP, 14, <--, MIX, 16, list, d10d3b03, SETUP, , , 1
[18:45:10.427], STTP, 14, , , , , , store_share, CPU: 0.018722 ms, wall: 0.013089 ms, 1
[18:45:10.428], STTP, 14, <--, MIX, 13, list, eb492482, SETUP, , , 1
[18:45:10.428], STTP, 14, , , , , , store_share, CPU: 0.006779 ms, wall: 0.005188 ms, 1
[18:45:10.429], STTP, 14, <--, MIX, 7, list, 23da010d, SETUP, , , 1
[18:45:10.429], STTP, 14, , , , , , store_share, CPU: 0.005691 ms, wall: 0.004784 ms, 1
[18:45:10.430], STTP, 14, <--, MIX, 27, list, fdca0ebe, SETUP, , , 1
[18:45:10.430], STTP, 14, , , , , , store_share, CPU: 0.006491 ms, wall: 0.005242 ms, 1
[18:45:10.431], STTP, 14, <--, MIX, 23, list, ac348929, SETUP, , , 1
[18:45:10.431], STTP, 14, , , , , , store_share, CPU: 0.007021 ms, wall: 0.005442 ms, 1
[18:45:10.432], STTP, 14, <--, MIX, 45, list, 0645bfd8, SETUP, , , 1
[18:45:10.432], STTP, 14, , , , , , store_share, CPU: 0.006067 ms, wall: 0.004782 ms, 1
[18:45:10.433], STTP, 14, <--, MIX, 35, list, 8752f45d, SETUP, , , 1
[18:45:10.433], STTP, 14, , , , , , store_share, CPU: 0.006476 ms, wall: 0.005075 ms, 1
[18:45:10.434], STTP, 14, <--, MIX, 36, list, e03eda78, SETUP, , , 1
[18:45:10.434], STTP, 14, , , , , , store_share, CPU: 0.005828 ms, wall: 0.004588 ms, 1
[18:45:10.435], STTP, 14, <--, MIX, 10, list, bd470c29, SETUP, , , 1
[18:45:10.435], STTP, 14, , , , , , store_share, CPU: 0.005882 ms, wall: 0.004599 ms, 1
[18:45:10.435], STTP, 14, <--, MIX, 44, list, 995d3ed0, SETUP, , , 1
[18:45:10.436], STTP, 14, , , , , , store_share, CPU: 0.006208 ms, wall: 0.004733 ms, 1
[18:45:10.436], STTP, 14, <--, MIX, 9, list, f4443505, SETUP, , , 1
[18:45:10.437], STTP, 14, , , , , , store_share, CPU: 0.006394 ms, wall: 0.004701 ms, 1
[18:45:10.437], STTP, 14, <--, MIX, 39, list, 608dc5ae, SETUP, , , 1
[18:45:10.438], STTP, 14, , , , , , store_share, CPU: 0.005992 ms, wall: 0.004740 ms, 1
[18:45:10.438], STTP, 14, <--, MIX, 22, list, cd811a94, SETUP, , , 1
[18:45:10.439], STTP, 14, , , , , , store_share, CPU: 0.005952 ms, wall: 0.004713 ms, 1
[18:45:10.439], STTP, 14, <--, MIX, 32, list, 712840bd, SETUP, , , 1
[18:45:10.439], STTP, 14, , , , , , store_share, CPU: 0.005582 ms, wall: 0.004493 ms, 1
[18:45:10.440], STTP, 14, <--, MIX, 49, list, 7b213274, SETUP, , , 1
[18:45:10.440], STTP, 14, , , , , , store_share, CPU: 0.006552 ms, wall: 0.005420 ms, 1
[18:45:10.441], STTP, 14, <--, MIX, 15, list, 7a3f7db1, SETUP, , , 1
[18:45:10.441], STTP, 14, , , , , , store_share, CPU: 0.005567 ms, wall: 0.004574 ms, 1
[18:45:10.442], STTP, 14, <--, MIX, 50, list, d49eb0fa, SETUP, , , 1
[18:45:10.442], STTP, 14, , , , , , store_share, CPU: 0.005647 ms, wall: 0.004552 ms, 1
[18:45:10.443], STTP, 14, <--, MIX, 12, list, 1f1d0af3, SETUP, , , 1
[18:45:10.443], STTP, 14, , , , , , store_share, CPU: 0.005546 ms, wall: 0.004676 ms, 1
[18:45:10.444], STTP, 14, <--, MIX, 31, list, 1d0d6822, SETUP, , , 1
[18:45:10.444], STTP, 14, , , , , , store_share, CPU: 0.005784 ms, wall: 0.004943 ms, 1
[18:45:10.445], STTP, 14, <--, MIX, 17, list, 07bcbb27, SETUP, , , 1
[18:45:10.445], STTP, 14, , , , , , store_share, CPU: 0.005443 ms, wall: 0.004548 ms, 1
[18:45:10.446], STTP, 14, <--, MIX, 3, list, 7c7b898a, SETUP, , , 1
[18:45:10.446], STTP, 14, , , , , , store_share, CPU: 0.006647 ms, wall: 0.005097 ms, 1
[18:45:10.446], STTP, 14, <--, MIX, 20, list, a7c97faa, SETUP, , , 1
[18:45:10.447], STTP, 14, , , , , , store_share, CPU: 0.005654 ms, wall: 0.004573 ms, 1
[18:45:10.453], STTP, 14, <--, MIX, 47, list, 1375cd2e, SETUP, , , 1
[18:45:10.454], STTP, 14, , , , , , store_share, CPU: 0.008380 ms, wall: 0.005900 ms, 1
[18:45:10.550], STTP, 14, <--, MIX, 11, list, 05794c3c, SETUP, , , 1
