[18:45:10.200], STTP, 15, <--, MIX, 38, list, 6d41fea9, SETUP, , , 1
[18:45:10.272], STTP, 15, , , , , , store_share, CPU: 0.009858 ms, wall: 0.006965 ms, 1
[18:45:10.273], STTP, 15, <--, MIX, 48, list, 974f1840, SETUP, , , 1
[18:45:10.273], STTP, 15, , , , , , store_share, CPU: 0.006184 ms, wall: 0.005072 ms, 1
[18:45:10.274], STTP, 15, <--, MIX, 33, list, 96078d72, SETUP, , , 1
[18:45:10.281], STTP, 15, , , , , , store_share, CPU: 0.033250 ms, wall: 0.016488 ms, 1
[18:45:10.282], STTP, 15, <--, MIX, 26, list, 8a1fdf16, SETUP, , , 1
[18:45:10.282], STTP, 15, , , , , , store_share, CPU: 0.003687 ms, wall: 0.002745 ms, 1
[18:45:10.285], STTP, 15, <--, MIX, 43, list, 278388dd, SETUP, , , 1
[18:45:10.287], STTP, 15, , , , , , store_share, CPU: 0.008761 ms, wall: 0.007340 ms, 1
[18:45:10.308], STTP, 15, <--, MIX, 5, list, 21c7f5fb, SETUP, , , 1
[18:45:10.309], STTP, 15, , , , , , store_share, CPU: 0.005437 ms, wall: 0.003863 ms, 1
[18:45:10.315], STTP, 15, <--, MIX, 29, list, 20076134, SETUP, , , 1
[18:45:10.316], STTP, 15, , , , , , store_share, CPU: 0.008083 ms, wall: 0.006203 ms, 1
[18:45:10.319], STTP, 15, <--, MIX, 42, list, 6924af43, SETUP, , , 1
[18:45:10.319], STTP, 15, , , , , , store_share, CPU: 0.004536 ms, wall: 0.003328 ms, 1
[18:45:10.325], STTP, 15, <--, MIX, 40, list, 533402e1, SETUP, , , 1
[18:45:10.325], STTP, 15, , , , , , store_share, CPU: 0.008760 ms, wall: 0.006466 ms, 1
[18:45:10.333], STTP, 15, <--, MIX, 19, list, c02e561d, SETUP, , , 1
[18:45:10.384], STTP, 15, , , , , , store_share, CPU: 0.005016 ms, wall: 0.004411 ms, 1
[18:45:10.385], STTP, 15, <--, MIX, 34, list, 026e9e18, SETUP, , , 1
[18:45:10.385], STTP, 15, , , , , , store_share, CPU: 0.003808 ms, wall: 0.002909 ms, 1
[18:45:10.385], STTP, 15, <--, MIX, 25, list, 0df83fb6, SETUP, , , 1
[18:45:10.386], STTP, 15, , , , , , store_share, CPU: 0.003243 ms, wall: 0.002508 ms, 1
[18:45:10.386], STTP, 15, <--, MIX, 2, list, 596aba47, SETUP, , , 1
