[18:45:10.209], STTP, 16, <--, MIX, 38, list, 591dd3fa, SETUP, , , 1
[18:45:10.209], STTP, 16, , , , , , store_share, CPU: 0.009411 ms, wall: 0.007078 ms, 1
[18:45:10.262], STTP, 16, <--, MIX, 48, list, 45980d15, SETUP, , , 1
[18:45:10.263], STTP, 16, , , , , , store_share, CPU: 0.007801 ms, wall: 0.006194 ms, 1
[18:45:10.276], STTP, 16, <--, MIX, 26, list, 9d111b5a, SETUP, , , 1
[18:45:10.277], STTP, 16, , , , , , store_share, CPU: 0.004934 ms, wall: 0.003964 ms, 1
[18:45:10.290], STTP, 16, <--, MIX, 43, list, 64e6f34a, SETUP, , , 1
[18:45:10.349], STTP, 16, , , , , , store_share, CPU: 0.005027 ms, wall: 0.004086 ms, 1
[18:45:10.350], STTP, 16, <--, MIX, 5, list, 5f5fd10f, SETUP, , , 1
[18:45:10.353], STTP, 16, , , , , , store_share, CPU: 0.005157 ms, wall: 0.004153 ms, 1
[18:45:10.354], STTP, 16, <--, MIX, 33, list, 11a346e9, SETUP, , , 1
[18:45:10.360], STTP, 16, , , , , , store_share, CPU: 0.010786 ms, wall: 0.014510 ms, 1
[18:45:10.361], STTP, 16, <--, MIX, 29, list, 1e969c4f, SETUP, , , 1
[18:45:10.361], STTP, 16, , , , , , store_share, CPU: 0.004024 ms, wall: 0.002801 ms, 1
[18:45:10.361], STTP, 16, <--, MIX, 40, list, 16165345, SETUP, , , 1
[18:45:10.361], STTP, 16, , , , , , store_share, CPU: 0.003119 ms, wall: 0.002389 ms, 1
[18:45:10.362], STTP, 16, <--, MIX, 34, list, f8fa36bd, SETUP, , , 1
[18:45:10.362], STTP, 16, , , , , , store_share, CPU: 0.004265 ms, wall: 0.006254 ms, 1
[18:45:10.362], STTP, 16, <--, MIX, 19, list, 043ecb24, SETUP, , , 1
[18:45:10.363], STTP, 16, , , , , , store_share, CPU: 0.003860 ms, wall: 0.002868 ms, 1
[18:45:10.363], STTP, 16, <--, MIX, 25, list, a390f658, SETUP, , , 1
[18:45:10.363], STTP, 16, , , , , , store_share, CPU: 0.002897 ms, wall: 0.002353 ms, 1
[18:45:10.364], STTP, 16, <--, MIX, 2, list, da80773a, SETUP, , , 1
[18:45:10.364], STTP, 16, , , , , , store_share, CPU: 0.003331 ms, wall: 0.002934 ms, 1
[18:45:10.365], STTP, 16, <--, MIX, 21, list, 465912d4, SETUP, , , 1
[18:45:10.365], STTP, 16, , , , , , store_share, CPU: 0.003254 ms, wall: 0.002837 ms, 1
[18:45:10.365], STTP, 16, <--, MIX, 24, list, 665e422e, SETUP, , , 1
[18:45:10.366], STTP, 16, , , , , , store_share, CPU: 0.003420 ms, wall: 0.002922 ms, 1
[18:45:10.366], STTP, 16, <--, MIX, 6, list, 88be4275, SETUP, , , 1
[18:45:10.366], STTP, 16, , , , , , store_share, CPU: 0.003801 ms, wall: 0.003106 ms, 1
[18:45:10.367], STTP, 16, <--, MIX, 28, list, bbbef2d0, SETUP, , , 1
[18:45:10.367], STTP, 16, , , , , , store_share, CPU: 0.003307 ms, wall: 0.002768 ms, 1
[18:45:10.367], STTP, 16, <--, MIX, 8, list, 19663a23, SETUP, , , 1
[18:45:10.368], STTP, 16, , , , , , store_share, CPU: 0.003033 ms, wall: 0.002662 ms, 1
[18:45:10.368], STTP, 16, <--, MIX, 46, list, 78512638, SETUP, , , 1
[18:45:10.368], STTP, 16, , , , , , store_share, CPU: 0.003500 ms, wall: 0.003033 ms, 1
[18:45:10.369], STTP, 16, <--, MIX, 1, list, cb8d87d6, SETUP, , , 1
[18:45:10.369], STTP, 16, , , , , , store_share, CPU: 0.002600 ms, wall: 0.002323 ms, 1
[18:45:10.370], STTP, 16, <--, MIX, 18, list, e8a8b540, SETUP, , , 1
[18:45:10.370], STTP, 16, , , , , , store_share, CPU: 0.003604 ms, wall: 0.002667 ms, 1
[18:45:10.371], STTP, 16, <--, MIX, 42, list, 9a925bc9, SETUP, , , 1
[18:45:10.371], STTP, 16, , , , , , store_share, CPU: 0.003261 ms, wall: 0.002422 ms, 1
[18:45:10.375], STTP, 16, <--, MIX, 30, list, 46c518b7, SETUP, , , 1
[18:45:10.375], STTP, 16, , , , , , store_share, CPU: 0.007654 ms, wall: 0.006041 ms, 1
[18:45:10.376], STTP, 16, <--, MIX, 14, list, d69221bb, SETUP, , , 1
[18:45:10.378], STTP, 16, , , , , , store_share, CPU: 0.003836 ms, wall: 0.003178 ms, 1
[18:45:10.382], STTP, 16, <--, MIX, 4, list, fae956ab, SETUP, , , 1
[18:45:10.382], STTP, 16, , , , , , store_share, CPU: 0.004051 ms, wall: 0.003052 ms, 1
[18:45:10.383], STTP, 16, <--, MIX, 37, list, 4b3f7da3, SETUP, , , 1
[18:45:10.383], STTP, 16, , , , , , store_share, CPU: 0.003516 ms, wall: 0.002894 ms, 1
[18:45:10.384], STTP, 16, <--, MIX, 16, list, f25e3877, SETUP, , , 1
[18:45:10.384], STTP, 16, , , , , , store_share, CPU: 0.003464 ms, wall: 0.002720 ms, 1
[18:45:10.391], STTP, 16, <--, MIX, 7, list, 1c1c9817, SETUP, , , 1
[18:45:10.392], STTP, 16, , , , , , store_share, CPU: 0.007671 ms, wall: 0.004108 ms, 1
[18:45:10.392], STTP, 16, <--, MIX, 27, list, c55ae012, SETUP, , , 1
[18:45:10.392], STTP, 16, , , , , , store_share, CPU: 0.004034 ms, wall: 0.003438 ms, 1
[18:45:10.393], STTP, 16, <--, MIX, 23, list, fcb94df7, SETUP, , , 1
[18:45:10.394], STTP, 16, , , , , , store_share, CPU: 0.004377 ms, wall: 0.003503 ms, 1
[18:45:10.394], STTP, 16, <--, MIX, 13, list, 5f828963, SETUP, , , 1
[18:45:10.394], STTP, 16, , , , , , store_share, CPU: 0.004266 ms, wall: 0.003259 ms, 1
[18:45:10.395], STTP, 16, <--, MIX, 45, list, 5243d35e, SETUP, , , 1
[18:45:10.396], STTP, 16, , , , , , store_share, CPU: 0.017524 ms, wall: 0.010304 ms, 1
[18:45:10.398], STTP, 16, <--, MIX, 36, list, af13f6fd, SETUP, , , 1
[18:45:10.398], STTP, 16, , , , , , store_share, CPU: 0.004074 ms, wall: 0.003101 ms, 1
[18:45:10.399], STTP, 16, <--, MIX, 10, list, bcc95b8b, SETUP, , , 1
[18:45:10.405], STTP, 16, , , , , , store_share, CPU: 0.004561 ms, wall: 0.003885 ms, 1
[18:45:10.405], STTP, 16, <--, MIX, 41, list, 086867aa, SETUP, , , 1
[18:45:10.406], STTP, 16, , , , , , store_share, CPU: 0.002964 ms, wall: 0.002215 ms, 1
[18:45:10.406], STTP, 16, <--, MIX, 44, list, f0cc235f, SETUP, , , 1
[18:45:10.406], STTP, 16, , , , , , store_share, CPU: 0.002272 ms, wall: 0.001840 ms, 1
