[18:45:10.211], STTP, 17, <--, MIX, 38, list, 7765329b, SETUP, , , 1
[18:45:10.212], STTP, 17, , , , , , store_share, CPU: 0.008243 ms, wall: 0.006399 ms, 1
[18:45:10.269], STTP, 17, <--, MIX, 48, list, a808a3b4, SETUP, , , 1
[18:45:10.319], STTP, 17, , , , , , store_share, CPU: 0.007447 ms, wall: 0.006213 ms, 1
[18:45:10.320], STTP, 17, <--, MIX, 26, list, 6d6c73fe, SETUP, , , 1
[18:45:10.320], STTP, 17, , , , , , store_share, CPU: 0.004202 ms, wall: 0.003450 ms, 1
[18:45:10.320], STTP, 17, <--, MIX, 5, list, 26be15fa, SETUP, , , 1
[18:45:10.372], STTP, 17, , , , , , store_share, CPU: 0.007990 ms, wall: 0.006432 ms, 1
[18:45:10.373], STTP, 17, <--, MIX, 33, list, b6b9d818, SETUP, , , 1
[18:45:10.373], STTP, 17, , , , , , store_share, CPU: 0.006847 ms, wall: 0.005278 ms, 1
[18:45:10.380], STTP, 17, <--, MIX, 29, list, e67a420e, SETUP, , , 1
[18:45:10.403], STTP, 17, , , , , , store_share, CPU: 0.005442 ms, wall: 0.004151 ms, 1
[18:45:10.404], STTP, 17, <--, MIX, 40, list, 244922d5, SETUP, , , 1
[18:45:10.404], STTP, 17, , , , , , store_share, CPU: 0.003595 ms, wall: 0.002910 ms, 1
[18:45:10.404], STTP, 17, <--, MIX, 34, list, f0827f54, SETUP, , , 1
[18:45:10.405], STTP, 17, , , , , , store_share, CPU: 0.003518 ms, wall: 0.002676 ms, 1
[18:45:10.405], STTP, 17, <--, MIX, 19, list, 25577c64, SETUP, , , 1
[18:45:10.405], STTP, 17, , , , , , store_share, CPU: 0.003736 ms, wall: 0.002906 ms, 1
[18:45:10.406], STTP, 17, <--, MIX, 25, list, db9558b4, SETUP, , , 1
[18:45:10.406], STTP, 17, , , , , , store_share, CPU: 0.002873 ms, wall: 0.002424 ms, 1
[18:45:10.406], STTP, 17, <--, MIX, 2, list, 3ccf2ea7, SETUP, , , 1
[18:45:10.406], STTP, 17, , , , , , store_share, CPU: 0.001991 ms, wall: 0.001640 ms, 1
[18:45:10.407], STTP, 17, <--, MIX, 21, list, a20932de, SETUP, , , 1
[18:45:10.410], STTP, 17, , , , , , store_share, CPU: 0.004191 ms, wall: 0.003422 ms, 1
[18:45:10.411], STTP, 17, <--, MIX, 6, list, e7fcdd67, SETUP, , , 1
[18:45:10.411], STTP, 17, , , , , , store_share, CPU: 0.003578 ms, wall: 0.002891 ms, 1
[18:45:10.411], STTP, 17, <--, MIX, 28, list, 33ff115e, SETUP, , , 1
[18:45:10.412], STTP, 17, , , , , , store_share, CPU: 0.003261 ms, wall: 0.002527 ms, 1
[18:45:10.412], STTP, 17, <--, MIX, 43, list, 99751b31, SETUP, , , 1
[18:45:10.412], STTP, 17, , , , , , store_share, CPU: 0.003361 ms, wall: 0.002714 ms, 1
[18:45:10.413], STTP, 17, <--, MIX, 24, list, b0ac4337, SETUP, , , 1
[18:45:10.413], STTP, 17, , , , , , store_share, CPU: 0.003585 ms, wall: 0.002506 ms, 1
[18:45:10.413], STTP, 17, <--, MIX, 46, list, 2a861509, SETUP, , , 1
[18:45:10.413], STTP, 17, , , , , , store_share, CPU: 0.003773 ms, wall: 0.002747 ms, 1
[18:45:10.414], STTP, 17, <--, MIX, 1, list, 96705a7b, SETUP, , , 1
[18:45:10.414], STTP, 17, , , , , , store_share, CPU: 0.003402 ms, wall: 0.002746 ms, 1
[18:45:10.414], STTP, 17, <--, MIX, 8, list, 67c56096, SETUP, , , 1
[18:45:10.415], STTP, 17, , , , , , store_share, CPU: 0.003231 ms, wall: 0.002593 ms, 1
[18:45:10.415], STTP, 17, <--, MIX, 18, list, ae210da8, SETUP, , , 1
[18:45:10.415], STTP, 17, , , , , , store_share, CPU: 0.002826 ms, wall: 0.002292 ms, 1
[18:45:10.416], STTP, 17, <--, MIX, 42, list, e4754428, SETUP, , , 1
[18:45:10.416], STTP, 17, , , , , , store_share, CPU: 0.003283 ms, wall: 0.002639 ms, 1
[18:45:10.416], STTP, 17, <--, MIX, 14, list, a4b7cb4f, SETUP, , , 1
[18:45:10.417], STTP, 17, , , , , , store_share, CPU: 0.003444 ms, wall: 0.002788 ms, 1
[18:45:10.417], STTP, 17, <--, MIX, 16, list, f0ca132d, SETUP, , , 1
[18:45:10.417], STTP, 17, , , , , , store_share, CPU: 0.003424 ms, wall: 0.002672 ms, 1
[18:45:10.418], STTP, 17, <--, MIX, 37, list, cf942d07, SETUP, , , 1
[18:45:10.418], STTP, 17, , , , , , store_share, CPU: 0.003404 ms, wall: 0.002710 ms, 1
[18:45:10.418], STTP, 17, <--, MIX, 4, list, 93c0fceb, SETUP, , , 1
