[18:45:10.221], STTP, 18, <--, MIX, 38, list, da0ce508, SETUP, , , 1
[18:45:10.221], STTP, 18, , , , , , store_share, CPU: 0.008541 ms, wall: 0.006132 ms, 1
[18:45:10.270], STTP, 18, <--, MIX, 48, list, 80ea0e9b, SETUP, , , 1
[18:45:10.325], STTP, 18, , , , , , store_share, CPU: 0.011754 ms, wall: 0.010023 ms, 1
[18:45:10.326], STTP, 18, <--, MIX, 26, list, 91c6a2b7, SETUP, , , 1
[18:45:10.327], STTP, 18, , , , , , store_share, CPU: 0.008192 ms, wall: 0.005891 ms, 1
[18:45:10.328], STTP, 18, <--, MIX, 5, list, ab9af6ef, SETUP, , , 1
[18:45:10.328], STTP, 18, , , , , , store_share, CPU: 0.006758 ms, wall: 0.005137 ms, 1
[18:45:10.332], STTP, 18, <--, MIX, 33, list, 20efddcb, SETUP, , , 1
[18:45:10.333], STTP, 18, , , , , , store_share, CPU: 0.007682 ms, wall: 0.006060 ms, 1
[18:45:10.334], STTP, 18, <--, MIX, 29, list, 02942702, SETUP, , , 1
[18:45:10.336], STTP, 18, , , , , , store_share, CPU: 0.035229 ms, wall: 0.019134 ms, 1
[18:45:10.337], STTP, 18, <--, MIX, 40, list, 8eeb395f, SETUP, , , 1
[18:45:10.337], STTP, 18, , , , , , store_share, CPU: 0.007927 ms, wall: 0.006131 ms, 1
[18:45:10.340], STTP, 18, <--, MIX, 34, list, 74a2e85f, SETUP, , , 1
[18:45:10.341], STTP, 18, , , , , , store_share, CPU: 0.011067 ms, wall: 0.006108 ms, 1
[18:45:10.343], STTP, 18, <--, MIX, 19, list, 360fb501, SETUP, , , 1
[18:45:10.343], STTP, 18, , , , , , store_share, CPU: 0.007159 ms, wall: 0.005958 ms, 1
[18:45:10.344], STTP, 18, <--, MIX, 25, list, a981a81e, SETUP, , , 1
[18:45:10.348], STTP, 18, , , , , , store_share, CPU: 0.008057 ms, wall: 0.006502 ms, 1
[18:45:10.349], STTP, 18, <--, MIX, 2, list, 892405ff, SETUP, , , 1
[18:45:10.349], STTP, 18, , , , , , store_share, CPU: 0.007201 ms, wall: 0.005651 ms, 1
[18:45:10.355], STTP, 18, <--, MIX, 21, list, 654ea353, SETUP, , , 1
[18:45:10.390], STTP, 18, , , , , , store_share, CPU: 0.005249 ms, wall: 0.004153 ms, 1
[18:45:10.391], STTP, 18, <--, MIX, 6, list, cc22ff07, SETUP, , , 1
[18:45:10.391], STTP, 18, , , , , , store_share, CPU: 0.003583 ms, wall: 0.002767 ms, 1
[18:45:10.392], STTP, 18, <--, MIX, 43, list, 05941ab0, SETUP, , , 1
[18:45:10.392], STTP, 18, , , , , , store_share, CPU: 0.003412 ms, wall: 0.002636 ms, 1
[18:45:10.393], STTP, 18, <--, MIX, 28, list, 15e5aebe, SETUP, , , 1
[18:45:10.393], STTP, 18, , , , , , store_share, CPU: 0.004214 ms, wall: 0.003303 ms, 1
[18:45:10.394], STTP, 18, <--, MIX, 24, list, 77d4f3ab, SETUP, , , 1
[18:45:10.394], STTP, 18, , , , , , store_share, CPU: 0.003635 ms, wall: 0.002969 ms, 1
[18:45:10.395], STTP, 18, <--, MIX, 46, list, 494157e4, SETUP, , , 1
[18:45:10.395], STTP, 18, , , , , , store_share, CPU: 0.004007 ms, wall: 0.003373 ms, 1
[18:45:10.396], STTP, 18, <--, MIX, 1, list, 4b090e68, SETUP, , , 1
[18:45:10.396], STTP, 18, , , , , , store_share, CPU: 0.003336 ms, wall: 0.002760 ms, 1
[18:45:10.396], STTP, 18, <--, MIX, 8, list, 3397253c, SETUP, , , 1
[18:45:10.397], STTP, 18, , , , , , store_share, CPU: 0.003561 ms, wall: 0.002686 ms, 1
[18:45:10.397], STTP, 18, <--, MIX, 18, list, 3fd97fd7, SETUP, , , 1
[18:45:10.397], STTP, 18, , , , , , store_share, CPU: 0.003657 ms, wall: 0.002799 ms, 1
[18:45:10.398], STTP, 18, <--, MIX, 14, list, 6046ef57, SETUP, , , 1
[18:45:10.398], STTP, 18, , , , , , store_share, CPU: 0.003098 ms, wall: 0.002519 ms, 1
[18:45:10.398], STTP, 18, <--, MIX, 42, list, b4c4cbc4, SETUP, , , 1
[18:45:10.399], STTP, 18, , , , , , store_share, CPU: 0.003042 ms, wall: 0.002540 ms, 1
[18:45:10.399], STTP, 18, <--, MIX, 16, list, 5f248e59, SETUP, , , 1
[18:45:10.407], STTP, 18, , , , , , store_share, CPU: 0.004552 ms, wall: 0.003745 ms, 1
[18:45:10.407], STTP, 18, <--, MIX, 4, list, dd1dd707, SETUP, , , 1
[18:45:10.415], STTP, 18, , , , , , store_share, CPU: 0.004456 ms, wall: 0.003724 ms, 1
[18:45:10.415], STTP, 18, <--, MIX, 37, list, d8140c3e, SETUP, , , 1
[18:45:10.415], STTP, 18, , , , , , store_share, CPU: 0.003951 ms, wall: 0.003118 ms, 1
[18:45:10.416], STTP, 18, <--, MIX, 27, list, 8410eec3, SETUP, , , 1
[18:45:10.416], STTP, 18, , , , , , store_share, CPU: 0.003256 ms, wall: 0.002726 ms, 1
[18:45:10.417], STTP, 18, <--, MIX, 23, list, 6509c0d9, SETUP, , , 1
[18:45:10.417], STTP, 18, , , , , , store_share, CPU: 0.003591 ms, wall: 0.002810 ms, 1
[18:45:10.417], STTP, 18, <--, MIX, 7, list, 6ea6175a, SETUP, , , 1
[18:45:10.417], STTP, 18, , , , , , store_share, CPU: 0.003277 ms, wall: 0.002452 ms, 1
[18:45:10.418], STTP, 18, <--, MIX, 36, list, 144703ea, SETUP, , , 1
[18:45:10.418], STTP, 18, , , , , , store_share, CPU: 0.003554 ms, wall: 0.002839 ms, 1
[18:45:10.418], STTP, 18, <--, MIX, 45, list, 070bcafe, SETUP, , , 1
[18:45:10.419], STTP, 18, , , , , , store_share, CPU: 0.003704 ms, wall: 0.002845 ms, 1
[18:45:10.419], STTP, 18, <--, MIX, 41, list, 50c6ef36, SETUP, , , 1
[18:45:10.419], STTP, 18, , , , , , store_share, CPU: 0.003153 ms, wall: 0.002565 ms, 1
[18:45:10.420], STTP, 18, <--, MIX, 30, list, 27468ef6, SETUP, , , 1
[18:45:10.420], STTP, 18, , , , , , store_share, CPU: 0.003249 ms, wall: 0.002452 ms, 1
[18:45:10.420], STTP, 18, <--, MIX, 44, list, 984c2e98, SETUP, , , 1
[18:45:10.420], STTP, 18, , , , , , store_share, CPU: 0.003689 ms, wall: 0.002842 ms, 1
[18:45:10.421], STTP, 18, <--, MIX, 13, list, 7b3457e9, SETUP, , , 1
[18:45:10.421], STTP, 18, , , , , , store_share, CPU: 0.003232 ms, wall: 0.002660 ms, 1
[18:45:10.421], STTP, 18, <--, MIX, 10, list, a4c8a466, SETUP, , , 1
[18:45:10.422], STTP, 18, , , , , , store_share, CPU: 0.003633 ms, wall: 0.002606 ms, 1
[18:45:10.422], STTP, 18, <--, MIX, 35, list, 23f7094c, SETUP, , , 1
[18:45:10.422], STTP, 18, , , , , , store_share, CPU: 0.003357 ms, wall: 0.002536 ms, 1
[18:45:10.423], STTP, 18, <--, MIX, 9, list, 032db89c, SETUP, , , 1
[18:45:10.423], STTP, 18, , , , , , store_share, CPU: 0.003163 ms, wall: 0.002543 ms, 1
[18:45:10.423], STTP, 18, <--, MIX, 39, list, 6debeca7, SETUP, , , 1
[18:45:10.423], STTP, 18, , , , , , store_share, CPU: 0.003328 ms, wall: 0.002756 ms, 1
[18:45:10.424], STTP, 18, <--, MIX, 49, list, 0dd000a1, SETUP, , , 1
[18:45:10.424], STTP, 18, , , , , , store_share, CPU: 0.003287 ms, wall: 0.002704 ms, 1
[18:45:10.424], STTP, 18, <--, MIX, 22, list, 6713671d, SETUP, , , 1
[18:45:10.425], STTP, 18, , , , , , store_share, CPU: 0.003425 ms, wall: 0.002580 ms, 1
[18:45:10.425], STTP, 18, <--, MIX, 32, list, 024f41a7, SETUP, , , 1
[18:45:10.425], STTP, 18, , , , , , store_share, CPU: 0.003880 ms, wall: 0.003023 ms, 1
[18:45:10.426], STTP, 18, <--, MIX, 15, list, 65356a52, SETUP, , , 1
[18:45:10.426], STTP, 18, , , , , , store_share, CPU: 0.003130 ms, wall: 0.002360 ms, 1
[18:45:10.426], STTP, 18, <--, MIX, 50, list, 8e0943ac, SETUP, , , 1
[18:45:10.426], STTP, 18, , , , , , store_share, CPU: 0.003476 ms, wall: 0.002776 ms, 1
[18:45:10.427], STTP, 18, <--, MIX, 17, list, 5d4a8d30, SETUP, , , 1
[18:45:10.427], STTP, 18, , , , , , store_share, CPU: 0.003533 ms, wall: 0.002671 ms, 1
[18:45:10.427], STTP, 18, <--, MIX, 31, list, f1843c3c, SETUP, , , 1
[18:45:10.427], STTP, 18, , , , , , store_share, CPU: 0.003521 ms, wall: 0.002625 ms, 1
[18:45:10.428], STTP, 18, <--, MIX, 12, list, 873d3c26, SETUP, , , 1
[18:45:10.428], STTP, 18, , , , , , store_share, CPU: 0.003012 ms, wall: 0.002442 ms, 1
[18:45:10.430], STTP, 18, <--, MIX, 3, list, a6ac257a, SETUP, , , 1
