[18:45:10.279], STTP, 19, <--, MIX, 26, list, d91a23fe, SETUP, , , 1
[18:45:10.280], STTP, 19, , , , , , store_share, CPU: 0.008834 ms, wall: 0.006349 ms, 1
[18:45:10.290], STTP, 19, <--, MIX, 38, list, 61ae6fd9, SETUP, , , 1
[18:45:10.293], STTP, 19, , , , , , store_share, CPU: 0.011493 ms, wall: 0.009684 ms, 1
[18:45:10.324], STTP, 19, <--, MIX, 33, list, cd458683, SETUP, , , 1
[18:45:10.324], STTP, 19, , , , , , store_share, CPU: 0.008574 ms, wall: 0.006365 ms, 1
[18:45:10.326], STTP, 19, <--, MIX, 48, list, 7ea46a93, SETUP, , , 1
[18:45:10.327], STTP, 19, , , , , , store_share, CPU: 0.008811 ms, wall: 0.006923 ms, 1
[18:45:10.334], STTP, 19, <--, MIX, 40, list, 2bf7cbac, SETUP, , , 1
[18:45:10.334], STTP, 19, , , , , , store_share, CPU: 0.007640 ms, wall: 0.006157 ms, 1
[18:45:10.338], STTP, 19, <--, MIX, 34, list, c85bb76b, SETUP, , , 1
[18:45:10.339], STTP, 19, , , , , , store_share, CPU: 0.004651 ms, wall: 0.003658 ms, 1
[18:45:10.342], STTP, 19, <--, MIX, 25, list, f161f439, SETUP, , , 1
[18:45:10.343], STTP, 19, , , , , , store_share, CPU: 0.004612 ms, wall: 0.003481 ms, 1
[18:45:10.348], STTP, 19, <--, MIX, 2, list, 3adc93bd, SETUP, , , 1
[18:45:10.348], STTP, 19, , , , , , store_share, CPU: 0.003765 ms, wall: 0.002746 ms, 1
[18:45:10.348], STTP, 19, <--, MIX, 19, list, d65d5b20, SETUP, , , 1
[18:45:10.348], STTP, 19, , , , , , store_share, CPU: 0.002359 ms, wall: 0.001986 ms, 1
[18:45:10.350], STTP, 19, <--, MIX, 21, list, 80c1c34f, SETUP, , , 1
[18:45:10.350], STTP, 19, , , , , , store_share, CPU: 0.002314 ms, wall: 0.001964 ms, 1
[18:45:10.353], STTP, 19, <--, MIX, 6, list, fd4f158f, SETUP, , , 1
[18:45:10.353], STTP, 19, , , , , , store_share, CPU: 0.004042 ms, wall: 0.002998 ms, 1
[18:45:10.355], STTP, 19, <--, MIX, 28, list, c66197f1, SETUP, , , 1
[18:45:10.355], STTP, 19, , , , , , store_share, CPU: 0.003525 ms, wall: 0.002744 ms, 1
[18:45:10.356], STTP, 19, <--, MIX, 43, list, b17fcd24, SETUP, , , 1
[18:45:10.356], STTP, 19, , , , , , store_share, CPU: 0.002513 ms, wall: 0.002027 ms, 1
[18:45:10.361], STTP, 19, <--, MIX, 46, list, e7518f5e, SETUP, , , 1
[18:45:10.361], STTP, 19, , , , , , store_share, CPU: 0.004601 ms, wall: 0.003653 ms, 1
[18:45:10.362], STTP, 19, <--, MIX, 24, list, 0f0c27f3, SETUP, , , 1
[18:45:10.362], STTP, 19, , , , , , store_share, CPU: 0.003856 ms, wall: 0.002839 ms, 1
[18:45:10.363], STTP, 19, <--, MIX, 1, list, 561fa672, SETUP, , , 1
[18:45:10.364], STTP, 19, , , , , , store_share, CPU: 0.003956 ms, wall: 0.003112 ms, 1
[18:45:10.366], STTP, 19, <--, MIX, 8, list, 012b99f8, SETUP, , , 1
