[18:45:10.086], STTP, 2, <--, MIX, 8, list, f69cab65, SETUP, , , 1
[18:45:10.101], STTP, 2, , , , , , store_share, CPU: 0.000000 ms, wall: 0.007762 ms, 1
[18:45:10.102], STTP, 2, <--, MIX, 5, list, 81c72b96, SETUP, , , 1
[18:45:10.102], STTP, 2, , , , , , store_share, CPU: 0.006725 ms, wall: 0.005585 ms, 1
[18:45:10.103], STTP, 2, <--, MIX, 40, list, ee06dfef, SETUP, , , 1
[18:45:10.114], STTP, 2, , , , , , store_share, CPU: 0.009461 ms, wall: 0.007767 ms, 1
[18:45:10.116], STTP, 2, <--, MIX, 38, list, c3ec4c65, SETUP, , , 1
[18:45:10.122], STTP, 2, , , , , , store_share, CPU: 0.012475 ms, wall: 0.009865 ms, 1
[18:45:10.134], STTP, 2, <--, MIX, 37, list, 61aa797d, SETUP, , , 1
[18:45:10.140], STTP, 2, , , , , , store_share, CPU: 0.012353 ms, wall: 0.009151 ms, 1
[18:45:10.141], STTP, 2, <--, MIX, 19, list, 88941af4, SETUP, , , 1
[18:45:10.170], STTP, 2, , , , , , store_share, CPU: 0.059518 ms, wall: 0.023709 ms, 1
[18:45:10.171], STTP, 2, <--, MIX, 43, list, b0d23aaa, SETUP, , , 1
[18:45:10.177], STTP, 2, , , , , , store_share, CPU: 0.008980 ms, wall: 0.007018 ms, 1
[18:45:10.193], STTP, 2, <--, MIX, 1, list, 597640f6, SETUP, , , 1
[18:45:10.194], STTP, 2, , , , , , store_share, CPU: 0.009945 ms, wall: 0.007620 ms, 1
[18:45:10.202], STTP, 2, <--, MIX, 26, list, 14e7b7f6, SETUP, , , 1
[18:45:10.275], STTP, 2, , , , , , store_share, CPU: 0.005629 ms, wall: 0.004772 ms, 1
[18:45:10.276], STTP, 2, <--, MIX, 24, list, 83a2eda4, SETUP, , , 1
[18:45:10.276], STTP, 2, , , , , , store_share, CPU: 0.004236 ms, wall: 0.003165 ms, 1
[18:45:10.276], STTP, 2, <--, MIX, 6, list, 435ca757, SETUP, , , 1
[18:45:10.277], STTP, 2, , , , , , store_share, CPU: 0.003871 ms, wall: 0.003146 ms, 1
[18:45:10.284], STTP, 2, <--, MIX, 48, list, c9eb229e, SETUP, , , 1
[18:45:10.284], STTP, 2, , , , , , store_share, CPU: 0.000000 ms, wall: 0.003063 ms, 1
[18:45:10.285], STTP, 2, <--, MIX, 4, list, 8c789e30, SETUP, , , 1
[18:45:10.285], STTP, 2, , , , , , store_share, CPU: 0.003333 ms, wall: 0.002637 ms, 1
[18:45:10.285], STTP, 2, <--, MIX, 42, list, 94350ad9, SETUP, , , 1
[18:45:10.330], STTP, 2, , , , , , store_share, CPU: 0.007867 ms, wall: 0.006425 ms, 1
[18:45:10.331], STTP, 2, <--, MIX, 35, list, 122efc5e, SETUP, , , 1
[18:45:10.331], STTP, 2, , , , , , store_share, CPU: 0.006783 ms, wall: 0.005221 ms, 1
[18:45:10.334], STTP, 2, <--, MIX, 29, list, e10363f7, SETUP, , , 1
[18:45:10.335], STTP, 2, , , , , , store_share, CPU: 0.009686 ms, wall: 0.007026 ms, 1
[18:45:10.336], STTP, 2, <--, MIX, 13, list, e742d809, SETUP, , , 1
[18:45:10.338], STTP, 2, , , , , , store_share, CPU: 0.009128 ms, wall: 0.007157 ms, 1
[18:45:10.339], STTP, 2, <--, MIX, 33, list, 91f9c5aa, SETUP, , , 1
[18:45:10.341], STTP, 2, , , , , , store_share, CPU: 0.007865 ms, wall: 0.006011 ms, 1
[18:45:10.344], STTP, 2, <--, MIX, 2, list, 53920f01, SETUP, , , 1
[18:45:10.344], STTP, 2, , , , , , store_share, CPU: 0.007096 ms, wall: 0.005130 ms, 1
[18:45:10.345], STTP, 2, <--, MIX, 30, list, 3be41dfe, SETUP, , , 1
[18:45:10.346], STTP, 2, , , , , , store_share, CPU: 0.006741 ms, wall: 0.005339 ms, 1
[18:45:10.350], STTP, 2, <--, MIX, 16, list, 5e4f3879, SETUP, , , 1
[18:45:10.351], STTP, 2, , , , , , store_share, CPU: 0.008480 ms, wall: 0.005921 ms, 1
[18:45:10.352], STTP, 2, <--, MIX, 28, list, 9de5146b, SETUP, , , 1
[18:45:10.356], STTP, 2, , , , , , store_share, CPU: 0.035993 ms, wall: 0.239361 ms, 1
[18:45:10.358], STTP, 2, <--, MIX, 36, list, 634d8601, SETUP, , , 1
[18:45:10.359], STTP, 2, , , , , , store_share, CPU: 0.007919 ms, wall: 0.006237 ms, 1
[18:45:10.360], STTP, 2, <--, MIX, 12, list, fddeffd9, SETUP, , , 1
[18:45:10.360], STTP, 2, , , , , , store_share, CPU: 0.007149 ms, wall: 0.005361 ms, 1
[18:45:10.361], STTP, 2, <--, MIX, 32, list, e48cbeb3, SETUP, , , 1
[18:45:10.362], STTP, 2, , , , , , store_share, CPU: 0.007070 ms, wall: 0.005654 ms, 1
[18:45:10.362], STTP, 2, <--, MIX, 34, list, aaa13831, SETUP, , , 1
[18:45:10.363], STTP, 2, , , , , , store_share, CPU: 0.007224 ms, wall: 0.005390 ms, 1
[18:45:10.363], STTP, 2, <--, MIX, 23, list, 7df70681, SETUP, , , 1
[18:45:10.364], STTP, 2, , , , , , store_share, CPU: 0.007005 ms, wall: 0.005279 ms, 1
[18:45:10.364], STTP, 2, <--, MIX, 25, list, bb8f476d, SETUP, , , 1
[18:45:10.365], STTP, 2, , , , , , store_share, CPU: 0.006689 ms, wall: 0.005058 ms, 1
[18:45:10.366], STTP, 2, <--, MIX, 10, list, 375ee4b9, SETUP, , , 1
