[18:45:10.282], STTP, 20, <--, MIX, 26, list, eda42d20, SETUP, , , 1
[18:45:10.282], STTP, 20, , , , , , store_share, CPU: 0.008385 ms, wall: 0.005765 ms, 1
[18:45:10.301], STTP, 20, <--, MIX, 38, list, 50b8a412, SETUP, , , 1
[18:45:10.360], STTP, 20, , , , , , store_share, CPU: 0.008278 ms, wall: 0.007437 ms, 1
[18:45:10.361], STTP, 20, <--, MIX, 33, list, 7b263b02, SETUP, , , 1
[18:45:10.361], STTP, 20, , , , , , store_share, CPU: 0.004002 ms, wall: 0.003425 ms, 1
[18:45:10.362], STTP, 20, <--, MIX, 48, list, 1aae908e, SETUP, , , 1
[18:45:10.365], STTP, 20, , , , , , store_share, CPU: 0.027050 ms, wall: 0.012307 ms, 1
[18:45:10.366], STTP, 20, <--, MIX, 40, list, b3b28aa8, SETUP, , , 1
[18:45:10.366], STTP, 20, , , , , , store_share, CPU: 0.004005 ms, wall: 0.003187 ms, 1
[18:45:10.367], STTP, 20, <--, MIX, 34, list, 4da2fab1, SETUP, , , 1
[18:45:10.367], STTP, 20, , , , , , store_share, CPU: 0.003788 ms, wall: 0.003124 ms, 1
[18:45:10.367], STTP, 20, <--, MIX, 25, list, 32c9aa59, SETUP, , , 1
[18:45:10.367], STTP, 20, , , , , , store_share, CPU: 0.003338 ms, wall: 0.002683 ms, 1
[18:45:10.368], STTP, 20, <--, MIX, 21, list, 0805ea6f, SETUP, , , 1
[18:45:10.368], STTP, 20, , , , , , store_share, CPU: 0.003458 ms, wall: 0.002809 ms, 1
[18:45:10.368], STTP, 20, <--, MIX, 2, list, f1c38032, SETUP, , , 1
[18:45:10.369], STTP, 20, , , , , , store_share, CPU: 0.003622 ms, wall: 0.002743 ms, 1
[18:45:10.369], STTP, 20, <--, MIX, 19, list, 48976626, SETUP, , , 1
[18:45:10.369], STTP, 20, , , , , , store_share, CPU: 0.003435 ms, wall: 0.002685 ms, 1
[18:45:10.370], STTP, 20, <--, MIX, 6, list, 39c40f18, SETUP, , , 1
[18:45:10.370], STTP, 20, , , , , , store_share, CPU: 0.003025 ms, wall: 0.002362 ms, 1
[18:45:10.370], STTP, 20, <--, MIX, 28, list, 50863417, SETUP, , , 1
[18:45:10.370], STTP, 20, , , , , , store_share, CPU: 0.003314 ms, wall: 0.002557 ms, 1
[18:45:10.371], STTP, 20, <--, MIX, 43, list, a7f93dda, SETUP, , , 1
[18:45:10.371], STTP, 20, , , , , , store_share, CPU: 0.003302 ms, wall: 0.002711 ms, 1
[18:45:10.372], STTP, 20, <--, MIX, 46, list, 894b844d, SETUP, , , 1
[18:45:10.372], STTP, 20, , , , , , store_share, CPU: 0.003168 ms, wall: 0.002523 ms, 1
[18:45:10.372], STTP, 20, <--, MIX, 24, list, ccb09e6c, SETUP, , , 1
[18:45:10.401], STTP, 20, , , , , , store_share, CPU: 0.008406 ms, wall: 0.006396 ms, 1
[18:45:10.402], STTP, 20, <--, MIX, 1, list, 05e646aa, SETUP, , , 1
[18:45:10.402], STTP, 20, , , , , , store_share, CPU: 0.006419 ms, wall: 0.005082 ms, 1
[18:45:10.403], STTP, 20, <--, MIX, 5, list, 79b0c81b, SETUP, , , 1
[18:45:10.403], STTP, 20, , , , , , store_share, CPU: 0.006759 ms, wall: 0.005454 ms, 1
[18:45:10.404], STTP, 20, <--, MIX, 8, list, 031ed8fe, SETUP, , , 1
[18:45:10.404], STTP, 20, , , , , , store_share, CPU: 0.006265 ms, wall: 0.005002 ms, 1
[18:45:10.405], STTP, 20, <--, MIX, 18, list, 2fc308a8, SETUP, , , 1
[18:45:10.405], STTP, 20, , , , , , store_share, CPU: 0.006278 ms, wall: 0.004872 ms, 1
[18:45:10.406], STTP, 20, <--, MIX, 14, list, 47215490, SETUP, , , 1
[18:45:10.406], STTP, 20, , , , , , store_share, CPU: 0.005945 ms, wall: 0.004787 ms, 1
[18:45:10.407], STTP, 20, <--, MIX, 42, list, 244429db, SETUP, , , 1
[18:45:10.412], STTP, 20, , , , , , store_share, CPU: 0.004401 ms, wall: 0.003862 ms, 1
[18:45:10.413], STTP, 20, <--, MIX, 4, list, a0abda62, SETUP, , , 1
[18:45:10.413], STTP, 20, , , , , , store_share, CPU: 0.002865 ms, wall: 0.002445 ms, 1
[18:45:10.413], STTP, 20, <--, MIX, 37, list, c0ce41d8, SETUP, , , 1
[18:45:10.413], STTP, 20, , , , , , store_share, CPU: 0.002214 ms, wall: 0.001763 ms, 1
[18:45:10.414], STTP, 20, <--, MIX, 16, list, 1d575ace, SETUP, , , 1
[18:45:10.414], STTP, 20, , , , , , store_share, CPU: 0.003272 ms, wall: 0.002624 ms, 1
[18:45:10.414], STTP, 20, <--, MIX, 27, list, d8b3940b, SETUP, , , 1
[18:45:10.414], STTP, 20, , , , , , store_share, CPU: 0.003655 ms, wall: 0.003227 ms, 1
[18:45:10.415], STTP, 20, <--, MIX, 23, list, a23d080a, SETUP, , , 1
[18:45:10.415], STTP, 20, , , , , , store_share, CPU: 0.003118 ms, wall: 0.002591 ms, 1
[18:45:10.415], STTP, 20, <--, MIX, 7, list, aadc3ce1, SETUP, , , 1
[18:45:10.415], STTP, 20, , , , , , store_share, CPU: 0.003685 ms, wall: 0.002879 ms, 1
[18:45:10.416], STTP, 20, <--, MIX, 29, list, 327fac16, SETUP, , , 1
[18:45:10.416], STTP, 20, , , , , , store_share, CPU: 0.003390 ms, wall: 0.002666 ms, 1
[18:45:10.417], STTP, 20, <--, MIX, 41, list, 2c900611, SETUP, , , 1
[18:45:10.417], STTP, 20, , , , , , store_share, CPU: 0.003458 ms, wall: 0.002673 ms, 1
[18:45:10.417], STTP, 20, <--, MIX, 45, list, c31501bd, SETUP, , , 1
[18:45:10.417], STTP, 20, , , , , , store_share, CPU: 0.003815 ms, wall: 0.002924 ms, 1
[18:45:10.418], STTP, 20, <--, MIX, 30, list, f9636032, SETUP, , , 1
[18:45:10.418], STTP, 20, , , , , , store_share, CPU: 0.003368 ms, wall: 0.002791 ms, 1
[18:45:10.418], STTP, 20, <--, MIX, 36, list, f6cf09d5, SETUP, , , 1
[18:45:10.419], STTP, 20, , , , , , store_share, CPU: 0.003828 ms, wall: 0.003055 ms, 1
[18:45:10.419], STTP, 20, <--, MIX, 13, list, fcf94793, SETUP, , , 1
[18:45:10.419], STTP, 20, , , , , , store_share, CPU: 0.003451 ms, wall: 0.002543 ms, 1
[18:45:10.419], STTP, 20, <--, MIX, 10, list, 9778fce2, SETUP, , , 1
[18:45:10.420], STTP, 20, , , , , , store_share, CPU: 0.002124 ms, wall: 0.001734 ms, 1
[18:45:10.420], STTP, 20, <--, MIX, 9, list, 9e99aa61, SETUP, , , 1
[18:45:10.420], STTP, 20, , , , , , store_share, CPU: 0.004050 ms, wall: 0.003246 ms, 1
[18:45:10.420], STTP, 20, <--, MIX, 35, list, c169d61c, SETUP, , , 1
[18:45:10.421], STTP, 20, , , , , , store_share, CPU: 0.002121 ms, wall: 0.001649 ms, 1
[18:45:10.421], STTP, 20, <--, MIX, 39, list, dfbd2d48, SETUP, , , 1
[18:45:10.421], STTP, 20, , , , , , store_share, CPU: 0.002301 ms, wall: 0.001870 ms, 1
[18:45:10.421], STTP, 20, <--, MIX, 49, list, a2467611, SETUP, , , 1
[18:45:10.421], STTP, 20, , , , , , store_share, CPU: 0.001708 ms, wall: 0.001497 ms, 1
[18:45:10.422], STTP, 20, <--, MIX, 32, list, 6db95411, SETUP, , , 1
[18:45:10.422], STTP, 20, , , , , , store_share, CPU: 0.001701 ms, wall: 0.001471 ms, 1
[18:45:10.422], STTP, 20, <--, MIX, 22, list, 3816bb80, SETUP, , , 1
[18:45:10.422], STTP, 20, , , , , , store_share, CPU: 0.002294 ms, wall: 0.001850 ms, 1
[18:45:10.422], STTP, 20, <--, MIX, 50, list, 20d51f2a, SETUP, , , 1
[18:45:10.423], STTP, 20, , , , , , store_share, CPU: 0.003256 ms, wall: 0.002587 ms, 1
[18:45:10.423], STTP, 20, <--, MIX, 44, list, 8996c413, SETUP, , , 1
[18:45:10.423], STTP, 20, , , , , , store_share, CPU: 0.002129 ms, wall: 0.001733 ms, 1
[18:45:10.423], STTP, 20, <--, MIX, 15, list, 19c60469, SETUP, , , 1
[18:45:10.423], STTP, 20, , , , , , store_share, CPU: 0.002066 ms, wall: 0.001683 ms, 1
[18:45:10.424], STTP, 20, <--, MIX, 17, list, 2730ae9c, SETUP, , , 1
[18:45:10.424], STTP, 20, , , , , , store_share, CPU: 0.002523 ms, wall: 0.001935 ms, 1
[18:45:10.428], STTP, 20, <--, MIX, 12, list, bb08bf9e, SETUP, , , 1
[18:45:10.428], STTP, 20, , , , , , store_share, CPU: 0.003441 ms, wall: 0.002785 ms, 1
[18:45:10.428], STTP, 20, <--, MIX, 31, list, b4b59362, SETUP, , , 1
[18:45:10.428], STTP, 20, , , , , , store_share, CPU: 0.003483 ms, wall: 0.002349 ms, 1
[18:45:10.433], STTP, 20, <--, MIX, 3, list, f253e6fe, SETUP, , , 1
[18:45:10.433], STTP, 20, , , , , , store_share, CPU: 0.003304 ms, wall: 0.002552 ms, 1
[18:45:10.460], STTP, 20, <--, MIX, 20, list, 36134157, SETUP, , , 1
[18:45:10.460], STTP, 20, , , , , , store_share, CPU: 0.008140 ms, wall: 0.006405 ms, 1
[18:45:10.461], STTP, 20, <--, MIX, 47, list, 65caf781, SETUP, , , 1
[18:45:10.461], STTP, 20, , , , , , store_share, CPU: 0.007779 ms, wall: 0.005927 ms, 1
[18:45:10.569], STTP, 20, <--, MIX, 11, list, a99261da, SETUP, , , 1
[18:45:10.570], STTP, 20, , , , , , store_share, CPU: 0.038662 ms, wall: 0.036765 ms, 1
