[18:45:10.097], STTP, 3, <--, MIX, 40, list, 56e2cdbb, SETUP, , , 1
[18:45:10.097], STTP, 3, , , , , , store_share, CPU: 0.007498 ms, wall: 0.005240 ms, 1
[18:45:10.098], STTP, 3, <--, MIX, 38, list, a590c841, SETUP, , , 1
[18:45:10.119], STTP, 3, , , , , , store_share, CPU: 0.013383 ms, wall: 0.019503 ms, 1
[18:45:10.121], STTP, 3, <--, MIX, 5, list, 3877891f, SETUP, , , 1
[18:45:10.152], STTP, 3, , , , , , store_share, CPU: 0.008470 ms, wall: 0.006540 ms, 1
[18:45:10.168], STTP, 3, <--, MIX, 8, list, e916ee0e, SETUP, , , 1
[18:45:10.208], STTP, 3, , , , , , store_share, CPU: 0.004915 ms, wall: 0.003856 ms, 1
[18:45:10.209], STTP, 3, <--, MIX, 37, list, 466a51dd, SETUP, , , 1
[18:45:10.209], STTP, 3, , , , , , store_share, CPU: 0.002554 ms, wall: 0.003971 ms, 1
[18:45:10.210], STTP, 3, <--, MIX, 24, list, b25afa5d, SETUP, , , 1
[18:45:10.215], STTP, 3, , , , , , store_share, CPU: 0.038461 ms, wall: 0.017988 ms, 1
[18:45:10.215], STTP, 3, <--, MIX, 6, list, 01970597, SETUP, , , 1
[18:45:10.216], STTP, 3, , , , , , store_share, CPU: 0.004174 ms, wall: 0.002953 ms, 1
[18:45:10.216], STTP, 3, <--, MIX, 26, list, 8df60cc0, SETUP, , , 1
[18:45:10.217], STTP, 3, , , , , , store_share, CPU: 0.004381 ms, wall: 0.003552 ms, 1
[18:45:10.217], STTP, 3, <--, MIX, 48, list, 7d2bd309, SETUP, , , 1
[18:45:10.218], STTP, 3, , , , , , store_share, CPU: 0.004801 ms, wall: 0.004115 ms, 1
[18:45:10.219], STTP, 3, <--, MIX, 43, list, 1bb6c0ad, SETUP, , , 1
[18:45:10.219], STTP, 3, , , , , , store_share, CPU: 0.003338 ms, wall: 0.002551 ms, 1
[18:45:10.219], STTP, 3, <--, MIX, 19, list, c7790671, SETUP, , , 1
[18:45:10.221], STTP, 3, , , , , , store_share, CPU: 0.003898 ms, wall: 0.003227 ms, 1
[18:45:10.222], STTP, 3, <--, MIX, 42, list, 40269efb, SETUP, , , 1
[18:45:10.222], STTP, 3, , , , , , store_share, CPU: 0.003261 ms, wall: 0.002474 ms, 1
[18:45:10.222], STTP, 3, <--, MIX, 1, list, 681cb726, SETUP, , , 1
[18:45:10.222], STTP, 3, , , , , , store_share, CPU: 0.002810 ms, wall: 0.002255 ms, 1
[18:45:10.223], STTP, 3, <--, MIX, 4, list, e52ae775, SETUP, , , 1
[18:45:10.225], STTP, 3, , , , , , store_share, CPU: 0.026601 ms, wall: 0.013025 ms, 1
[18:45:10.226], STTP, 3, <--, MIX, 35, list, 39ba59c5, SETUP, , , 1
[18:45:10.285], STTP, 3, , , , , , store_share, CPU: 0.005117 ms, wall: 0.004098 ms, 1
[18:45:10.286], STTP, 3, <--, MIX, 29, list, cc8db122, SETUP, , , 1
[18:45:10.338], STTP, 3, , , , , , store_share, CPU: 0.005970 ms, wall: 0.004715 ms, 1
[18:45:10.339], STTP, 3, <--, MIX, 13, list, d80b73de, SETUP, , , 1
[18:45:10.384], STTP, 3, , , , , , store_share, CPU: 0.005526 ms, wall: 0.004657 ms, 1
[18:45:10.385], STTP, 3, <--, MIX, 33, list, aeefb59a, SETUP, , , 1
[18:45:10.385], STTP, 3, , , , , , store_share, CPU: 0.003978 ms, wall: 0.003158 ms, 1
[18:45:10.385], STTP, 3, <--, MIX, 30, list, 85862973, SETUP, , , 1
[18:45:10.386], STTP, 3, , , , , , store_share, CPU: 0.003920 ms, wall: 0.002862 ms, 1
[18:45:10.386], STTP, 3, <--, MIX, 2, list, aa68f174, SETUP, , , 1
[18:45:10.389], STTP, 3, , , , , , store_share, CPU: 0.020658 ms, wall: 0.009310 ms, 1
[18:45:10.389], STTP, 3, <--, MIX, 16, list, 47655a63, SETUP, , , 1
[18:45:10.389], STTP, 3, , , , , , store_share, CPU: 0.004059 ms, wall: 0.003144 ms, 1
[18:45:10.392], STTP, 3, <--, MIX, 28, list, 6d698bf6, SETUP, , , 1
[18:45:10.393], STTP, 3, , , , , , store_share, CPU: 0.006122 ms, wall: 0.003932 ms, 1
[18:45:10.395], STTP, 3, <--, MIX, 12, list, a5908ce5, SETUP, , , 1
[18:45:10.395], STTP, 3, , , , , , store_share, CPU: 0.004271 ms, wall: 0.003592 ms, 1
[18:45:10.396], STTP, 3, <--, MIX, 34, list, 0a00a089, SETUP, , , 1
[18:45:10.396], STTP, 3, , , , , , store_share, CPU: 0.003755 ms, wall: 0.002983 ms, 1
[18:45:10.397], STTP, 3, <--, MIX, 23, list, 6be36b19, SETUP, , , 1
[18:45:10.397], STTP, 3, , , , , , store_share, CPU: 0.004131 ms, wall: 0.003343 ms, 1
[18:45:10.398], STTP, 3, <--, MIX, 25, list, 7303393f, SETUP, , , 1
[18:45:10.398], STTP, 3, , , , , , store_share, CPU: 0.003723 ms, wall: 0.002935 ms, 1
[18:45:10.398], STTP, 3, <--, MIX, 10, list, 926ebedd, SETUP, , , 1
[18:45:10.398], STTP, 3, , , , , , store_share, CPU: 0.003138 ms, wall: 0.002656 ms, 1
[18:45:10.399], STTP, 3, <--, MIX, 27, list, b551e7fd, SETUP, , , 1
[18:45:10.405], STTP, 3, , , , , , store_share, CPU: 0.007480 ms, wall: 0.005932 ms, 1
[18:45:10.406], STTP, 3, <--, MIX, 21, list, c2a1b5da, SETUP, , , 1
[18:45:10.406], STTP, 3, , , , , , store_share, CPU: 0.006383 ms, wall: 0.005178 ms, 1
[18:45:10.407], STTP, 3, <--, MIX, 46, list, 33ae50e2, SETUP, , , 1
[18:45:10.408], STTP, 3, , , , , , store_share, CPU: 0.007763 ms, wall: 0.005892 ms, 1
[18:45:10.409], STTP, 3, <--, MIX, 36, list, 0538a343, SETUP, , , 1
[18:45:10.410], STTP, 3, , , , , , store_share, CPU: 0.006852 ms, wall: 0.005208 ms, 1
[18:45:10.410], STTP, 3, <--, MIX, 41, list, 9fdb01ff, SETUP, , , 1
[18:45:10.411], STTP, 3, , , , , , store_share, CPU: 0.006305 ms, wall: 0.004843 ms, 1
[18:45:10.411], STTP, 3, <--, MIX, 7, list, 871fe520, SETUP, , , 1
[18:45:10.412], STTP, 3, , , , , , store_share, CPU: 0.006668 ms, wall: 0.005422 ms, 1
[18:45:10.412], STTP, 3, <--, MIX, 15, list, 8e318e08, SETUP, , , 1
[18:45:10.413], STTP, 3, , , , , , store_share, CPU: 0.006061 ms, wall: 0.004761 ms, 1
[18:45:10.413], STTP, 3, <--, MIX, 18, list, ba371d28, SETUP, , , 1
[18:45:10.414], STTP, 3, , , , , , store_share, CPU: 0.006095 ms, wall: 0.004967 ms, 1
[18:45:10.414], STTP, 3, <--, MIX, 14, list, f77d4d60, SETUP, , , 1
[18:45:10.415], STTP, 3, , , , , , store_share, CPU: 0.006688 ms, wall: 0.005294 ms, 1
[18:45:10.415], STTP, 3, <--, MIX, 44, list, 7092ac22, SETUP, , , 1
[18:45:10.416], STTP, 3, , , , , , store_share, CPU: 0.005604 ms, wall: 0.004795 ms, 1
[18:45:10.416], STTP, 3, <--, MIX, 45, list, 1e2e8aa4, SETUP, , , 1
[18:45:10.417], STTP, 3, , , , , , store_share, CPU: 0.005778 ms, wall: 0.004955 ms, 1
[18:45:10.417], STTP, 3, <--, MIX, 22, list, 4a167996, SETUP, , , 1
[18:45:10.418], STTP, 3, , , , , , store_share, CPU: 0.006151 ms, wall: 0.004782 ms, 1
[18:45:10.418], STTP, 3, <--, MIX, 49, list, 39ee8c3a, SETUP, , , 1
[18:45:10.419], STTP, 3, , , , , , store_share, CPU: 0.006485 ms, wall: 0.005103 ms, 1
[18:45:10.419], STTP, 3, <--, MIX, 32, list, e30fcafe, SETUP, , , 1
[18:45:10.420], STTP, 3, , , , , , store_share, CPU: 0.008224 ms, wall: 0.005876 ms, 1
[18:45:10.420], STTP, 3, <--, MIX, 9, list, 48150604, SETUP, , , 1
[18:45:10.421], STTP, 3, , , , , , store_share, CPU: 0.006396 ms, wall: 0.005256 ms, 1
[18:45:10.421], STTP, 3, <--, MIX, 31, list, 1381ea6f, SETUP, , , 1
[18:45:10.422], STTP, 3, , , , , , store_share, CPU: 0.006360 ms, wall: 0.004887 ms, 1
[18:45:10.422], STTP, 3, <--, MIX, 39, list, a978c5fe, SETUP, , , 1
[18:45:10.423], STTP, 3, , , , , , store_share, CPU: 0.005711 ms, wall: 0.004520 ms, 1
[18:45:10.423], STTP, 3, <--, MIX, 17, list, 9fa44df9, SETUP, , , 1
[18:45:10.424], STTP, 3, , , , , , store_share, CPU: 0.006473 ms, wall: 0.004925 ms, 1
[18:45:10.424], STTP, 3, <--, MIX, 50, list, ba2a449d, SETUP, , , 1
[18:45:10.424], STTP, 3, , , , , , store_share, CPU: 0.005947 ms, wall: 0.004815 ms, 1
[18:45:10.425], STTP, 3, <--, MIX, 3, list, 5ff6ee06, SETUP, , , 1
