[18:45:10.099], STTP, 4, <--, MIX, 40, list, d067122e, SETUP, , , 1
[18:45:10.099], STTP, 4, , , , , , store_share, CPU: 0.010454 ms, wall: 0.007302 ms, 1
[18:45:10.100], STTP, 4, <--, MIX, 38, list, 92a556d3, SETUP, , , 1
[18:45:10.136], STTP, 4, , , , , , store_share, CPU: 0.016595 ms, wall: 0.013583 ms, 1
[18:45:10.137], STTP, 4, <--, MIX, 5, list, 8ecef54e, SETUP, , , 1
[18:45:10.175], STTP, 4, , , , , , store_share, CPU: 0.005794 ms, wall: 0.004540 ms, 1
[18:45:10.176], STTP, 4, <--, MIX, 24, list, f9a999cc, SETUP, , , 1
[18:45:10.176], STTP, 4, , , , , , store_share, CPU: 0.004314 ms, wall: 0.003396 ms, 1
[18:45:10.177], STTP, 4, <--, MIX, 8, list, 1e8ff138, SETUP, , , 1
[18:45:10.186], STTP, 4, , , , , , store_share, CPU: 0.034486 ms, wall: 0.018548 ms, 1
[18:45:10.187], STTP, 4, <--, MIX, 6, list, bc28f75c, SETUP, , , 1
[18:45:10.187], STTP, 4, , , , , , store_share, CPU: 0.005854 ms, wall: 0.004572 ms, 1
[18:45:10.187], STTP, 4, <--, MIX, 37, list, f3b40f0a, SETUP, , , 1
[18:45:10.193], STTP, 4, , , , , , store_share, CPU: 0.044276 ms, wall: 0.022853 ms, 1
[18:45:10.194], STTP, 4, <--, MIX, 48, list, c0d8345c, SETUP, , , 1
[18:45:10.194], STTP, 4, , , , , , store_share, CPU: 0.005488 ms, wall: 0.004101 ms, 1
[18:45:10.195], STTP, 4, <--, MIX, 26, list, e7d25fa3, SETUP, , , 1
[18:45:10.199], STTP, 4, , , , , , store_share, CPU: 0.007057 ms, wall: 0.005708 ms, 1
[18:45:10.206], STTP, 4, <--, MIX, 42, list, d7d9e371, SETUP, , , 1
[18:45:10.207], STTP, 4, , , , , , store_share, CPU: 0.005853 ms, wall: 0.004362 ms, 1
[18:45:10.212], STTP, 4, <--, MIX, 19, list, 256bc656, SETUP, , , 1
[18:45:10.212], STTP, 4, , , , , , store_share, CPU: 0.005203 ms, wall: 0.003813 ms, 1
[18:45:10.224], STTP, 4, <--, MIX, 4, list, 4ed4ad5a, SETUP, , , 1
[18:45:10.225], STTP, 4, , , , , , store_share, CPU: 0.005564 ms, wall: 0.004085 ms, 1
[18:45:10.235], STTP, 4, <--, MIX, 35, list, 01c9bcc5, SETUP, , , 1
[18:45:10.238], STTP, 4, , , , , , store_share, CPU: 0.012807 ms, wall: 0.574277 ms, 1
[18:45:10.241], STTP, 4, <--, MIX, 43, list, fd20d3d1, SETUP, , , 1
[18:45:10.248], STTP, 4, , , , , , store_share, CPU: 0.008231 ms, wall: 0.006282 ms, 1
[18:45:10.252], STTP, 4, <--, MIX, 29, list, bc4615f6, SETUP, , , 1
[18:45:10.253], STTP, 4, , , , , , store_share, CPU: 0.006760 ms, wall: 0.005180 ms, 1
[18:45:10.254], STTP, 4, <--, MIX, 13, list, 86b79f7a, SETUP, , , 1
[18:45:10.262], STTP, 4, , , , , , store_share, CPU: 0.035463 ms, wall: 0.016497 ms, 1
[18:45:10.263], STTP, 4, <--, MIX, 33, list, 4210bf69, SETUP, , , 1
[18:45:10.263], STTP, 4, , , , , , store_share, CPU: 0.002861 ms, wall: 0.003621 ms, 1
[18:45:10.263], STTP, 4, <--, MIX, 30, list, e53520fd, SETUP, , , 1
[18:45:10.264], STTP, 4, , , , , , store_share, CPU: 0.003805 ms, wall: 0.002957 ms, 1
[18:45:10.264], STTP, 4, <--, MIX, 1, list, 326b1685, SETUP, , , 1
[18:45:10.266], STTP, 4, , , , , , store_share, CPU: 0.004045 ms, wall: 0.003319 ms, 1
[18:45:10.267], STTP, 4, <--, MIX, 16, list, 259885a5, SETUP, , , 1
[18:45:10.268], STTP, 4, , , , , , store_share, CPU: 0.012678 ms, wall: 0.007186 ms, 1
[18:45:10.270], STTP, 4, <--, MIX, 2, list, f9fffad1, SETUP, , , 1
[18:45:10.323], STTP, 4, , , , , , store_share, CPU: 0.004564 ms, wall: 0.003689 ms, 1
[18:45:10.324], STTP, 4, <--, MIX, 28, list, d9af9e61, SETUP, , , 1
[18:45:10.324], STTP, 4, , , , , , store_share, CPU: 0.003251 ms, wall: 0.002402 ms, 1
[18:45:10.326], STTP, 4, <--, MIX, 34, list, ba7a59db, SETUP, , , 1
[18:45:10.327], STTP, 4, , , , , , store_share, CPU: 0.004791 ms, wall: 0.003519 ms, 1
[18:45:10.328], STTP, 4, <--, MIX, 23, list, 4b31d2b7, SETUP, , , 1
[18:45:10.328], STTP, 4, , , , , , store_share, CPU: 0.004184 ms, wall: 0.003184 ms, 1
[18:45:10.330], STTP, 4, <--, MIX, 25, list, 614d4d32, SETUP, , , 1
[18:45:10.330], STTP, 4, , , , , , store_share, CPU: 0.004788 ms, wall: 0.003864 ms, 1
[18:45:10.334], STTP, 4, <--, MIX, 10, list, bcaefc5e, SETUP, , , 1
[18:45:10.334], STTP, 4, , , , , , store_share, CPU: 0.007687 ms, wall: 0.006208 ms, 1
[18:45:10.337], STTP, 4, <--, MIX, 27, list, ac8a5b48, SETUP, , , 1
[18:45:10.338], STTP, 4, , , , , , store_share, CPU: 0.004718 ms, wall: 0.003620 ms, 1
[18:45:10.338], STTP, 4, <--, MIX, 21, list, bd420692, SETUP, , , 1
[18:45:10.338], STTP, 4, , , , , , store_share, CPU: 0.003642 ms, wall: 0.003023 ms, 1
[18:45:10.343], STTP, 4, <--, MIX, 46, list, e8df8928, SETUP, , , 1
[18:45:10.343], STTP, 4, , , , , , store_share, CPU: 0.003517 ms, wall: 0.002689 ms, 1
[18:45:10.344], STTP, 4, <--, MIX, 36, list, 8dc24c3d, SETUP, , , 1
[18:45:10.344], STTP, 4, , , , , , store_share, CPU: 0.004646 ms, wall: 0.003333 ms, 1
[18:45:10.353], STTP, 4, <--, MIX, 41, list, 14c1f721, SETUP, , , 1
[18:45:10.354], STTP, 4, , , , , , store_share, CPU: 0.003631 ms, wall: 0.002600 ms, 1
[18:45:10.356], STTP, 4, <--, MIX, 7, list, c54da3ca, SETUP, , , 1
[18:45:10.358], STTP, 4, , , , , , store_share, CPU: 0.007529 ms, wall: 0.005941 ms, 1
[18:45:10.359], STTP, 4, <--, MIX, 12, list, fa6ea3f8, SETUP, , , 1
[18:45:10.362], STTP, 4, , , , , , store_share, CPU: 0.034451 ms, wall: 0.015810 ms, 1
[18:45:10.363], STTP, 4, <--, MIX, 15, list, e6c4f889, SETUP, , , 1
[18:45:10.366], STTP, 4, , , , , , store_share, CPU: 0.025976 ms, wall: 0.012592 ms, 1
[18:45:10.367], STTP, 4, <--, MIX, 18, list, 902987cf, SETUP, , , 1
[18:45:10.367], STTP, 4, , , , , , store_share, CPU: 0.006419 ms, wall: 0.005249 ms, 1
[18:45:10.368], STTP, 4, <--, MIX, 14, list, ae8dbe8c, SETUP, , , 1
[18:45:10.372], STTP, 4, , , , , , store_share, CPU: 0.043112 ms, wall: 0.018402 ms, 1
[18:45:10.375], STTP, 4, <--, MIX, 44, list, 48823c53, SETUP, , , 1
